Run	BioProject	sample_alias	env_material	Group	ID
SRR31418698	PRJNA1188648	001-BL	fecal	Baseline	001
SRR31418709	PRJNA1188648	001-6M	fecal	6M	001
SRR31418710	PRJNA1188648	001-12M	fecal	12M	001
SRR31418685	PRJNA1188648	002-BL	fecal	Baseline	002
SRR31418686	PRJNA1188648	002-6M	fecal	6M	002
SRR31418687	PRJNA1188648	002-12M	fecal	12M	002
SRR31418682	PRJNA1188648	004-BL	fecal	Baseline	004
SRR31418683	PRJNA1188648	004-6M	fecal	6M	004
SRR31418684	PRJNA1188648	004-12M	fecal	12M	004
SRR31418707	PRJNA1188648	005-BL	fecal	Baseline	005
SRR31418708	PRJNA1188648	005-6M	fecal	6M	005
SRR31418681	PRJNA1188648	005-12M	fecal	12M	005
SRR31418704	PRJNA1188648	006-BL	fecal	Baseline	006
SRR31418705	PRJNA1188648	006-6M	fecal	6M	006
SRR31418706	PRJNA1188648	006-12M	fecal	12M	006
SRR31418701	PRJNA1188648	007-BL	fecal	Baseline	007
SRR31418702	PRJNA1188648	007-6M	fecal	6M	007
SRR31418703	PRJNA1188648	007-12M	fecal	12M	007
SRR31418697	PRJNA1188648	010-BL	fecal	Baseline	010
SRR31418699	PRJNA1188648	010-6M	fecal	6M	010
SRR31418700	PRJNA1188648	010-12M	fecal	12M	010
SRR31418694	PRJNA1188648	017-BL	fecal	Baseline	017
SRR31418695	PRJNA1188648	017-6M	fecal	6M	017
SRR31418696	PRJNA1188648	017-12M	fecal	12M	017
SRR31418691	PRJNA1188648	019-BL	fecal	Baseline	019
SRR31418692	PRJNA1188648	019-6M	fecal	6M	019
SRR31418693	PRJNA1188648	019-12M	fecal	12M	019
SRR31418688	PRJNA1188648	022-BL	fecal	Baseline	022
SRR31418689	PRJNA1188648	022-6M	fecal	6M	022
SRR31418690	PRJNA1188648	022-12M	fecal	12M	022
