Run	BioProject	sample_alias	env_material	time	ID
SRR39238494	PRJNA1480144	SDPr01	fecal	Pre	01
SRR39238509	PRJNA1480144	SDPo01	fecal	Post	01
SRR39238493	PRJNA1480144	SDPr02	fecal	Pre	02
SRR39238551	PRJNA1480144	SDPo02	fecal	Post	02
SRR39238476	PRJNA1480144	SDPr03	fecal	Pre	03
SRR39238475	PRJNA1480144	SDPr04	fecal	Pre	04
SRR39238550	PRJNA1480144	SDPo04	fecal	Post	04
SRR39238474	PRJNA1480144	SDPr05	fecal	Pre	05
SRR39238473	PRJNA1480144	SDPr06	fecal	Pre	06
SRR39238472	PRJNA1480144	SDPr08	fecal	Pre	08
SRR39238470	PRJNA1480144	SDPr09	fecal	Pre	09
SRR39238469	PRJNA1480144	SDPr10	fecal	Pre	10
SRR39238468	PRJNA1480144	SDPr11	fecal	Pre	11
SRR39238467	PRJNA1480144	SDPr12	fecal	Pre	12
SRR39238466	PRJNA1480144	SDPr13	fecal	Pre	13
SRR39238465	PRJNA1480144	SDPr14	fecal	Pre	14
SRR39238464	PRJNA1480144	SDPr15	fecal	Pre	15
SRR39238463	PRJNA1480144	SDPr16	fecal	Pre	16
SRR39238549	PRJNA1480144	SDPo16	fecal	Post	16
SRR39238462	PRJNA1480144	SDPr17	fecal	Pre	17
SRR39238461	PRJNA1480144	SDPr18	fecal	Pre	18
SRR39238491	PRJNA1480144	SDPr19	fecal	Pre	19
SRR39238490	PRJNA1480144	SDPr20	fecal	Pre	20
SRR39238489	PRJNA1480144	SDPr21	fecal	Pre	21
SRR39238488	PRJNA1480144	SDPr22	fecal	Pre	22
SRR39238487	PRJNA1480144	SDPr23	fecal	Pre	23
SRR39238486	PRJNA1480144	SDPr24	fecal	Pre	24
SRR39238548	PRJNA1480144	SDPo24	fecal	Post	24
SRR39238485	PRJNA1480144	SDPr25	fecal	Pre	25
SRR39238547	PRJNA1480144	SDPo25	fecal	Post	25
SRR39238484	PRJNA1480144	SDPr26	fecal	Pre	26
SRR39238546	PRJNA1480144	SDPo26	fecal	Post	26
SRR39238483	PRJNA1480144	SDPr27	fecal	Pre	27
SRR39238482	PRJNA1480144	SDPr28	fecal	Pre	28
SRR39238545	PRJNA1480144	SDPo28	fecal	Post	28
SRR39238480	PRJNA1480144	SDPr29	fecal	Pre	29
SRR39238479	PRJNA1480144	SDPr30	fecal	Pre	30
SRR39238478	PRJNA1480144	SDPr31	fecal	Pre	31
SRR39238544	PRJNA1480144	SDPo31	fecal	Post	31
SRR39238477	PRJNA1480144	SDPr32	fecal	Pre	32
SRR39238460	PRJNA1480144	SDPr33	fecal	Pre	33
SRR39238459	PRJNA1480144	SDPr34	fecal	Pre	34
SRR39238543	PRJNA1480144	SDPo34	fecal	Post	34
SRR39238458	PRJNA1480144	SDPr35	fecal	Pre	35
SRR39238542	PRJNA1480144	SDPo35	fecal	Post	35
