run_accession	sample_accession	sample_alias	sample_title	library_name	library_strategy	library_layout	instrument_model	read_count	base_count	scientific_name
DRR821675	SAMD01756839	SAMD01756839	Tri_1_1 (SAMC2982385)	missing	RNA-Seq	PAIRED	Illumina HiSeq 2000	29775985	8932795500	Viridiplantae sp.
DRR821686	SAMD01756850	SAMD01756850	OE_1 (SAMC2982396)	missing	RNA-Seq	PAIRED	Illumina NovaSeq 6000	22310524	6693157200	Viridiplantae sp.
DRR821688	SAMD01756852	SAMD01756852	OE_3 (SAMC2982398)	missing	RNA-Seq	PAIRED	Illumina NovaSeq 6000	22805662	6841698600	Viridiplantae sp.
DRR821676	SAMD01756840	SAMD01756840	Tri_2_1 (SAMC2982386)	missing	RNA-Seq	PAIRED	Illumina HiSeq 2000	31981305	9594391500	Viridiplantae sp.
DRR821677	SAMD01756841	SAMD01756841	Tri_3_1 (SAMC2982387)	missing	RNA-Seq	PAIRED	Illumina HiSeq 2000	26899430	8069829000	Viridiplantae sp.
DRR821680	SAMD01756844	SAMD01756844	Tri_3_2 (SAMC2982390)	missing	RNA-Seq	PAIRED	Illumina HiSeq 2000	25027785	7508335500	Viridiplantae sp.
DRR821685	SAMD01756849	SAMD01756849	WT_2 (SAMC2982395)	missing	RNA-Seq	PAIRED	Illumina NovaSeq 6000	20762628	6228788400	Viridiplantae sp.
DRR821683	SAMD01756847	SAMD01756847	Tri_3_3 (SAMC2982393)	missing	RNA-Seq	PAIRED	Illumina HiSeq 2000	27420399	8226119700	Viridiplantae sp.
DRR821687	SAMD01756851	SAMD01756851	OE_2 (SAMC2982397)	missing	RNA-Seq	PAIRED	Illumina NovaSeq 6000	23362159	7008647700	Viridiplantae sp.
DRR821678	SAMD01756842	SAMD01756842	Tri_1_2 (SAMC2982388)	missing	RNA-Seq	PAIRED	Illumina HiSeq 2000	25698210	7709463000	Viridiplantae sp.
DRR821679	SAMD01756843	SAMD01756843	Tri_2_2 (SAMC2982389)	missing	RNA-Seq	PAIRED	Illumina HiSeq 2000	28811005	8643301500	Viridiplantae sp.
DRR821681	SAMD01756845	SAMD01756845	Tri_1_3 (SAMC2982391)	missing	RNA-Seq	PAIRED	Illumina HiSeq 2000	27924487	8377346100	Viridiplantae sp.
DRR821682	SAMD01756846	SAMD01756846	Tri_2_3 (SAMC2982392)	missing	RNA-Seq	PAIRED	Illumina HiSeq 2000	27781431	8334429300	Viridiplantae sp.
DRR821684	SAMD01756848	SAMD01756848	WT_1 (SAMC2982394)	missing	RNA-Seq	PAIRED	Illumina NovaSeq 6000	23335838	7000751400	Viridiplantae sp.
