run_accession	sample_accession	sample_alias	sample_title	library_name	library_strategy	library_layout	instrument_model	read_count	base_count	scientific_name
ERR4312100	SAMEA7032077	2f9674d8-7195-11e9-a106-68b59976a384	MD6430a	DN547532O:C11	WGS	PAIRED	HiSeq X Ten	164007198	24765086898	Mus musculus
ERR4312087	SAMEA7032073	2f4d18b0-7195-11e9-a106-68b59976a384	MD6427a	DN547532O:H10	WGS	PAIRED	HiSeq X Ten	181992968	27480938168	Mus musculus
ERR4312090	SAMEA7032077	2f9674d8-7195-11e9-a106-68b59976a384	MD6430a	DN547532O:C11	WGS	PAIRED	HiSeq X Ten	169055216	25527337616	Mus musculus
ERR4312093	SAMEA7032076	2f62ebc2-7195-11e9-a106-68b59976a384	MD6428a	DN547532O:A11	WGS	PAIRED	HiSeq X Ten	160580924	24247719524	Mus musculus
ERR4312094	SAMEA7032075	2f802ca0-7195-11e9-a106-68b59976a384	MD6429a	DN547532O:B11	WGS	PAIRED	HiSeq X Ten	174375996	26330775396	Mus musculus
ERR4312095	SAMEA7032077	2f9674d8-7195-11e9-a106-68b59976a384	MD6430a	DN547532O:C11	WGS	PAIRED	HiSeq X Ten	167772182	25333599482	Mus musculus
ERR4312104	SAMEA7032075	2f802ca0-7195-11e9-a106-68b59976a384	MD6429a	DN547532O:B11	WGS	PAIRED	HiSeq X Ten	169572824	25605496424	Mus musculus
ERR4312108	SAMEA7032076	2f62ebc2-7195-11e9-a106-68b59976a384	MD6428a	DN547532O:A11	WGS	PAIRED	HiSeq X Ten	160067144	24170138744	Mus musculus
ERR4312086	SAMEA7032074	2f2fec5e-7195-11e9-a106-68b59976a384	MD6426a	DN547532O:G10	WGS	PAIRED	HiSeq X Ten	173323120	26171791120	Mus musculus
ERR4312089	SAMEA7032075	2f802ca0-7195-11e9-a106-68b59976a384	MD6429a	DN547532O:B11	WGS	PAIRED	HiSeq X Ten	175581180	26512758180	Mus musculus
ERR4312096	SAMEA7032074	2f2fec5e-7195-11e9-a106-68b59976a384	MD6426a	DN547532O:G10	WGS	PAIRED	HiSeq X Ten	167755220	25331038220	Mus musculus
ERR4312098	SAMEA7032076	2f62ebc2-7195-11e9-a106-68b59976a384	MD6428a	DN547532O:A11	WGS	PAIRED	HiSeq X Ten	156550852	23639178652	Mus musculus
ERR4312101	SAMEA7032074	2f2fec5e-7195-11e9-a106-68b59976a384	MD6426a	DN547532O:G10	WGS	PAIRED	HiSeq X Ten	167279332	25259179132	Mus musculus
ERR4312102	SAMEA7032073	2f4d18b0-7195-11e9-a106-68b59976a384	MD6427a	DN547532O:H10	WGS	PAIRED	HiSeq X Ten	176104592	26591793392	Mus musculus
ERR4312106	SAMEA7032074	2f2fec5e-7195-11e9-a106-68b59976a384	MD6426a	DN547532O:G10	WGS	PAIRED	HiSeq X Ten	172526294	26051470394	Mus musculus
ERR4312097	SAMEA7032073	2f4d18b0-7195-11e9-a106-68b59976a384	MD6427a	DN547532O:H10	WGS	PAIRED	HiSeq X Ten	176660214	26675692314	Mus musculus
ERR4312099	SAMEA7032075	2f802ca0-7195-11e9-a106-68b59976a384	MD6429a	DN547532O:B11	WGS	PAIRED	HiSeq X Ten	169918884	25657751484	Mus musculus
ERR4312103	SAMEA7032076	2f62ebc2-7195-11e9-a106-68b59976a384	MD6428a	DN547532O:A11	WGS	PAIRED	HiSeq X Ten	156060276	23565101676	Mus musculus
ERR4312109	SAMEA7032075	2f802ca0-7195-11e9-a106-68b59976a384	MD6429a	DN547532O:B11	WGS	PAIRED	HiSeq X Ten	174980618	26422073318	Mus musculus
ERR4312110	SAMEA7032077	2f9674d8-7195-11e9-a106-68b59976a384	MD6430a	DN547532O:C11	WGS	PAIRED	HiSeq X Ten	171943602	25963483902	Mus musculus
ERR4312088	SAMEA7032076	2f62ebc2-7195-11e9-a106-68b59976a384	MD6428a	DN547532O:A11	WGS	PAIRED	HiSeq X Ten	161789780	24430256780	Mus musculus
ERR4312091	SAMEA7032074	2f2fec5e-7195-11e9-a106-68b59976a384	MD6426a	DN547532O:G10	WGS	PAIRED	HiSeq X Ten	172241202	26008421502	Mus musculus
ERR4312092	SAMEA7032073	2f4d18b0-7195-11e9-a106-68b59976a384	MD6427a	DN547532O:H10	WGS	PAIRED	HiSeq X Ten	181140212	27352172012	Mus musculus
ERR4312105	SAMEA7032077	2f9674d8-7195-11e9-a106-68b59976a384	MD6430a	DN547532O:C11	WGS	PAIRED	HiSeq X Ten	163488508	24686764708	Mus musculus
ERR4312107	SAMEA7032073	2f4d18b0-7195-11e9-a106-68b59976a384	MD6427a	DN547532O:H10	WGS	PAIRED	HiSeq X Ten	181178192	27357906992	Mus musculus
