run_accession	sample_accession	sample_alias	sample_title	library_name	library_strategy	library_layout	instrument_model	read_count	base_count	scientific_name
SRR39004801	SAMN60627294			SDT16A	WGS	PAIRED	Illumina NovaSeq 6000	38114340	11265877342	
SRR39004803	SAMN60627292			SDT15B	WGS	PAIRED	Illumina NovaSeq 6000	38023594	11275541247	
SRR39004809	SAMN60627287			SDT13B	WGS	PAIRED	Illumina NovaSeq 6000	37884340	11178086806	
SRR39004820	SAMN60627277			SDT10A	WGS	PAIRED	Illumina NovaSeq 6000	33025742	9619603173	
SRR39004833	SAMN60627265			SDT6A	WGS	PAIRED	Illumina NovaSeq 6000	38779611	11364110127	
SRR39004836	SAMN60627262			SDT5A	WGS	PAIRED	Illumina NovaSeq 6000	34499550	10180624699	
SRR39004839	SAMN60627259			SDT4A	WGS	PAIRED	Illumina NovaSeq 6000	39295064	11601585383	
SRR39004842	SAMN60627257			SDT3B	WGS	PAIRED	Illumina NovaSeq 6000	33998131	10116118934	
SRR39004850	SAMN60627249			IL22A	WGS	PAIRED	Illumina NovaSeq 6000	32617937	9625736178	
SRR39004860	SAMN60627240			IL15C	WGS	PAIRED	Illumina NovaSeq 6000	39750574	11767022662	
SRR39004861	SAMN60627239			IL15B	WGS	PAIRED	Illumina NovaSeq 6000	38720291	11423550521	
SRR39004876	SAMN60627226			IL11A	WGS	PAIRED	Illumina NovaSeq 6000	38989942	11475297079	
SRR39004882	SAMN60627220			IL9A	WGS	PAIRED	Illumina NovaSeq 6000	38124848	11288546829	
SRR39004886	SAMN60627217			IL8A	WGS	PAIRED	Illumina NovaSeq 6000	41038354	12170450125	
SRR39004889	SAMN60627214			IL7A	WGS	PAIRED	Illumina NovaSeq 6000	39725243	11777434578	
SRR39004893	SAMN60627210			IL5C	WGS	PAIRED	Illumina NovaSeq 6000	39170486	11531189362	
SRR39004895	SAMN60627316			SDT24B	WGS	PAIRED	Illumina NovaSeq 6000	38222300	11291639827	
SRR39004896	SAMN60627315			SDT24A	WGS	PAIRED	Illumina NovaSeq 6000	38841334	11465646906	
SRR39004899	SAMN60627312			SDT23A	WGS	PAIRED	Illumina NovaSeq 6000	35108992	10328541276	
SRR39004906	SAMN60627306			SDT21A	WGS	PAIRED	Illumina NovaSeq 6000	35263598	10435157740	
SRR39004910	SAMN60627302			SDT19C	WGS	PAIRED	Illumina NovaSeq 6000	37947234	11216709647	
SRR39004798	SAMN60627297			SDT17A	WGS	PAIRED	Illumina NovaSeq 6000	38135785	11264633741	
SRR39004804	SAMN60627291			SDT15A	WGS	PAIRED	Illumina NovaSeq 6000	38973843	11489067194	
SRR39004807	SAMN60627288			SDT13C	WGS	PAIRED	Illumina NovaSeq 6000	40996863	12155077769	
SRR39004808	SAMN60627207			IL4C	WGS	PAIRED	Illumina NovaSeq 6000	40008967	11819128468	
SRR39004817	SAMN60627279			SDT10C	WGS	PAIRED	Illumina NovaSeq 6000	37963768	11236614744	
SRR39004818	SAMN60627278			SDT10B	WGS	PAIRED	Illumina NovaSeq 6000	39228258	11345852982	
SRR39004819	SAMN60627206			IL4B	WGS	PAIRED	Illumina NovaSeq 6000	40814939	12042737252	
SRR39004823	SAMN60627274			SDT9A	WGS	PAIRED	Illumina NovaSeq 6000	38925378	11506093204	
SRR39004825	SAMN60627272			SDT8B	WGS	PAIRED	Illumina NovaSeq 6000	39535772	11587099085	
SRR39004828	SAMN60627269			SDT7B	WGS	PAIRED	Illumina NovaSeq 6000	39335200	11618690828	
SRR39004834	SAMN60627264			SDT5C	WGS	PAIRED	Illumina NovaSeq 6000	40910252	12086365790	
SRR39004838	SAMN60627260			SDT4B	WGS	PAIRED	Illumina NovaSeq 6000	40114508	11850001231	
SRR39004843	SAMN60627256			SDT3A	WGS	PAIRED	Illumina NovaSeq 6000	32968648	9707750038	
SRR39004856	SAMN60627244			IL19B	WGS	PAIRED	Illumina NovaSeq 6000	37054353	10955456582	
SRR39004862	SAMN60627238			IL15A	WGS	PAIRED	Illumina NovaSeq 6000	39874457	11783225194	
SRR39004867	SAMN60627234			IL13C	WGS	PAIRED	Illumina NovaSeq 6000	38542747	11399800378	
SRR39004869	SAMN60627232			IL13A	WGS	PAIRED	Illumina NovaSeq 6000	39509333	11685401756	
SRR39004870	SAMN60627231			IL12C	WGS	PAIRED	Illumina NovaSeq 6000	40640280	12022891156	
SRR39004877	SAMN60627225			IL10C	WGS	PAIRED	Illumina NovaSeq 6000	39417908	11652044797	
SRR39004883	SAMN60627219			IL8C	WGS	PAIRED	Illumina NovaSeq 6000	38429636	11300613126	
SRR39004904	SAMN60627209			IL5B	WGS	PAIRED	Illumina NovaSeq 6000	38794577	11466745646	
SRR39004905	SAMN60627307			SDT21B	WGS	PAIRED	Illumina NovaSeq 6000	34258728	10127244712	
SRR39004908	SAMN60627304			SDT20B	WGS	PAIRED	Illumina NovaSeq 6000	33449064	9883195571	
SRR39004911	SAMN60627301			SDT19B	WGS	PAIRED	Illumina NovaSeq 6000	34533090	10226028018	
SRR39004915	SAMN60627208			IL5A	WGS	PAIRED	Illumina NovaSeq 6000	36223454	10728448436	
SRR39004916	SAMN60627199			IL2A	WGS	PAIRED	Illumina NovaSeq 6000	39919467	11816875140	
SRR39004917	SAMN60627198			IL1B	WGS	PAIRED	Illumina NovaSeq 6000	40414279	11906536824	
SRR39004799	SAMN60627296			SDT16C	WGS	PAIRED	Illumina NovaSeq 6000	39841718	11789772373	
SRR39004800	SAMN60627295			SDT16B	WGS	PAIRED	Illumina NovaSeq 6000	38929324	11495230916	
SRR39004802	SAMN60627293			SDT15C	WGS	PAIRED	Illumina NovaSeq 6000	38006339	11207643740	
SRR39004805	SAMN60627290			SDT14B	WGS	PAIRED	Illumina NovaSeq 6000	39296684	11459386536	
SRR39004822	SAMN60627275			SDT9B	WGS	PAIRED	Illumina NovaSeq 6000	38510879	11161011442	
SRR39004824	SAMN60627273			SDT8C	WGS	PAIRED	Illumina NovaSeq 6000	41043549	12091413877	
SRR39004826	SAMN60627271			SDT8A	WGS	PAIRED	Illumina NovaSeq 6000	32918569	9693947696	
SRR39004830	SAMN60627205			IL4A	WGS	PAIRED	Illumina NovaSeq 6000	33954729	9861753711	
SRR39004831	SAMN60627267			SDT6C	WGS	PAIRED	Illumina NovaSeq 6000	36520083	10802105902	
SRR39004840	SAMN60627258			SDT3C	WGS	PAIRED	Illumina NovaSeq 6000	40456593	12010717156	
SRR39004841	SAMN60627204			IL3C	WGS	PAIRED	Illumina NovaSeq 6000	38997412	11487248329	
SRR39004844	SAMN60627255			SDT2C	WGS	PAIRED	Illumina NovaSeq 6000	38335454	11307570923	
SRR39004851	SAMN60627248			IL20C	WGS	PAIRED	Illumina NovaSeq 6000	33435325	9883258004	
SRR39004852	SAMN60627203			IL3B	WGS	PAIRED	Illumina NovaSeq 6000	33704268	9984138125	
SRR39004853	SAMN60627247			IL20B	WGS	PAIRED	Illumina NovaSeq 6000	39442719	11655930088	
SRR39004855	SAMN60627245			IL19C	WGS	PAIRED	Illumina NovaSeq 6000	38842935	11439459205	
SRR39004858	SAMN60627242			IL18A	WGS	PAIRED	Illumina NovaSeq 6000	32610607	9636049859	
SRR39004859	SAMN60627241			IL16C	WGS	PAIRED	Illumina NovaSeq 6000	39476646	11656831393	
SRR39004865	SAMN60627236			IL14B	WGS	PAIRED	Illumina NovaSeq 6000	40778541	12116162104	
SRR39004875	SAMN60627227			IL11B	WGS	PAIRED	Illumina NovaSeq 6000	39686006	11702832841	
SRR39004878	SAMN60627224			IL10B	WGS	PAIRED	Illumina NovaSeq 6000	38171895	11280389068	
SRR39004810	SAMN60627286			SDT13A	WGS	PAIRED	Illumina NovaSeq 6000	40556298	11963408920	
SRR39004880	SAMN60627222			IL9C	WGS	PAIRED	Illumina NovaSeq 6000	40674250	12076599942	
SRR39004813	SAMN60627283			SDT12A	WGS	PAIRED	Illumina NovaSeq 6000	38786273	11058686849	
SRR39004814	SAMN60627282			SDT11C	WGS	PAIRED	Illumina NovaSeq 6000	37849606	11180749108	
SRR39004827	SAMN60627270			SDT7C	WGS	PAIRED	Illumina NovaSeq 6000	40232209	11922363130	
