score	acc	runs	subjects	per_subject	readlen	strategy	instrument	baseline	timepoints	title	reasons
85	PRJNA1188648	30	10	3.0	301	AMPLICON	Illumina MiSeq	True	12 months,6 months,baseline	Gut microbiota dynamics by cholecystectomy	
78	PRJEB39382	258	1	21.0	251	AMPLICON	Illumina MiSeq	False	101d,102d,104d,105d,106d,111d,112d,122d	Projection of gut microbiome pre and post bariatric surgery to predict surgery outcome	timepoints present but no clear baseline token
78	PRJEB88699	57	10	2.1	74	AMPLICON/WGS	Illumina MiSeq/Illumina NovaSeq 6000	False	3 months,6 months,9 months	Multi-Omics investigation of Bariatric Surgery Outcomes	reads ~74bp, too short for truncLen 150; timepoints present but no clear baseline token
78	PRJDB42455	243	2	11.0	246	AMPLICON	Illumina MiSeq	False	001w,002w,003w,004w,005w,006w,007w,015w	Longitudinal analysis of stomach microbiota of cultured kuruma shrimp (Penaeus japonicus) in commercial aquaculture farms	timepoints present but no clear baseline token
70	PRJEB34782	29	7	2.7	151	AMPLICON	Illumina MiSeq	False	pod0,pod10,pod12,pod13,pod16,pod17,pod18,pod3	Postoperative wound surveillance is a key principle of surgery, yet is not traditionally considered at anastomotic wound sites. Here we hypothesized that serial endoscopic examination of low anterior resection (LAR) anastomotic wounds can yield useful information regarding healing.	timepoints present but no clear baseline token
63	PRJNA1077395	133	133	1.0	301	AMPLICON	Illumina HiSeq 4000	False	v1,v2,v3,v4,v5,v6	Preoperative Vaginal Microbiome as a Predictor of Postoperative Urinary Tract Infection Following Pelvic Organ Prolapse Surgery	no repeat sampling detectable from metadata; timepoints present but no clear baseline token
60	PRJEB48942	163	1	163.0	149	AMPLICON	Illumina MiSeq	True	before	Integrated metagenomics and metabolomics analysis within bariatric surgery	reads ~149bp, too short for truncLen 150; subject/timepoint not encoded in sample titles
60	PRJNA1233226	128	0	0	301	AMPLICON	Illumina HiSeq 2000	False		The gut microbiome enhances breast cancer immunotherapy following bariatric surgery	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
60	PRJNA321731	64	0	0	301	AMPLICON	Illumina MiSeq	False		Bariatric surgery microbiome	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
60	PRJNA355361	70	0	0	251	AMPLICON	Illumina MiSeq	False		Bariatric surgery and microbiota	no repeat sampling detectable from metadata; subject/timepoint not encoded in sample titles
