Run,Alias,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA_CHECKLIST,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,sample_description,Sample Name,sample_name,SRA_accession,SRA Study,title
ERR1624539,02cdfbb0-1cde-11e6-9a08-68b599768938,WGS,500,10593500,PRJEB14082,SAMEA4008096,6687848,THE WELLCOME TRUST SANGER INSTITUTE,public,"sra,contigs,cram","ena,ncbi,s3,gs","ena,ncbi.public,gs.US,s3.us-east-1",ERC000011,2016-09-12,2018-11-16,ERX1694904,SC,2016-09-12T16:42:14Z,2016-05-25T12:31:16Z,public,Illumina MiSeq,16634274,PAIRED,RANDOM,GENOMIC,human gut metagenome,ILLUMINA,2016-09-30T00:00:00Z,Human faecal sample,SAMEA4008096,ERS1179206,ERS1179206,ERP015690,P10_Pre
ERR1624542,02e99a00-1cde-11e6-9a08-68b599768938,WGS,500,16692000,PRJEB14082,SAMEA4008099,10042895,THE WELLCOME TRUST SANGER INSTITUTE,public,"cram,contigs,sra","s3,ena,gs,ncbi","gs.US,ncbi.public,s3.us-east-1,ena",ERC000011,2016-09-12,2018-11-16,ERX1694907,SC,2016-09-12T16:42:14Z,2016-05-25T12:31:17Z,public,Illumina MiSeq,16634277,PAIRED,RANDOM,GENOMIC,human gut metagenome,ILLUMINA,2016-09-30T00:00:00Z,Human faecal sample,SAMEA4008099,ERS1179209,ERS1179209,ERP015690,P18_Pre
ERR1624545,02ffe120-1cde-11e6-9a08-68b599768938,WGS,500,8592500,PRJEB14082,SAMEA4008102,5385151,THE WELLCOME TRUST SANGER INSTITUTE,public,"sra,cram,contigs","ncbi,gs,ena,s3","ena,gs.US,s3.us-east-1,ncbi.public",ERC000011,2016-09-12,2018-11-16,ERX1694910,SC,2016-09-12T16:42:14Z,2016-05-25T12:31:19Z,public,Illumina MiSeq,16634280,PAIRED,RANDOM,GENOMIC,human gut metagenome,ILLUMINA,2016-09-30T00:00:00Z,Human faecal sample,SAMEA4008102,ERS1179212,ERS1179212,ERP015690,P24_Pre
ERR1624547,030fbfa0-1cde-11e6-9a08-68b599768938,WGS,500,9181500,PRJEB14082,SAMEA4008104,5634834,THE WELLCOME TRUST SANGER INSTITUTE,public,"contigs,sra,cram","ena,s3,gs,ncbi","ncbi.public,ena,gs.US,s3.us-east-1",ERC000011,2016-09-12,2018-11-16,ERX1694912,SC,2016-09-12T16:42:14Z,2016-05-25T12:31:20Z,public,Illumina MiSeq,16634282,PAIRED,RANDOM,GENOMIC,human gut metagenome,ILLUMINA,2016-09-30T00:00:00Z,Human faecal sample,SAMEA4008104,ERS1179214,ERS1179214,ERP015690,P26_Pre
ERR1624549,03208880-1cde-11e6-9a08-68b599768938,WGS,500,7965000,PRJEB14082,SAMEA4008106,5048509,THE WELLCOME TRUST SANGER INSTITUTE,public,"sra,contigs,cram","s3,gs,ncbi,ena","ena,ncbi.public,gs.US,s3.us-east-1",ERC000011,2016-09-12,2018-11-16,ERX1694914,SC,2016-09-12T16:42:14Z,2016-05-25T12:31:21Z,public,Illumina MiSeq,16634284,PAIRED,RANDOM,GENOMIC,human gut metagenome,ILLUMINA,2016-09-30T00:00:00Z,Human faecal sample,SAMEA4008106,ERS1179216,ERS1179216,ERP015690,P33_Pre
ERR1624550,03289ed0-1cde-11e6-9a08-68b599768938,WGS,500,11658000,PRJEB14082,SAMEA4008107,7418991,THE WELLCOME TRUST SANGER INSTITUTE,public,"contigs,sra,cram","gs,ena,s3,ncbi","ncbi.public,ena,gs.US,s3.us-east-1",ERC000011,2016-09-12,2018-11-16,ERX1694915,SC,2016-09-12T16:42:14Z,2016-05-25T12:31:21Z,public,Illumina MiSeq,16634285,PAIRED,RANDOM,GENOMIC,human gut metagenome,ILLUMINA,2016-09-30T00:00:00Z,Human faecal sample,SAMEA4008107,ERS1179217,ERS1179217,ERP015690,P34_Pre
ERR1624552,0338cb70-1cde-11e6-9a08-68b599768938,WGS,500,9990000,PRJEB14082,SAMEA4008109,6321273,THE WELLCOME TRUST SANGER INSTITUTE,public,"contigs,sra,cram","ena,s3,gs,ncbi","ena,ncbi.public,s3.us-east-1,gs.US",ERC000011,2016-09-12,2018-11-16,ERX1694917,SC,2016-09-12T16:42:13Z,2016-05-25T12:31:22Z,public,Illumina MiSeq,16634287,PAIRED,RANDOM,GENOMIC,human gut metagenome,ILLUMINA,2016-09-30T00:00:00Z,Human faecal sample,SAMEA4008109,ERS1179219,ERS1179219,ERP015690,P37_Pre
ERR1624553,033fd050-1cde-11e6-9a08-68b599768938,WGS,500,10139500,PRJEB14082,SAMEA4008110,6373530,THE WELLCOME TRUST SANGER INSTITUTE,public,"sra,contigs,cram","s3,gs,ncbi,ena","ena,ncbi.public,gs.US,s3.us-east-1",ERC000011,2016-09-12,2018-11-16,ERX1694918,SC,2016-09-12T16:42:14Z,2016-05-25T12:31:22Z,public,Illumina MiSeq,16634288,PAIRED,RANDOM,GENOMIC,human gut metagenome,ILLUMINA,2016-09-30T00:00:00Z,Human faecal sample,SAMEA4008110,ERS1179220,ERS1179220,ERP015690,P38_Pre
ERR1624554,03477170-1cde-11e6-9a08-68b599768938,WGS,500,7270000,PRJEB14082,SAMEA4008111,4668433,THE WELLCOME TRUST SANGER INSTITUTE,public,"contigs,cram,sra","ena,ncbi,s3,gs","ena,ncbi.public,gs.US,s3.us-east-1",ERC000011,2016-09-12,2018-11-16,ERX1694919,SC,2016-09-12T16:42:14Z,2016-05-25T12:31:23Z,public,Illumina MiSeq,16634289,PAIRED,RANDOM,GENOMIC,human gut metagenome,ILLUMINA,2016-09-30T00:00:00Z,Human faecal sample,SAMEA4008111,ERS1179221,ERS1179221,ERP015690,P40_Pre
ERR1624555,034e9d60-1cde-11e6-9a08-68b599768938,WGS,500,8144000,PRJEB14082,SAMEA4008112,5206797,THE WELLCOME TRUST SANGER INSTITUTE,public,"contigs,cram,sra","ena,gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public,ena",ERC000011,2016-09-12,2018-11-16,ERX1694920,SC,2016-09-12T16:42:14Z,2016-05-25T12:31:23Z,public,Illumina MiSeq,16634290,PAIRED,RANDOM,GENOMIC,human gut metagenome,ILLUMINA,2016-09-30T00:00:00Z,Human faecal sample,SAMEA4008112,ERS1179222,ERS1179222,ERP015690,P2_Post
ERR1624556,0355f060-1cde-11e6-9a08-68b599768938,WGS,500,13225000,PRJEB14082,SAMEA4008113,8204220,THE WELLCOME TRUST SANGER INSTITUTE,public,"sra,cram,contigs","s3,ena,gs,ncbi","gs.US,s3.us-east-1,ncbi.public,ena",ERC000011,2016-09-12,2018-11-16,ERX1694921,SC,2016-09-12T16:42:14Z,2016-05-25T12:31:24Z,public,Illumina MiSeq,16634291,PAIRED,RANDOM,GENOMIC,human gut metagenome,ILLUMINA,2016-09-30T00:00:00Z,Human faecal sample,SAMEA4008113,ERS1179223,ERS1179223,ERP015690,P3_Post
ERR1624559,036bc250-1cde-11e6-9a08-68b599768938,WGS,500,10149000,PRJEB14082,SAMEA4008116,6407488,THE WELLCOME TRUST SANGER INSTITUTE,public,"contigs,sra,cram","ena,s3,gs,ncbi","ncbi.public,ena,gs.US,s3.us-east-1",ERC000011,2016-09-12,2018-11-16,ERX1694924,SC,2016-09-12T16:42:14Z,2016-05-25T12:31:25Z,public,Illumina MiSeq,16634294,PAIRED,RANDOM,GENOMIC,human gut metagenome,ILLUMINA,2016-09-30T00:00:00Z,Human faecal sample,SAMEA4008116,ERS1179226,ERS1179226,ERP015690,P16_Post
ERR1624560,03731550-1cde-11e6-9a08-68b599768938,WGS,500,8820000,PRJEB14082,SAMEA4008117,5515838,THE WELLCOME TRUST SANGER INSTITUTE,public,"sra,contigs,cram","gs,ncbi,s3,ena","ena,ncbi.public,gs.US,s3.us-east-1",ERC000011,2016-09-12,2018-11-16,ERX1694925,SC,2016-09-12T16:42:14Z,2016-05-25T12:31:25Z,public,Illumina MiSeq,16634295,PAIRED,RANDOM,GENOMIC,human gut metagenome,ILLUMINA,2016-09-30T00:00:00Z,Human faecal sample,SAMEA4008117,ERS1179227,ERS1179227,ERP015690,P17_Post
ERR1624562,03831ae0-1cde-11e6-9a08-68b599768938,WGS,500,10102500,PRJEB14082,SAMEA4008119,6134509,THE WELLCOME TRUST SANGER INSTITUTE,public,"contigs,cram,sra","ena,gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US,ena",ERC000011,2016-09-12,2018-11-16,ERX1694927,SC,2016-09-12T16:42:14Z,2016-05-25T12:31:26Z,public,Illumina MiSeq,16634297,PAIRED,RANDOM,GENOMIC,human gut metagenome,ILLUMINA,2016-09-30T00:00:00Z,Human faecal sample,SAMEA4008119,ERS1179229,ERS1179229,ERP015690,P19_Post
ERR1624564,03940ad0-1cde-11e6-9a08-68b599768938,WGS,500,12322500,PRJEB14082,SAMEA4008121,7643566,THE WELLCOME TRUST SANGER INSTITUTE,public,"contigs,cram,sra","ena,gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public,ena",ERC000011,2016-09-12,2018-11-16,ERX1694929,SC,2016-09-12T16:42:14Z,2016-05-25T12:31:27Z,public,Illumina MiSeq,16634299,PAIRED,RANDOM,GENOMIC,human gut metagenome,ILLUMINA,2016-09-30T00:00:00Z,Human faecal sample,SAMEA4008121,ERS1179231,ERS1179231,ERP015690,P24_Post
ERR1624565,039c9650-1cde-11e6-9a08-68b599768938,WGS,500,12360500,PRJEB14082,SAMEA4008122,7740507,THE WELLCOME TRUST SANGER INSTITUTE,public,"sra,contigs,cram","ena,s3,gs,ncbi","ena,ncbi.public,gs.US,s3.us-east-1",ERC000011,2016-09-12,2018-11-16,ERX1694930,SC,2016-09-12T16:42:14Z,2016-05-25T12:31:28Z,public,Illumina MiSeq,16634300,PAIRED,RANDOM,GENOMIC,human gut metagenome,ILLUMINA,2016-09-30T00:00:00Z,Human faecal sample,SAMEA4008122,ERS1179232,ERS1179232,ERP015690,P25_Post
ERR1624567,03abffa0-1cde-11e6-9a08-68b599768938,WGS,500,8877500,PRJEB14082,SAMEA4008124,5496869,THE WELLCOME TRUST SANGER INSTITUTE,public,"cram,contigs,sra","s3,ena,gs,ncbi","ncbi.public,ena,gs.US,s3.us-east-1",ERC000011,2016-09-12,2018-11-16,ERX1694932,SC,2016-09-12T16:42:14Z,2016-05-25T12:31:28Z,public,Illumina MiSeq,16634302,PAIRED,RANDOM,GENOMIC,human gut metagenome,ILLUMINA,2016-09-30T00:00:00Z,Human faecal sample,SAMEA4008124,ERS1179234,ERS1179234,ERP015690,P28_Post
ERR1624570,03c37f40-1cde-11e6-9a08-68b599768938,WGS,500,7211500,PRJEB14082,SAMEA4008127,4497951,THE WELLCOME TRUST SANGER INSTITUTE,public,"contigs,sra,cram","s3,ena,gs,ncbi","ncbi.public,ena,gs.US,s3.us-east-1",ERC000011,2016-09-12,2018-11-16,ERX1694935,SC,2016-09-12T16:42:14Z,2016-05-25T12:31:30Z,public,Illumina MiSeq,16634305,PAIRED,RANDOM,GENOMIC,human gut metagenome,ILLUMINA,2016-09-30T00:00:00Z,Human faecal sample,SAMEA4008127,ERS1179237,ERS1179237,ERP015690,P35_Post
ERR1624574,03e07d20-1cde-11e6-9a08-68b599768938,WGS,500,10408500,PRJEB14082,SAMEA4008131,6464804,THE WELLCOME TRUST SANGER INSTITUTE,public,"cram,contigs,sra","s3,ena,gs,ncbi","ncbi.public,gs.US,s3.us-east-1,ena",ERC000011,2016-09-12,2018-11-16,ERX1694939,SC,2016-09-12T16:42:14Z,2016-05-25T12:31:32Z,public,Illumina MiSeq,16634309,PAIRED,RANDOM,GENOMIC,human gut metagenome,ILLUMINA,2016-09-30T00:00:00Z,Human faecal sample,SAMEA4008131,ERS1179241,ERS1179241,ERP015690,C42
ERR1624576,03eefc10-1cde-11e6-9a08-68b599768938,WGS,500,7595000,PRJEB14082,SAMEA4008133,4859855,THE WELLCOME TRUST SANGER INSTITUTE,public,"sra,contigs,cram","ena,s3,gs,ncbi","ena,ncbi.public,gs.US,s3.us-east-1",ERC000011,2016-09-12,2018-11-16,ERX1694941,SC,2016-09-12T16:42:14Z,2016-05-25T12:31:33Z,public,Illumina MiSeq,16634311,PAIRED,RANDOM,GENOMIC,human gut metagenome,ILLUMINA,2016-09-30T00:00:00Z,Human faecal sample,SAMEA4008133,ERS1179243,ERS1179243,ERP015690,C49
