reads.in	reads.out
SRR5865065	261281	235045
SRR5865066	208265	186698
SRR5865067	221268	194310
SRR5865068	193711	176819
SRR5865069	343658	292070
SRR5865070	189002	168315
SRR5865071	260885	237098
SRR5865072	174018	152565
SRR5865073	158067	138458
SRR5865074	383055	318320
SRR5865075	253538	241227
SRR5865076	148890	119790
SRR5865077	224869	209259
SRR5865078	199938	180277
SRR5865079	302989	273759
SRR5865080	222649	198557
SRR5865081	134918	115002
SRR5865082	310216	282696
SRR5865083	299169	280018
SRR5865084	245415	225538
SRR5865085	144767	126377
SRR5865086	142971	119370
SRR5865087	589855	539490
SRR5865088	338147	302222
SRR5865089	153619	133042
SRR5865090	176233	152982
SRR5865091	127175	110581
SRR5865092	487569	403581
SRR5865093	1005961	841640
SRR5865094	166387	133198
SRR5865095	164733	147603
SRR5865096	239958	199901
SRR5865097	198679	168271
SRR5865098	187003	157077
SRR5865099	150064	128318
SRR5865100	153027	133019
SRR5865101	253325	230173
SRR5865102	185827	159466
SRR5865103	225353	179344
SRR5865104	204071	170062
SRR5865105	162180	133747
SRR5865106	321258	271946
SRR5865107	334799	304906
SRR5865108	279717	214478
SRR5865109	175165	139227
SRR5865110	299897	273911
SRR5865111	209910	185199
SRR5865112	257226	219088
SRR5865113	262437	238005
SRR5865114	226094	202249
SRR5865115	376011	339853
SRR5865116	240291	205010
SRR5865117	325244	303048
SRR5865118	229241	200164
SRR5865119	115336	99322
SRR5865120	143893	125771
SRR5865121	146075	122708
SRR5865122	148551	127112
SRR5865123	126267	107957
SRR5865124	135108	117420
SRR5865125	383112	321642
SRR5865126	186841	153350
SRR5865127	150513	128249
SRR5865128	202990	167962
SRR5865129	167342	148227
SRR5865130	171739	150437
SRR5865131	139159	118492
SRR5865132	182342	155840
SRR5865133	184631	156180
SRR5865134	112229	97670
SRR5865135	164777	146894
