reads.in	reads.out
SRR11292124	67775	66555
SRR11292125	60100	59133
SRR11292126	52818	52135
SRR11292127	27006	26526
SRR11292128	55376	54635
SRR11292129	55855	54856
SRR11292130	49138	48221
SRR11292131	69762	68001
SRR11292132	35842	35394
SRR11292133	40754	39836
SRR11292134	52185	51417
SRR11292135	84912	82893
SRR11292136	86329	84755
SRR11292137	87167	85849
SRR11292138	46800	46087
SRR11292139	56168	55165
SRR11292140	76040	74694
SRR11292141	20070	19831
SRR11292142	41696	41216
SRR11292143	110846	108828
SRR11292144	48587	47820
SRR11292145	57705	56989
SRR11292146	53186	52075
SRR11292147	59778	59094
SRR11292148	70093	69157
SRR11292149	102791	100616
SRR11292150	47957	47478
SRR11292151	59090	58129
SRR11292152	53546	52527
SRR11292153	41879	40882
SRR11292154	53372	52896
SRR11292155	96888	95481
SRR11292156	99191	96185
SRR11292157	69914	68773
SRR11292158	54879	54207
SRR11292159	39903	39296
SRR11292160	92055	90634
SRR11292161	75454	74462
SRR11292162	75575	74766
SRR11292163	105054	103321
SRR11292164	87762	86798
SRR11292165	100706	99468
SRR11292166	55183	54158
SRR11292167	129943	127133
SRR11292168	42805	42305
SRR11292169	52740	51603
SRR11292170	50443	49646
SRR11292171	55192	54446
SRR11292172	97838	95847
SRR11292173	47725	46733
SRR11292174	55700	55020
SRR11292175	83193	82131
SRR11292176	95070	93660
SRR11292177	64078	62485
SRR11292178	76614	75855
SRR11292179	99962	98674
SRR11292180	93289	91735
SRR11292181	20509	19272
SRR11292182	8374	7987
SRR11292183	86140	84523
SRR11292184	89653	88136
SRR11292185	33696	33288
SRR11292186	168824	164996
SRR11292187	55286	54181
SRR11292188	69853	68528
SRR11292189	74797	73609
SRR11292190	87575	85496
SRR11292191	75426	74388
SRR11292192	73023	72177
SRR11292193	55718	54686
SRR11292194	57869	56774
SRR11292195	68029	67124
SRR11292196	57949	56634
SRR11292197	66191	65642
SRR11292198	91944	90785
SRR11292199	139942	137797
SRR11292201	72171	71370
SRR11292202	49395	48944
SRR11292203	122913	121305
SRR11292204	24390	24076
SRR11292205	48838	48258
SRR11292206	91564	90313
