reads.in	reads.out
SAMPLE-1	34147	33229
SAMPLE-10	23609	22525
SAMPLE-11	44568	43163
SAMPLE-12	19589	12346
SAMPLE-13	21541	20644
SAMPLE-14	9978	9036
SAMPLE-15	39342	38024
SAMPLE-16	41214	39734
SAMPLE-17	59227	56791
SAMPLE-18	30722	29667
SAMPLE-19	39040	37501
SAMPLE-2	42052	40703
SAMPLE-20	53739	51578
SAMPLE-21	26472	25914
SAMPLE-22	44236	42819
SAMPLE-23	32105	30686
SAMPLE-24	39892	38884
SAMPLE-25	47172	44723
SAMPLE-26	37329	35926
SAMPLE-27	3825	3622
SAMPLE-28	32451	29551
SAMPLE-29	27395	25641
SAMPLE-3	27345	26158
SAMPLE-30	17499	16765
SAMPLE-31	56918	55061
SAMPLE-32	34924	33774
SAMPLE-33	40722	39533
SAMPLE-34	14306	11154
SAMPLE-35	37003	35738
SAMPLE-36	34364	33448
SAMPLE-37	36149	34289
SAMPLE-38	33332	32049
SAMPLE-39	36539	35118
SAMPLE-4	33862	32635
SAMPLE-40	17148	16550
SAMPLE-41	52869	51273
SAMPLE-42	37944	36336
SAMPLE-43	28821	27987
SAMPLE-44	51521	49535
SAMPLE-45	33968	32665
SAMPLE-46	40521	39052
SAMPLE-47	56356	54740
SAMPLE-48	44935	43111
SAMPLE-49	44910	43528
SAMPLE-5	37342	35688
SAMPLE-50	73360	70960
SAMPLE-51	59060	57242
SAMPLE-52	29589	28591
SAMPLE-53	36833	35599
SAMPLE-54	53038	51373
SAMPLE-55	18753	17938
SAMPLE-56	63144	60873
SAMPLE-57	39811	38598
SAMPLE-58	46393	44760
SAMPLE-59	27595	26751
SAMPLE-6	52074	50210
SAMPLE-60	41208	40136
SAMPLE-61	49958	48138
SAMPLE-7	38305	36861
SAMPLE-8	37535	36292
SAMPLE-9	36540	35310
