Acidaminococcaceae	Actinomycetaceae	Aeromonadaceae	Akkermansiaceae	Anaeroplasmataceae	Atopobiaceae	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Burkholderiaceae	Campylobacteraceae	Carnobacteriaceae	Christensenellaceae	Clostridiaceae_1	Clostridiales_vadinBB60_group	Coriobacteriaceae	Coriobacteriales_Incertae_Sedis	Corynebacteriaceae	Defluviitaleaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Family_XI	Family_XIII	Fusobacteriaceae	Lachnospiraceae	Lactobacillaceae	Leuconostocaceae	Marinifilaceae	Micrococcaceae	Muribaculaceae	Pasteurellaceae	Peptococcaceae	Peptostreptococcaceae	Porphyromonadaceae	Prevotellaceae	Pseudomonadaceae	Rikenellaceae	Ruminococcaceae	Saccharimonadaceae	Staphylococcaceae	Streptococcaceae	Succinivibrionaceae	Tannerellaceae	Veillonellaceae	others	Alias	Assay.Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center.Name	Consent	DATASTORE.filetype	DATASTORE.provider	DATASTORE.region	ENA_CHECKLIST	ENA.FIRST.PUBLIC..run.	ENA.LAST.UPDATE..run.	Experiment	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	Instrument	Library.Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	sample_description	Sample.Name	sample_name	SRA_accession	SRA.Study	title	time	ID	prepost
ERR1624539	1.67303583982236	1.30194047865634	0	0	0	0	2.6981857707944	1.04226400005257	3.03478315870476	0	0.477760389847373	0	2.77254421140738	3.10986073300648	0	3.1145667644412	1.71694328406573	1.20501849799311	0	1.34333751560741	2.56680356763959	1.83979356700928	0	2.85221535073144	0	0.845919612549823	1.86426809662552	0	3.71612552371421	0	0	0.845919612549823	0	0	0	0	2.96474513712312	0	1.64438926958154	0	2.28198670552533	3.59224537003977	0	0	2.35120209499597	0	1.9551902230278	1.23135095664828	2.44343466343219	02cdfbb0-1cde-11e6-9a08-68b599768938	WGS	500	10593500	PRJEB14082	SAMEA4008096	6687848	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,contigs,cram	ena,ncbi,s3,gs	ena,ncbi.public,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694904	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:16Z	public	Illumina MiSeq	16634274	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008096	ERS1179206	ERS1179206	ERP015690	P10_Pre	Pre	P10	0
ERR1624542	1.14954112634684	0	0	0	0	0	2.93855877589998	1.48850131455791	2.63892126077259	0.445260024433476	0	0.529394383768837	2.37363336915719	0.997340461648764	0	2.80647357838909	1.78667281054797	0	0	0.878247647291468	1.80327026688188	2.47127016696394	0	3.07767290001423	0	0	1.89139784390659	0	3.58942135013912	0.842565516338081	0	0.340812784448675	0	0	0	0	1.55822681272522	0	1.09070477316642	0	1.63659846406112	3.33792547598452	0	0	3.83926657175514	0	1.3845553217142	0	1.0691772513763	02e99a00-1cde-11e6-9a08-68b599768938	WGS	500	16692000	PRJEB14082	SAMEA4008099	10042895	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,contigs,sra	s3,ena,gs,ncbi	gs.US,ncbi.public,s3.us-east-1,ena	ERC000011	9/12/16	11/16/18	ERX1694907	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:17Z	public	Illumina MiSeq	16634277	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008099	ERS1179209	ERS1179209	ERP015690	P18_Pre	Pre	P18	0
ERR1624545	0	0	0	0	0	0	1.52046659098156	0	1.11082290295842	0.760631391021691	0	1.11082290295842	0	0	0	0.91084614137445	0	0	0	0	0.66011368206063	4.17350257085743	2.80321073187078	0.842201224978337	0	0	0	0	0.91084614137445	1.69738983371918	1.93216514403868	0	0	0	0	0	0	0	0	0	0	1.48808968481998	0	0	3.08941203963361	0	0.760631391021691	0	0	02ffe120-1cde-11e6-9a08-68b599768938	WGS	500	8592500	PRJEB14082	SAMEA4008102	5385151	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,cram,contigs	ncbi,gs,ena,s3	ena,gs.US,s3.us-east-1,ncbi.public	ERC000011	9/12/16	11/16/18	ERX1694910	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:19Z	public	Illumina MiSeq	16634280	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008102	ERS1179212	ERS1179212	ERP015690	P24_Pre	Pre	P24	0
ERR1624547	2.35944265273063	1.65978937880633	0	0	0	0	2.74404139250505	1.21109004912633	2.89527957544398	1.0755172013899	0	0	1.97147563827798	2.01474029774255	0	2.54782841921455	1.46742872654196	0	0	0.630402993851102	2.35944265273063	1.18095523223349	0	3.29288782577178	0	0	1.37818501941756	0	3.61476141819672	0	0.5024048469669	0	0	0	1.37818501941756	0	2.89947616791886	0	0	0	1.31425774629649	3.49707555174084	0	0	3.64193513390844	0	1.84301378651831	1.46742872654196	0.877343164698345	030fbfa0-1cde-11e6-9a08-68b599768938	WGS	500	9181500	PRJEB14082	SAMEA4008104	5634834	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,sra,cram	ena,s3,gs,ncbi	ncbi.public,ena,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694912	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:20Z	public	Illumina MiSeq	16634282	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008104	ERS1179214	ERS1179214	ERP015690	P26_Pre	Pre	P26	0
ERR1624549	1.47605509487031	0.948854362318623	0	0	0	0	3.14202622429313	0	2.36625769009064	0.796529458579098	0	0.559867931758836	2.72821117204482	0	0	2.55624321076537	1.31644370982823	0	0	0.559867931758836	2.720672280096	2.94737792483591	0	2.98619870967147	0	0	1.99254483292585	0	3.86236333959232	0	0	1.10834662779027	0	1.69591065538727	0	0	0	0	1.3921179079968	0	2.3711440280754	3.51223000571616	0	0	2.58240782775837	0	2.81414431114261	0	1.94984926748334	03208880-1cde-11e6-9a08-68b599768938	WGS	500	7965000	PRJEB14082	SAMEA4008106	5048509	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,contigs,cram	s3,gs,ncbi,ena	ena,ncbi.public,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694914	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:21Z	public	Illumina MiSeq	16634284	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008106	ERS1179216	ERS1179216	ERP015690	P33_Pre	Pre	P33	0
ERR1624550	2.56349570127229	0	0	0	0	0	3.40261575077572	1.51406563242665	2.42732860707315	1.36151429637508	0	0	1.94916926720736	2.07180784412011	0	2.15681175666146	0.560939478599347	0.440766733970401	0	1.99786388237331	1.98223122802774	3.88756281526768	0	2.59567017570529	0	0.991025612923457	1.26930170125911	2.3806398759027	3.4118877930797	1.06275390228706	0	1.37782042503888	0	0	1.02836891249396	0	2.63634539524443	0	0	0	1.93609197092526	3.18955907404713	0	0	1.59879161330276	0	2.17249791317004	1.26930170125911	0	03289ed0-1cde-11e6-9a08-68b599768938	WGS	500	11658000	PRJEB14082	SAMEA4008107	7418991	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,sra,cram	gs,ena,s3,ncbi	ncbi.public,ena,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694915	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:21Z	public	Illumina MiSeq	16634285	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008107	ERS1179217	ERS1179217	ERP015690	P34_Pre	Pre	P34	0
ERR1624552	0	1.54770468238437	0	0	0	0	2.51081017172526	0	2.40757658822195	1.09452130895668	0	0.917744404160239	1.60735224207985	1.89155077986934	0	2.76331293925277	0	0	0	0.969125595483236	2.32838201407008	3.40869454099793	0.792118937630832	3.36694881645543	0	0.712387524729261	1.35838512009977	0	3.58101455563039	3.61032224548511	0	0	1.05660816569254	0	0.969125595483236	0	0	0	0	0	1.69760774352991	3.26147054804324	0	1.69760774352991	2.83093057124308	0	1.61835814335573	1.1917052774567	0	0338cb70-1cde-11e6-9a08-68b599768938	WGS	500	9990000	PRJEB14082	SAMEA4008109	6321273	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,sra,cram	ena,s3,gs,ncbi	ena,ncbi.public,s3.us-east-1,gs.US	ERC000011	9/12/16	11/16/18	ERX1694917	SC	2016-09-12T16:42:13Z	2016-05-25T12:31:22Z	public	Illumina MiSeq	16634287	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008109	ERS1179219	ERS1179219	ERP015690	P37_Pre	Pre	P37	0
ERR1624553	2.54384612182383	0.610429552548637	0	1.05151706012712	0	0	3.25810843157601	1.21455697245233	2.91093062144188	1.81029013728858	0	0	2.80629094019718	1.48787896180216	0	1.96039053937352	1.48787896180216	0	0	2.34753307074161	2.01533657194554	0.48456879018552	0	2.1694101680191	0	0	1.60190685943353	0	3.72047658253644	0	0	1.1864824127567	0	3.15099507919904	0.610429552548637	0	2.01533657194554	0	0.854650193842665	0	3.28039743322634	3.55766349472908	0	0	1.68298807200394	0	2.10794609389472	0	2.24150826382276	033fd050-1cde-11e6-9a08-68b599768938	WGS	500	10139500	PRJEB14082	SAMEA4008110	6373530	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,contigs,cram	s3,gs,ncbi,ena	ena,ncbi.public,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694918	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:22Z	public	Illumina MiSeq	16634288	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008110	ERS1179220	ERS1179220	ERP015690	P38_Pre	Pre	P38	0
ERR1624554	1.89300329004269	0	0	1.44947956462823	0	0	3.26952828409491	0	1.52976237694734	0.981080180260085	0	0	2.42382890982692	0	0.981080180260085	3.02641511414512	2.06723850856535	0	0	0.981080180260085	2.31548541387977	2.01053546972205	0	3.10523611733788	0.910878116744639	0	2.10294014993849	0	3.83514435390494	0	0	0	0	0	0	0	0.910878116744639	0	1.0414976694753	0	2.43078891317182	3.49141709307268	0	0	3.00792408672733	2.03981175148993	1.37772907256721	2.40225353342488	2.34730553479168	03477170-1cde-11e6-9a08-68b599768938	WGS	500	7270000	PRJEB14082	SAMEA4008111	4668433	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,cram,sra	ena,ncbi,s3,gs	ena,ncbi.public,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694919	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:23Z	public	Illumina MiSeq	16634289	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008111	ERS1179221	ERS1179221	ERP015690	P40_Pre	Pre	P40	0
ERR1624555	2.53841678472753	1.38267229850993	0	0	0	0	2.99707782155462	0	3.40542014666282	0.999890746066097	0	0	1.24820910403621	0.940124332332312	0	3.32618525713286	0	0	0	1.18009444798846	2.14556412494523	1.74024350202152	0	2.37331658408055	1.27863859605046	0	2.36375960757294	0	3.83458990951815	0	0	0.999890746066097	0	0	0	0	2.21886473428238	0	0.999890746066097	0	2.28447108770529	3.35076324983981	0	0	2.75027700256108	0	1.89985688517586	2.27271504784529	0.870800252269281	034e9d60-1cde-11e6-9a08-68b599768938	WGS	500	8144000	PRJEB14082	SAMEA4008112	5206797	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,cram,sra	ena,gs,ncbi,s3	gs.US,s3.us-east-1,ncbi.public,ena	ERC000011	9/12/16	11/16/18	ERX1694920	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:23Z	public	Illumina MiSeq	16634290	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008112	ERS1179222	ERS1179222	ERP015690	P2_Post	Post	P2	1
ERR1624556	1.90565430044208	1.6342186742368	0	0.98094369171473	0	0.903762118311666	2.63925555806458	1.48583313441957	1.84239452261965	1.1987652602713	0	0.903762118311666	2.67786622822171	1.94579003370733	0.407953006287245	2.54414400953826	0.753960289623711	0	0	1.83750285519524	1.88850042287897	2.90119492254416	1.37282883776134	2.66194783436599	0	1.04645648550872	1.60998777060693	0	3.52763816851271	0.809834455809297	0	1.57542182221104	0.753960289623711	0	0	0	2.09921338032184	0	1.40060343421594	0	3.1743099175405	3.60756708973247	0	0	3.6570152045633	0	1.80693604862545	1.38693813304677	2.3282369155068	0355f060-1cde-11e6-9a08-68b599768938	WGS	500	13225000	PRJEB14082	SAMEA4008113	8204220	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,cram,contigs	s3,ena,gs,ncbi	gs.US,s3.us-east-1,ncbi.public,ena	ERC000011	9/12/16	11/16/18	ERX1694921	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:24Z	public	Illumina MiSeq	16634291	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008113	ERS1179223	ERS1179223	ERP015690	P3_Post	Post	P3	1
