bugName	pval	p3M	p1Y	p2Y	s3M	s1Y	s2Y	Adjustedpval	Adjustedp3M	Adjustedp1Y	Adjustedp2Y
Veillonella	3.56130014367295e-10	9.7996286135564e-11	2.72921291033433e-07	2.21909105570405e-06	1.18147214499853	0.955110830187423	1.06063170336127	7.05137428447244e-08	1.94032646548417e-08	5.40384156246197e-05	0.000439380029029401
Atopobium	3.37864025889978e-06	2.43304812064857e-07	0.189915484621955	0.117580610435357	0.836706848502312	0.200985191620305	0.296480831585974	0.000334485385631078	2.40871763944208e-05	0.490505526252181	0.430331468222362
Neisseria	3.47371391776763e-05	1.79769138362527e-05	0.0101565469881382	0.00015610696887659	0.80522684037009	0.501867896261462	0.959337906982096	0.00229265118572664	0.000845396410751633	0.124419838371074	0.0154545899187824
Gemella	9.14695824513201e-05	1.08895904370872e-05	0.0961768963240388	0.00480659121297167	0.838675344153266	0.318323888154359	0.686694054013853	0.00452774433134034	0.000718712968847757	0.33408816617824	0.0634470040112261
Streptococcus	0.00014265286220605	2.13483942108998e-05	0.00751174993524898	0.00350797914585435	0.821710988301577	0.540208921841586	0.734026809952735	0.00564905334335957	0.000845396410751633	0.115725451042373	0.0578816559065968
Escherichia/Shigella	0.000278056690221073	5.52311411280246e-05	0.0334327505349607	0.00226541192032156	0.920613727794015	0.500206789031425	0.90488721494527	0.00885880890850837	0.00156225227762127	0.218431947009183	0.0560689450279587
Peptostreptococcus	0.000313190213937165	2.65779971794651e-05	0.252732236549711	0.378312924377393	0.594753179995873	0.16330011554811	0.154515927007551	0.00885880890850837	0.000877073906922348	0.504196166952345	0.657069816023892
Haemophilus	0.000683408584397638	0.00113898010084167	0.00907630680706911	0.000423854261472862	0.72005448080885	0.639964163239307	1.11367758743929	0.0169143624638415	0.0173475430743577	0.119807249853312	0.0209807859429067
Oribacterium	0.000980424715016692	0.000125725245639563	0.236400526444785	0.0200816842438818	0.799679925741593	0.253348367812664	0.627374181213512	0.0215693437303672	0.00311169982957918	0.503880767366869	0.189341594299457
Anaerostipes	0.00200995089076494	0.00873526462814949	0.00118791290018818	0.00295043036966565	-0.413677787403249	-0.596666184565737	-0.671453740163271	0.0315904156733845	0.0508700704815764	0.058801688559315	0.0578816559065968
Faecalitalea	0.00207141797211885	0.00230974949875015	0.00181162614193473	0.00770745627179841	-0.35010538206047	-0.402794394730144	-0.414786809110173	0.0315904156733845	0.024301063173741	0.0717403952206154	0.0897691965774167
Lachnoanaerobaculum	0.00212423263123629	0.000194844798191501	0.263759531961482	0.0859574004368157	0.442971022223363	0.136442246360014	0.259324300825009	0.0315904156733845	0.00428658556021303	0.504196166952345	0.381242164819099
Leptotrichia	0.002202897054568	0.000909802255870601	0.0601099883025242	0.00283872379848559	0.644613601789213	0.388581513525667	0.782657877734213	0.0315904156733845	0.0150117372218649	0.264483948531107	0.0578816559065968
Actinobacillus	0.00223366575468376	0.0146204480998137	0.988885879760869	0.00112807301289612	0.462332375785276	0.00283007669769498	0.866751771798138	0.0315904156733845	0.0782391546963002	0.995347130448092	0.0446716913106862
Lautropia	0.00253570818192184	0.000382915821034738	0.732398647318887	0.50776129508441	0.287240092824362	0.028315559004268	0.0668809735028016	0.0322186321798836	0.0075817332564878	0.895153902278639	0.739240709019951
Elusimicrobium	0.0026753780538904	0.930156984856145	0.000525528951952932	0.27214389011159	0.0182659800703143	0.880378772315052	0.319520668275321	0.0322186321798836	0.973176164045788	0.0444017054059905	0.627698653156204
Anaeroglobus	0.00276624619726273	0.0024839493986803	0.225805489828513	0.00171359269166879	0.465586240710562	0.197925005122965	0.662562183648522	0.0322186321798836	0.024301063173741	0.503880767366869	0.0484701932786314
Granulicatella	0.00309648109882321	0.0072924027436938	0.911876485648282	0.00397353146284579	0.646567782585152	-0.0283036464141963	0.94667706069347	0.0340612920870553	0.0465772820403669	0.986620459881748	0.0593354227797733
Selenomonas_3	0.00339127103625192	0.000509661123147385	0.526667056140632	0.0651744890253729	0.395166884501645	0.0747663974452388	0.273024025564748	0.0353406139567305	0.00917390021665292	0.762216850373808	0.345362812451405
Proteus	0.00427781006200012	0.33301874976866	0.163533736641208	0.000367736838955376	0.109942766577644	0.178706219642388	0.603203820525266	0.0423503196138012	0.616240303310231	0.462139482371383	0.0209807859429067
Romboutsia	0.00491287489456926	0.0277232827435989	0.000672753112211978	0.0451994051191336	-0.592594995679207	-1.07657962283832	-0.742073119866963	0.0463213918630816	0.120715907773649	0.0444017054059905	0.315652282816594
Blautia	0.00654452591826349	0.0566685110521079	0.00376648369786543	0.00419543393392336	-0.206545406057956	-0.367765842988745	-0.449816889426438	0.0589007332643714	0.196848512075743	0.106537681739622	0.0593354227797733
Fusobacterium	0.00692833505104051	0.00776028285036609	0.00825265752648219	0.00635014138942472	0.677964287470327	0.76273604444701	0.979572449161238	0.0596439278306966	0.0480167501366402	0.116716156445962	0.0785829996941309
Butyricimonas	0.00733350817648937	0.00272191390238714	0.00526172481875909	0.0498705335584026	0.750271027358002	0.787952281632226	0.669146766870741	0.0600834878904726	0.0244972251214843	0.115725451042373	0.315652282816594
Mogibacterium	0.00758629897606977	0.00210135771570244	0.00688711788273087	0.0663622073857223	0.687383231107274	0.677532373257111	0.556528990039062	0.0600834878904726	0.024301063173741	0.115725451042373	0.345362812451405
Pyramidobacter	0.00840005301625357	0.31379120052064	0.0106825113752942	0.00328917366134689	0.171713815440925	0.506749512497964	0.727779498586666	0.0639696345083926	0.597410170221988	0.124419838371074	0.0578816559065968
Succinivibrio	0.00971722190209201	0.0273702499417064	0.248389641011118	0.00170095263376993	-0.593148444704989	-0.346750051864092	-1.23924633697237	0.0692143282355289	0.120715907773649	0.504196166952345	0.0484701932786314
Syntrophococcus	0.0104036501523294	0.101140031846217	0.0378793961776155	0.741000267005624	-0.386114347149414	0.563733860339152	-0.108425189653653	0.0692143282355289	0.29660213649216	0.218431947009183	0.885433254137419
Agathobacter	0.0104606441569667	0.0015603821593268	0.0271438234287179	0.0849951320012119	-0.464998896202742	-0.351227822719766	-0.331321622100906	0.0692143282355289	0.022068261967622	0.218431947009183	0.381242164819099
Aggregatibacter	0.0104870194296256	0.00193519722066007	0.8046953598364	0.164012873704788	0.469873446408021	0.0395683554019184	0.277579713767363	0.0692143282355289	0.024301063173741	0.948390959807186	0.492038621114365
Akkermansia	0.011970685696471	0.0025308039127557	0.0177131749372671	0.0614280695563014	0.866265463536117	0.751502252664736	0.722678201883588	0.0758750374782518	0.024301063173741	0.175360431878945	0.345362812451405
Hungatella	0.0122626323197175	0.00802714802693149	0.836802638578708	0.418216250255606	0.670172488303632	-0.0563302806210055	-0.275127905095231	0.0758750374782518	0.0481628881615889	0.952223692175771	0.678744406152541
Catenibacterium	0.0127667310700527	0.802245604569058	0.00311387634520365	0.0893531437175285	0.0690272692536783	0.983718964999069	0.675115815870278	0.076600386420316	0.918177050316032	0.102757919391721	0.384607009914579
Rothia	0.0156006207036775	0.00224702251712118	0.270963873605974	0.0575071339272459	0.562269366785617	0.213596340231036	0.455561623870136	0.0895993123566827	0.024301063173741	0.510960447371265	0.345042803563475
Stomatobaculum	0.0158382622852722	0.00305723110698359	0.0344737022896672	0.0509863003824824	0.379408296826138	0.296793240208564	0.336593241817938	0.0895993123566827	0.0252221566326146	0.218431947009183	0.315652282816594
Lachnospiraceae_UCG-001	0.0168475980853309	0.0029355671187543	0.022528691842201	0.278724332351022	0.959066804155705	0.814351503598728	0.466530720556451	0.0926617894693198	0.0252221566326146	0.202758226579809	0.627698653156204
Prevotella_9	0.0201636963959484	0.433973964472569	0.0911810008406187	0.0247772093707231	-0.172623108038182	0.429837935968337	0.718701362947553	0.107862406348661	0.685194586281605	0.33408816617824	0.222994884336508
Actinomyces	0.0207008658648945	0.00257738548812405	0.355182748849941	0.120394318928375	0.640401580899487	0.206998668606502	0.427447731796196	0.107862406348661	0.024301063173741	0.611532037150334	0.430331468222362
CAG-56	0.0212534013298621	0.00595628721316919	0.995347130448092	0.153057970441493	-0.763518631383384	-0.00174973169330597	-0.538639972337028	0.107901883674684	0.0453594180079807	0.995347130448092	0.479276670428454
Desulfovibrio	0.0238114285633588	0.0218107681136763	0.0075949744117266	0.0487948158338631	0.714306189424037	0.955589999141096	0.855601221053037	0.116615455957002	0.105330050890437	0.115725451042373	0.315652282816594
Lachnospiraceae_UCG-008	0.0241476449203892	0.196345939086577	0.0408180911077766	0.503266511940134	-0.227761569618214	0.417094465954038	0.165269641615257	0.116615455957002	0.457370540460496	0.218431947009183	0.738342306385016
Faecalibacterium	0.0251475142014599	0.00414160343580303	0.50640368465106	0.924180411975563	-0.391610039679806	-0.0979695299229548	-0.0173521358722173	0.118552566949739	0.03280149921156	0.762216850373808	0.953362029489941
Clostridium_sensu_stricto_1	0.026813365547427	0.525938649991583	0.00464952484765679	0.976613497599592	-0.149825917701498	-0.797985276569208	-0.00971652859716254	0.123466194846292	0.738552146796691	0.115075739979506	0.977991539420586
Tyzzerella_3	0.0320477957552756	0.00688110165050428	0.260626237324042	0.041498699944506	-0.670137097701948	-0.298265817543408	-0.670338265774893	0.14421508089874	0.0457604064274457	0.504196166952345	0.315652282816594
Tyzzerella_4	0.0329957629665329	0.79295914628937	0.021546186613571	0.0797134711443316	0.0663243804030263	-0.677517352902743	-0.628218998450642	0.145181357052745	0.918177050316032	0.202758226579809	0.375792078251849
Solobacterium	0.0344634782582884	0.0331857185081973	0.0704243887750835	0.011309376235876	0.453787670748079	0.426122610569806	0.743005187965493	0.148342797720459	0.128838671855354	0.290796953751586	0.120854396439427
Victivallis	0.0352832611246658	0.00918767601061503	0.0482326046645753	0.0510145103541971	0.684047932543388	0.577178622167398	0.705947623019233	0.148640121333699	0.0519759957171936	0.24487322368169	0.315652282816594
Butyricicoccus	0.0364296640434479	0.00662139931967712	0.0395809059085876	0.208935519389075	-0.375063897371766	-0.311919422619905	-0.229596342245845	0.150272364179223	0.0457604064274457	0.218431947009183	0.574572678319956
Oscillibacter	0.0374420083526491	0.0951950334267762	0.0114856600549977	0.0327032348101559	-0.38855181501533	-0.677675478920085	-0.696456655737362	0.15129627864948	0.289978717207718	0.126342260604974	0.281532195322212
