"studyPairs"	"compariosn"	"compariosnTime"	"pval"	"r"
"BS-p1M_BS-p6M"	"Same study"	"Different timepoint"	0	0.56029334637095
"BS-p1M_Assal-p3M"	"Different study"	"Different timepoint"	0	0.661869428281642
"BS-p1M_Assal-p1Y"	"Different study"	"Different timepoint"	5.00403791965284e-06	0.399071157849784
"BS-p1M_Assal-p2Y"	"Different study"	"Different timepoint"	9.84267735132887e-09	0.496930550365665
"BS-p1M_Ilhan-p6M"	"Different study"	"Different timepoint"	6.77527820387829e-06	0.414729727704596
"BS-p1M_Ilhan-p1Y"	"Different study"	"Different timepoint"	0.0307844912003299	0.199988011209519
"BS-p1M_Afshar-p6M"	"Different study"	"Different timepoint"	3.5465999737958e-07	0.485877119822074
"BS-p6M_Assal-p3M"	"Different study"	"Different timepoint"	9.88211188885712e-07	0.427646399402125
"BS-p6M_Assal-p1Y"	"Different study"	"Different timepoint"	6.48899980304035e-07	0.43632093097742
"BS-p6M_Assal-p2Y"	"Different study"	"Different timepoint"	7.03856533756906e-07	0.433860033096674
"BS-p6M_Ilhan-p6M"	"Different study"	"Same timepoint"	0.000367590728735075	0.328972410795906
"BS-p6M_Ilhan-p1Y"	"Different study"	"Different timepoint"	0.0050235753152676	0.2616478592516
"BS-p6M_Afshar-p6M"	"Different study"	"Same timepoint"	7.23561573920766e-06	0.4266147715689
"Assal-p3M_Assal-p1Y"	"Same study"	"Different timepoint"	0	0.607588782243783
"Assal-p3M_Assal-p2Y"	"Same study"	"Different timepoint"	0	0.650642073619907
"Assal-p3M_Ilhan-p6M"	"Different study"	"Different timepoint"	1.09082881737751e-06	0.444601908560034
"Assal-p3M_Ilhan-p1Y"	"Different study"	"Different timepoint"	9.0345823134835e-05	0.360069790628116
"Assal-p3M_Afshar-p6M"	"Different study"	"Different timepoint"	1.01399716788321e-07	0.487466172909842
"Assal-p1Y_Assal-p2Y"	"Same study"	"Different timepoint"	0	0.721108233058849
"Assal-p1Y_Ilhan-p6M"	"Different study"	"Different timepoint"	2.19724329487697e-07	0.475081897165646
"Assal-p1Y_Ilhan-p1Y"	"Different study"	"Same timepoint"	5.00403791965284e-06	0.418622703318616
"Assal-p1Y_Afshar-p6M"	"Different study"	"Different timepoint"	0.000114681410394942	0.354208802164934
"Assal-p2Y_Ilhan-p6M"	"Different study"	"Different timepoint"	1.15108245763619e-05	0.400156672838627
"Assal-p2Y_Ilhan-p1Y"	"Different study"	"Different timepoint"	0.000217520895850321	0.338783649052842
"Assal-p2Y_Afshar-p6M"	"Different study"	"Different timepoint"	0.000217520895850321	0.33913260219342
"Ilhan-p6M_Ilhan-p1Y"	"Same study"	"Different timepoint"	0	0.558119235095613
"Ilhan-p6M_Afshar-p6M"	"Different study"	"Same timepoint"	0.00586808697215969	0.270153431474186
"Ilhan-p1Y_Afshar-p6M"	"Different study"	"Different timepoint"	0.0091991334467048	0.254799917064068
