bugName	pval	p3M	p1Y	p2Y	s3M	s1Y	s2Y	Adjustedpval	Adjustedp3M	Adjustedp1Y	Adjustedp2Y
Veillonella	4.49269954572173e-10	1.12590484023507e-10	3.69051960387593e-07	3.18578340329947e-06	1.17852173704449	0.942312854094768	1.04056123985131	3.14488968200521e-07	7.88133388164547e-08	0.000258336372271315	0.00223004838230963
Avibacterium	4.89711574802598e-06	6.43597652620752e-05	0.49609298441076	1.01868170602229e-05	0.381064967391109	0.0662443079207376	0.604512850612102	0.00156942241268665	0.00321798826310376	0.903649358317552	0.00356538597107803
Jeotgalibaca	8.39125452256617e-06	7.14591432988263e-07	0.0179419843045438	0.00219472357079969	0.810492612465067	0.383033306944801	0.62756869900234	0.00156942241268665	0.000250107001545892	0.333080213240857	0.148147709336356
Leptotrichia	8.96812807249514e-06	1.34107493349553e-05	0.00198766799505151	2.34174579682812e-05	0.731070760019778	0.547454191078135	0.976298813827665	0.00156942241268665	0.00178581953921265	0.188859841485823	0.00434560541378054
Lancefieldella	3.33663807283724e-05	2.19561577397969e-06	0.133614774675582	0.215363195879205	0.720103149280449	0.221237772543886	0.221329124282169	0.00467129330197213	0.000512310347261928	0.554609255124433	0.676729399916885
Glaesserella	6.14631221602657e-05	0.000251780597752055	0.249984559196917	5.29153507126951e-05	0.424992212879104	0.138250952572534	0.660386290659016	0.00717069758536434	0.00608600778039114	0.705364473128397	0.00740814909977731
Gemella	8.06506985026045e-05	1.02735336395287e-05	0.157815133456089	0.00550807392908879	0.796226411302349	0.253336802863455	0.633210262028928	0.00806506985026045	0.00178581953921265	0.590751836466643	0.163404485784089
Mogibacterium	0.000106108840596253	0.00191783691626371	1.13193205594383e-05	0.0152839585025962	0.307319417369286	0.532108093100725	0.333358517329403	0.00821915201909248	0.0220079646128623	0.0039617621958034	0.227633424506752
Raoultella	0.000116141719431084	0.00238480587854835	0.00629437294039983	2.48320309358888e-05	0.213753143288766	0.211435092311567	0.426128880448574	0.00821915201909248	0.0252933956815734	0.288966916406671	0.00434560541378054
Streptococcus	0.000117613114231419	1.53070246218227e-05	0.00827476350120366	0.00404196179399514	0.81231707922713	0.514851657819923	0.696147723393985	0.00821915201909248	0.00178581953921265	0.298097255451811	0.154126992782247
Haemophilus	0.000129158103157168	0.000195347017192428	0.0134034786799364	0.000113150766636637	0.725165844228094	0.518092819108204	1.06341316187414	0.00821915201909248	0.00546971648138799	0.325387118568412	0.0132009227742744
Mesorhizobium	0.000217975351138211	4.22862418287891e-05	0.699512906930153	0.0337261749599714	0.344279203153558	0.0322991979077909	0.222474052250214	0.0122460628140543	0.00296003692801524	0.944938043425937	0.325014242868951
Brevundimonas	0.000227426880832438	2.12107327929232e-05	0.146649129506283	0.0173257904288157	0.326454211248262	0.111401644905648	0.227753191525814	0.0122460628140543	0.00185593911938078	0.562038473606202	0.228831194342848
Marinomonas	0.000312854380915661	2.10716792217068e-05	0.0618333437235864	0.0450523826991782	0.62339015185397	0.278375504931004	0.368626092558134	0.0142333320098442	0.00185593911938078	0.461903252160563	0.346979564051745
Adhaeribacter	0.000320176965038721	6.39322845219226e-05	0.600615183022195	0.0207690230664934	0.241136073486323	0.0316237209496485	0.175706178738161	0.0142333320098442	0.00321798826310376	0.919686565087041	0.243940204528146
Izhakiella	0.000358545139195865	9.45100370400275e-05	0.557747935409179	0.00986293285351591	0.491984150983952	0.0746821749642746	0.419128840481659	0.0142333320098442	0.00328892489510596	0.909434091692352	0.190545222603996
