bugName	pval	p1M	p6M	s1M	s6M	Adjustedpval	Adjustedp1M	Adjustedp6M
Enterobacterales	8.7925677849654e-10	5.72952565978222e-10	1.11994667237469e-06	1.58431513419887	1.41840922517579	4.53594247717959e-08	2.5368537336551e-08	5.35138958534149e-05
Lactobacillales	1.1483398676404e-09	7.45380800778965e-10	1.35478217350418e-06	0.962246458419008	0.862577716758244	4.53594247717959e-08	2.5368537336551e-08	5.35138958534149e-05
Micrococcales	1.76683645491948e-09	9.63362177337381e-10	2.825224878839e-06	1.02510647452829	0.890631468924125	4.65266933128798e-08	2.5368537336551e-08	7.43975884760936e-05
Actinomycetales	7.82617489036852e-07	2.02698836717323e-07	0.00124629089639806	0.742619296831214	0.526301304567401	1.54566954084778e-05	4.00330202516714e-06	0.0196913961630893
Fusobacteriales	1.92710426794029e-06	3.61254415078334e-07	0.0273974390840373	1.1184155157082	0.523236946831046	3.04482474334566e-05	5.70781975823768e-06	0.240488631959883
Clostridiales	0.000129743451518949	0.000990356574012422	0.000135399927979861	-0.107140309203059	-0.170413958877137	0.00170828877833283	0.00977977116837267	0.00267414857760225
Ignavibacteriales	0.000819616066276119	0.00027288677146964	0.697682091812595	-0.750220237100202	-0.0951875026621942	0.00924995274797334	0.0035930091576836	0.888982020212822
Pasteurellales	0.00138139477512966	0.000321293726692374	0.147843883280505	0.558275679460715	0.269932278645075	0.0136412734044054	0.00362602920124251	0.530792372922917
Leptospirales	0.00320585475151569	0.00325423620787498	0.00705529264687703	-0.230537340410927	-0.274855608481439	0.0281402805966377	0.0263165282668911	0.0796240170147551
Verrucomicrobiales	0.0112919323476224	0.151066451831247	0.00318324595766447	0.383915607217335	1.1183872583243	0.077867620157321	0.304156888665838	0.0419127384425822
Corynebacteriales	0.012167189624118	0.00339525301835202	0.164248211513921	0.246686070608967	0.147807588635104	0.077867620157321	0.0263165282668911	0.530792372922917
Thiotrichales	0.0129037242739313	0.00366432672070636	0.176350280718689	0.324120905518099	0.182367502394628	0.077867620157321	0.0263165282668911	0.530792372922917
Limnochordales	0.0134895271299417	0.491527056708176	0.0124717133477106	-0.0520522425771382	0.266303515146444	0.077867620157321	0.60165336551175	0.123158169308642
Aeromonadales	0.0139187207178537	0.00538324328249745	0.0731313883353329	0.479537312721648	0.380377049579398	0.077867620157321	0.0327135553320999	0.371838234961652
Fimbriimonadales	0.0147849911691116	0.00423733260730232	0.520718102207777	0.156014568226712	0.0427781245948345	0.077867620157321	0.0278957729980736	0.816299226854906
Synergistales	0.0226954902192873	0.0169568555742426	0.0337884917220746	0.247098886417906	0.278899713905719	0.105803964183246	0.0608905268347804	0.244510537902649
Anaerolineales	0.0230676033659623	0.0141411776452512	0.0440269367550813	0.13100598527546	0.135574093170625	0.105803964183246	0.058797528103939	0.270786681913486
Emcibacterales	0.024412709703121	0.0114141204287044	0.0679202988527339	-0.209974385449713	-0.191625269207828	0.105803964183246	0.0530420890510382	0.371838234961652
Erysipelotrichales	0.0254465230314136	0.0100041022614118	0.0945476078734115	-0.372208318592686	-0.307069325466879	0.105803964183246	0.0527944553996879	0.396008351563236
Campylobacterales	0.033498939520335	0.010024263683485	0.269717959927923	0.286812765076407	0.151798409595049	0.130338757971421	0.0527944553996879	0.61289822648748
Chromatiales	0.0372240449253337	0.0162830607363599	0.0984078715388577	0.316945800551603	0.272280484585282	0.130338757971421	0.0608905268347804	0.396008351563236
Neisseriales	0.0376556306216145	0.0163862192621781	0.950071695129261	0.151605733497235	-0.00482913480804638	0.130338757971421	0.0608905268347804	0.974748882015736
Nostocales	0.0384234281811063	0.0113661769397659	0.410118488343917	0.116755227360049	0.0471666846855194	0.130338757971421	0.0530420890510382	0.771413347123083
Alteromonadales	0.0395965847001787	0.0134374518829485	0.181410051505301	0.390869456879113	0.262802414574019	0.130338757971421	0.058797528103939	0.530792372922917
Vibrionales	0.0813111076217494	0.0285451742264752	0.268559177945391	0.372298071877323	0.233867100507008	0.244018747487383	0.0902027505556615	0.61289822648748
Desulfobacterales	0.082030985222469	0.026596084774905	0.467641286947716	0.251568112751397	0.102249925169072	0.244018747487383	0.0902027505556615	0.800450573390118
Coprothermobacterales	0.0833988124323968	0.0278949270352054	0.608689811652346	0.0981806716409288	0.0285387883218079	0.244018747487383	0.0902027505556615	0.85240300356584
Veillonellales	0.0975076696031044	0.0324181745787091	0.476217429738425	0.499884336642527	0.213354722592707	0.274028973314877	0.0985013766045392	0.800450573390118
Oceanospirillales	0.100958184847062	0.519928605116841	0.0340457711003689	0.0746418077371969	0.342942833727384	0.274028973314877	0.622338784912583	0.244510537902649
Rhodocyclales	0.104061635436029	0.0388000708438231	0.798604555182676	0.148537898214299	0.0226794362105898	0.274028973314877	0.113526133209705	0.94217838187685
Cellvibrionales	0.111184889554373	0.900414647309038	0.044559833732599	0.0178101102187425	0.380199074645467	0.283342137896629	0.935957330755448	0.270786681913486
Candidatus Nanosynbacterales	0.123942524729318	0.0548138163742799	0.985085053843331	0.194734273133246	-0.00235489017460292	0.302178402682425	0.145662137640893	0.985085053843331
Oscillatoriales	0.132391174744333	0.102140892772385	0.100255278876769	0.103744754869083	0.13391662154185	0.302178402682425	0.230546586543383	0.396008351563236
Methanobacteriales	0.132893326616746	0.227515216966179	0.266920575016785	-0.202600927275985	0.250463186428976	0.302178402682425	0.377328472611657	0.61289822648748
Fibrobacterales	0.134555701311071	0.143468178209011	0.0763188488044787	-0.0587803622472079	-0.0931983725449422	0.302178402682425	0.298262791539787	0.371838234961652
Entomoplasmatales	0.137701550589459	0.0486425667697754	0.449641225520198	-0.123076221746512	-0.0588447841478663	0.302178402682425	0.137241527671866	0.800450573390118
Bacillales	0.147187330721775	0.055682794526309	0.739089253527099	0.216480424266481	0.0484702473143065	0.309336497940332	0.145662137640893	0.912313297322513
Desulfovibrionales	0.148794771161173	0.161148133618361	0.0800158227132669	0.314484420193398	0.526074839625563	0.309336497940332	0.304156888665838	0.371838234961652
Bifidobacteriales	0.15676248646112	0.0571585603400972	0.61502495193991	-0.475226497492657	-0.162602617619195	0.317544523857141	0.145662137640893	0.85240300356584
Deferribacterales	0.167114892445786	0.0791202289183114	0.205371929337715	-0.0421178567475366	-0.0402881214111973	0.330051912580428	0.195328065142081	0.559461462678602
Rickettsiales	0.174516425592802	0.0895028209531498	0.854943984650631	0.0959751278678996	-0.0129319450440213	0.336263356630034	0.214264328948449	0.94217838187685
Chitinophagales	0.215117849300877	0.214638918030128	0.441196591706767	0.098840809610122	-0.0807079952386007	0.404626430827839	0.368853991017777	0.800450573390118
Caulobacterales	0.23405706600912	0.0925181757490321	0.460731286142037	0.0722781563957386	0.0414370911217405	0.430011818946988	0.214968702475692	0.800450573390118
Legionellales	0.280037714887263	0.161703662328673	0.242326240327348	0.115012014194193	0.122683422657296	0.499059643297399	0.304156888665838	0.61289822648748
Chthonomonadales	0.284274480359278	0.23881548899472	0.545346749888928	-0.0897558785282088	0.0610370627096975	0.499059643297399	0.377328472611657	0.816299226854906
Bacteroidales	0.29783839089355	0.14117087548258	0.345649362141431	0.311511899640751	0.259981672945835	0.506807063694189	0.298262791539787	0.700161528440335
Nevskiales	0.305619368116563	0.44167414550773	0.133754491484804	-0.0226033869200678	-0.0573680968619902	0.506807063694189	0.587946459912377	0.503171658442835
Frankiales	0.307933405788874	0.336874271172953	0.404013670211231	0.0244826251475948	-0.0272476849283827	0.506807063694189	0.492834581901172	0.771413347123083
Thermoanaerobacterales	0.325401946431523	0.141517169072679	0.488115568939957	-0.0877710319732003	-0.0530613407347318	0.524627627920211	0.298262791539787	0.803356873880346
Burkholderiales	0.347188076994966	0.157992592348319	0.83814585695449	0.234072622432386	0.0445193899648018	0.543560616445491	0.304156888665838	0.94217838187685
Pseudomonadales	0.357337652166231	0.168158091042983	0.902170577803459	0.318285388964103	0.0369952981147984	0.543560616445491	0.30894160912548	0.951919171922293
Coriobacteriales	0.361845212755837	0.214775741605288	0.279295394348725	-0.222428794872763	-0.259672814555479	0.543560616445491	0.368853991017777	0.61289822648748
Thermales	0.371029546573567	0.378205157509588	0.188518242902532	0.0220451513014262	0.0425746199696301	0.543560616445491	0.524179077951885	0.531890756760716
