"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"ERR1624539"	0.197091483285289	0.193647612075001	0.26858893482757	0.105748808620193	0.193685168121599	0.171393942742452	0.238596939952851	0.191447453635256	0.11001679090147	0.202761350213401	0.245827502028606	0.247858852107095	0.192500918071934	0.227780685899887	0.1958798490075	0.248935113726264	0.147807018982865	0.163711985718443	0.112845114407763	0.332944750758674	0.139963756871315	0.137147232710332	0.113158821997099	0.210745602249721	0.24260390379713	0.197188292143687	0.184093145469428	0.155649803679398	0.358742942889783	0.213370769850875	0.139055724120853	0.226304512147175	0.190735929911398	0.340680802955461	0.25035782466049	0.227974451490857	0.309531437924885	0.15522875747055	0.242003351796304	0.147875886253577	0.2397997487956	0.122670943686455	0.175220665713346	0.202601001450147	0.218401432306897	0.158878529380373	0.260293023909832	0.177391743506495	0.200718131057749	0.173083257196262	0.209471797289385	0.16368346083421	0.253437649264048	0.161028336241267	0.19986879182531	0.189789155066509	0.117718342594569	0.161373940525883	0.150867201433382	0.0903094276024411	0.0969868190062872	0.227172399579314	0.24937578080743	0.155178562774309	0.112064647164127	0.179839280272726	0.153713097836332	0.307192405833264	0.150726893728592	0.155148485160572	0.24404358091135	0.154724653766766	0.254475453515403	0.101970856471588	0.20500248204244	0.255023611265678	0.221030501663964	0.238830045374894	0.186255253455337	0.152284540921589
"ERR1624542"	0.666957053029709	0.653108074772039	0.653436020168627	0.393630297914353	0.604509756896062	0.669302612676043	0.647501933361762	0.635371156543081	0.459511738017676	0.559468671732003	0.629969866538403	0.712544193228361	0.626966681842717	0.703646371348459	0.762191765839524	0.575931473477356	0.684584734447033	0.695549954749036	0.40135413758522	0.778521529570228	0.61379955928094	0.439065680827324	0.197603912777033	0.620213579210366	0.657485485297998	0.590518238253011	0.506479906567674	0.649047735296737	0.811864535542959	0.688404034066832	0.503099809175972	0.668202091438431	0.574633737547386	0.765125415533452	0.587835323750682	0.852428964210522	0.76691039618194	0.58705085996501	0.669915795000712	0.352932437955734	0.66100570423431	0.455627203795523	0.671408644599272	0.569470979828419	0.607752329752727	0.421462800722313	0.724898994639818	0.392202839505543	0.637252217442069	0.53205847776509	0.561693711687822	0.579036796996197	0.61951974023379	0.524347531397839	0.661222334313121	0.571643188483151	0.382735015681844	0.589609609507047	0.699108657582839	0.657569838006927	0.517661378261613	0.717551612770185	0.83441858127303	0.562415227123629	0.409194562168657	0.630573887477352	0.600819532677357	0.771151160643548	0.510110371639304	0.638814767760802	0.73197507234129	0.623415363272142	0.656594157629381	0.499180098520349	0.608607941608214	0.688542580402161	0.690107663068729	0.620080953897848	0.670189240924361	0.600013975666598
"ERR1624545"	0.873029309717219	0.950099157731283	0.846990645300085	0.861075060868155	0.899887538301627	0.973869228031928	0.909538117476491	0.948379711684991	0.834191771518417	0.919908872767638	0.838670072307264	0.901591569114204	0.924593200258667	0.943337008786745	0.961656624252138	0.904382865889433	0.94093065996116	0.965638992869903	0.950698754964258	0.897164607665606	0.978611280577906	0.629215204807142	0.299578105078454	0.940772699606624	0.895341245962638	0.910603765509423	0.912607363767311	0.957037148323801	0.872649613321714	0.956479837252839	0.903353759729099	0.890997427952319	0.955538945618337	0.829680018216109	0.859485611686008	0.936048335782724	0.892459351408315	0.905783471316834	0.946185870996343	0.822497275393266	0.934939571339046	0.834947761635325	0.939036220279715	0.920229606783435	0.942261300658914	0.651085562151686	0.90326590827167	0.541818303462766	0.93114980757493	0.86187013032564	0.890473358106543	0.954230466497813	0.926519754864688	0.899596371264863	0.841670844410942	0.91708590647877	0.667350032789613	0.943585653843907	0.909923070016469	0.870964642892872	0.847156691473201	0.958006751407637	0.967172664185619	0.92659920890951	0.942742359300053	0.94842861047634	0.943814146418004	0.930306708608513	0.829602519102819	0.810400321136595	0.939498993832536	0.979347764300396	0.774899890013603	0.729844544822939	0.919043592128344	0.933423943393492	0.954103813911141	0.90959946476797	0.950428644439128	0.959306684227287
"ERR1624547"	0.672063858977953	0.67024243457803	0.673140462566859	0.390232928329039	0.666188555200258	0.690292633748737	0.630954078195786	0.65077406229977	0.469792471746901	0.588524032289733	0.693565368491573	0.693443599077169	0.604366787154587	0.725595786346463	0.719226167487836	0.660040704928667	0.588490566506426	0.709581579483273	0.496312804954211	0.777234395415139	0.614666974980618	0.492172573496722	0.375449809646643	0.60931646696618	0.663442734968884	0.621883438225027	0.530251553064195	0.668088951240941	0.811428678090812	0.688705717580323	0.585084667578734	0.675014150254002	0.597384821531675	0.799919742887017	0.696472383195284	0.832361518855848	0.737649908644654	0.596119900767369	0.692170150727699	0.431002432406222	0.66998334351065	0.580200666407159	0.700409325712102	0.607297996559537	0.632063152853753	0.521281020988647	0.782058921229476	0.47988619887171	0.633488822739719	0.514228878663649	0.626067853587197	0.566717554279845	0.623626288550132	0.586688661457199	0.669208080567891	0.613466376424379	0.391202323837201	0.689122382670806	0.627401768140324	0.635654043784062	0.529531415295405	0.726915945935318	0.809773819674233	0.611706972556079	0.381264036985513	0.597698094790221	0.701947220590628	0.723206848425826	0.553425883489919	0.639877744295913	0.681938039930302	0.612749050857714	0.699044950191707	0.53666827279185	0.594305697209381	0.638095949265301	0.702042037934234	0.614195577965337	0.660250429485788	0.646260889238916
"ERR1624549"	0.141368235303273	0.103521854065662	0.196019180081418	0.0764887842429349	0.15512467923721	0.0810102552570472	0.14565285328371	0.105150282971032	0.0643616660947018	0.122888295025628	0.172149463118164	0.153507223783026	0.111018143490159	0.320655045536811	0.100989124512731	0.160412727047415	0.0861673334873896	0.0726499156183705	0.134290732842575	0.213997433763001	0.0647456565761816	0.0980475064576875	0.0976280491588229	0.118233645963353	0.313718208038876	0.124924936530181	0.110422566068276	0.1451604377215	0.240584718647449	0.10787338434518	0.0790750652204923	0.138460456104845	0.107533607308954	0.236705571294632	0.180771929681743	0.110863684873333	0.199113745621023	0.150563115684939	0.147414511922358	0.109600890904144	0.140549032098282	0.0802114876533836	0.411784271667543	0.123946348115696	0.123111779241345	0.122443443266471	0.168909161680322	0.143016697795206	0.129768217175367	0.150457225483665	0.132612214720793	0.14814685982535	0.162318289189201	0.103093406199713	0.11739382110866	0.241984090956907	0.107781169630754	0.287172315747913	0.217303245633902	0.0494051306206942	0.0747418438471585	0.123279808934966	0.117803029948351	0.0848274856397295	0.0618020438559952	0.096868411298312	0.0979368131276442	0.184768818972466	0.0955771516373552	0.113119185342272	0.132414574837398	0.0840852525859221	0.180761134682503	0.0650962910195302	0.122070665262637	0.145560483021897	0.143956926155697	0.154717508599757	0.130940042774442	0.261124254183377
"ERR1624550"	0.270287506666842	0.371836972826966	0.317847506933311	0.111234178132236	0.277386211142201	0.201107600898337	0.37011784025947	0.204145616100769	0.147053060527319	0.301424590992075	0.275226732608556	0.213398267252577	0.290313054099175	0.304101819174456	0.277599571291007	0.327506649188336	0.161908180160593	0.408521882924835	0.177888492259146	0.279610169878116	0.226486899209262	0.257062440840407	0.222131627147208	0.32037780467378	0.211070057777781	0.187612573142121	0.321084561841296	0.228424612530123	0.275267498853309	0.319736787282546	0.29514786106744	0.306266852822557	0.353227669985149	0.306309385029016	0.28881523400972	0.309901846967314	0.299785930183374	0.189885724449211	0.260141216284527	0.246925175397059	0.404833822808988	0.208745648169301	0.22861887249146	0.337728558748058	0.415533417446645	0.384540848088946	0.239656023479749	0.289618698373826	0.240824730207889	0.327023063601039	0.260700433861796	0.2240696416237	0.254296826213867	0.219276460926014	0.233856085230999	0.208539391697488	0.26824117409322	0.172892441313429	0.238497374350136	0.128646482297379	0.173207583756046	0.318124511796894	0.194185668650165	0.247632793657147	0.190304852243176	0.268114594641403	0.27219867319192	0.286916345706218	0.34076002113733	0.251386632181733	0.253562289980318	0.260833629022228	0.214100081194562	0.221172865472894	0.340960819666033	0.294550096228177	0.2573925234807	0.322347893057362	0.262119522828243	0.174097347157463
"ERR1624552"	0.703825106517592	0.720907402546902	0.696409010877116	0.796581776686157	0.729886056421377	0.743532380749283	0.651947273763943	0.747571429761841	0.748008144051653	0.731757741823224	0.723704892693869	0.689390065435459	0.721750337209621	0.677558556187129	0.715993635856934	0.70688986523749	0.757175539340318	0.669326542500229	0.84486982190192	0.636313735206189	0.796403438499298	0.759944255607724	0.836403676994868	0.682711418389744	0.744423218794654	0.775930688391198	0.724660507743199	0.735011944087192	0.644410603075576	0.671972101824356	0.74686369222024	0.670562433920383	0.746229673477947	0.648690103827861	0.738820384353664	0.6846335546879	0.657165001835652	0.786656764148142	0.736605954516501	0.769140390456877	0.657207185537767	0.799085482949505	0.738184118705144	0.747986191085962	0.657155890610225	0.726070201236899	0.745829062066927	0.743458699905336	0.703363560272357	0.684074105571364	0.742753701293302	0.774063913249124	0.708449753798764	0.803024679094757	0.735101704405067	0.795396837160589	0.749896377264129	0.861196503292434	0.699986623425945	0.746304459301635	0.745626031110604	0.688390500945784	0.698022333121505	0.747716941767017	0.724709064088314	0.716442848329499	0.752850995841458	0.625363681284287	0.733944488296707	0.71857321784657	0.696293427192116	0.745234427816183	0.677381800077456	0.695531301237665	0.701710145914796	0.679005447324121	0.727991414092173	0.691273913167273	0.729062056170714	0.829335151950262
"ERR1624553"	0.110442977588209	0.115867818266729	0.159218468203703	0.0757845137886573	0.112209919195469	0.111541092780433	0.164290175668106	0.12714213350832	0.064568555360803	0.150728941959129	0.149936404214341	0.155932786708509	0.109971435659693	0.122996796952754	0.0871179385230224	0.201715103637105	0.0729660752935696	0.0941639318930334	0.085615460014472	0.2127410684727	0.0760459442751544	0.0749219995671089	0.0799931983993641	0.154546890212078	0.13451665231692	0.125981130056502	0.155438852458307	0.12065234778463	0.210510252940019	0.15079230660638	0.0905373616048294	0.137508627987564	0.134800549101668	0.208990625435826	0.166906270498133	0.0626958182215765	0.186475713040809	0.0806853961916559	0.159165494780711	0.106494419535024	0.169527892776228	0.103758658821885	0.107174563561376	0.144469395421934	0.171052279750364	0.103719797784512	0.142832331448577	0.118680665610289	0.13213878996326	0.14826480029355	0.152792016483554	0.109989806439997	0.188147548224223	0.0957552065673206	0.114499402327931	0.104479555330732	0.0906430072270554	0.0716419034925634	0.138628378018549	0.0529165868636412	0.0901992584656993	0.14179686907413	0.135198058447765	0.101012951908133	0.0814966081217915	0.11452086956258	0.0998103925866436	0.199630072921877	0.0828868242306855	0.0953130038115569	0.158112210562657	0.104945946654915	0.146171840986663	0.101367057290527	0.138204926926185	0.185446611914641	0.138400540335413	0.162882483819648	0.109007138266183	0.0702410651627242
"ERR1624554"	0.334237368259845	0.307586080548462	0.413822982667117	0.183556527689113	0.312098179166443	0.300754766451839	0.36370179803983	0.34235070170671	0.186439255482925	0.299495825026553	0.381863611722202	0.400230192424011	0.304143793969854	0.340225574236163	0.326956624538715	0.339000196989909	0.292347999927048	0.286371410714978	0.18222290850706	0.502584275773235	0.228106000665459	0.233249725881967	0.140711707537609	0.321564816238087	0.354306681733962	0.314476849252592	0.253425264317261	0.309691745002265	0.549601286231298	0.343774287135634	0.231599091462532	0.370032448193569	0.264513239715709	0.510957557023101	0.366072716158946	0.393228086993266	0.484134910494262	0.262729596397248	0.377942000476941	0.20887808968969	0.365001897646823	0.265604141991636	0.309062500436772	0.305644292391623	0.319610137488811	0.237385545783371	0.433251943104626	0.252610431022055	0.318585469555689	0.313747157163491	0.30763914888245	0.259027851050176	0.363349757314532	0.268956405103178	0.345432190831313	0.284219716871439	0.219464726312287	0.25726857874633	0.395191539957746	0.278961737168326	0.295902938458819	0.380321949579483	0.459546911208891	0.260688901245422	0.177706547664833	0.304593837079981	0.250897102097227	0.473321157931938	0.237137683806835	0.330786158545901	0.397978948942654	0.258335618280597	0.403805433624645	0.311472285871597	0.322104825256363	0.383791018501057	0.357657522065534	0.358828065845607	0.315045072358653	0.24425435736426
"ERR1624555"	0.2477964623516	0.230458260160611	0.327338295012214	0.163499023740566	0.262906137876532	0.23751204715524	0.279197095063018	0.22494353190636	0.15900136051805	0.234478101597142	0.316178410092269	0.321024642622578	0.234626293086422	0.29231595501845	0.269618016075111	0.272013742350126	0.225575830099429	0.21525597476946	0.160743435930307	0.393796379930656	0.173802420020043	0.174655413303151	0.131178702652156	0.257014901542268	0.304759016227093	0.256057362889876	0.229989909519889	0.238818440057607	0.43425872395603	0.288058391073682	0.175726426288533	0.275142551796718	0.206114285221552	0.407579845397922	0.293529145091758	0.327690552484806	0.373999144714021	0.207516955938128	0.29515877462391	0.172375224027574	0.276036793225714	0.213900291016596	0.305364416564157	0.242194505730509	0.24227770405186	0.188944524784405	0.32615247804196	0.208440397170314	0.26691442918847	0.283438189371343	0.246892061788927	0.203009484343043	0.286128270607761	0.218318100646182	0.248886172554384	0.246733885063343	0.173729313416408	0.241112776389034	0.315676920843263	0.211672500855422	0.21625793988943	0.273894116987306	0.315129628262577	0.189287910118878	0.12842621947493	0.236809684137628	0.215198169172006	0.362394695457347	0.186971126367523	0.237337785548333	0.289980649427659	0.200990472221275	0.377228020689909	0.224813852276428	0.243604748195826	0.290416581134124	0.266495450310129	0.278260759330821	0.231116876283367	0.20798974029593
