"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR5865065"	0.38410123614071	0.144892415204226	0.369522528986464	0.646666246213445	0.358799872382641	0.415674093239912	0.797193919444361	0.259904324840381	0.504522765605995	0.534977328138527	0.389672558148338	0.584255742569066	0.213691745691146	0.522690244291638	0.404541091529687	0.331402471669985	0.461120753851389	0.193875052411464	0.854766087528711	0.358329267266547	0.814733696413057	0.389774195858319	0.544463625273768	0.338586064304206	0.274423117320898	0.263437585813665	0.269565119352077	0.462758004658806	0.398277436309206	0.516071225290369	0.53654482791937	0.65732623619481	0.459013695287592	0.438851523990914	0.2921423726794	0.57193906052346	0.375866990569092	0.444537066813468	0.201803605508604	0.0954470769258051	0.0748118087881322	0.526153875133682	0.511998996618439	0.541924359303494	0.331110087318336	0.424209835199848	0.400591565490047	0.4442815845698	0.300452758025645	0.522249265159217	0.247495554587867	0.39889241025413	0.247495554587869	0.25536971276939	0.534863508652018	0.347702417883444	0.347702417883444	0.29992515487888	0.533962463622014	0.27984173351277	0.487785835686302	0.414883609370593	0.369627966703818	0.414728457860288	0.351702948466142	0.463176245200417	0.1845252964533	0.417855528926429	0.415439649864487	0.36274896075166	0.320942480937784	0.369627966703818	0.420813849468651	0.107448590516808	0.137623950253078	0.410187608320372	0.261716371896522	0.390414829488018	0.242634587753406	0.348797896283423
"SRR5865066"	0.3993109314173	0.39758404077725	0.0748935576608624	0.673474980031722	0.27586370976088	0.16935078338472	0.870840844548614	0.241161722459134	0.579740310831074	0.596132953833233	0.393249492783645	0.568870716689791	0.424510249936036	0.624171958059142	0.399110014557838	0.336540863271316	0.46745273055659	0.439078867556653	0.81917074328851	0.487685433708214	0.678558626424904	0.386395580094947	0.567411166569221	0.343770866552807	0.564487250238293	0.544083468022408	0.464623351354694	0.528012547555336	0.423952055374567	0.509328023206203	0.67979546255622	0.602531123303877	0.38210341319476	0.168199755774398	0.340136455303719	0.687956737564746	0.349050007866955	0.624508048799127	0.408366491755772	0.123217388268536	0.105121236084771	0.585002679446003	0.701035193163536	0.522851930677417	0.508530074200074	0.530647656077862	0.396131943169648	0.448541931466929	0.555171438986526	0.728692022400887	0.479234355436803	0.447877061590405	0.479234355436804	0.504750606663431	0.621309575578723	0.575912300604353	0.575912300604353	0.339346674679008	0.5899413969028	0.526933139788268	0.460385119402302	0.500573923715971	0.481062999134361	0.495695594560791	0.433627216312077	0.185242534503648	0.418873930787763	0.633405439881272	0.506752765833625	0.376289380389144	0.618998051487542	0.481062999134361	0.634852405017782	0.295920366733551	0.393548546064545	0.478373342135601	0.527437052826931	0.551657996137229	0.538175188830458	0.398953979834409
"SRR5865067"	0.336164092188921	0.332629992200111	0.255062511641964	0.692420657832248	0.402264126828576	0.33424193566911	0.857848711580434	0.250217452434136	0.540713187687395	0.567924563560772	0.400040024739186	0.492535445718685	0.338333360983943	0.629546035677952	0.405565469012823	0.345127261288686	0.468599943369927	0.388541834364568	0.642276273911573	0.435978664281867	0.450391762628239	0.40422335678869	0.553541662277529	0.287638780323393	0.468492581002606	0.648164600696164	0.414496964287423	0.511095638488165	0.397487545054133	0.705701048717422	0.588409620620834	0.684471793091682	0.49511315638117	0.432991301121828	0.414443441934113	0.602838018795358	0.27529666957321	0.571102184809902	0.371230297430794	0.180399401991667	0.198320015842731	0.5578129621724	0.694889251138609	0.435727033746365	0.469316992687943	0.480097370784277	0.420981012113433	0.485009647256132	0.482534314319549	0.648859870555373	0.429886658767518	0.424361368921163	0.429886658767519	0.474513973984827	0.58113368466026	0.499183554132305	0.499183554132305	0.456324348967895	0.591381344121465	0.47751160581688	0.461775598412257	0.47078680494887	0.440943811036681	0.457725166268494	0.557748364037655	0.319825759830681	0.414123563672593	0.576487474329929	0.465304344196079	0.362921553792439	0.686736035738542	0.440943811036681	0.585153213100082	0.349142738526473	0.298701818999034	0.432701568601533	0.476861420046254	0.503367138887408	0.514293341081853	0.395483142603151
"SRR5865068"	0.37113278107034	0.34964616052132	0.356650374746583	0.641713077242154	0.18394823011215	0.412328980297015	0.851417641529147	0.25102497306834	0.53653071563021	0.560741688228063	0.391695974891301	0.613420545122157	0.386960129932594	0.564978479335698	0.386779801590531	0.303600038838338	0.488359902660318	0.480829932819299	0.831531437473472	0.472534203719007	0.856398092832394	0.361385932566758	0.480447282319857	0.261912264533238	0.405324264911672	0.494803898767364	0.402104350349204	0.375396178478902	0.344279065501015	0.665101590679602	0.654213999960458	0.427752217347845	0.296491930092626	0.154670404691119	0.401624499464279	0.67096357319887	0.333060747150042	0.554323563111858	0.362092983233238	0.189955002838525	0.153760723927897	0.55090262611714	0.68477267748658	0.516918892378895	0.484670363130438	0.463875409420797	0.361553641990136	0.283876964573609	0.354381168204866	0.708344395687995	0.347857036491986	0.403205875303577	0.347857036491986	0.437801520995018	0.571316169196897	0.375551143368793	0.375551143368793	0.42500775734131	0.500216144192595	0.376730962841878	0.435743190390921	0.420204568968897	0.448341362364424	0.44822076729126	0.396734849569473	0.164094391111086	0.357083061063657	0.584337843326677	0.477102434776965	0.319333045513676	0.555777533459814	0.448341362364425	0.549261420903939	0.343122766215284	0.389062779778703	0.442061837835209	0.431171880473277	0.523634670890285	0.472718769592116	0.327729762094493
"SRR5865069"	0.273524820366679	0.321657442531985	0.178014279583366	0.460931907433923	0.336298721749853	0.275929757576849	0.55850415343649	0.225986523006427	0.327127730881165	0.55297388915656	0.342443501546563	0.301578950913625	0.25934171964556	0.391322641711899	0.249901405112811	0.227910708642877	0.299745135081871	0.294096631244576	0.495581763520773	0.27326920847426	0.833629755689919	0.197129231967332	0.33962939174863	0.228051830054434	0.401996095130654	0.277470585311421	0.277713619976694	0.33095927371946	0.349816138266044	0.467761519349283	0.358049751343101	0.491589394197037	0.352755740611927	0.15875342454387	0.252811051995264	0.374758816481437	0.219685511603195	0.384247692233341	0.259327182975943	0.101914739011771	0.110062003274502	0.474705694728246	0.43222900584553	0.340730564912728	0.277945387926684	0.397078786536658	0.222894295811232	0.397790415528973	0.444758537913245	0.432155638908945	0.348538402502097	0.244972052661287	0.348538402502097	0.312654582526471	0.366038619500868	0.454407785342698	0.454407785342698	0.285376445435121	0.379999484912056	0.386674579050982	0.294609908069903	0.335848652064604	0.306101319593079	0.401264893792203	0.317420971940608	0.20246361135901	0.248645588982096	0.372361553294865	0.31576017070769	0.276575243123271	0.31724573455316	0.306101319593079	0.396675272206368	0.17258722880736	0.242170816714637	0.307649406670383	0.340367664405764	0.313735372143325	0.261420095112366	0.248841642006502
"SRR5865070"	0.304447733966962	0.306644833853976	0.187348165278797	0.63704610539539	0.145686793690822	0.210983389055526	0.845629807516654	0.232359101365185	0.493896080589743	0.533538070714968	0.389570494273327	0.446566549603085	0.30735351811279	0.428860783410364	0.350799976551761	0.293450267176124	0.46331769791476	0.440847313463096	0.682081355441864	0.442746714671339	0.327986653279131	0.35711307722835	0.48130498946618	0.215461635626268	0.353625845676874	0.432592334884312	0.356742333580405	0.366098759085498	0.344279065501015	0.658854935726333	0.600071400337121	0.303464106087457	0.152876279960798	0.0843631455485022	0.366971684655816	0.582042886824448	0.252444012622116	0.479578962099401	0.328671383602326	0.0609127618999851	0.0570981292515833	0.524772957136663	0.622256245314428	0.379198544869744	0.463559596625671	0.391759668030971	0.351977660084299	0.239863737016157	0.344288133286888	0.67177677291738	0.325320900670444	0.378435229922865	0.325320900670444	0.377611104012339	0.532296381309587	0.358720717117628	0.358720717117628	0.383994415804768	0.424446411097735	0.360066320595692	0.392634489415216	0.325033617924406	0.418507023562069	0.412886323836127	0.221250875668295	0.0727291365735705	0.337291641330728	0.528256315776846	0.447894705912098	0.303794872354708	0.51061521141273	0.418507023562069	0.511988006028664	0.332969852139949	0.293478359158313	0.408611644021051	0.370423681532043	0.467517010161045	0.439937625041186	0.283289856033587
"SRR5865071"	0.353083686650719	0.383635144054602	0.322707372525779	0.636442375831513	0.405731439762604	0.536901062534528	0.758249982619946	0.246768287073693	0.504522570170467	0.491862932382205	0.362546956018217	0.549689712372132	0.295383157115123	0.634679972775534	0.375483585668505	0.320707615078837	0.573245664314442	0.464460966713687	0.791432266842433	0.375850638089822	0.555743031819398	0.405680719407054	0.563194986655937	0.294653559434703	0.418449571753648	0.538950802802035	0.292640346186686	0.549079960254917	0.399853181319916	0.629830983908361	0.490551638263263	0.570132341720134	0.271788016082081	0.393266313567993	0.33301121677735	0.493655839752574	0.367418918498338	0.389333160135585	0.281103212360463	0.273043829979231	0.251977420241422	0.484847285257087	0.543325415431481	0.341324558116011	0.483000179259032	0.312759387918795	0.40927310230927	0.441936391155172	0.459443276436877	0.639466483101396	0.368843470096876	0.403632905770738	0.368843470096876	0.340528531963766	0.474896195523818	0.454106909329633	0.454106909329633	0.363786663018754	0.459456679524691	0.435701574903079	0.570039551083791	0.279719285510198	0.459130995497191	0.360964450777411	0.644303115200452	0.442557252609144	0.367265146124402	0.478345438619717	0.513410835000874	0.340976780112114	0.614234151469911	0.459130995497192	0.48286907014841	0.250200966039926	0.364725351499016	0.460167656373185	0.343777456077745	0.476821082956167	0.429679076211763	0.318182489418793
"SRR5865072"	0.329222943982218	0.295729331893524	0.0819304005922168	0.569882626944035	0.128302302118196	0.152983298178089	0.71344506071959	0.207388001457305	0.440045474445697	0.580984258560206	0.381523304434671	0.359419432101017	0.330204426701862	0.428566308648183	0.330427469495801	0.265527520269989	0.325675398363759	0.275168779787528	0.515852846486273	0.325844126548617	0.35538871426559	0.266731212389344	0.369507008512835	0.222059278063859	0.311522505631035	0.46868524406718	0.365975687250721	0.341491675595486	0.306676995740051	0.425930689575479	0.421607643622248	0.27238726283282	0.204232301884509	0.0533614356929063	0.27866685889021	0.42758518819003	0.269869482606985	0.49613923823076	0.328359424462825	0.128869034914661	0.114355637511641	0.530107720672789	0.525068547828383	0.322088055588249	0.348694579523506	0.46194892220973	0.2885097491027	0.22129830924752	0.315462923208731	0.498451407621703	0.333135733760413	0.324941087636501	0.333135733760413	0.39941102838627	0.483794960440575	0.344183882488497	0.344183882488497	0.279013718050632	0.478129477259451	0.348970204961082	0.29604431216979	0.405674345989662	0.363189623985778	0.452977593998302	0.343155223083705	0.0612432999959798	0.331983057721514	0.493018210081136	0.373135140844256	0.26652541955146	0.506380338160436	0.363189623985778	0.471094793474777	0.22662954290745	0.2981273693592	0.360323905505502	0.380583320894651	0.386701637028278	0.385106792909412	0.317452858202996
"SRR5865073"	0.346715139651978	0.379850583078765	0.364580313115076	0.626672814865427	0.163672567202132	0.340370418504938	0.811384265080654	0.249440349852569	0.366186045365158	0.424426327244014	0.371779509489302	0.442104137189848	0.253554509061032	0.356273437336631	0.357219458140525	0.32740841856481	0.447934092210492	0.388165760990251	0.692072729852822	0.438780045386325	0.230122641526202	0.393604728927175	0.506932144782191	0.257619162833156	0.255313840904243	0.446266447274043	0.204187154646992	0.437755888704576	0.344279065501015	0.616966233398255	0.627911595310555	0.330277922484938	0.186907542283978	0.111637542973009	0.25262618249587	0.58452812084981	0.406373061059625	0.308971524566919	0.213250463953384	0.0674840492774456	0.0611460652604592	0.420400696035249	0.696486201364621	0.446879907803104	0.45619163407931	0.255655017823769	0.379462248515768	0.206036499379662	0.313174472114209	0.52322704301241	0.256021416262459	0.322119487810471	0.256021416262459	0.29857575946532	0.378502539692043	0.295147575210774	0.295147575210773	0.292973594905439	0.473502208931047	0.312548843718192	0.382339835203452	0.290668031677292	0.350897571354363	0.283249642731862	0.297069384571008	0.15856557565999	0.303581506876689	0.389774501909157	0.394833437667927	0.334017329459535	0.530171385132709	0.350897571354363	0.365738237644781	0.306340438508564	0.405520191629357	0.336625976898017	0.283727401884095	0.425361809497703	0.342362457200953	0.293770572403127
"SRR5865074"	0.368039432375536	0.386700095879616	0.365246884956196	0.625979731981758	0.390259671668311	0.406859907045742	0.84756236310409	0.259765906657068	0.512099626807703	0.546238641442388	0.379607781675211	0.601103879405898	0.372169124810933	0.528022030451418	0.383360440939399	0.307738143663396	0.448379641932743	0.426926360157981	0.868928128031612	0.489061279066172	0.643537970364546	0.365837337469963	0.523256341242164	0.28278363529499	0.452867356194241	0.505961442774027	0.377598664446807	0.429673800474183	0.389281949725696	0.524213997528219	0.679194874065019	0.653942986616034	0.454401440843471	0.425353888781034	0.312359593138602	0.693023548310581	0.339368739665594	0.526313075250888	0.344041459696222	0.102535451292391	0.0938282874130341	0.536964353028112	0.684307483188808	0.54675130332785	0.480817793937883	0.438440835674012	0.373542202288869	0.45586790305226	0.456389399221093	0.660191458228107	0.384352393228945	0.39109269039201	0.384352393228945	0.419782712988766	0.550562290183332	0.466441794358738	0.466441794358738	0.314575566821715	0.490996354752208	0.432184671826438	0.469116938416648	0.401459254212928	0.433023052028047	0.429249098437334	0.321231603249251	0.445011639040795	0.348559649244855	0.563971721510932	0.46233770165241	0.347318084229701	0.561155775020461	0.433023052028047	0.551834832475258	0.340689083200772	0.391635817404795	0.424916139971388	0.436270400231057	0.519665922176412	0.456549369527838	0.319427404234203
