Acetanaerobacterium	Acetitomaculum	Acidaminococcus	Actinomyces	Adlercreutzia	Aeromonas	Agathobacter	Akkermansia	Alistipes	Allisonella	Allobaculum	Alloprevotella	Alloscardovia	Anaerococcus	Anaerofilum	Anaerofustis	Anaeroplasma	Anaerostipes	Anaerotruncus	Atopobium	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Blautia	Butyricicoccus	Butyricimonas	Butyrivibrio	CAG-352	CAG-56	Campylobacter	Candidatus_Soleaferrea	Candidatus_Stoquefichus	Caproiciproducens	Catabacter	Catenibacterium	CHKCI002	Christensenella	Christensenellaceae_R-7_group	Citrobacter	Clostridium_sensu_stricto_1	Clostridium_sensu_stricto_13	Collinsella	Coprobacillus	Coprobacter	Coprococcus_1	Coprococcus_2	Coprococcus_3	Coriobacteriaceae_UCG-003	Corynebacterium	Defluviitaleaceae_UCG-011	Desulfovibrio	Dialister	Dielma	Dorea	DTU089	Eggerthella	Eisenbergiella	Enorma	Enterococcus	Enterorhabdus	Epulopiscium	Erysipelatoclostridium	Erysipelotrichaceae_UCG-003	Escherichia/Shigella	Eubacterium	F0332	Faecalibacterium	Faecalicoccus	Faecalitalea	Family_XIII_AD3011_group	Family_XIII_UCG-001	Finegoldia	Flavonifractor	Fournierella	Fusicatenibacter	Fusobacterium	Gardnerella	GCA-900066225	GCA-900066755	Gemella	Gordonibacter	Granulicatella	Haemophilus	Hafnia-Obesumbacterium	Harryflintia	Holdemanella	Holdemania	Howardella	Hungatella	Hydrogenoanaerobacterium	Intestinibacter	Intestinimonas	Klebsiella	Kluyvera	Kosakonia	Lachnoclostridium	Lachnoclostridium_5	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_NK4B4_group	Lachnospiraceae_UCG-001	Lachnospiraceae_UCG-003	Lachnospiraceae_UCG-004	Lachnospiraceae_UCG-008	Lachnospiraceae_UCG-010	Lactobacillus	Lactococcus	Lactonifactor	Lawsonella	Leuconostoc	Libanicoccus	Marvinbryantia	Megamonas	Megasphaera	Merdibacter	Mitsuokella	Negativibacillus	Odoribacter	Olsenella	Oscillibacter	Oscillospira	Oxalobacter	Paeniclostridium	Parabacteroides	Paraeggerthella	Paraprevotella	Parasutterella	Parvibacter	Parvimonas	Pediococcus	Peptococcus	Peptoniphilus	Peptostreptococcus	Phascolarctobacterium	Phocea	Porphyromonas	Prevotella	Prevotella_6	Prevotella_7	Prevotella_9	Prevotellaceae_NK3B31_group	Pseudocitrobacter	Pseudomonas	Ralstonia	Raoultella	Rikenellaceae_RC9_gut_group	Romboutsia	Roseburia	Rothia	Ruminiclostridium	Ruminiclostridium_1	Ruminiclostridium_5	Ruminiclostridium_6	Ruminiclostridium_9	Ruminococcaceae_NK4A214_group	Ruminococcaceae_UCG-002	Ruminococcaceae_UCG-003	Ruminococcaceae_UCG-004	Ruminococcaceae_UCG-005	Ruminococcaceae_UCG-008	Ruminococcaceae_UCG-009	Ruminococcaceae_UCG-010	Ruminococcaceae_UCG-011	Ruminococcaceae_UCG-013	Ruminococcaceae_UCG-014	Ruminococcus_1	Ruminococcus_2	Salmonella	Sanguibacteroides	Sarcina	Scardovia	Sellimonas	Senegalimassilia	Slackia	Solobacterium	Staphylococcus	Streptococcus	Subdoligranulum	Succiniclasticum	Succinivibrio	Sutterella	Terrisporobacter	Turicibacter	Tyzzerella	Tyzzerella_3	Tyzzerella_4	UBA1819	UC5-1-2E3	Varibaculum	Veillonella	others	Alias	Assay.Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center.Name	Consent	DATASTORE.filetype	DATASTORE.provider	DATASTORE.region	ENA_CHECKLIST	ENA.FIRST.PUBLIC..run.	ENA.LAST.UPDATE..run.	Experiment	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	Instrument	Library.Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	sample_description	Sample.Name	sample_name	SRA_accession	SRA.Study	title	time	ID	prepost
ERR1624539	0	0	0	1.30194047865634	1.55723425877681	0	2.61585324281396	0	2.13128502768808	0	0	0	0	0	0	0	0	2.63543339937142	0	0	2.6981857707944	1.04226400005257	3.03478315870476	1.14701800248839	3.16292430738584	0	0.845919612549823	0	1.43228665770468	1.20501849799311	0.477760389847373	0	0	0	0	0	0	0.477760389847373	2.71191960686762	0	3.10986073300648	0	3.1145667644412	0	0	1.61371885778057	1.34333751560741	2.0501678256363	0	1.20501849799311	0	0.95509448076002	1.23135095664828	0	3.16411906781003	0	0	0	0	0	1.87600684960351	0	0.778950022433922	1.83979356700928	1.41589487773679	0	0	2.05785480425754	0	0	1.4780476940726	0	0	0	0	1.86426809662552	0	0	0	1.43228665770468	0.845919612549823	0	0	0	0	0	0	0	0	0	0	2.47807641404437	0	0	0	0	0	0	0	1.20501849799311	0	1.00086261039282	0	0	0	0	0	0	0	0.602778952251826	0	0	0	0	2.05402832209053	0	0	0	0	0	0	0	0	0	0	0	1.9551902230278	0	0.699736853695755	0	0	0	0	0	0	0	1.67303583982236	0	0	0	0	1.5060784121767	0.95509448076002	0	0	0	0	0	1.7568164110368	2.79404840895354	1.27966156446624	0	0	0	2.0873103342496	0	1.4922891626097	1.38112970295754	2.04627270474886	0.95509448076002	2.23394886246272	1.32313205724226	0	0	1.46332333683206	0	1.4780476940726	2.66934221272225	1.58071675426198	3.25911601534814	0	0	0	0	0	2.41425441826628	0	0	0	2.34534629233323	2.72523241369795	0	0	0	0	2.78912516234355	0	0	0	1.65414959037632	0	0	0	3.26859881576381	02cdfbb0-1cde-11e6-9a08-68b599768938	WGS	500	10593500	PRJEB14082	SAMEA4008096	6687848	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,contigs,cram	ena,ncbi,s3,gs	ena,ncbi.public,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694904	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:16Z	public	Illumina MiSeq	16634274	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008096	ERS1179206	ERS1179206	ERP015690	P10_Pre	Pre	P10	0
ERR1624542	0	0	0	0	0.760983044576103	0	2.84437399595147	0	1.63659846406112	0	0	0	0	0	0	0	0	2.26750576999362	0	0	2.93855877589998	1.32759630514311	2.63892126077259	0.878247647291468	2.95235005995002	1.14954112634684	0	0	0	1.94744205525524	0	0	0	0	0.445260024433476	0	0	0	2.3703364003498	0	0.997340461648764	0	2.80647357838909	0.599844841916406	1.02262954861297	1.32759630514311	0	1.91089397277162	0	0	0	0	0	0	2.74771186220786	0	0	0	0	0	1.48850131455791	0	0.842565516338081	1.97020335659943	2.09674816817102	0	0	2.05776758158709	0	0.445260024433476	1.5362057662708	1.48850131455791	0	0	0	2.82930168423692	0	0	0.445260024433476	1.67653389471678	0	0	0.529394383768837	0	0	0	3.03851828613358	0	0	0	0	1.4800150923675	0	0	0	0	0.911219374970062	1.0691772513763	0	0	0	0	0	0	0	0	0	0	0.842565516338081	0	0	0	0	0	1.33960143368644	0	0	0	0	0	0.340812784448675	0	0	0	0	0	1.3845553217142	0	0.997340461648764	0.445260024433476	0	0	0	0	0	0	1.14954112634684	0	0	0	0	0.529394383768837	0	0	0	0	0	0	0	0.842565516338081	1.20134927598371	0	0.445260024433476	0	1.75600751365854	1.36265976619512	0.445260024433476	1.48850131455791	1.71808608039892	0	1.87445463226337	1.16750603313182	0	0	0.660446114652443	0	0.760983044576103	1.77812999355027	1.90125530045219	2.9456558381335	0	0	0	0	0	0	1.46252836902162	0	0	3.83926657175514	2.80566459359587	0	0	0	0	0	0.529394383768837	0	1.16750603313182	1.0691772513763	0	0	0	2.97705042700499	02e99a00-1cde-11e6-9a08-68b599768938	WGS	500	16692000	PRJEB14082	SAMEA4008099	10042895	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,contigs,sra	s3,ena,gs,ncbi	gs.US,ncbi.public,s3.us-east-1,ena	ERC000011	9/12/16	11/16/18	ERX1694907	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:17Z	public	Illumina MiSeq	16634277	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008099	ERS1179209	ERS1179209	ERP015690	P18_Pre	Pre	P18	0
ERR1624545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.52046659098156	0	1.11082290295842	0	0.91084614137445	0	0	0	0	0	0	0	0	0	0	0.66011368206063	0	0	0	0	0	0	0.91084614137445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.80321073187078	0	0	0	0.52909471071772	2.88659651019268	0	0	1.2755507309783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.11082290295842	0	0	0	0	0	0	0	0	0	0	3.76260039311126	2.30838891857828	0	0	0	0	0	0	0	0	0	0	0	0	0	1.69738983371918	0	0	0	1.93216514403868	0	0	0	0	0	0	0	0	0	0	0	0	0	0.760631391021691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.50041982294487	0	0.760631391021691	3.72957549573348	0	0	0	0	0	0	0	0	0	0	0.52909471071772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66011368206063	0	0	0	3.08941203963361	0.91084614137445	0	0	0	0	0	0	0	0	0	0	0	0	3.39341181493776	02ffe120-1cde-11e6-9a08-68b599768938	WGS	500	8592500	PRJEB14082	SAMEA4008102	5385151	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,cram,contigs	ncbi,gs,ena,s3	ena,gs.US,s3.us-east-1,ncbi.public	ERC000011	9/12/16	11/16/18	ERX1694910	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:19Z	public	Illumina MiSeq	16634280	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008102	ERS1179212	ERS1179212	ERP015690	P24_Pre	Pre	P24	0
ERR1624547	0	0	2.07846084897894	1.65978937880633	1.49855474926079	0	3.01094555347508	0	1.31425774629649	1.35790378168786	0	0	0	0	0	0	0	2.35528505177277	0	0	2.74404139250505	1.21109004912633	2.89527957544398	0.630402993851102	2.97936111080235	1.59270010593875	0	0	0	0	0	0	0	0	0	0	0	0	1.97147563827798	0	2.01474029774255	0	2.54782841921455	0	0	1.52759837463234	0	2.04988323493121	0	0	0	0	0	0	2.6553557598618	0	0	0	0	0	0	0	0	2.19550761329338	1.18095523223349	0	0	3.07239023558185	0	0	0.630402993851102	0.935982070277588	0	0	0	2.50116385411166	0	0	0	0	0	0	0	1.37818501941756	0	0	3.21921402291241	0	0	0	0	2.40272752805194	0	0	0	0	1.14857247206146	0	1.18095523223349	0	1.67002842165403	0	0	0	0	0	0	0	0	0	0	0	0.5024048469669	0	1.31425774629649	0	0	0	0	0	0	0	0	0	0	0	1.84301378651831	0	0	1.0755172013899	0	0	0	0	0	0	2.04136049015603	0	0	0	0	0	0	0	0	0	0	0	0	2.18015096604723	2.22749448697428	0	0	0	0.809532261682499	0	0	0.809532261682499	1.03379620926069	0.729138361135079	1.45098711191868	0.630402993851102	0	0	0	0	1.80020381362439	0	1.55482084955374	3.03079386154109	0	0	0	0	0	2.29726848625018	0	0	0	3.64193513390844	2.68567349564181	0	0	0	2.59238864141412	2.17066938475131	0	0.630402993851102	0	0.729138361135079	0	0	0.877343164698345	2.99972426909689	030fbfa0-1cde-11e6-9a08-68b599768938	WGS	500	9181500	PRJEB14082	SAMEA4008104	5634834	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,sra,cram	ena,s3,gs,ncbi	ncbi.public,ena,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694912	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:20Z	public	Illumina MiSeq	16634282	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008104	ERS1179214	ERS1179214	ERP015690	P26_Pre	Pre	P26	0
ERR1624549	0	0	0	0.948854362318623	1.73963855407073	0	2.22185646054695	0	2.3711440280754	0	0	0	0	0	0	0	0	0	0	0	3.14202622429313	0	2.36625769009064	0.559867931758836	3.49558806385407	0	0	0	2.25799721373037	0	0	0	0	0	0	2.7870350471179	0	0	2.72821117204482	0	0	0	2.55624321076537	2.33042149457466	0	1.83287122708589	0	2.06709233001909	0	0	0	0	0	1.4565422102802	3.06863332102667	0.879336281453033	0.559867931758836	0.694123690100279	0	0	0	0	1.59251329645543	1.34316060702772	2.89175163854813	0	0	2.68561680017696	0	0	1.97475810377665	0	0	0	0	1.9301828734805	0	0	0	1.99254483292585	0	0.694123690100279	0.559867931758836	0	0	0	0	1.00876483624926	0	0	0	0	0	1.31644370982823	0	0	0	0	0	1.18929997145883	0	1.9301828734805	0	0	0	0	0	0	0	2.42155072272476	0	0	0	0	1.59251329645543	0	0	0	0	2.29426977213289	0.948854362318623	0	1.06140370886983	0	0	0	2.81414431114261	0	0	0	0	0	0	0	0	0	1.47605509487031	0	0	0	0	0	0	1.3921179079968	1.94339225095063	0	0	0	0	0	2.00963166891827	0	0	0	2.20793117116525	0	1.2575081326092	1.57766953026093	2.53677654054412	0	2.3409656646589	1.91655908580966	0	0	1.15070680792909	0.879336281453033	1.00876483624926	1.2575081326092	1.06140370886983	1.98669649156501	0	0.694123690100279	0	0	0	2.6675817465627	0	0	0	2.07676946439304	3.05476262489943	0	0	0.796529458579098	0	0	0	0	0	1.62076035810107	0	0	0	3.41679922488482	03208880-1cde-11e6-9a08-68b599768938	WGS	500	7965000	PRJEB14082	SAMEA4008106	5048509	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,contigs,cram	s3,gs,ncbi,ena	ena,ncbi.public,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694914	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:21Z	public	Illumina MiSeq	16634284	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008106	ERS1179216	ERS1179216	ERP015690	P33_Pre	Pre	P33	0
ERR1624550	0	0	0	0	0.797771952056891	0	2.17505806144469	0	1.93609197092526	0	0	0	0	0	0	0	0	2.20465747849692	0	0	3.40261575077572	1.37782042503888	2.42732860707315	1.99786388237331	2.69177761517811	1.92260863846763	1.24825307079481	0	0	1.9660147892025	0	0	0	0	0	0	0	0	1.94916926720736	2.51960541993022	2.07180784412011	0	2.15681175666146	0	0.991025612923457	0	0	1.79020628693819	0	0.440766733970401	0	0	1.12429774073097	1.06275390228706	2.46426706526899	0	1.51406563242665	0	0	0	0	0	0.560939478599347	2.44687353399049	0	0	0	2.75992810395453	0	0.560939478599347	1.15208082137912	0.732211862309075	0	0	0	2.05866004078915	2.3806398759027	0	0	0	0	0	0	1.02836891249396	0	0	0	0	0	0	0	2.34417003563267	0.797771952056891	0	0	0	1.55849149067486	0	0	0	0	1.06275390228706	0	0	0	0	0	0.654964587471184	1.06275390228706	0	0	0	0	0	1.0946150821318	0	0	0	0	0	0.854720960674371	0	0	0	0	0	2.17249791317004	0	0	0	0	0.991025612923457	0	0	0	0	2.56349570127229	0	0	0	0	0	0	0	0	0	0	0	0	2.28099315277588	1.82011297368303	0	0	0	1.24825307079481	0	0	0.905060573737867	0	1.02836891249396	1.06275390228706	0	0	0	0	0	1.85347809081309	0	0.905060573737867	2.65109403848093	0	0	0	0	0	1.77122101785868	0	0	0	1.59879161330276	2.31742336935397	0	0	1.36151429637508	1.36151429637508	1.99786388237331	0	0	0	1.26930170125911	0	0	0.797771952056891	3.93367083607322	03289ed0-1cde-11e6-9a08-68b599768938	WGS	500	11658000	PRJEB14082	SAMEA4008107	7418991	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,sra,cram	gs,ena,s3,ncbi	ncbi.public,ena,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694915	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:21Z	public	Illumina MiSeq	16634285	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008107	ERS1179217	ERS1179217	ERP015690	P34_Pre	Pre	P34	0
ERR1624552	0	0	0	1.54770468238437	0	0	2.40933870417369	0	1.66955623641616	0	0	0	0	0	0	0	0	1.60735224207985	0	0	2.51081017172526	0	2.40757658822195	0.969125595483236	3.04485717308183	1.79458609990787	0	0	0	1.58446661884553	0	0	0	0	0	2.93785451245876	0	0	1.60735224207985	0	1.89155077986934	0	2.76331293925277	0.488331111549941	0	1.8425382104472	0	1.97076846673004	0	0	0	0	0.792118937630832	0	2.76949558671434	0	0	0	0	0.792118937630832	1.21980246293646	0	1.21980246293646	0	3.1738511410541	0	0	2.95670745173346	0	0	1.29459818475353	0.6146509524389	0	0	0	2.36688295445265	0	0	0	0	0.712387524729261	0	0.917744404160239	0.969125595483236	0	0	3.15877275896867	0	0	0	0	0	0	0	0	0	1.60735224207985	0	0	0.859458277315867	1.35838512009977	0	0	0	0	0	1.05660816569254	0	3.60999000117845	0	0	0	0	0	1.27106906453897	0	0	0	0	1.58446661884553	0	0	0	0	0	0	1.61835814335573	0	0	1.09452130895668	0	0	0.6146509524389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6146509524389	0	2.29308318720019	1.05660816569254	0	0	1.59606016089563	0	0	0	0.917744404160239	0	1.50754075168511	0	0	0	0	0	1.27106906453897	0	0.792118937630832	2.21800214078631	0	0	0	0	0	2.11348698230074	1.69760774352991	0	1.69760774352991	2.83093057124308	2.74584232426742	0	0	0	0	0	1.29459818475353	0	0	0	0	0	1.01506593449528	3.33746951252536	0338cb70-1cde-11e6-9a08-68b599768938	WGS	500	9990000	PRJEB14082	SAMEA4008109	6321273	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,sra,cram	ena,s3,gs,ncbi	ena,ncbi.public,s3.us-east-1,gs.US	ERC000011	9/12/16	11/16/18	ERX1694917	SC	2016-09-12T16:42:13Z	2016-05-25T12:31:22Z	public	Illumina MiSeq	16634287	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008109	ERS1179219	ERS1179219	ERP015690	P37_Pre	Pre	P37	0
ERR1624553	0	0	0	0.610429552548637	1.56712127001285	0	2.48090873624949	1.05151706012712	2.24658854067357	0	0	0	0	0	0	0	0	2.96438805766732	0	0	3.25810843157601	0	2.91093062144188	1.40862442982434	2.82734848353908	1.8305014505099	0	0	0	1.99778244717707	0	0	0	0	0	0	0	0	2.80629094019718	0	1.48787896180216	0	1.96039053937352	0	0	1.70109583685671	2.64456686502053	1.63411167021845	0	0	0	2.29662435146318	0	0	2.37656459444855	0	0	0	0	0	0	0	0	2.11484118576718	0.48456879018552	0	0	3.13854453919055	0	0	1.05151706012712	1.47314307035851	0	0	0	3.1034847723913	0	0	0	0	0	0	0	0.610429552548637	0	0	0.964144443545879	0.912838926889504	0	0	0	1.78909211820518	0	0	0	0	1.45788956629785	0	2.00223794424668	1.24092635077126	1.81713228678719	2.35151791399234	0	1.33281994539163	0	1.01002429067966	1.28929913062959	0	0	1.01002429067966	0	0	0	0	1.85606506735094	0	0	0	0	0	1.1864824127567	0	0.912838926889504	1.39087733944889	0	0	2.10794609389472	0	0	1.15646679934594	0	0	0	0	0	0	2.54384612182383	0	0	0	0	0.854650193842665	0	0	0	0	0	0	3.23848988725054	1.50213122007	1.87429633750639	0	0	0	1.26578587764343	1.01002429067966	1.08938900697564	1.37237401612253	2.53353520253013	1.52930495465908	1.31160446472805	1.4420807583626	0	0	1.6443369202485	0	1.75911581447926	1.74331428026552	2.52297351809854	1.56712127001285	0	0	0	0	0	0	1.81713228678719	0	0	1.59061843342582	2.97015327460264	0	0	1.70987424618897	1.08938900697564	0.48456879018552	1.7184787270487	1.52930495465908	0	0	0	0	0	3.37209105164161	033fd050-1cde-11e6-9a08-68b599768938	WGS	500	10139500	PRJEB14082	SAMEA4008110	6373530	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,contigs,cram	s3,gs,ncbi,ena	ena,ncbi.public,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694918	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:22Z	public	Illumina MiSeq	16634288	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008110	ERS1179220	ERS1179220	ERP015690	P38_Pre	Pre	P38	0
ERR1624554	0	0	1.89300329004269	0	1.66956272224284	0	0	1.44947956462823	2.43078891317182	0	0	0	0	0	0	0.910878116744639	0	3.15095952274645	0	0	3.26952828409491	0	1.52976237694734	0.827098101870108	3.25666136286919	0	0	0	0	0	0	0	0	0	0	0	0	0.586351268836202	2.41912615765422	0	0	0	3.02641511414512	0	0	0	2.37695255630635	1.47098388213083	0	0	0	0.586351268836202	2.40225353342488	0	2.9828387488697	1.0414976694753	1.91619185369161	0	0	0	1.88499022189239	0	1.2917321087325	3.08885881011132	2.01053546972205	0	0	1.83353412590604	0	0	1.78544342347448	0.723197319937335	0	1.90087118541139	0	2.00443571190651	0	0	0	0	0	0	0	0	0	0	0.981080180260085	1.0945274034902	0	0	0	0.910878116744639	1.51103973789179	0	0	0	1.90087118541139	0	0	1.47098388213083	0	2.07252197354808	0	0	0	0	0	0	0	0	0	0	0	0	1.90087118541139	0	0	0	0	2.25435207601557	0	0	2.1493337750999	0	0	0	1.37772907256721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0414976694753	0	0	0	0	0	0	0	0	1.0945274034902	0	0.827098101870108	0	2.20694064020423	1.80532315627461	1.0945274034902	1.97914206346659	0	0	1.94530129538307	1.79549702873552	0	0.910878116744639	0	0	1.35091194555192	1.59749429248011	1.62777116922663	3.0908771456869	0	0	0	0	0	0	0	0	0	3.00792408672733	2.46613488914919	0	2.03981175148993	0.981080180260085	0	0	2.34730553479168	0.910878116744639	0	1.59749429248011	1.32232927767122	0	0	3.41358284977466	03477170-1cde-11e6-9a08-68b599768938	WGS	500	7270000	PRJEB14082	SAMEA4008111	4668433	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,cram,sra	ena,ncbi,s3,gs	ena,ncbi.public,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694919	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:23Z	public	Illumina MiSeq	16634289	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008111	ERS1179221	ERS1179221	ERP015690	P40_Pre	Pre	P40	0
ERR1624555	0	0	2.53841678472753	1.38267229850993	1.83147596387864	0	2.88918046421018	0	2.2606319054666	0	0	0	0	0	0	0.686284477924713	0	2.472217470752	1.44704097250409	0	2.99707782155462	0	3.40542014666282	1.18009444798846	3.29929256466531	1.21548579561089	0	0	0	0	0	0	0	0	1.18009444798846	0	0	0	0	0	0.940124332332312	0	3.32618525713286	0	0	2.19814361217486	2.22222413544482	2.22886597065327	0	0	0	0	2.27271504784529	0	3.07223365973822	0	1.83962768262754	1.56808361050132	0	0	0	0	1.18009444798846	2.14556412494523	1.74024350202152	1.18009444798846	0	1.80606047608442	0	1.85548597516578	1.95274156208181	0	0	0	0	2.37567332530272	0	0	0	0	0	0.686284477924713	0	0	0	0	0	0.870800252269281	0	0	0	2.02165953409804	0	0	0	0	1.70866596564266	1.91369393805777	0	1.56808361050132	1.0992728948386	0	0	0	0	0	0	0	0	1.9998798191609	1.05241841420492	0	0	0	1.0992728948386	0	0	0	0	0	0.999890746066097	0	0.940124332332312	0	0	0	1.89985688517586	0	0	0.686284477924713	0	0	0	0	0	0	0	0	0	0	0	0	0.999890746066097	0	0	0	0	0	1.05241841420492	1.78825099707737	0	0	0	0	2.16888170928121	0	0.940124332332312	0	1.92045057756177	0.940124332332312	2.07176164126287	1.78825099707737	0	0	0	0	0.999890746066097	0.940124332332312	2.15347657578071	2.02693797855907	0	0	0	0	0	0	0	0	0	2.66626311539923	3.02955231560677	0	0	0.788268784890848	0	0	1.18009444798846	0	0	1.84762920820447	0	0	0	3.31686686378574	034e9d60-1cde-11e6-9a08-68b599768938	WGS	500	8144000	PRJEB14082	SAMEA4008112	5206797	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,cram,sra	ena,gs,ncbi,s3	gs.US,s3.us-east-1,ncbi.public,ena	ERC000011	9/12/16	11/16/18	ERX1694920	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:23Z	public	Illumina MiSeq	16634290	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008112	ERS1179222	ERS1179222	ERP015690	P2_Post	Post	P2	1
