Actinomycetales	Aeromonadales	Anaeroplasmatales	Bacillales	Bacteroidales	Betaproteobacteriales	Bifidobacteriales	Campylobacterales	Chloroplast	Clostridiales	Coriobacteriales	Corynebacteriales	Desulfovibrionales	DTU014	Enterobacteriales	Erysipelotrichales	Fusobacteriales	Gastranaerophilales	Izimaplasmatales	Lactobacillales	Micrococcales	Mollicutes_RF39	Pasteurellales	Pseudomonadales	Rhodospirillales	Saccharimonadales	Selenomonadales	Verrucomicrobiales	others	Alias	Assay.Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center.Name	Consent	DATASTORE.filetype	DATASTORE.provider	DATASTORE.region	ENA_CHECKLIST	ENA.FIRST.PUBLIC..run.	ENA.LAST.UPDATE..run.	Experiment	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	Instrument	Library.Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	sample_description	Sample.Name	sample_name	SRA_accession	SRA.Study	title	time	ID	prepost
ERR1624539	1.30194047865634	0	0	0.845919612549823	2.92316348266479	0	3.03478315870476	0.477760389847373	0	4.07854417661463	3.23572808793745	1.20501849799311	1.34333751560741	0	1.83979356700928	2.85221535073144	0	0	0	2.35120209499597	0	2.37202213897785	0	0	0	0	1.80028370436503	0	1.6344045426801	02cdfbb0-1cde-11e6-9a08-68b599768938	WGS	500	10593500	PRJEB14082	SAMEA4008096	6687848	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,contigs,cram	ena,ncbi,s3,gs	ena,ncbi.public,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694904	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:16Z	public	Illumina MiSeq	16634274	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008096	ERS1179206	ERS1179206	ERP015690	P10_Pre	Pre	P10	0
ERR1624542	0	0	0	0	2.98942372797986	0.445260024433476	2.63892126077259	0	0	3.8079621132923	2.88263516584843	0	0.878247647291468	0	2.47127016696394	3.07767290001423	0	0	0	3.83979087047751	0	0	0	0	0.340812784448675	0	1.14954112634684	0	0.340812784448675	02e99a00-1cde-11e6-9a08-68b599768938	WGS	500	16692000	PRJEB14082	SAMEA4008099	10042895	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,contigs,sra	s3,ena,gs,ncbi	gs.US,ncbi.public,s3.us-east-1,ena	ERC000011	9/12/16	11/16/18	ERX1694907	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:17Z	public	Illumina MiSeq	16634277	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008099	ERS1179209	ERS1179209	ERP015690	P18_Pre	Pre	P18	0
ERR1624545	0	0	0	0	1.57877071864814	0.760631391021691	1.11082290295842	0	0	1.57877071864814	1.06878809686391	0	0	0	4.17350257085743	0.842201224978337	0	0	0	3.30287359590064	0	0	0	0	0	0	0	0	0	02ffe120-1cde-11e6-9a08-68b599768938	WGS	500	8592500	PRJEB14082	SAMEA4008102	5385151	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,cram,contigs	ncbi,gs,ena,s3	ena,gs.US,s3.us-east-1,ncbi.public	ERC000011	9/12/16	11/16/18	ERX1694910	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:19Z	public	Illumina MiSeq	16634280	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008102	ERS1179212	ERS1179212	ERP015690	P24_Pre	Pre	P24	0
ERR1624547	1.65978937880633	0	0	0	2.8183716219832	1.0755172013899	2.89527957544398	0	0	3.91780268867586	2.78474171524501	0	0.630402993851102	0	1.18095523223349	3.29288782577178	0	0	0	3.64215099046656	0	0	1.37818501941756	0	0	0	2.41015416462955	0	0	030fbfa0-1cde-11e6-9a08-68b599768938	WGS	500	9181500	PRJEB14082	SAMEA4008104	5634834	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,sra,cram	ena,s3,gs,ncbi	ncbi.public,ena,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694912	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:20Z	public	Illumina MiSeq	16634282	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008104	ERS1179214	ERS1179214	ERP015690	P26_Pre	Pre	P26	0
ERR1624549	0.948854362318623	0	0	0	3.37215231662407	0.796529458579098	2.36625769009064	0	0	4.04848336912734	2.97606038558182	0	0.559867931758836	0	2.94737792483591	2.98619870967147	0	0	0	2.58538490044932	0	1.06140370886983	0	0	0	0	1.47605509487031	0	1.34316060702772	03208880-1cde-11e6-9a08-68b599768938	WGS	500	7965000	PRJEB14082	SAMEA4008106	5048509	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,contigs,cram	s3,gs,ncbi,ena	ena,ncbi.public,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694914	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:21Z	public	Illumina MiSeq	16634284	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008106	ERS1179216	ERS1179216	ERP015690	P33_Pre	Pre	P33	0
ERR1624550	0	0	0	0	3.44942798775338	1.36151429637508	2.42732860707315	0	0	3.68042771778966	2.38222699697142	0.440766733970401	1.99786388237331	0	3.88756281526768	2.59567017570529	2.3806398759027	0	0	1.70117646175265	0	0	1.02836891249396	0	0	0	2.58388230374273	0	0	03289ed0-1cde-11e6-9a08-68b599768938	WGS	500	11658000	PRJEB14082	SAMEA4008107	7418991	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,sra,cram	gs,ena,s3,ncbi	ncbi.public,ena,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694915	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:21Z	public	Illumina MiSeq	16634285	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008107	ERS1179217	ERS1179217	ERP015690	P34_Pre	Pre	P34	0
ERR1624552	1.54770468238437	0	0	1.73239613697341	2.61655000270737	1.09452130895668	2.40757658822195	0	0	3.76146740245234	2.89864157607362	0	0.969125595483236	0	3.40869454099793	3.36694881645543	0	0	0	3.67813859178885	1.05660816569254	0	0.969125595483236	0	0	0	1.1917052774567	0	0	0338cb70-1cde-11e6-9a08-68b599768938	WGS	500	9990000	PRJEB14082	SAMEA4008109	6321273	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,sra,cram	ena,s3,gs,ncbi	ena,ncbi.public,s3.us-east-1,gs.US	ERC000011	9/12/16	11/16/18	ERX1694917	SC	2016-09-12T16:42:13Z	2016-05-25T12:31:22Z	public	Illumina MiSeq	16634287	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008109	ERS1179219	ERS1179219	ERP015690	P37_Pre	Pre	P37	0
ERR1624553	0.610429552548637	0	0	0	3.72862592133421	1.81029013728858	2.91093062144188	0	0	3.98678432295036	2.34953006268754	0	2.34753307074161	0	0.48456879018552	2.1694101680191	0	0.610429552548637	0	1.68298807200394	0	1.82386831055296	0.610429552548637	0	1.08938900697564	0	2.54384612182383	1.05151706012712	1.05151706012712	033fd050-1cde-11e6-9a08-68b599768938	WGS	500	10139500	PRJEB14082	SAMEA4008110	6373530	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,contigs,cram	s3,gs,ncbi,ena	ena,ncbi.public,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694918	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:22Z	public	Illumina MiSeq	16634288	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008110	ERS1179220	ERS1179220	ERP015690	P38_Pre	Pre	P38	0
ERR1624554	0	2.03981175148993	0	0	3.33477019480459	0.981080180260085	1.52976237694734	0	0	4.01587627771094	3.14120665763786	0	0.981080180260085	0	2.01053546972205	3.10523611733788	0	0	0	3.00792408672733	0	0	0	0	2.30944084804667	0	2.51806468550782	1.44947956462823	0	03477170-1cde-11e6-9a08-68b599768938	WGS	500	7270000	PRJEB14082	SAMEA4008111	4668433	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,cram,sra	ena,ncbi,s3,gs	ena,ncbi.public,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694919	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:23Z	public	Illumina MiSeq	16634289	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008111	ERS1179221	ERS1179221	ERP015690	P40_Pre	Pre	P40	0
ERR1624555	1.38267229850993	0	0	0	3.10762151644155	0.999890746066097	3.40542014666282	0	0	3.97824176488863	3.35373995745196	0	1.18009444798846	0	1.74024350202152	2.37331658408055	0	0	0	2.75027700256108	0	0.552754567709539	0	0	0	0	2.72579046555624	0	0.686284477924713	034e9d60-1cde-11e6-9a08-68b599768938	WGS	500	8144000	PRJEB14082	SAMEA4008112	5206797	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,cram,sra	ena,gs,ncbi,s3	gs.US,s3.us-east-1,ncbi.public,ena	ERC000011	9/12/16	11/16/18	ERX1694920	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:23Z	public	Illumina MiSeq	16634290	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008112	ERS1179222	ERS1179222	ERP015690	P2_Post	Post	P2	1
