bugName	pval	p6M	s6M	Adjustedpval	Adjustedp6M
Bacilli	0.00543444637993873	0.00543444637993872	0.609202487906732	0.0815166956990809	0.0815166956990808
Gammaproteobacteria	0.0217169462757186	0.0217169462757186	0.459953510428139	0.16287709706789	0.16287709706789
Verrucomicrobiae	0.0412653030718649	0.041265303071865	0.454842454098087	0.206326515359325	0.206326515359325
Fusobacteriia	0.168069600487591	0.168069600487591	0.314475649785437	0.630261001828466	0.630261001828466
Negativicutes	0.297152674364351	0.297152674364351	0.204951456980015	0.768682218427292	0.768682218427292
Mollicutes	0.349736935651571	0.349736935651571	-0.223565160374005	0.768682218427292	0.768682218427292
Erysipelotrichia	0.436075481226981	0.436075481226981	-0.130963998755981	0.768682218427292	0.768682218427292
Coriobacteriia	0.479007080052527	0.479007080052527	0.0949960416712908	0.768682218427292	0.768682218427292
others	0.48145038784857	0.48145038784857	0.132304585910648	0.768682218427292	0.768682218427292
Alphaproteobacteria	0.512454812284861	0.512454812284861	0.134609035368242	0.768682218427292	0.768682218427292
Bacteroidia	0.647791384777719	0.647791384777719	0.0620629136541508	0.820860763847994	0.820860763847994
Oxyphotobacteria	0.667342202513842	0.667342202513842	0.0409811849217638	0.820860763847994	0.820860763847994
Deltaproteobacteria	0.711412662001594	0.711412662001594	0.0764487231179907	0.820860763847994	0.820860763847994
Clostridia	0.788239957415859	0.788239957415859	-0.0368184623282406	0.844542811516992	0.844542811516992
Actinobacteria	0.963801499279004	0.963801499279004	-0.00888726302443017	0.963801499279004	0.963801499279004
