bugName	pval	p6M	s6M	Adjustedpval	Adjustedp6M
Streptococcaceae	0.000302151970662745	0.000302151970662727	0.75789902533415	0.0117839268558471	0.0117839268558463
Actinomycetaceae	0.00154699990584839	0.00154699990584835	0.59389666687449	0.0208820122252162	0.0208820122252156
Micrococcaceae	0.00160630863270894	0.00160630863270889	0.55737308974372	0.0208820122252162	0.0208820122252156
Carnobacteriaceae	0.00277029724064515	0.00277029724064522	0.475571243689785	0.0270103980962902	0.0270103980962908
Enterococcaceae	0.00492334158984431	0.00492334158984429	0.975333883580049	0.0384020644007856	0.0384020644007854
Enterobacteriaceae	0.0103233225056663	0.0103233225056662	0.681718711588937	0.0671015962868307	0.0671015962868304
Coriobacteriales_Incertae_Sedis	0.0227038482239533	0.0227038482239533	-0.370953977153397	0.126492868676311	0.126492868676312
Family_XI	0.0274849511180679	0.0274849511180679	0.387197433857867	0.133989136700581	0.133989136700581
Akkermansiaceae	0.0412653030718649	0.041265303071865	0.454842454098087	0.178816313311415	0.178816313311415
Acidaminococcaceae	0.0876233777824598	0.0876233777824598	0.367622332106833	0.341731173351593	0.341731173351593
Family_XIII	0.15482217197009	0.15482217197009	0.222835001730541	0.460420440712663	0.460420440712663
Muribaculaceae	0.163119853499261	0.163119853499261	0.124146269312574	0.460420440712663	0.460420440712663
Marinifilaceae	0.164259995846512	0.164259995846512	-0.289143344162269	0.460420440712663	0.460420440712663
Fusobacteriaceae	0.168069600487591	0.168069600487591	0.314475649785437	0.460420440712663	0.460420440712663
Coriobacteriaceae	0.181107608771349	0.181107608771349	0.247189018312031	0.460420440712663	0.460420440712663
Veillonellaceae	0.190896367651731	0.190896367651731	0.302067655978141	0.460420440712663	0.460420440712663
Barnesiellaceae	0.200696089541417	0.200696089541417	-0.272629025567451	0.460420440712663	0.460420440712663
Lactobacillaceae	0.216316296809297	0.216316296809297	-0.438499355596432	0.460989973337504	0.460989973337504
Eubacteriaceae	0.230850476691399	0.230850476691399	0.140958800273954	0.460989973337504	0.460989973337504
Prevotellaceae	0.236405114532053	0.236405114532053	0.308864024759512	0.460989973337504	0.460989973337504
Leuconostocaceae	0.340049340371614	0.340049340371614	-0.112353099403548	0.612154982942732	0.612154982942732
Pasteurellaceae	0.353698716522906	0.353698716522906	-0.138770235806644	0.612154982942732	0.612154982942732
Rikenellaceae	0.363177249527614	0.363177249527614	0.185671460416898	0.612154982942732	0.612154982942732
others	0.377048501814447	0.377048501814447	0.2087827444606	0.612154982942732	0.612154982942732
Atopobiaceae	0.392407040347905	0.392407040347905	0.143209807402125	0.612154982942732	0.612154982942732
Clostridiales_vadinBB60_group	0.417865871830036	0.417865871830036	0.0809912703416837	0.616371609290963	0.616371609290963
Erysipelotrichaceae	0.436075481226981	0.436075481226981	-0.130963998755981	0.616371609290963	0.616371609290963
Peptostreptococcaceae	0.442523206670435	0.442523206670435	-0.16600759414992	0.616371609290963	0.616371609290963
Burkholderiaceae	0.475797610495039	0.475797610495039	0.0969831320065375	0.639865752045052	0.639865752045052
Bifidobacteriaceae	0.492469268432847	0.492469268432847	-0.149699765806116	0.640210048962701	0.640210048962701
Bacteroidaceae	0.660791618507963	0.660791618507963	-0.0614388479019028	0.825303554640903	0.825303554640903
Tannerellaceae	0.690418045713436	0.690418045713436	-0.0684222225180337	0.825303554640903	0.825303554640903
Desulfovibrionaceae	0.711412662001594	0.711412662001594	0.0764487231179907	0.825303554640903	0.825303554640903
Ruminococcaceae	0.72483985498356	0.72483985498356	-0.0450319243220263	0.825303554640903	0.825303554640903
Lachnospiraceae	0.756244209855089	0.756244209855089	-0.0496220653486299	0.825303554640903	0.825303554640903
Christensenellaceae	0.76315771542534	0.76315771542534	-0.0602715810485804	0.825303554640903	0.825303554640903
Staphylococcaceae	0.782980295428549	0.782980295428549	0.0318408323240908	0.825303554640903	0.825303554640903
Eggerthellaceae	0.824901070579008	0.824901070579008	0.0246020301231816	0.846608993488982	0.846608993488982
Clostridiaceae_1	0.953197025935181	0.953197025935181	0.0157017158194294	0.953197025935181	0.953197025935181
