bugName	pval	p6M	s6M	Adjustedpval	Adjustedp6M
Actinomycetales	0.00154699990584839	0.00154699990584835	0.59389666687449	0.0160630863270894	0.0160630863270889
Micrococcales	0.00160630863270894	0.00160630863270889	0.55737308974372	0.0160630863270894	0.0160630863270889
Lactobacillales	0.00547395994246036	0.00547395994246035	0.609602970512755	0.0364930662830691	0.036493066283069
Enterobacteriales	0.0103233225056663	0.0103233225056662	0.681718711588937	0.0516166125283313	0.0516166125283311
Bacillales	0.0184410591778046	0.0184410591778046	0.382379635794806	0.0737642367112183	0.0737642367112183
Verrucomicrobiales	0.0412653030718649	0.041265303071865	0.454842454098087	0.13755101023955	0.13755101023955
Fusobacteriales	0.168069600487591	0.168069600487591	0.314475649785437	0.480198858535974	0.480198858535974
Selenomonadales	0.297152674364351	0.297152674364351	0.204951456980015	0.640568515356077	0.640568515356077
Pasteurellales	0.353698716522906	0.353698716522906	-0.138770235806644	0.640568515356077	0.640568515356077
Betaproteobacteriales	0.403095204311614	0.403095204311614	0.115880120860143	0.640568515356077	0.640568515356077
Erysipelotrichales	0.436075481226981	0.436075481226981	-0.130963998755981	0.640568515356077	0.640568515356077
Coriobacteriales	0.479007080052527	0.479007080052527	0.0949960416712908	0.640568515356077	0.640568515356077
Bifidobacteriales	0.492469268432847	0.492469268432847	-0.149699765806116	0.640568515356077	0.640568515356077
others	0.497475736957386	0.497475736957386	0.126884222197324	0.640568515356077	0.640568515356077
Mollicutes_RF39	0.50066666914978	0.50066666914978	-0.155307538479322	0.640568515356077	0.640568515356077
Rhodospirillales	0.512454812284861	0.512454812284861	0.134609035368242	0.640568515356077	0.640568515356077
Bacteroidales	0.648236053343883	0.648236053343883	0.0619775374458556	0.741491336126491	0.741491336126491
Chloroplast	0.667342202513842	0.667342202513842	0.0409811849217638	0.741491336126491	0.741491336126491
Desulfovibrionales	0.711412662001594	0.711412662001594	0.0764487231179907	0.748855433685889	0.748855433685889
Clostridiales	0.788313910864386	0.788313910864386	-0.0368051496343754	0.788313910864386	0.788313910864386
