bugName	pval	p6M	s6M	Adjustedpval	Adjustedp6M
Alteromonadales	0.000433145387773282	0.000433145387773307	0.402320602732436	0.0298870317563564	0.0298870317563582
Rickettsiales	0.00621859396892588	0.00621859396892582	0.420586737803422	0.146558852539115	0.146558852539116
Lactobacillales	0.00637212402343978	0.00637212402343983	0.573566528602421	0.146558852539115	0.146558852539116
Enterobacterales	0.0130852102809891	0.013085210280989	0.632832712379448	0.225719877347062	0.225719877347061
Sphingobacteriales	0.0314094167351433	0.0314094167351433	0.137140837626512	0.364393396393313	0.364393396393313
Legionellales	0.0366547193621223	0.0366547193621222	-0.0865175014986708	0.364393396393313	0.364393396393313
Micrococcales	0.0369674460109158	0.0369674460109158	0.288271558576247	0.364393396393313	0.364393396393313
Vibrionales	0.0454244533874053	0.0454244533874052	0.0821653206743329	0.391785910466371	0.39178591046637
Verrucomicrobiales	0.0613815429904777	0.0613815429904777	0.414950138098652	0.442672706191218	0.442672706191217
Fusobacteriales	0.0796733974627675	0.0796733974627674	0.394078131110208	0.442672706191218	0.442672706191217
Actinomycetales	0.0818549302611906	0.0818549302611907	0.323506250956628	0.442672706191218	0.442672706191217
Deferribacterales	0.0834714476860734	0.0834714476860734	0.116337900269108	0.442672706191218	0.442672706191217
Cytophagales	0.0896308220254587	0.0896308220254587	0.176638043500905	0.442672706191218	0.442672706191217
Burkholderiales	0.097750197340349	0.0977501973403489	0.175768538795298	0.442672706191218	0.442672706191217
Synechococcales	0.101053488753278	0.101053488753278	0.0960234295721053	0.442672706191218	0.442672706191217
Propionibacteriales	0.10264874346463	0.10264874346463	-0.1330326239302	0.442672706191218	0.442672706191217
Corynebacteriales	0.113710638540555	0.113710638540555	0.254779788006974	0.461531415252841	0.461531415252841
Chitinophagales	0.12514875725061	0.12514875725061	-0.0643475139720476	0.466690248782467	0.466690248782467
Bacillales	0.128508909085027	0.128508909085027	0.177956266105677	0.466690248782467	0.466690248782467
Campylobacterales	0.137587905083192	0.137587905083192	-0.256341181789715	0.474678272537011	0.474678272537011
Coriobacteriales	0.164943661514178	0.164943661514178	0.258656298008136	0.541957744975155	0.541957744975155
Tissierellales	0.186093504971296	0.186093504971296	0.168777219466345	0.583656901955428	0.583656901955428
Dehalococcoidales	0.238341055657813	0.238341055657813	-0.100062970615758	0.686078487197918	0.686078487197918
Synergistales	0.238635995547102	0.238635995547102	0.0896847643272273	0.686078487197918	0.686078487197918
Veillonellales	0.251407267673165	0.251407267673165	0.214266257291193	0.693802318886428	0.693802318886428
Bdellovibrionales	0.261432757841263	0.261432757841263	0.0347493876069385	0.693802318886428	0.693802318886428
Sphingomonadales	0.274609441132317	0.274609441132317	0.0486736878952569	0.701779682893698	0.701779682893698
Pseudomonadales	0.285227879100488	0.285227879100488	0.0672320748011434	0.702882987783346	0.702882987783346
Flavobacteriales	0.303556347661196	0.303556347661195	0.17014546533961	0.722254758228362	0.722254758228362
Halanaerobiales	0.335974760005248	0.335974760005248	0.0877158998103625	0.77274194801207	0.77274194801207
Holosporales	0.368287927652394	0.368287927652394	0.0974290633891195	0.819737645419846	0.819737645419846
Desulfuromonadales	0.408701956550619	0.408701956550619	0.159186219937883	0.864693827648089	0.864693827648089
Spirochaetales	0.434234263446912	0.434234263446912	-0.172349784634986	0.864693827648089	0.864693827648089
Myxococcales	0.437203589462774	0.437203589462774	-0.0390329834918709	0.864693827648089	0.864693827648089
Parachlamydiales	0.438612811125842	0.438612811125842	-0.0725648397416455	0.864693827648089	0.864693827648089
Chlamydiales	0.461890186770472	0.461890186770472	0.0793200641266425	0.885289524643405	0.885289524643405
Clostridiales	0.507971628181787	0.507971628181787	-0.0766839348362621	0.941602493675936	0.941602493675936
Neisseriales	0.540966887338326	0.540966887338326	0.0162216759703928	0.941602493675936	0.941602493675936
Erysipelotrichales	0.542431861575077	0.542431861575077	-0.0959976181437752	0.941602493675936	0.941602493675936
Candidatus Nanosynbacterales	0.545856518073006	0.545856518073006	-0.0335401571852078	0.941602493675936	0.941602493675936
Acidaminococcales	0.561786027963019	0.561786027963019	0.126687340299621	0.942993193324884	0.942993193324884
Streptomycetales	0.606720260770116	0.606720260770116	-0.0276035484121915	0.942993193324884	0.942993193324884
Pleurocapsales	0.610417153479913	0.610417153479913	0.0506188725358538	0.942993193324884	0.942993193324884
Thiotrichales	0.616846207304008	0.616846207304008	-0.0152762205470622	0.942993193324884	0.942993193324884
