bugName	pval	p6M	p1Y	s6M	s1Y	Adjustedpval	Adjustedp6M	Adjustedp1Y
Amedibacterium intestinale	0.00206239290240406	0.00128308589388209	0.00326079688631891	-1.22380411450308	-1.10958923655148	0.377120616925308	0.326697530781278	0.378328019831838
[Clostridium] hylemonae	0.00207117269391088	0.611604216076212	0.00139795684459207	0.0590345197843521	-0.497735040673682	0.377120616925308	0.858812161063338	0.378328019831838
Klebsiella pneumoniae	0.00258301792414595	0.00149176954694647	0.00431881301177897	0.913828727544402	0.810156567998363	0.377120616925308	0.326697530781278	0.378328019831838
Prevotella ruminicola	0.00792616245942401	0.610320981022348	0.00301018480435456	0.030864239652483	0.235980756356145	0.711811895997769	0.858812161063338	0.378328019831838
Fusobacterium nucleatum	0.0083488083649933	0.00304988649835601	0.0326534310443925	0.858289595089676	0.57064498354673	0.711811895997769	0.445283428759978	0.520768956986974
Blautia sp. SC05B48	0.0118881404696303	0.0173750551800615	0.00641667306036254	-0.539291638429274	-0.678467672944341	0.711811895997769	0.655072682197697	0.445398968564269
Alistipes finegoldii	0.0130994476483615	0.0963548268550883	0.00424666912636628	0.423291947173428	0.859272506808794	0.711811895997769	0.672875904085868	0.378328019831838
Enterobacter hormaechei	0.0159552845909341	0.00618898305703693	0.0420191512575365	0.53533949030958	0.377794788959506	0.711811895997769	0.655072682197697	0.590604575876191
Alloprevotella sp. E39	0.0224129326468903	0.200399643648191	0.00711824835604997	0.156579563186166	0.390234761452828	0.711811895997769	0.672875904085868	0.445398968564269
Clostridium sp. SY8519	0.023510671118754	0.00787522462257201	0.40623018955115	-0.396212762216435	-0.107153281058975	0.711811895997769	0.655072682197697	0.799196699633039
Acutalibacter muris	0.0241258547655678	0.0530998874840453	0.00994199753119765	-0.396358982301453	-0.596578949606119	0.711811895997769	0.672875904085868	0.520768956986974
Hymenobacter sp. BRD128	0.0244310591907757	0.999997016412645	0.0130338585375362	2.38182998725079e-07	0.19581173737982	0.711811895997769	0.999997016412645	0.520768956986974
Actinopolyspora erythraea	0.0299760324069986	0.0207027582984861	0.0254473055148805	-0.317275759035582	-0.317276300482438	0.711811895997769	0.655072682197697	0.520768956986974
Roseburia intestinalis	0.0307786499077685	0.967766448921967	0.0151493572192645	-0.0103227808610607	-0.756351021818566	0.711811895997769	0.995786370597718	0.520768956986974
Clostridium sp. JN-9	0.0315655138926871	0.663997953402214	0.0229516115381038	-0.0286306905623295	0.178315250543225	0.711811895997769	0.875406080158718	0.520768956986974
Blattabacterium cuenoti	0.0328980473224825	0.995200139144692	0.0160460880114425	-0.0010802100936751	0.518605143393081	0.711811895997769	0.999997016412645	0.520768956986974
Anaerostipes rhamnosivorans	0.0339764037038857	0.0125216342342829	0.531020295675668	0.654841470267576	0.146101697301072	0.711811895997769	0.655072682197697	0.82372873415859
Stella humosa	0.0348277417810743	0.0116989513654946	0.424323194387376	0.218783029269297	0.0596458940001714	0.711811895997769	0.655072682197697	0.799196699633039
Immundisolibacter cernigliae	0.036173948653079	0.0191785789110109	0.999987628426528	0.147593352836708	-8.80084806720052e-07	0.711811895997769	0.655072682197697	0.999987628426528
Mycoplasma penetrans	0.0384401084869428	0.32022971467088	0.0127210969100953	-0.0987664812050207	-0.29482084105292	0.711811895997769	0.711931716891302	0.520768956986974
Pantoea eucalypti	0.0417408513449521	0.846719318315923	0.0225727413131899	-0.0104859529444496	0.143057269373023	0.711811895997769	0.94443603140774	0.520768956986974
Phascolarctobacterium faecium	0.042838087616944	0.388691299796363	0.0144535646237032	0.364884193483528	1.22259697035311	0.711811895997769	0.737469866279978	0.520768956986974
Salmonella enterica	0.0471318541178035	0.0219857848435124	0.0642639830391243	0.778274350256832	0.624855284730855	0.711811895997769	0.655072682197697	0.590825526896485
Massilistercora timonensis	0.0510859672869524	0.18119316398474	0.0176727090952743	-0.217526234185083	-0.448171388111415	0.711811895997769	0.672875904085868	0.520768956986974
Roseburia hominis	0.0556148290532108	0.03106481190307	0.881782431811755	0.820890980046941	-0.0516888441919522	0.711811895997769	0.655072682197697	0.942001719837923
Abiotrophia defectiva	0.055962979200222	0.0503230554345535	0.494284904167278	0.187517600658265	-0.0613618309665664	0.711811895997769	0.672875904085868	0.810941113658198
Pantoea stewartii	0.0564687004023643	0.0192171416124082	0.263703757596028	0.459705152216928	0.204283417022505	0.711811895997769	0.655072682197697	0.779998748613219
Akkermansia muciniphila	0.0574094734166382	0.0310817795171958	0.0654136207355914	1.27487822112721	1.08268907904632	0.711811895997769	0.655072682197697	0.590825526896485
Veillonella parvula	0.0604505026972283	0.0303844022501976	0.0774179471278976	0.936564566853978	0.750879566682034	0.711811895997769	0.655072682197697	0.590825526896485
Escherichia coli	0.0608565540018455	0.0662931058842583	0.031375864148251	0.777577819680642	0.987020842610294	0.711811895997769	0.672875904085868	0.520768956986974
Burkholderia thailandensis	0.061103061950379	0.0234554812815986	0.639700166168261	0.33993370636708	0.0632612002017625	0.711811895997769	0.655072682197697	0.836487460264425
Flavisolibacter sp. 17J28-1	0.0614143387448196	0.613586336664351	0.0231676414926984	0.0464535329965043	0.245113661447457	0.711811895997769	0.858812161063338	0.520768956986974
Atlantibacter hermannii	0.0615840360771539	0.226191736092941	0.0213090363879109	0.188199920153002	0.41615629755229	0.711811895997769	0.672875904085868	0.520768956986974
Streptococcus periodonticum	0.0668398522552267	0.0799116583260939	0.36868275821205	0.219866992384294	-0.109389729865841	0.711811895997769	0.672875904085868	0.799196699633039
Ethanoligenens harbinense	0.0680202434684728	0.0275287836038631	0.708425664802627	-0.427830451195594	-0.066145900195133	0.711811895997769	0.655072682197697	0.87652667001003
Serratia symbiotica	0.0701011745177343	0.0457339921761442	0.0544692920066883	0.446883517242995	0.446234215516816	0.711811895997769	0.672875904085868	0.590825526896485
Megamonas hypermegale	0.0706247903002801	0.0254111869152904	0.22178237469538	0.263228047212411	0.134163274274371	0.711811895997769	0.655072682197697	0.773086468574639
Cupriavidus oxalaticus	0.0740144640128796	0.952250351367821	0.0369939807043097	-0.0029500033016026	0.116801398175514	0.711811895997769	0.9907022657936	0.558736674085781
Dialister pneumosintes	0.0758498006226391	0.502048836761527	0.0664168421125862	0.270286738426085	-0.813346115372534	0.711811895997769	0.813892117289841	0.590825526896485
Blautia producta	0.0780979403790723	0.264211851308806	0.0277116987830547	-0.2600455080231	-0.587633101879464	0.711811895997769	0.67872083118064	0.520768956986974
Tolumonas auensis	0.0797577090584347	0.0307185583792136	0.571471211685225	0.306281571196536	0.0745541806690714	0.711811895997769	0.655072682197697	0.836487460264425
Erysipelothrix larvae	0.0802778862990421	0.0348363264827203	0.760225995978725	0.217303468610021	0.029211504395826	0.711811895997769	0.655072682197697	0.904697082361342
Alistipes onderdonkii	0.0806043935925473	0.220494783416521	0.0298347401663014	0.433066003644365	0.856632017875168	0.711811895997769	0.672875904085868	0.520768956986974
Desulfuromonas soudanensis	0.0818567417931578	0.153428084216661	0.0328052769121372	-0.116174358376133	-0.193229420419581	0.711811895997769	0.672875904085868	0.520768956986974
Aminomonas paucivorans	0.0831392382441247	0.0306771919228427	0.481638713777961	0.370392553078	0.112559568804411	0.711811895997769	0.655072682197697	0.810941113658198
Blautia argi	0.0849003362497344	0.334993115538469	0.0301605386409377	-0.135753149112281	-0.345635922319137	0.711811895997769	0.711931716891302	0.520768956986974
[Clostridium] innocuum	0.0856219326594406	0.179494834253064	0.0326926792634274	-0.509918658111137	-0.914018627096651	0.711811895997769	0.672875904085868	0.520768956986974
