"CV_rep1"	"CV_rep2"	"CV_rep3"	"CV_rep4"	"CV_rep5"	"CV_rep6"	"CV_rep7"	"CV_rep8"	"CV_rep9"	"CV_rep10"
"ERR1624539"	0.408198735489743	0.348580376534972	0.31637001484369	0.303096424352848	0.438938358148071	0.385502994139545	0.45254258434216	0.364224959819842	0.464892601037617	0.23192104385529
"ERR1624542"	0.541965728941181	0.541693078587465	0.508986401593337	0.561871563934578	0.628909443797798	0.283809409606866	0.645907787969436	0.678238386685708	0.554290731482965	0.622873622269678
"ERR1624545"	0.964669894936216	0.96083182549447	0.896097384596252	0.966225145030416	0.891876736132885	0.953920359180582	0.980002209573694	0.972372503954145	0.942139376820695	0.974044925735157
"ERR1624547"	0.727010270889852	0.6998941047278	0.769315342341108	0.691377982136413	0.529154190216089	0.684103639187746	0.536481936565904	0.660706207589711	0.596271033146103	0.605055725050786
"ERR1624549"	0.38318662506054	0.442061382351671	0.353643962226966	0.383548682169457	0.507408156815303	0.36140780031409	0.327469947851817	0.422394919213373	0.350744481719629	0.578495088762274
"ERR1624550"	0.149759429021295	0.0658181940869675	0.172161129174089	0.255786847682281	0.18012461308274	0.0600031118526169	0.142709473860762	0.159637240745502	0.275968399506067	0.204114470049731
"ERR1624552"	0.792142082738955	0.749161012227771	0.641993693703593	0.723302429906533	0.707413323123201	0.734499193435033	0.642026463961076	0.657470476930274	0.798779149524018	0.707719261716662
"ERR1624553"	0.332162160855027	0.25493318511755	0.373808153298274	0.467252040747475	0.286023187782937	0.351760464389525	0.352364963641736	0.447565036376319	0.226550090200664	0.274507389941465
"ERR1624554"	0.653631954563118	0.14190744867973	0.29456544985643	0.597740928889307	0.292880906118422	0.197015613994485	0.525466546620022	0.418236552562789	0.415249511871266	0.295199535986632
"ERR1624555"	0.465378039113573	0.274216049191261	0.456184150384504	0.347376055573292	0.354215080721213	0.326731880548847	0.350513302799659	0.371942779253787	0.462543325607243	0.286873712611113
"ERR1624556"	0.642233219506769	0.902250612672553	0.827492890096809	0.921021031295808	0.74624166382689	0.878409848101234	0.949081974351984	0.953644752669728	0.914703074840247	0.934375222959809
"ERR1624559"	0.68546638845621	0.603346231322561	0.659450702322901	0.401151824449189	0.624418899875678	0.434306857686719	0.707748184804358	0.55409764985125	0.778084605100043	0.715182737867189
"ERR1624560"	0.783325338090888	0.605224163759182	0.662475572230273	0.786985415387368	0.571980950228611	0.73699049076267	0.794826593412573	0.57088438391327	0.66351432228133	0.683882455025808
"ERR1624562"	0.729093793180723	0.852719411440755	0.744458365531255	0.455015453109137	0.899618802023402	0.718285480826358	0.773285766211064	0.592819397715272	0.673936874800121	0.747468541547058
"ERR1624564"	0.880270477808083	0.621807006478618	0.605562720722474	0.837795967859111	0.782826755484435	0.728493462740396	0.86385387364502	0.637188950733991	0.754554064370948	0.813771461370944
"ERR1624565"	0.223019030468424	0.551850723466633	0.656950432419943	0.490864151331627	0.264024454883985	0.518648615187668	0.412588481797347	0.40264174544317	0.46794846328018	0.466733506845164
"ERR1624567"	0.659992200606067	0.551030925587838	0.539679749775228	0.756848741032839	0.584285371362739	0.564820918131678	0.637274486776164	0.665481351629975	0.546060406836387	0.691897812552255
"ERR1624570"	0.297028473819618	0.393771152500126	0.299662081974819	0.256315194729932	0.283909415347459	0.374264709213619	0.284549740685898	0.338081763183635	0.379740091064579	0.457467049362645
"ERR1624536"	0.265610808705155	0.243943113716922	0.2485569770604	0.258860411631281	0.172351549529369	0.273794356356507	0.237813168296684	0.243976716658443	0.368363197323604	0.282969820107461
"ERR1624537"	0.30180243282978	0.490730011204552	0.211730253353276	0.25086984630691	0.190175329996119	0.366863684517853	0.266005547911609	0.189453302204472	0.334912179629991	0.219920874708022
"ERR1624538"	0.279429537929976	0.225721762316022	0.388550854744489	0.419997235144567	0.237403438872805	0.341891836623346	0.348545149692181	0.223680478118085	0.335056300345668	0.29029396052532
"ERR1624540"	0.424923168917568	0.335426128953589	0.595294956275938	0.299207735180876	0.565744145859871	0.507090658429004	0.578279649738334	0.366440540590193	0.351971951696823	0.245668807273065
"ERR1624541"	0.128363276401299	0.309584771252286	0.27475665763585	0.111609530606225	0.174721442201145	0.177711483598005	0.101622668724012	0.14396602765993	0.137812142181696	0.189371369150109
"ERR1624543"	0.369881750500474	0.534732700272531	0.456313106572078	0.483380930124245	0.441874547654344	0.465334141117199	0.327392146946473	0.364339755269657	0.370180178052479	0.292679969965506
"ERR1624544"	0.716258893004793	0.828128358112224	0.546138715933871	0.826315905028871	0.789242535900064	0.818050592131787	0.825396520951212	0.801365317700578	0.79758740692569	0.743590926548323
"ERR1624546"	0.411364229123615	0.593188487123867	0.458745639906913	0.701285553429763	0.47187538221092	0.596312400674644	0.41454737691067	0.617399480761638	0.540562445209121	0.520679363664027
"ERR1624548"	0.322779142578741	0.433205087458143	0.236951559885944	0.227632000575176	0.216448188950089	0.279459856680029	0.369127200409002	0.341556760248999	0.368081657767682	0.402191447341662
"ERR1624551"	0.407416783925859	0.50764242061066	0.343427255640712	0.327904478423585	0.2947051075456	0.338240561671851	0.297795003234409	0.379644324064006	0.275379253857844	0.468446393187765
"ERR1624557"	0.283721147746279	0.437885143401024	0.289185035314849	0.331875583511847	0.25880499039606	0.432483455368253	0.326004399724775	0.284449045581833	0.198372817655307	0.339813458636307
"ERR1624558"	0.855194340677893	0.819699991394493	0.844330580702911	0.844648624952835	0.891208348567847	0.822897845536063	0.862121765611163	0.638651464384462	0.809491031491312	0.855462994232903
"ERR1624561"	0.449460935329662	0.496871965074519	0.571647732014816	0.481490862301593	0.773219007773508	0.552281765269171	0.569013359982879	0.564087106424516	0.787044747259865	0.619879148614533
"ERR1624563"	0.441187755376763	0.494259533082779	0.695979476812244	0.453287378699463	0.435528528829233	0.42789899567749	0.546489164574137	0.560184171238476	0.470238494563476	0.418310122185703
"ERR1624566"	0.544727882650873	0.494030983828365	0.427573286225009	0.543958203636294	0.451366436654916	0.362645858173951	0.418273304053314	0.479779642376709	0.545380167709385	0.604345041443856
"ERR1624568"	0.19390645120604	0.106447042883047	0.250758144443018	0.141432366287675	0.150286825588945	0.176529296236142	0.141845634634996	0.149491901692062	0.209525149908247	0.195115096078055
"ERR1624569"	0.695593299885044	0.46613019566215	0.69186022600493	0.595749153185962	0.628222973409509	0.506465830862966	0.525909588082796	0.510024896608838	0.442322309957298	0.574108961411513
"ERR1624571"	0.757046895720038	0.6178199711651	0.733232733758461	0.893634279540023	0.587433119434183	0.735359472515255	0.750631232525438	0.587184478910235	0.776319998986202	0.590618401917913
"ERR1624572"	0.587808456033198	0.447222663236808	0.671275949092239	0.475870383487519	0.379959611794615	0.524098297418289	0.547163325145703	0.559294701022384	0.515555633026603	0.69353704541157
"ERR1624573"	0.778060021257405	0.659840156736117	0.912472573115649	0.680597133376885	0.720935250372771	0.884600963194068	0.882249132651787	0.801270911323378	0.891735719478614	0.623780193047688
