"CV_rep1"	"CV_rep2"	"CV_rep3"	"CV_rep4"	"CV_rep5"	"CV_rep6"	"CV_rep7"	"CV_rep8"	"CV_rep9"	"CV_rep10"
"SAMPLE-1"	0.625147416602231	0.577214030147792	0.761175329406605	0.574159065129746	0.662392691691594	0.618866564344184	0.676150949144388	0.674150223368127	0.566635929636124	0.700165527366874
"SAMPLE-2"	0.0656209701920192	0.10758228541136	0.189072916602983	0.149743927555318	0.0733555556251659	0.0965326594095513	0.115772756882497	0.0790757871403248	0.0814193176239783	0.106675911626977
"SAMPLE-3"	0.860371746105301	0.892091125395919	0.878270807539409	0.849944945769632	0.89355403875748	0.904236857497543	0.836146840992246	0.946394465884277	0.858354003546132	0.891564140205999
"SAMPLE-4"	0.785013318436911	0.791703302165597	0.849458676751724	0.873834296508059	0.857117053426198	0.883963854804486	0.802010027574958	0.861546663342123	0.714474215373344	0.759325959517267
"SAMPLE-5"	0.152720997347576	0.131297683083301	0.172449223912009	0.0933768917280994	0.127753830749189	0.120191758542629	0.130779041714853	0.113503565134437	0.151216216491968	0.177013188801722
"SAMPLE-6"	0.458862056012042	0.312815577483589	0.207596228618528	0.507469142403418	0.419045598296968	0.329198408913045	0.335638582290633	0.319632564833339	0.427231506345443	0.399546116964319
"SAMPLE-7"	0.92801023197069	0.831286023968662	0.820945705893663	0.907091561615125	0.837910613331921	0.870793503730706	0.899952570519642	0.751221391049912	0.901162117868749	0.733709790274755
"SAMPLE-8"	0.17770670456646	0.214024283528759	0.0884569480908329	0.224222702868414	0.230284696949355	0.17960684599352	0.109638752719844	0.0764046462308934	0.117626502899797	0.164657974937254
"SAMPLE-9"	0.622868027528445	0.593434363803321	0.609501307749222	0.506005624762362	0.561906524309162	0.526122896177801	0.57906768099214	0.529263528918854	0.690751657180792	0.655844114623493
"SAMPLE-10"	0.875318193152614	0.835377790058934	0.618990830522614	0.680031282209803	0.810950421338209	0.648870375346721	0.720302726612201	0.69223371526299	0.696966442809415	0.777052394395476
"SAMPLE-11"	0.759048684820989	0.80897126072908	0.661357956631405	0.745701615310078	0.736344865145963	0.727699276363559	0.752834112239902	0.730582646708772	0.729162888906958	0.809357683221369
"SAMPLE-12"	0.105753114731871	0.0938383383462309	0.106449596727964	0.114175802098347	0.152751988623872	0.106515170564653	0.182915501920057	0.130896158835835	0.122611610548648	0.163303691706012
"SAMPLE-13"	0.635640216863731	0.738093358602943	0.669081868835673	0.636441932006015	0.8283672427084	0.779429065188347	0.702761354267706	0.823159949912933	0.80592512541227	0.708808273168829
"SAMPLE-14"	0.102476406451972	0.0525977126930316	0.0522166414384192	0.070218847777556	0.160173358406332	0.0588371040828285	0.0820871659058593	0.0736794977180014	0.128596703231734	0.0381699293288542
"SAMPLE-15"	0.109361985583169	0.101350151843625	0.0984433294473225	0.100918729770745	0.112053956539085	0.0631559176913436	0.139654843212845	0.0836635667183064	0.0995537364988648	0.0921210506267529
"SAMPLE-16"	0.949749408995878	0.854020375502804	0.945955303617401	0.932724604982829	0.900991722012313	0.934444290060374	0.913387743798607	0.969613180430492	0.902718638381838	0.923145212954561
"SAMPLE-17"	0.771137702770102	0.691789807799848	0.645756751475867	0.753838615931069	0.663893746327582	0.707533714030252	0.685342686190342	0.61916298479787	0.666160586176583	0.602301317809854
