"CV_rep1"	"CV_rep2"	"CV_rep3"	"CV_rep4"	"CV_rep5"	"CV_rep6"	"CV_rep7"	"CV_rep8"	"CV_rep9"	"CV_rep10"
"SRR5865065"	0.992309460043263	0.994277132437346	0.982316883208507	0.997670883621939	0.995396681884726	0.991874632732249	0.998430579919954	0.988094764403898	0.974449095056384	0.989896757325187
"SRR5865066"	0.856844296152852	0.962178142649733	0.819674964218264	0.914902554957377	0.914783821830343	0.962821545433908	0.662801143184636	0.811618047099085	0.972860455978831	0.945060365888872
"SRR5865067"	0.145777561606283	0.0867013180338906	0.142219167432471	0.108779442743531	0.108530499708657	0.0526979722428146	0.208445635123539	0.0524846992338791	0.196467173771525	0.0455149021654874
"SRR5865068"	0.97439283697221	0.983111942567592	0.975105423192479	0.981419621134184	0.97683459183314	0.984230630974697	0.968338124735809	0.975584713741536	0.975051084373323	0.988996839254146
"SRR5865069"	0.607986523804203	0.584654297344586	0.733359161183016	0.464374996308273	0.442493374898487	0.773403656359983	0.638611158900315	0.823558283438789	0.711165444410873	0.790993840531079
"SRR5865070"	0.364137758770622	0.167809422011988	0.0688543106152709	0.213137750140087	0.144866126585509	0.17646713572753	0.274445501672601	0.233804743571558	0.346597909420643	0.0422385920494307
"SRR5865071"	0.899578048073367	0.873030038121766	0.86307098183516	0.571048526916401	0.574709772479357	0.666695980139771	0.753824183413807	0.549901818498732	0.797344501694287	0.858674987783114
"SRR5865072"	0.19069453380128	0.383684986953103	0.452557892798522	0.538547925938757	0.299070407496567	0.503075230627207	0.279422928559892	0.438299482361106	0.599423403396798	0.236792585072406
"SRR5865073"	0.261387360390655	0.101534601676086	0.0810603658153799	0.21148751764315	0.326472289543705	0.263255641193346	0.304252128914393	0.38451819188009	0.143952046073242	0.235460621913903
"SRR5865074"	0.817847970165391	0.893067153717382	0.928017925339511	0.910270290137518	0.869093032015645	0.926127874575523	0.939492392130445	0.910221106617201	0.945762359089085	0.942551010749954
"SRR5865075"	0.84250722444764	0.599369177793918	0.876233170284277	0.685211159424122	0.873492697934455	0.563608039638402	0.66299638736538	0.217547090406789	0.58075620300266	0.670227632856565
"SRR5865077"	0.128119733902126	0.130300616540218	0.256460690557147	0.150707144570417	0.180232216646796	0.435869260828449	0.18125958012657	0.224364439345907	0.214918489054594	0.203851004703451
"SRR5865085"	0.852400577480555	0.834901556107194	0.792267761088754	0.79630853053275	0.940660272622818	0.830626476677264	0.889760898281837	0.881216638473826	0.817443043806746	0.757764667379937
"SRR5865086"	0.787619103516238	0.973347854517035	0.970779154571182	0.957066358842943	0.936674045314762	0.930580731041717	0.959398214080331	0.936295939824057	0.920488698589938	0.950537867201308
"SRR5865087"	0.321939840600087	0.488978893405398	0.531483411973327	0.420549970784798	0.476686716075212	0.596592804680256	0.615159594042848	0.784741345021222	0.660350067675634	0.499091795021505
"SRR5865096"	0.99613657341583	0.998688516408024	0.998282490207373	0.995914736298334	0.991818289200289	0.997930497615772	0.997063559890639	0.995513267952013	0.996458435611003	0.998512995404812
"SRR5865097"	0.839621321757968	0.840489628823691	0.919715372040908	0.952741006736356	0.827060061817383	0.789815167240177	0.942778291609124	0.812659914723831	0.83281514674525	0.965699390365332
"SRR5865098"	0.938539189570654	0.917586786005501	0.969633745693178	0.933786532666192	0.976737647021275	0.860382699770602	0.961164368626692	0.941478667318962	0.941124891263906	0.939932968286922
"SRR5865110"	0.038493274160893	0.0349827960493602	0.0145238091240061	0.0601722028469059	0.172968064110961	0.057524101824737	0.0846621496334432	0.122921842128005	0.0522565698851535	0.0185357409321251
"SRR5865111"	0.180895753140402	0.0690218893819305	0.098364252528577	0.2655314903273	0.559404939757225	0.147640261123869	0.0958450111939723	0.408042801454584	0.284585485864009	0.145973186502671
"SRR5865112"	0.910236539132665	0.956106183411288	0.96031203383221	0.959193232613603	0.93444524219568	0.961755246470247	0.916830843288623	0.991638549300135	0.932002703274399	0.979732687088346
"SRR5865114"	0.063989808671463	0.101047605801226	0.121237214022984	0.112968246103658	0.189633323919194	0.105184350203658	0.095122793723382	0.308329879009195	0.0806468677139904	0.0186269600796661
"SRR5865115"	0.906959854830996	0.956661105729461	0.917918166187535	0.819442748700486	0.761600948522173	0.942392044682809	0.87567913358141	0.949969584273138	0.925226905486466	0.874055035671042
"SRR5865116"	0.987922493151023	0.992508457380666	0.980090986993202	0.987166217431601	0.99719474537239	0.99672896591279	0.968386850605083	0.993694061808261	0.997749066433773	0.998329828571896
"SRR5865120"	0.0880176288142113	0.0704869354093466	0.0215445144759938	0.0784244283873415	0.127808777386739	0.0377932691935539	0.110496014854917	0.0674905510910488	0.0464825001706608	0.0671536796260122
"SRR5865121"	0.254776170846854	0.131345465710132	0.162977287289716	0.224320637694521	0.242180672328639	0.17532956549821	0.284030305886664	0.160114047015476	0.167774762622092	0.227486006183587
"SRR5865122"	0.767150529790636	0.81304882191276	0.458653309039793	0.507913958632647	0.412310164300646	0.859016221025547	0.653693280437499	0.550429224740401	0.78769277622619	0.772295918927886
"SRR5865123"	0.717235086803704	0.76055553116475	0.558704533677313	0.681022037154527	0.75743000496235	0.632129461141177	0.723341869444887	0.626662995269498	0.686469134032577	0.67622076836683
"SRR5865124"	0.15598455029547	0.0487055968302703	0.0862507307781433	0.197393202401115	0.303647279904554	0.230154446279659	0.184217342378218	0.195843466134534	0.118756992923504	0.0360612672129844
