"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"ERR1624539"	0.0240254252430863	0.011699835969111	0.0684343765936649	0.0340777366014766	0.253381370409492	0.0698100507050893	0.0386771330121633	0.0209328768267129	0.0265149389914376	0.0781712050465505	0.018489787903944	0.0158629395299932	0.188645790296127	0.0610730578395741	0.0219544744934612	0.00228891423381635	0.0627735143900406	0.00401078307009903	0.0166056428547263	0.0154722072317492	0.035065279658264	0.0347762039699305	0.022875503621072	0.0640597658755435	0.0243742758623106	0.00717789006069236	0.064026411752151	0.00366149966141134	0.0134665764153678	0.00341580518578615	0.0252714982161529	0.0835023550263466	0.00500483303039939	0.00613311798034694	0.0288838579389469	0.0369291031723618	0.000689240339793062	0.0206265677820351	0.00246075852128385	0.0366934348056317	0.00459661794685105	0.0162051505872273	0.00062852158552425	0.0903304806223215	0.0614102368268776	0.0820000310857162	0.0205211391930303	0.00662787757618663	0.0700280530537188	0.0136034642572153	0.02923003098608	0.0201647780836175	0.0254973805126403	0.00489164561753161	0.000489614613508268	0.0192641369782276	0.00953074474130061	0.0871772041807327	0.0121053808772404	0.0237342197866921	0.00210646215117607	0.0675514307398511	0.0244448127816151	0.0176541103101398	0.00855583482611767	0.0118398873421962	0.0231446211690094	0.0177438813295624	0.0154886415901379	0.0957914800921652	0.116306879087599	0.00136920753902467	0.0343788687357919	0.00405201405374967	0.0182201766070236	0.0217088261187635	0.141691359734939	0.0187825900079346	0.025614401440853	0.0712882404681057
"ERR1624542"	0.136967706184694	0.201671628160178	0.408667760640403	0.0180582296039838	0.326125670216667	0.0703475018143277	0.0229720586722571	0.0745302617729416	0.0374927295113101	0.0525911583228888	0.0113814114234915	0.0539347482009075	0.196366644511137	0.0517404602506295	0.123664612312634	0.0332643212263902	0.142508443216385	0.00822002297804397	0.0187907313870571	0.148499936574125	0.0699261052206329	0.144151885738809	0.0336972526005612	0.25409663402285	0.0515072289232062	0.0329514707701365	0.0369501240408131	0.00660568256052648	0.0216565699573666	0.0392754949426775	0.0583789155101377	0.0236178593877314	0.0140224212127216	0.0951511907381448	0.255535693395864	0.269213183433877	0.0173945803362842	0.136788714997557	0.0107616547877395	0.162364721553473	0.0675800152501204	0.0332032977513318	0.00796512572535621	0.189102400390374	0.0580498583131986	0.0119109117173224	0.099666464127244	0.0190840202418335	0.403874959967883	0.00193335292291704	0.108812223336225	0.0196427152744067	0.091332332234568	0.0107010076998089	0.0168807339435288	0.113721275016046	0.0227176229878359	0.198186879689296	0.0841871170029712	0.2436448169731	0.017386865909152	0.414629996781538	0.0658710050615512	0.0263340817900726	0.0177906542026057	0.00919422055028986	0.204996273090744	0.0995546441284731	0.0284973594776004	0.132116449731892	0.152310995629649	0.0233168403709084	0.0280641959994206	0.0364600031528135	0.0705181847371694	0.150643889318991	0.188880426772398	0.025807022592938	0.0211578671003489	0.0339473114614241
"ERR1624545"	0.94525338762394	0.916746163281002	0.994213036412718	0.996544872494033	0.998807013436058	0.958620249602749	0.951875570635046	0.20747529733368	0.973962394408718	0.856700517634679	0.995726002875257	0.999808911577055	0.966761688460927	0.98923954318575	0.98725090976725	0.983407340874478	0.985253171196549	0.00105775383858763	0.93162040215747	0.989492072928238	0.894434144214714	0.969268595315868	0.000653159504449957	0.998602328252402	0.00221704016997157	0.00150907403215653	0.947598354417707	0.440119241765911	0.998578301274669	0.823969083947865	0.996605347804887	0.975887166313154	0.00326885121088645	0.976948157405831	0.972702950042185	0.91598146975735	0.0122607252701491	0.997803075156147	0.000179661629829895	0.851815112121842	0.973277386152969	0.56202305224379	0.0300977240446561	0.849149907424905	0.99635356046115	0.590243409410324	0.988625349539226	0.866974100154833	0.962194890425609	0.48111823292707	0.536428503524025	0.00386158996788995	0.96625613608217	0.00611653125591418	0.00498551306482658	0.987090510449931	0.891540518618424	0.992620805402653	0.998569732846682	0.947121378403559	0.0043678451440247	0.665565789077124	0.947424912189175	0.0205008563663012	0.976653681206061	0.983822912571499	0.977239516096791	0.980957005118081	0.523932937554265	0.968668572165873	0.966072838478499	0.968188330957294	0.869788270141433	0.997167044571788	0.962088464231643	0.990726265446856	0.982115045281532	0.998644134481363	0.894605532945221	0.978020258146017
"ERR1624547"	0.127453413271296	0.0265490856582874	0.409431408360619	0.11773789701776	0.0863442794776519	0.228944712690531	0.0618185969955992	0.0265243157377805	0.0265220669976415	0.0809879115948389	0.0733308993111041	0.205594562510746	0.0641072120485159	0.0281796990443384	0.117452542833156	0.0230423306967855	0.168768812853511	0.00969102418448781	0.0417089665164846	0.0344120958968843	0.125548480492854	0.202399539493101	0.13375921860173	0.282189034783675	0.182917025978174	0.27502574476959	0.0576809603754729	0.00252390409759866	0.0441818897145547	0.119806672208145	0.0917184813428979	0.0686622115503195	0.0158604691871634	0.0909957006615802	0.34008168598947	0.230157663039111	0.0114888589576497	0.137423299258924	0.0588534711955851	0.0938220585132563	0.0717992976766661	0.0533045732903984	0.00328449591285954	0.146247438648501	0.205501978550709	0.0529369763847001	0.214759542365095	0.20956894846277	0.440466394074011	0.0719954607811256	0.275012342352011	0.157581990554175	0.304982764284879	0.012543640624498	0.005149160559039	0.0324081327055264	0.124778975027505	0.19005400978062	0.0293350577739381	0.154491326730576	0.0496147100360054	0.109570098419097	0.21287690096621	0.137471755124282	0.0298939573885827	0.0425094266445118	0.171111555445218	0.139472656533	0.108443139031671	0.279167587656123	0.0453063688269756	0.0118233553504252	0.052455196164492	0.0321300829358972	0.180947720019249	0.162167751904821	0.134542774568879	0.0922502182859857	0.136640982778246	0.0811953364273119
"ERR1624549"	0.154120658856426	0.0957320239545942	0.209559650288775	0.241934945570669	0.690098391762963	0.114548020395955	0.174153675356963	0.0606486678970956	0.196958414854799	0.255391305193987	0.18037607369676	0.375425866104729	0.238063679482385	0.307972215272515	0.220533560013634	0.119966922483332	0.589132036834816	0.114147621731761	0.237642612610776	0.0862096839368142	0.453625981985478	0.130039351124003	0.0291933382477653	0.727656005044508	0.0390629427433619	0.0165312764910513	0.446708375962905	0.415969131047009	0.153646063552398	0.153034692020481	0.0727091676540351	0.505259166495087	0.0161981640878174	0.083985628491794	0.165740623271	0.0937723431491889	0.0496677351528075	0.121406472828817	0.0137574548623254	0.187518480194302	0.185495770339119	0.1226086373579	0.0192090741903037	0.115859256413024	0.415162123818903	0.230096669798227	0.0627830434461126	0.0154376592984461	0.108067443335892	0.01747791672549	0.0568370937860509	0.0126051733968014	0.0849380012487818	0.0404222665311525	0.423583042561932	0.113820429343692	0.0247963523989896	0.568325254123768	0.149737368258837	0.351885947828746	0.0630394678946742	0.148922929267544	0.14604282458571	0.0358254464655866	0.0367748688890023	0.309714170565341	0.21114548214071	0.137589549899231	0.157661261962603	0.366900409122915	0.289827908898866	0.138658689721177	0.391481740449377	0.195559552064568	0.0911998372236241	0.373789596740805	0.256050223862991	0.22817110602795	0.0901334968034485	0.321373936741153
"ERR1624550"	0.30280972087848	0.603546626781803	0.213281616836436	0.666051282956029	0.331609730893713	0.159213424228885	0.239748780649617	0.42665160084538	0.456253838487058	0.421518691154062	0.41460776416847	0.307875013716291	0.380223807706588	0.438580781199791	0.274272450024953	0.0757776102071971	0.397551203846244	0.149248166148043	0.308078888690555	0.132906326851796	0.343265712526606	0.209914888231546	0.294673722209716	0.0924942292219225	0.250002590101556	0.137965692194364	0.356105795799571	0.0473512269129139	0.296535089069717	0.14355193111136	0.224650658455121	0.251347061111564	0.812081265260366	0.104262331773456	0.292307518383568	0.388597545920671	0.310525575789084	0.281154857524208	0.0666994783574551	0.241530145820814	0.476866652540768	0.43882226139151	0.0385404852059029	0.331006572250343	0.142009458354248	0.512654737930369	0.340375230098386	0.183508561009643	0.417595335991124	0.307871034333743	0.124900256979271	0.380796120904299	0.366615038367956	0.739467889466129	0.00437803800275291	0.214964851704981	0.126521689409614	0.122074775275306	0.312329880715032	0.125148895246183	0.154977651012368	0.20200684435357	0.247929027333013	0.101537398926151	0.213174237126775	0.678783168778857	0.533859861590556	0.534699352436501	0.359917747415687	0.501984725253686	0.286922996977604	0.0546307737243566	0.462211878832123	0.0763810120212882	0.601701936832089	0.290383328912648	0.103236586314865	0.459255347968861	0.278505564699414	0.407734345413833
"ERR1624552"	0.410327505116468	0.0969452289266006	0.294284760154176	0.0565530962642285	0.150347098453592	0.16157598660122	0.1541251174342	0.113519359782832	0.158309530978499	0.135210250438603	0.215455730591892	0.4720620254488	0.0446177218879424	0.0484200680170399	0.657930261803099	0.165513892106321	0.295635996779783	0.0774953978438848	0.0942661957370575	0.10317724131367	0.0820972903251789	0.217012494539566	0.0907698709540597	0.539654135054051	0.125103248067661	0.226980130488995	0.409723927880467	0.322123812668215	0.0724989353881335	0.0784312922935714	0.125540088670506	0.36721017472144	0.115263461945277	0.135949250402531	0.356619424904331	0.293317170110815	0.277073019396795	0.057255296738256	0.134194211321865	0.129024183437453	0.189490219202199	0.113603076752888	0.0640881808002599	0.358342370660382	0.157440434968605	0.063701754404949	0.265506396742297	0.288908867051536	0.327370159817514	0.201145010019989	0.303468664617885	0.173060081294821	0.368702031180395	0.225886914222997	0.300362390973658	0.110594296532206	0.0643406376703052	0.395727690054063	0.478821878251305	0.217368126470475	0.249527227732029	0.22806008285473	0.324142691205092	0.175144736033668	0.075159480471382	0.234133373210072	0.204221936298096	0.338588248732126	0.244126718143231	0.242363427807755	0.0808402629546603	0.2954817715031	0.279729522692629	0.229568045953958	0.182803594042772	0.261092108523636	0.159654929885711	0.146658594863045	0.351792909576936	0.318982150995946
"ERR1624553"	0.0171061396284161	0.00144030570166456	0.0133644925911652	0.00382255509612929	0.00101283348559219	0.00826190488476504	0.00155978951457113	0.00150514404224753	0.00102534831819091	0.00321081552299729	0.00447342955009959	0.00267120313995421	0.000911287326949178	0.000935281585157371	0.0076182151162915	0.00207116949263599	0.0027984516100939	0.000570388649605067	0.00327435006926682	0.0023751351766222	0.0049135518919403	0.0122369777231282	0.0039871864371494	0.00732502650364466	0.00312444605230957	0.00491502497581092	0.00496833226511837	0.00031738470630916	0.00148033548438399	0.00226470223617006	0.0105301854273225	0.00301593283192513	0.000427789192818283	0.0043092086422036	0.0115779781684857	0.00847964978843729	0.00195594608948069	0.00186344572321022	0.00148954007996703	0.00583991341052792	0.00128037437339993	0.00372105874751099	0.0023370676916403	0.00449585868063448	0.005419407521374	0.00145651584099477	0.00978318217945989	0.00411464246541156	0.00997613520074864	0.00246346911307192	0.0155841218058897	0.00472046691302391	0.00855560195537421	0.000987294446204171	0.000693990188054012	0.00178956017499551	0.00305167177207703	0.00669453438564349	0.00152735007992364	0.00535653022463573	0.00195137453746801	0.00354821838243574	0.0102641232580333	0.00193798476854193	0.0037049647208374	0.0018062375501263	0.00556606749986846	0.00935059235933476	0.0133964953234752	0.00871924791651558	0.000908362960291571	0.00206483756027195	0.00434698503504189	0.00237872176746286	0.00901314660229287	0.00860671503482228	0.00317945356943804	0.00137069226819732	0.00184884532418058	0.0089100692945103
"ERR1624554"	0.491049801868629	0.246181700275204	0.615427093167984	0.785037856130352	0.393965371599211	0.665967743823525	0.717459909523335	0.0192922623869967	0.0728820676215025	0.468929719461668	0.814415396671649	0.597010392941181	0.187373730619145	0.145390607891918	0.846144290935054	0.385163818084237	0.174857080450094	0.180345740381242	0.618590055618583	0.112944616044515	0.736044588295119	0.247153391717147	0.243838791502713	0.487483453818344	0.16674760919989	0.347553509051899	0.787673116401446	0.628155004831197	0.386414439073662	0.713785491050654	0.335714334933586	0.743005821449266	0.17292654845332	0.164966749601259	0.166778110387971	0.368343524220018	0.186108150196475	0.161306122638997	0.12037599961769	0.497490848029907	0.637018521851701	0.368881388724753	0.0676447364467981	0.369540216913356	0.488228801211529	0.489651881617358	0.465842025664403	0.386975299182464	0.314659386993711	0.231287754125017	0.218520030743183	0.141055905522621	0.204789147696792	0.103824736859605	0.354296329514588	0.0720034701861031	0.0871783327270332	0.646770022233479	0.11679218085974	0.277562610581863	0.179758692927992	0.159576752258385	0.836968939320138	0.375552293023388	0.336031005280117	0.225154825729588	0.783429898226544	0.698587563220388	0.481929673046271	0.712404789195952	0.143806637808371	0.3230889326738	0.73572539501923	0.325442009564948	0.185748377310824	0.547268470429152	0.767979700974647	0.780871252814106	0.692936150544428	0.487716068794262
"ERR1624555"	0.0713000269147437	0.103414262344088	0.0869872237017543	0.0488786816296799	0.251966062453992	0.0693792417729404	0.0245855253095314	0.0523770640430879	0.0172270337298071	0.083139805078552	0.025707249124409	0.052369337588996	0.200288884277814	0.0514072708535237	0.0629649301378375	0.0183848154728954	0.048465335323701	0.0225026302997733	0.040227199375281	0.0553886074791195	0.108473401662479	0.0203537105681562	0.0328073275765575	0.077204616539283	0.0393822332159588	0.00744092629892059	0.186180859096485	0.00333065592828461	0.0702445086121471	0.0247171750726169	0.123701962855941	0.117828436888992	0.00433474018026861	0.124712184422633	0.0322220400424451	0.0415289191454887	0.00392363708860794	0.11904520463285	0.0120065783750099	0.0739331071621405	0.0174499145726642	0.0429222373653259	0.00791390687157825	0.0650807649516786	0.0783584319942582	0.0660155553671548	0.0606929284370536	0.0115814651877213	0.0804581009796021	0.00481626265211162	0.0223750938959254	0.017620767338386	0.0515495837412424	0.00911972113986956	0.0256989245849327	0.0667026186881301	0.0316513746593974	0.12799407985192	0.0365496510178463	0.0588139720277119	0.0241225050235789	0.165959457182296	0.0246511230843734	0.0223963009583453	0.0686792530362638	0.0817341770191876	0.0699783905272656	0.0310020809992087	0.0827934294866606	0.229712632901688	0.0711089354040041	0.0204414142617437	0.129865518033977	0.0120661035513474	0.0237346725536219	0.139165480347447	0.155437557041124	0.00813698977375138	0.0265364994524351	0.116833968357895
