"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SAMPLE-1"	0.996768697842939	0.941483774004048	0.978593196456915	0.985139432818336	0.951515234562647	0.955459374589511	0.983680703987906	0.987621189493137	0.996984057314795	0.995752940981764	0.977089376907433	0.997691771693327	0.909644333747114	0.974109995494345	0.927403886294006	0.968830408481946	0.962779518142691	0.908299075972684	0.997578724049477	0.938229436170197	0.928131644542543	0.988059326772723	0.862277893154254	0.993307530039863	0.960809132448462	0.967098776761598	0.979321744800754	0.996347857593104	0.952958551975196	0.998834913174036	0.993796029825781	0.992639299947419	0.98012301876223	0.95900167561979	0.990251475466811	0.981049945659734	0.990150193781499	0.97065100352477	0.976306761186103	0.974050650057015	0.946813313421433	0.660767147311572	0.955396136963856	0.993253232435153	0.994647599336349	0.998576760752352	0.897648270602389	0.927953398266149	0.803911632764912	0.835491551015034	0.958935884085695	0.997113729806363	0.982995912644436	0.950656263752775	0.990044700045058	0.985885035250761	0.990815374326394	0.99397872447548	0.97106615601788	0.975929594211982	0.978781231697963	0.974881796376197	0.981989133666945	0.982281218577567	0.992183282069215	0.952779220201172	0.996657881449829	0.995433979303314	0.967957089583648	0.990901638374628	0.992057606890368	0.990457711402242	0.999298707631402	0.961844620377689	0.992310654780478	0.992311202224927	0.979031373111361	0.998584126291049	0.982209750569586	0.998320785478275
"SAMPLE-2"	0.0926376673448824	0.304300922471372	0.112537691462497	0.573101399714182	0.118119308630995	0.222478588624488	0.431516686591743	0.187617261388675	0.358568889888825	0.430425630394046	0.374049369687472	0.255557022421242	0.246550671344702	0.179911345975183	0.0444849008477399	0.473321655256962	0.128604953020067	0.136443411222017	0.326025059188638	0.137544145562835	0.120180978446309	0.242946434293213	0.0690251004045477	0.51314739181356	0.250437510161397	0.0666839767990128	0.267963902272568	0.597826995864128	0.231278866787198	0.405010828726501	0.629616350229673	0.381390266300944	0.162148343281784	0.295214457386645	0.600142410346794	0.341245335303405	0.0918955740845756	0.305532997710095	0.22609769412852	0.181654148888779	0.167954157999346	0.139884974158042	0.143649916037987	0.267184293557905	0.595441498359846	0.231224758987672	0.0816292570241812	0.349241076117971	0.0663229345552548	0.0839399462211975	0.480031941019051	0.430679821916955	0.255169366737119	0.0442561927779789	0.708839144482095	0.386986892134716	0.329134091515368	0.576649797579194	0.154634269098888	0.218610229444318	0.268898655648366	0.12932332917837	0.240621542927651	0.480721977947713	0.230237356257081	0.422816007850197	0.544145808386789	0.46492650300908	0.299149001942513	0.149381384440047	0.225621389488304	0.177643475753526	0.511984074322623	0.121518856816802	0.405994570560037	0.281580970036282	0.524321220649557	0.223184973262803	0.414487242661716	0.470439153575308
"SAMPLE-3"	0.97539198721976	0.988660011973243	0.966176338583866	0.995088993642089	0.988691861626779	0.995228180315355	0.984564193273581	0.991038833376364	0.982043667439808	0.987416932975059	0.973216338018309	0.954374236319519	0.96615710428878	0.959719016013931	0.964818153894561	0.99125103334337	0.96955734677869	0.976373306312642	0.992654163404891	0.984236856400472	0.957707993469268	0.984571177466208	0.962533065636283	0.997098471883882	0.983624087502789	0.974432492110314	0.984987720342861	0.991698469619638	0.946837668376059	0.970782509505948	0.992387009197054	0.995298137618833	0.98655013023523	0.982180958984475	0.981402066384162	0.986459350374514	0.983207787503097	0.995041738255957	0.994360253565526	0.992536416165275	0.976792505085925	0.977505061645236	0.991600610868545	0.969827612630838	0.993341136290958	0.978892008986624	0.985226448419368	0.981518957351067	0.968999604716717	0.993258920491205	0.991610953562894	0.993785269784746	0.987606242872803	0.972820077897284	0.978734527797283	0.987559397110193	0.994118447902675	0.995146917589999	0.985439960441963	0.990108361080264	0.988738057586938	0.977753419336646	0.990404972925726	0.993374274805053	0.980273081302454	0.987703348506157	0.991593978393509	0.996867892575151	0.990587785854782	0.983329524635872	0.993127888142306	0.992786059971239	0.996230524597057	0.969074738201664	0.994889284780999	0.993899163162719	0.994723174838793	0.974282105535394	0.993820426565331	0.994380881475513
"SAMPLE-4"	0.850516976656503	0.932747690382345	0.934321996868946	0.91522496939197	0.801181637345158	0.987847912923282	0.973068226709209	0.926914836528566	0.977257333130339	0.994947160232323	0.919780680083007	0.974148688149181	0.979810291500252	0.892137695439711	0.741938543835482	0.958696170712703	0.888098850835472	0.531730084954571	0.97194040278637	0.572572388772119	0.730597293393954	0.98944755054203	0.572406544851081	0.983963303648968	0.975887818921873	0.916990952647719	0.957377067442789	0.970475924159806	0.919310687944442	0.871740413651325	0.981843801123398	0.983836093205646	0.971066862851473	0.964455581120844	0.880783158643667	0.869871151205225	0.952344740777767	0.959143861088665	0.95784723002012	0.978685321912342	0.876132921399846	0.889975683985791	0.902877793361626	0.962545587246147	0.985389103944355	0.944358456733858	0.842077349042279	0.828460833039185	0.821613643569737	0.94329936200989	0.971513214622565	0.982587337858881	0.984601542584345	0.550830382553483	0.98158897893504	0.972107593841391	0.897732750553515	0.985669544504448	0.883639513187647	0.798997837186684	0.898396634291177	0.66876049684798	0.949821196047098	0.987048319761064	0.908155879056501	0.95482363349748	0.977313151449564	0.939218788160938	0.971774549748426	0.981547743941705	0.970198157040723	0.899278449555783	0.997645285759466	0.564756336720731	0.590376170470036	0.99410438735043	0.948304410997758	0.985983556573225	0.902593201691357	0.977026241437558
"SAMPLE-5"	0.324959159102201	0.339734742917094	0.660662028199646	0.125539343571744	0.1102827847227	0.580329900404849	0.762466742665295	0.160212584419123	0.606121125932394	0.920342868947048	0.43015424703212	0.676419046878347	0.653211397968404	0.280906276005719	0.123286567849115	0.194213330683107	0.416155983783242	0.0928030353594718	0.44239031710964	0.051380932515496	0.185732963574935	0.607352609761233	0.0893612235529265	0.627202101343211	0.545561548577671	0.11993092864607	0.48670340805383	0.601807186197198	0.758194233702141	0.670483908470252	0.396538549599077	0.728601732389406	0.370327114877244	0.571603186288623	0.157895519892231	0.220329379625073	0.311941051977918	0.348935700025785	0.166662474681838	0.556953972423132	0.475857706913259	0.116574865955655	0.0776051938578178	0.718189720749792	0.465688303887363	0.510801368891297	0.381314119211951	0.277664716999157	0.0838727056420834	0.468918246772288	0.466349679724225	0.875506383702971	0.659279444879156	0.0824711227508636	0.886063379184367	0.280979279442269	0.503035264726309	0.583582335627359	0.491939502649901	0.157203302861653	0.650435820280942	0.152580367996451	0.395584643587708	0.692075668475924	0.489319654859483	0.80400889526878	0.709455628005151	0.279006716805451	0.614259918021076	0.26146527440008	0.509852805890549	0.030796957492783	0.76953434574729	0.111858214060664	0.2176059575954	0.819553764687697	0.16263210946539	0.686782619377875	0.161207783570017	0.566393803064267
"SAMPLE-6"	0.903126865306044	0.700069417975287	0.895984454534482	0.692104565725319	0.51554338116788	0.975639010199519	0.956748801724531	0.952407072397103	0.949299260318333	0.984930712261125	0.919535730881179	0.979648838502372	0.97718149156453	0.874512878875438	0.819176922936984	0.870231262124628	0.743086522262013	0.583439385372231	0.888993379222541	0.436266229257468	0.611185007876433	0.983566566398335	0.690753658319148	0.92863670192374	0.865033275239361	0.639381937178917	0.959484141414621	0.880159067215503	0.974041651715101	0.959855520118325	0.890101670869174	0.953747004051438	0.629680205478829	0.852986377646938	0.792184373142344	0.830607207668001	0.712861239985197	0.719533782992156	0.670925464747359	0.932261641726169	0.717779098206479	0.721606396569513	0.777192526298087	0.970651632393726	0.967743756383015	0.942277302541429	0.723999962886733	0.652900920784607	0.717059936207868	0.969886841696164	0.922451210424152	0.979028878326609	0.955002414813599	0.792394444510664	0.97373019308477	0.831445451957897	0.820401008104014	0.973155173861559	0.92571339047698	0.682696718331689	0.791303122056316	0.664145584582178	0.885083833693731	0.923848629484099	0.970545567055396	0.956489145275363	0.966382084587544	0.903937320318027	0.958650652182989	0.630256157129647	0.837067997932215	0.762811033570184	0.996893756551199	0.571203719546343	0.693656323318674	0.984443701851577	0.780067940949004	0.953727344910481	0.670646463545791	0.976556780324952
"SAMPLE-7"	0.989531163734494	0.996976014224993	0.993996781867506	0.997351881846048	0.996022474631829	0.997234216940698	0.997220937064496	0.998706576559423	0.996812029685288	0.999432384809488	0.995971944298279	0.991581958028222	0.994276306650845	0.979696349712006	0.977144881040873	0.996932413315514	0.983581140559691	0.968114141895171	0.998848993832346	0.993095198987306	0.964627103960947	0.998496318301946	0.983575492322947	0.99900730958037	0.995157436713151	0.989876406739003	0.994399998896365	0.998160901954241	0.980716029256209	0.997284235362412	0.999112563107718	0.999471905737824	0.996993486079042	0.987745481665655	0.996260823524156	0.992589347851618	0.996768970852271	0.998094068669478	0.998565727659505	0.999062277586555	0.987370134683985	0.983210842000916	0.966703161295904	0.994435953675198	0.999658228317968	0.997054488160445	0.998166245015009	0.992689084001848	0.980909356007486	0.993440218554569	0.998668964650441	0.999638000086804	0.998901727566088	0.990098492705697	0.996327371169582	0.997198478842878	0.998761088294991	0.996220873968636	0.994533076901162	0.995815624424694	0.99322972918927	0.984810061058822	0.988277991057007	0.998263050333669	0.995035095703552	0.996232841898386	0.998640031222649	0.997630278331767	0.995148117213046	0.997264963624336	0.999181933566998	0.998378625613444	0.999810485076569	0.982691708046734	0.998794800032772	0.998901611329004	0.998468928980684	0.997136448433219	0.999123702073575	0.999535878055348
"SAMPLE-8"	0.562848750819409	0.704413335566207	0.890299900503048	0.835225436529097	0.397800959628083	0.86830670815768	0.783705203255923	0.893884471522078	0.844960623084966	0.969987586137512	0.922934281709133	0.546780278837891	0.773203043507783	0.622790136382378	0.559702714271471	0.783835661052244	0.739995065414301	0.801687726583862	0.726190963415701	0.781449330960049	0.634677264958166	0.891218818348621	0.558977163248268	0.888099213720732	0.561418965256737	0.626638703822947	0.827486916516192	0.870274044355584	0.62168445335632	0.903922153680279	0.929042149791948	0.933331578675423	0.626278156292322	0.588742648485064	0.925793650630695	0.824688033266088	0.4577369752598	0.881489594777796	0.630766019087086	0.809984247579861	0.567606833900007	0.721086898878201	0.687154747628936	0.834184965269831	0.908041491849949	0.827092985085752	0.794012679194053	0.805649117794237	0.690798810468021	0.565970618486974	0.830793945587173	0.966197782447623	0.947763066867261	0.628123123294492	0.795366029401905	0.894781032016013	0.866699643354274	0.863662004935314	0.837808007432178	0.503648520655159	0.778379288056111	0.789309657288249	0.687530944614659	0.911055285784596	0.795180519452068	0.88606392049684	0.958254275035797	0.973746415362478	0.920111940989924	0.54686337241505	0.698408008519145	0.783017621956432	0.855013639351167	0.383707351941167	0.930369003822424	0.852977754053356	0.948751197119686	0.896746349865924	0.91689219835741	0.971686912307467
"SAMPLE-9"	0.67363793691304	0.831713076176928	0.664538897091091	0.914410334540485	0.856832656942627	0.925300585032363	0.879218360869014	0.926141142834043	0.814423440164857	0.922430761869085	0.86854998667534	0.77665424744932	0.890987953618407	0.804156313186691	0.800846727785441	0.882129144634218	0.756433950848936	0.649333899362148	0.73837969467916	0.771703192666823	0.763044729504694	0.949100230618541	0.678233057734411	0.875240697450198	0.657889766514575	0.893358913819347	0.880623892990748	0.854620282950148	0.691814956333832	0.779186351738925	0.938532947708342	0.934933069167587	0.695641545097218	0.777384636524332	0.88316436303268	0.896890214788392	0.773145790612202	0.964557177413865	0.933989442163587	0.792131684916942	0.759497714697231	0.880288189783803	0.897922347295384	0.842282115629793	0.935498616231131	0.904841017313392	0.686207052938334	0.86797145162559	0.908390285000987	0.895232525547396	0.929050547158512	0.938358040799899	0.909181967890053	0.648733494114848	0.919827360599454	0.835203796846038	0.816411071802415	0.945104691280008	0.754496992910928	0.626501364117285	0.581211039247753	0.645532233603403	0.924193985310078	0.936023194586878	0.883100736894853	0.857461753801763	0.86616284792081	0.809251675463858	0.918449925846912	0.863947062877235	0.813422329615073	0.684232727860198	0.932305686686644	0.787871631048324	0.641712416575818	0.903713225211362	0.893495376761073	0.837202843454535	0.931267394612198	0.948833320806499
"SAMPLE-10"	0.383793565613024	0.376864428624192	0.794250120520511	0.686588831211295	0.94962078092681	0.378422740005313	0.740409223793659	0.00899513383684009	0.614616615520319	0.89729723051644	0.724915775265587	0.626811939728883	0.509905979264386	0.647355182159051	0.0554419542488415	0.746923273395707	0.344159627953635	0.16351313687283	0.181395869645072	0.113248401330082	0.336098117484769	0.906325369634021	0.0545225521919482	0.308776090198246	0.2485543129619	0.811266182448837	0.59017097033834	0.832825976439844	0.457810952048253	0.559330871851456	0.416467805078796	0.290549663033989	0.67610002789664	0.530443708544862	0.571651171665528	0.0668810153120461	0.774608403761085	0.926983943360022	0.793730900855451	0.317892467211649	0.73284052543501	0.455458924996646	0.628879089239982	0.707235764920507	0.758306033167688	0.633430186232885	0.813544070019078	0.548750629269513	0.222204865324253	0.79751346855023	0.570109601068514	0.755269725439442	0.328359287196973	0.0139995905299787	0.81093015135507	0.212812227596605	0.427357333626883	0.64460166589948	0.861871491174013	0.148291109817405	0.280141025874814	0.933812189689274	0.811687043242777	0.906467439510744	0.0607684033913601	0.549762358478369	0.262467128460491	0.576476060284343	0.848738899041806	0.689847351603231	0.308501307014062	0.0369821056135663	0.490070975960258	0.601043235256577	0.219308476398597	0.814829568463704	0.135354161577297	0.715271086341119	0.119223623283244	0.081110691860769
