"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR11292125"	0.597435146282755	0.623897710743408	0.655194541495866	0.723697320522805	0.648849308900173	0.616101322751794	0.722590796235591	0.861805969811656	0.698566181103702	0.686315661890061	0.61381787172722	0.494956140033087	0.821866252905243	0.545068936967187	0.859190578321888	0.557997282909126	0.704141697990761	0.906509987694507	0.635620572444252	0.930414590317818	0.543427306356524	0.858568375527186	0.7012324307461	0.597960956383381	0.778703341247565	0.807708837694545	0.739351819978371	0.550819112552892	0.730994705556913	0.571986344190479	0.864762146494384	0.824972879790038	0.708401699135528	0.836151692594983	0.677755822343591	0.592358399175795	0.666354298473545	0.750336770038838	0.795765816754356	0.599038372475065	0.715244797329607	0.815577408678079	0.672710448208978	0.847916947148175	0.480019223753014	0.810170918264859	0.630782251022884	0.671470394820237	0.784626733906171	0.719136013359296	0.785256613994193	0.835520792226934	0.729037931111639	0.958192746050791	0.665170258065294	0.561757661876327	0.55201106949506	0.678888852806603	0.592286385658185	0.7711200419368	0.763439590140143	0.506312143819938	0.770667422666901	0.546930105173867	0.92439988330436	0.866378802871232	0.852972615617003	0.53604219727372	0.498704710540856	0.646582144285238	0.43884882104646	0.586185144557726	0.690687132304421	0.878324404123277	0.611425420849851	0.66961336152704	0.823346834960501	0.758705483604963	0.930226705742409	0.835442915510916
"SRR11292126"	0.292539936679116	0.363672839184695	0.423776582523836	0.41992719616921	0.574701080379522	0.328526239519786	0.460839989951213	0.65059785758543	0.356005323192082	0.267542728613054	0.578029647200806	0.803779848016514	0.367595825881212	0.320492098396647	0.448139478941678	0.628361589920757	0.327849157482045	0.529193022703484	0.571402550470577	0.403455550947494	0.52390149415212	0.407317260256823	0.64744316326274	0.599503653543491	0.382689575906536	0.580837896289421	0.526908786733039	0.632884213889191	0.456589748079129	0.70583553034837	0.845650806150931	0.632005661271704	0.453503080482617	0.352211743371357	0.477125371569618	0.489233751764371	0.348101347082528	0.596205235165017	0.535775749387094	0.472205794413378	0.40428575751042	0.434786237102281	0.584404383499515	0.618610193921295	0.720103814299328	0.57708753248637	0.538992876734937	0.476618316320654	0.700108827315887	0.556594424831427	0.484329269561905	0.411192480584775	0.56682868544235	0.811475509021638	0.316018696233196	0.787820429101763	0.579883397564078	0.598464122707883	0.677349579723254	0.928744822235254	0.473250237899649	0.683756136982383	0.593562425204022	0.638375874565036	0.625337303678013	0.488187359357727	0.573013406914931	0.667608362692603	0.731157245325682	0.534548142516745	0.769638594014724	0.476129700127767	0.387933421221651	0.597815980680595	0.253316892376807	0.37353098848043	0.576554998542482	0.558175502286021	0.45022597963166	0.496458225390829
"SRR11292127"	0.485774824819771	0.691319948824294	0.633535164724432	0.707356110781298	0.673763306883687	0.706497770663687	0.546275008701863	0.852539761281214	0.766006217440706	0.619194514973259	0.731385208228836	0.462301339185198	0.573196306721977	0.658363486768068	0.858780601795052	0.542357302363677	0.596008495856084	0.863506912614998	0.541348309545184	0.664533130394557	0.674888500819107	0.847885391452228	0.728030173342965	0.631319187377424	0.440045133706595	0.745521436790876	0.738569314506845	0.378949437051408	0.739884875566559	0.750270310351785	0.606391547479243	0.778399341830795	0.525617703600604	0.859385847125587	0.623881555568488	0.601904038912473	0.585714156929668	0.630842422174996	0.696512924063368	0.502961393356787	0.578308022946295	0.723574334984152	0.633564893884508	0.81708531735255	0.552189204083079	0.776827550317125	0.635146868109312	0.668414486631951	0.771942850987061	0.815613447947995	0.74651208143509	0.541655120439769	0.751576596834853	0.901705242053293	0.75094213318342	0.502701175691553	0.439757531201741	0.756508308019323	0.548647690950942	0.657666849473387	0.77001837087158	0.575701597027251	0.769392496472245	0.421500999841073	0.724209523993424	0.656055839331091	0.850689654692816	0.555948312725434	0.695324650994933	0.660124976110369	0.566521275443574	0.594229519958749	0.726750481742803	0.786697820588448	0.661978907799075	0.624360376318236	0.723734255615607	0.638046331718841	0.585758110100935	0.859998893590695
"SRR11292131"	0.303299398003961	0.577647432900285	0.65926281605147	0.630000225351786	0.755595185320856	0.603214359935438	0.570299767764665	0.82529333946482	0.589845195365026	0.422378449521628	0.77669627488844	0.40962466532151	0.641972907783693	0.368263256582265	0.767130139113609	0.834046656119951	0.441393448680825	0.837323551737359	0.755566288843883	0.919421328029672	0.753748185221261	0.727050708550032	0.832383451179393	0.43066524446444	0.771955220328807	0.787798817359145	0.485872230207089	0.675646457381014	0.649678567914979	0.757335360886874	0.651961815833885	0.818357006927651	0.598748396338426	0.663463862144386	0.442295482668064	0.593131501522932	0.396504187068133	0.805602501423217	0.757252674708507	0.647785127249952	0.44123674042957	0.686323295937557	0.505866250253841	0.78989333225281	0.576363782390985	0.813122868056981	0.722160338131424	0.766752372190861	0.912940921775373	0.819072858477208	0.726970811725167	0.679241016631807	0.82510322033179	0.966517343088664	0.524787422497443	0.360526141895945	0.523483946551752	0.604659791733267	0.29813554532125	0.684642122264342	0.667114135117078	0.605545907520101	0.79949058754073	0.692251643318835	0.856991177588059	0.812256651872955	0.820340092943992	0.314122039129475	0.757846257048574	0.572624887908983	0.689882692207413	0.419466277238822	0.578593399886471	0.834828266365338	0.611236287903876	0.448518859747711	0.780913582430408	0.638444581400373	0.81195263395105	0.727621732549288
"SRR11292132"	0.0565874703370969	0.0864269895977933	0.0901812337638389	0.0754747207825576	0.247487406920758	0.056161440318058	0.412856137342529	0.153294337512338	0.0896286118454766	0.0991270248822549	0.132312633390251	0.597304802491841	0.153859402834979	0.05722787546623	0.189589338029646	0.200593401285654	0.0385409123537422	0.278128256701142	0.138653362938005	0.048500391359203	0.267019263786894	0.0595523442605263	0.145124641396888	0.453837297223083	0.0558700064836361	0.184377601619254	0.10913846118692	0.101959354720446	0.110683113130932	0.430176043113783	0.677797239017383	0.150241382886867	0.0622277342827813	0.0902188337292786	0.0730634768869108	0.0887325188552839	0.05554531435136	0.20947584051633	0.119464166587804	0.0512388789858988	0.0364697388411108	0.191781847985568	0.210238603127365	0.102896500518243	0.392849385034362	0.161756805083923	0.196335651402397	0.266158058400039	0.20027324455145	0.151486299855753	0.111363264084156	0.0950551557531304	0.296586159786804	0.504378242151195	0.0838597595292969	0.345879545115296	0.126257599746106	0.273629668265588	0.272650606400611	0.797390717351536	0.127279816355188	0.3214859564344	0.201024839495749	0.12192966243839	0.1919780191715	0.173086319035659	0.241261282432532	0.376890250879371	0.487937242721804	0.130101131162969	0.441675577936069	0.152226495694447	0.0909119233748541	0.182351293566041	0.0399442997254771	0.102080762865215	0.16143670926788	0.0901730159364861	0.0993797105546403	0.163563585599941
"SRR11292136"	0.106579628191705	0.176529178329904	0.17146613191729	0.180757513364359	0.22948065610283	0.149499410962598	0.342504203896001	0.175934412678637	0.179626121426496	0.220443398682585	0.147405826732199	0.215788488465066	0.448411467582281	0.120106814224414	0.132205826601218	0.177841776570411	0.0817354322684548	0.327059337203205	0.212665744988454	0.507479785052461	0.298574695957335	0.0717599826547334	0.161498336050613	0.252506246535482	0.413884197393031	0.299537020081155	0.12629549303247	0.134236347258613	0.171299667374161	0.282706755497213	0.506043175607347	0.201218679150284	0.211703220026144	0.118614386140425	0.0872275177644548	0.156996058225932	0.132877971431367	0.292810392263965	0.245621865491362	0.128355994464108	0.0872385634133518	0.297562548232314	0.171363267160205	0.0942655671919734	0.254885455900622	0.23241730897888	0.248291400989436	0.28726951061426	0.1451503470199	0.132637793367068	0.220841293370806	0.382775068144912	0.234030691159156	0.468793147922333	0.180811372552686	0.172012996561077	0.112036359447254	0.199503938981452	0.147661921217349	0.247781189286388	0.164242453839063	0.189199481337086	0.230534373669537	0.208655509042389	0.387138069589889	0.422883824017935	0.253246552676391	0.197376803978577	0.300160296912284	0.136096617705292	0.224972228995018	0.16272722448849	0.195823703205468	0.298552648401783	0.151258781850745	0.199635662800181	0.268970586279833	0.139498095853856	0.510062965098962	0.101951719040507
"SRR11292137"	0.235219675112023	0.623671543870071	0.704762362478175	0.610880582982114	0.672282732669597	0.613071677598024	0.543723512256744	0.857837338783235	0.756330312694708	0.572475548540096	0.688544564210501	0.372355122400588	0.61825265238302	0.538325728006585	0.757342732022683	0.846684646816272	0.812415690299597	0.881591869354919	0.78621428573836	0.879956316860273	0.72397913370253	0.898659146175262	0.759784337009262	0.369570016553829	0.691710414142304	0.713234249753022	0.658329792018769	0.711063938383439	0.763219300357	0.787603780646756	0.582635709370461	0.640915892147039	0.512879783819151	0.873171158308295	0.782438138571394	0.631015506821918	0.364445464966062	0.752463469941863	0.800982921284724	0.756863944404339	0.618850748701184	0.672548005626135	0.481320140874781	0.749670468725215	0.534030016027232	0.844487122997652	0.730144084175679	0.713663360633736	0.86502759718737	0.691283034938759	0.807183843027455	0.742928674721699	0.741862401828723	0.946552754053073	0.679813700529227	0.350825532836791	0.70983813214184	0.643757285987324	0.303875947037308	0.598815919348176	0.735502487749755	0.599466600294578	0.841382179882702	0.671149323645751	0.859018566812738	0.810610661092523	0.804269795206148	0.300198548514	0.709798695980473	0.570136493482273	0.654830120915308	0.546736879487914	0.669155321837539	0.847464797844943	0.612454407460019	0.589662164581791	0.760943810841976	0.781640131566764	0.822409990928849	0.790907327373628
"SRR11292138"	0.0728718722269053	0.0929647583037596	0.114869802076119	0.0880979308915933	0.258365840365219	0.0613253868336915	0.402105069723897	0.118373600446588	0.0920146010009182	0.13371196736022	0.136946799464512	0.510153926097399	0.181349082246868	0.0857895616772528	0.182226885141788	0.191780381081084	0.0465737252308714	0.265560838899075	0.15657023215056	0.0622631981022461	0.306476615015866	0.0549514961583202	0.127131729944388	0.463997823455978	0.0746722707587513	0.233059850449031	0.123499201207758	0.147881329277269	0.108075857594466	0.416070077106399	0.717191480271477	0.17960737118165	0.0860919183332719	0.0820585843157818	0.085365228216133	0.121459713760473	0.0723180232327165	0.239910938219167	0.12598022818854	0.0620794765034633	0.0525962629619263	0.219421663707814	0.235704084673047	0.0871956578592765	0.432171831029725	0.164791568368812	0.229216391228849	0.282595115310102	0.212938307454515	0.172544017248559	0.111006668478452	0.116028007007876	0.309095749331125	0.441645075244248	0.0982801710600659	0.400179616684209	0.17841969371885	0.289488314383531	0.302860169801732	0.810026147275092	0.138274030148327	0.373095468727642	0.199640716729024	0.153079566449472	0.213132401643102	0.18414891820973	0.24601218602218	0.421562304041349	0.517519779772011	0.156295160030278	0.474228545020738	0.213821504339883	0.109212619201573	0.185997889044789	0.0530520427863383	0.130888754520206	0.176104995690486	0.0930003399953945	0.133021464014383	0.147024319505497
"SRR11292140"	0.525332491948932	0.648388996616365	0.620407422694366	0.406227533903124	0.547452394584005	0.386095645758966	0.554477321701595	0.636345029844169	0.742724382047995	0.580688971677875	0.653912008940771	0.334588574904842	0.679884807863396	0.650768895424863	0.713455713351953	0.468699115155032	0.506774299566946	0.88866455289527	0.425625245597502	0.681100644473956	0.688377862683853	0.535313990504217	0.492063974319958	0.555604870244738	0.708408897047106	0.771963975270003	0.657447597142862	0.521539828390832	0.554674394818702	0.598479035587709	0.789518231892258	0.81534496854907	0.533806249109257	0.652939425573757	0.534138291888778	0.604818064506793	0.610546185999398	0.65788861298681	0.601443788326929	0.515105320572552	0.593339861670494	0.723511105680661	0.570782830201822	0.669992421507521	0.46540972825685	0.720674280574205	0.616683110812139	0.592222575311333	0.69901572758544	0.731009550452398	0.628542988427981	0.660884324878738	0.682644798512982	0.923405427985923	0.68288272392849	0.539569678854376	0.670727402844085	0.655408919633027	0.424469349677261	0.680107419625283	0.623297828468684	0.496169630534318	0.702028045775045	0.497407131987546	0.857580957394407	0.78314013205449	0.755375616177342	0.467487240901307	0.543367974563919	0.548713875766685	0.483923841679838	0.518949482288158	0.587735599574017	0.785672608034096	0.461082766625096	0.612993588493287	0.685759538793017	0.461284996114858	0.849237966432092	0.707075536160716
"SRR11292141"	0.194572142852066	0.105980141398373	0.148341926749783	0.491463699659334	0.26591733297448	0.168935479364915	0.497250724765952	0.601139389560343	0.33556902701819	0.271400371716547	0.188727888352408	0.262067615267264	0.551987814995881	0.108241809057503	0.451319549365038	0.289254945962506	0.206951174532544	0.47319307037444	0.452166240702333	0.891608041538793	0.288212857933452	0.449018732690484	0.496082797579126	0.271116198656515	0.627982257764528	0.496495810080275	0.227581157285792	0.246497299162961	0.276014192465743	0.348325353802861	0.576298718876814	0.407505977829479	0.453903110134098	0.33311938490049	0.187567329484275	0.224738894619337	0.186769276855836	0.356234158291252	0.45140008335961	0.151565046891332	0.161934938877404	0.385621495593656	0.218558020523316	0.299777131594818	0.29787440498229	0.381212423153063	0.242792064356017	0.306314419301086	0.292310341095583	0.210246800499729	0.349386402056001	0.503367226314638	0.214913729424853	0.868833307335689	0.114722124119007	0.232742225308444	0.230326722044529	0.223966560585082	0.210956637253512	0.398213743623038	0.434035336566328	0.196195653880002	0.416898900550869	0.304247290251018	0.73712158505615	0.649195124750463	0.392776462513608	0.228906902876553	0.261507104261743	0.17708564471075	0.19577950197849	0.193935559236654	0.242074256129246	0.494242001062934	0.210395353648188	0.189003677891815	0.458534604785204	0.389751697981983	0.663199791397982	0.485867186488095
