"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR11292125"	0.514983846463985	0.538213695139552	0.611172051775413	0.672964903573457	0.629410551785334	0.602864314046095	0.675971027776492	0.6730011039351	0.62578088343518	0.592746278413025	0.448102306201625	0.548989391081961	0.547033388814416	0.585775175348717	0.47492514736439	0.556354120633338	0.482322828908668	0.552876830481644	0.523929169809702	0.397722233397934	0.572879556624689	0.532945710115326	0.496643845208774	0.59634421001765	0.516489435743191	0.623230288487046	0.472752490603669	0.483810585082161	0.515992767346756	0.512761415713483	0.578372090196833	0.633479689666518	0.665516017821544	0.577768159487932	0.607570039951425	0.454606878191927	0.64074211417687	0.491179988948326	0.566407198108924	0.477154353945577	0.545324201403581	0.457649326554857	0.460931045313677	0.482424287481658	0.455631178081803	0.471003608416428	0.52077389173498	0.549414875115751	0.5079147442231	0.438228671777372	0.577880667023449	0.508268632101755	0.378839905821156	0.454126839746417	0.497771392984558	0.58584178698103	0.573418762165953	0.335329181514653	0.543109076897977	0.553501253156216	0.598768666803245	0.545369167856548	0.541232927168283	0.48160136502069	0.619944508708582	0.621151266995703	0.559322093360967	0.537375410716988	0.442336362729188	0.565018898040264	0.472837517624249	0.623097086112847	0.509818201230157	0.584517926016645	0.573368147636152	0.496103905963155	0.539718146434969	0.485952640891712	0.716747582462974	0.684632138624484
"SRR11292126"	0.220668580043123	0.28801469729134	0.258945271569139	0.710272531315899	0.279620972272038	0.481080564235016	0.650987516943963	0.589651591415288	0.280668054821567	0.528801356489426	0.276717759272763	0.207972049978692	0.175952201205734	0.280248780386212	0.298328810860002	0.323819163388591	0.252179178064217	0.329530179192828	0.287594132660994	0.494284286905446	0.23964579828729	0.275466583838828	0.256027572876961	0.182217562368054	0.147984617149612	0.361676044713185	0.515666818263804	0.215134531219338	0.280930741142397	0.227761447941318	0.544901919671332	0.287724706478396	0.646910870145777	0.33015340051547	0.576224419061799	0.203737175222929	0.156718516849982	0.305103856047795	0.337261970229433	0.239808637541665	0.285744490663562	0.512937300284644	0.266311802423754	0.247660671467918	0.475507293377758	0.438008314291542	0.220553958195842	0.30492565769058	0.343580660998381	0.233620073081535	0.342387700893789	0.509436604733928	0.15856840692193	0.359260258642726	0.360588192094093	0.401499630597593	0.257102686790731	0.369614961962156	0.452710022757152	0.251991869688021	0.23248258189013	0.149379934340086	0.471782605949246	0.260395902409853	0.241146689865311	0.221074216811649	0.179040209862414	0.380214806941189	0.186615233433221	0.266929829591484	0.536958295872893	0.255979273865519	0.294674603368548	0.164426843074498	0.302801573827034	0.181715969563776	0.39895205159737	0.179486257459889	0.420002513075047	0.272084809137973
"SRR11292127"	0.0424875719038357	0.0482992062436239	0.130154847503823	0.0714393203390967	0.046713880577576	0.0640554508089403	0.0788442862209776	0.100672475547779	0.103659785909758	0.0453162433892183	0.025722319946226	0.0546735564494171	0.0467492474620374	0.0420477563070011	0.0413253865393203	0.0368028462071242	0.0477500139589522	0.0230473344066679	0.0361445318930572	0.0192314934521621	0.0389833818801344	0.0341232123111235	0.0346828797796658	0.0769195173171626	0.059138865268908	0.0631746200101009	0.0385248633275231	0.0615472075241514	0.0175679515915619	0.0479886776687875	0.0612725006909024	0.0581925021140063	0.23594974155133	0.0574305312024759	0.0253387586188056	0.0403444148919327	0.065545584573658	0.0186454959911227	0.0447236944008243	0.0652779285477326	0.0322842218833488	0.039460679009113	0.0258798643798261	0.0401478281497727	0.049205124114977	0.0216276556275761	0.00662868555516553	0.0306898146322561	0.0313166785341157	0.0201330674499864	0.0656405523242155	0.0347613260436335	0.0236631610323814	0.0428115988842571	0.0206928644191372	0.0291452187492475	0.0688137495514672	0.0806293362714627	0.0330761986840101	0.0414943245595327	0.0520440727838674	0.0339468694639797	0.030275661067002	0.023690487244014	0.0597834633776115	0.0288972708193122	0.0683340554221565	0.0436119446754863	0.027608374443682	0.0592535319165347	0.0543506157007814	0.0627923499051108	0.0483892396965043	0.0302005701304727	0.0481273708352698	0.0670523552407639	0.0356410600965683	0.0551333213924477	0.100435391012	0.172024464463405
"SRR11292131"	0.615950684727171	0.665052945422699	0.696175446773646	0.660888252939074	0.727360506950043	0.618746966967813	0.751681093577152	0.6770106586198	0.608014851954209	0.675802831567783	0.713652195577292	0.559844511372451	0.614745224053255	0.654116627407233	0.599200183536544	0.654464889573074	0.620015750305445	0.614996719531165	0.591274448285817	0.529273451913992	0.647727924485337	0.586432971893174	0.589171426040072	0.734174356096979	0.637295195076042	0.664161709172882	0.495744423144123	0.608766026998153	0.605118925850084	0.616195696789846	0.589719335186051	0.642600213636348	0.657638767775913	0.648903059287583	0.658184779888705	0.669907105955361	0.709025040315885	0.647746971420137	0.609433044303217	0.660788178535901	0.689685553164921	0.589378802382925	0.683319753703208	0.672264816727365	0.520600055927732	0.592680516716204	0.693164901873923	0.59784115143557	0.650479464702868	0.717010012462643	0.652513452486177	0.624257784584111	0.701345338234338	0.60917355843725	0.578821378461238	0.686103228791514	0.641877657544336	0.722810467202874	0.708670571351641	0.592843432644414	0.653111481648471	0.668680144320857	0.590031655274241	0.600660291817882	0.664690914495043	0.686425909352304	0.638033751429198	0.631095079088932	0.625898707955009	0.653387916466184	0.616530725622803	0.716651364040744	0.622238016240873	0.621657562821192	0.694547718399504	0.624357758542948	0.630661555283117	0.635077703166132	0.737705896567653	0.699857327559131
"SRR11292132"	0.00731921295797169	0.0101459872755994	0.00521757122596488	0.0086642728059823	0.00648845796882237	0.0152847265030165	0.0193544691429533	0.0204545772297271	0.00330008681921949	0.0176881573911568	0.00847619859926097	0.0116152710985145	0.00785992737744016	0.00611881841044177	0.0103179044580929	0.00709189504241214	0.0168787924587086	0.00933268385290563	0.0295917256743267	0.0143407421024132	0.0128106037069514	0.00906697680510158	0.0114492170552153	0.0171132292174319	0.0136549556598345	0.00374655477530344	0.0146760893909408	0.00878338494596263	0.0155987993182694	0.0058685418223413	0.00957782161801837	0.0064100163555066	0.0307444384599103	0.0247090671892667	0.011296923787161	0.0163045053531125	0.00878364664167954	0.00967786270875703	0.00967510327382738	0.01681029301915	0.00710791252630266	0.0133917071520447	0.00772009123694062	0.00886129009496969	0.0168264112825214	0.00874909247170899	0.00963572583086916	0.00957136122141143	0.00559311086680643	0.00526102843572084	0.0199362360491777	0.013766071227204	0.00636536143220671	0.0175050019611725	0.0101589912196937	0.0222966500398188	0.0101341387193181	0.0134770342579199	0.010624803462702	0.00405577350671947	0.00964710672603401	0.00501668887186682	0.0251151711868202	0.0101075600775951	0.00621520803026813	0.00875543246088541	0.00416428947801483	0.0096668581524087	0.00724886215702827	0.00980083508287453	0.0157476396563202	0.00882371417311897	0.0173272485969665	0.0016157068407963	0.00828126216369879	0.00928886289102636	0.0171124494983539	0.0128584215163354	0.0104234538936372	0.0115003695158205
"SRR11292136"	0.0126029130705271	0.0114341656459628	0.0171329054992059	0.00771036970273781	0.0142464948861733	0.0119369109940714	0.0156316100202813	0.0101097258726286	0.00594251404510172	0.00941932529514777	0.026307035206929	0.0116355083678262	0.0102147000162311	0.00809110852788231	0.018334876818609	0.0103483702373904	0.0220410835125491	0.0203799732900714	0.0202531682412743	0.0202304734802814	0.0136358838754005	0.0118906523429276	0.0131737027324275	0.0323610581305472	0.0118841974298085	0.01580997832484	0.0205283510070671	0.017948204287354	0.0255741360832926	0.0109830323147733	0.00935919663831784	0.00837599502073155	0.0217602760684335	0.0189948581282771	0.00515753602124255	0.0189692773026408	0.0161586636689243	0.0245124584524126	0.0117236995901611	0.017211394889546	0.0168350611227958	0.0179235933420079	0.0182505451687276	0.0121070140295554	0.0247072769469045	0.0103562964016798	0.0326208532706704	0.0085612486174873	0.0104579137828686	0.0222122084553566	0.0112790018932923	0.0163293062560244	0.0226354188090799	0.026443189833712	0.0147588520536926	0.0210993893369543	0.010675683235664	0.0216657851053453	0.0177289276320743	0.00641867373967498	0.0105658778275849	0.0109238784884554	0.0158205164143893	0.0119510350661024	0.00709364465081119	0.0143557217063466	0.0108078765124229	0.0105681896175233	0.00966340672695626	0.0163012921569174	0.0162859929801411	0.0207720888884997	0.0161496652813079	0.00740612479358049	0.0188493495375519	0.0112967658636094	0.00931419073325586	0.0164906762394463	0.00665662136632804	0.0116253152856562
"SRR11292137"	0.242426627810586	0.315327873835705	0.402443662048321	0.417863940507665	0.35246773253063	0.379064097558134	0.470426173126791	0.481005410119596	0.198884891852426	0.427716023537188	0.267453393431903	0.243151798537317	0.246172367458646	0.277023499175741	0.23341148005971	0.287904554508118	0.340794167814019	0.432623272940343	0.406880172996973	0.324527009735819	0.355987639650849	0.293246816651009	0.286001223225547	0.412320898157825	0.25828581547619	0.328574688737743	0.372515495831261	0.221645051831355	0.436034755992878	0.205232967005635	0.349862294503644	0.287371661480208	0.449481785063906	0.516250978360335	0.443340543797157	0.256430146917668	0.322650560884324	0.316708868755656	0.292515858325611	0.350402398171471	0.323818886613973	0.381001283225943	0.270113350490831	0.259153039323344	0.403747847537422	0.282072963589883	0.455335472140385	0.301737920742993	0.221181700683558	0.255214585893912	0.41303980697254	0.335351614721193	0.256334456228743	0.313589975513309	0.314378638871546	0.493222383653435	0.320886937570536	0.369420758726234	0.348408246162601	0.246824681455434	0.330816689176709	0.263454754121222	0.405026966320171	0.291996407125532	0.318439896378862	0.459433253549114	0.172326870643441	0.301207675791675	0.202778772959542	0.336213538938083	0.311337111032257	0.318759174675493	0.317104327130688	0.160032484369202	0.283408890570048	0.271148629493309	0.385323976407619	0.285934728783408	0.525858405581476	0.403903359465407
"SRR11292138"	0.00445104625541696	0.00618794562086552	0.00295680017034257	0.00603636869064369	0.00341378038012249	0.01133874289277	0.0138020608643816	0.0129164960325229	0.00194346993787528	0.0120157262216345	0.00671284590569699	0.00723101007374335	0.00452368748359458	0.00362956758472492	0.00820932253721534	0.00486768301675159	0.0118208010453345	0.00583251621510787	0.019737415947995	0.0114899086612492	0.00762323963942684	0.00603402912072751	0.00768268608316308	0.010903006434792	0.0093806443245955	0.00251894300896297	0.0122659623852887	0.00588121964214096	0.0114648188830123	0.00416259507013359	0.0071604162207736	0.00370675652451574	0.0233391233818288	0.0136786375831281	0.00690528987619427	0.0115226050571619	0.00545480715190814	0.00727089432829609	0.00620100982505096	0.0106248429761345	0.0046706837318815	0.0103610603627332	0.0058962127470664	0.00537073068635718	0.0138768098640619	0.00605199426029727	0.00773087816836412	0.00591464722651219	0.0039161348685368	0.00402598691265737	0.0119974614738141	0.0115001331159468	0.00402895252514972	0.0129209639457838	0.00734540014426917	0.01430109324258	0.00563877681443809	0.00874959474808528	0.00764583656437722	0.00248939630161582	0.00493202806750058	0.00277253712575147	0.0185961138002807	0.00673026638556935	0.00317151899666855	0.00460615435433268	0.00268960392619415	0.00647041308158445	0.00507769985511448	0.00576422377668771	0.0127542095494726	0.00528271140017567	0.0112272401353987	0.00105278994186537	0.00547980522999051	0.00567831246028662	0.00977144037924602	0.00842629616214933	0.00461522189013117	0.00529107541652515
"SRR11292140"	0.0490987703783221	0.0385229774283649	0.0713660472382467	0.0428980089787692	0.0276971911688993	0.0411573979933332	0.0319913227517895	0.0429107115314394	0.0695192535859401	0.0243853292492319	0.0289248919242195	0.0362764583918234	0.0451386737782371	0.0386187548677389	0.0354997121792098	0.0276505469648715	0.036667740536889	0.0143700264823383	0.0280987130869564	0.0291989346037041	0.0261669679743498	0.0250445415384562	0.0302583511769844	0.086996976566294	0.0536888155041301	0.0579204726913429	0.0278388629883045	0.0507255766614117	0.0166169345465639	0.0366672672462547	0.0364849750863244	0.0515576705000671	0.136706989529119	0.0306039674599338	0.0178146353827977	0.0397967074289618	0.0537881638839164	0.0380568933985847	0.0394986643651354	0.0592648397431353	0.0253688141936226	0.0376430676644431	0.017296429913461	0.0399542146362187	0.0295294379959961	0.0333141964470307	0.0267295297428305	0.0267210345509323	0.0504622379962446	0.0248248604309527	0.0385756954684232	0.0365086827824773	0.0168127158296567	0.0502992128989942	0.0197279351519809	0.0228577662610527	0.0433548139034108	0.113904248439905	0.0347349627012515	0.0265868756441127	0.0398817938150417	0.026069015290429	0.0281000471423922	0.0200203432112031	0.0369250538194981	0.0298027903293087	0.0636693047770627	0.0361233035066949	0.0224240149107763	0.0442891858915168	0.0734908182545505	0.0486027810157491	0.0430900926730107	0.0231903677534737	0.0658105590523728	0.0529022898389243	0.0325307034873133	0.0368958997881561	0.0360100296699887	0.0796867148943424
"SRR11292141"	0.647165742906404	0.653579175946689	0.71611209226162	0.762925451332841	0.758484220547999	0.703457901916485	0.841695900609739	0.756873269694295	0.700486360453673	0.766915160763134	0.53814442824259	0.658140655209501	0.667110639801883	0.707713590333543	0.594512139419944	0.676814428730363	0.608985593788467	0.761061061806588	0.655416368028823	0.577803818243739	0.743395667169669	0.666149134637726	0.636464062264978	0.600786255734739	0.603638523257505	0.722354031169774	0.659675285576427	0.611790176940463	0.677026131247508	0.629344341026107	0.694169813687684	0.679820296861939	0.713537571954735	0.737158609243597	0.721368159768594	0.575280499901265	0.668324365410559	0.612156117110826	0.67972951825777	0.586577636744252	0.703832865956178	0.615442568131406	0.74018631962692	0.650772745000846	0.663472960267371	0.590823587837479	0.536662322407104	0.653687581374663	0.649687508237958	0.58996212825606	0.681638805823771	0.594241852189775	0.550312251550176	0.552387453630321	0.64979351083961	0.743185211818354	0.686493465797613	0.519871284304877	0.592990818946806	0.693545720351878	0.709240566489559	0.726048519198744	0.665734420861435	0.630093372837944	0.726422911547748	0.694616749988074	0.698951616362049	0.652323151271649	0.615354040509918	0.709952195811602	0.575056998688632	0.792333477369177	0.62304022595274	0.76111226181445	0.704884147457889	0.598185574001133	0.635897039899483	0.631153610266038	0.808737910830885	0.733635246912289
