"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR5865065"	0.844725896896425	0.925108794132853	0.796703351545389	0.748677639892506	0.858695858082398	0.877604206691096	0.862046483051337	0.825409993330025	0.801802345490341	0.858815115853814	0.794772465759467	0.759585209620765	0.868685973364487	0.869880471206105	0.906811916711028	0.840393673691729	0.829761784675216	0.954125656480577	0.873649319541664	0.750164604163493	0.921547817586409	0.820729805391054	0.768237033366573	0.86956942515572	0.748558343732862	0.780855516342648	0.870239216919659	0.889934662816141	0.729203185226803	0.891475214547768	0.90560913372073	0.839961977553355	0.91531048797355	0.754718822859306	0.809602937399904	0.914508449936239	0.779659886713606	0.830619524067212	0.83467363130997	0.820849436199781	0.895613657222729	0.845552143268142	0.867352675090743	0.886179952950428	0.908410818719908	0.877772426694644	0.809838961803273	0.766548598006226	0.828288526545068	0.858027860284316	0.822391993999031	0.865377192991611	0.778091336670418	0.847244420037497	0.811160353982679	0.81489833383551	0.836548392286661	0.86298683398085	0.869175728483846	0.832414188499253	0.814660962804746	0.890770883942015	0.827275713291236	0.879104481484766	0.851647514107114	0.872338612533276	0.916930902902562	0.77711688874705	0.898942640361397	0.855070185032207	0.818750874485863	0.91665236823228	0.685467485808178	0.817490095164986	0.876268072888411	0.820399842364924	0.858191859597375	0.833650133506452	0.87931929145113	0.865278511590116
"SRR5865066"	0.38675847398288	0.629507212484687	0.425887223630085	0.460496559849119	0.487467715174175	0.53168348989505	0.533759250534192	0.450763973949524	0.432270328322699	0.557518985915805	0.423688663329602	0.353119182426352	0.484690243348743	0.522427107783161	0.523022468334774	0.607457688023109	0.315853913156605	0.678684590076499	0.604087700855654	0.393289410485749	0.612756329167228	0.31328723552822	0.360942947271943	0.563937220392738	0.35826822782209	0.397220663691188	0.615505694365936	0.598715529793442	0.3386113335048	0.581645883370743	0.559503620812506	0.44858160128916	0.647541062938128	0.387361597176108	0.512695991856552	0.408462369133177	0.378187853482395	0.217793176166372	0.514588981000054	0.55359279864387	0.61911876005285	0.497770037700965	0.536134811900546	0.587309927883361	0.677429768597314	0.49085056404724	0.413644446242064	0.364368318397733	0.455697744765726	0.570724867811709	0.507827560278905	0.508636781102236	0.489471328008222	0.447831135546529	0.32998255849543	0.43008620688554	0.420826862187503	0.446875281222689	0.548838088178015	0.306857111881581	0.399917799031832	0.565629353342603	0.366403774069283	0.509772070873254	0.5834523916603	0.492918958226008	0.606324312572716	0.411714508628709	0.509051477596355	0.378560586073114	0.412861714264577	0.620440222315908	0.293609490598285	0.407717693964482	0.533141121846456	0.47449969665144	0.510925382645014	0.508080152291356	0.476059133198888	0.413597872717114
"SRR5865067"	0.0610093098567735	0.0875686529464439	0.0930184712694858	0.0513554618466641	0.0773805144291802	0.0610094648304187	0.105153354851089	0.0696427351197252	0.0413315502885162	0.112536491003215	0.0966658213261776	0.0749894878354524	0.0694787874092535	0.0848885577280436	0.0600883543161745	0.179481025249847	0.0347764141861135	0.0704826158988398	0.0849249578279176	0.104897327085711	0.0544341048852978	0.0516722375283083	0.115767434734644	0.102199309504764	0.078016694922432	0.0723393402341983	0.142526183363739	0.0984576208825746	0.0924513321911998	0.0940188973301851	0.0738741088476743	0.0783511180750176	0.09885193719371	0.11609119317215	0.132005478179908	0.0359093432136759	0.0845622507144988	0.0448659249256451	0.0936292468680724	0.0975405439684894	0.119723449321023	0.0936081403062037	0.0981902864903458	0.110473629888439	0.141295906512359	0.103812541687926	0.0759026566362125	0.105860531257235	0.0770054036328679	0.134031385879854	0.117475741686823	0.0737594592538585	0.119201042934522	0.0623768945634479	0.058190562238792	0.0702801941607483	0.0854736013820769	0.0510609054338958	0.120451227242317	0.0358764753733523	0.0612277047305442	0.0804521172078322	0.0454854125142844	0.0687393007246188	0.0529364851046882	0.0615657161006334	0.0854486014059195	0.0896140072954754	0.0745746224070034	0.0593373525009732	0.0718682101689726	0.0660708664634819	0.0776603814087422	0.0774991581759457	0.088591906692455	0.101259793353463	0.07885049927025	0.103128195254531	0.0601809269452618	0.0453500548335522
"SRR5865068"	0.864611945346906	0.914843319504305	0.727926824901219	0.777402580340574	0.830410012558149	0.896986905296598	0.866539692579808	0.86375979168933	0.856792042491294	0.859424270760172	0.75888099453256	0.810789031904483	0.87323126184034	0.896011955202586	0.932431383225701	0.848516920907184	0.854215927397292	0.954831525373184	0.856182501211187	0.793131862074761	0.937749144811832	0.760251519132517	0.703616684872047	0.874304377411086	0.7751819407133	0.773250568581316	0.871658176711614	0.911030212756011	0.767300026268497	0.910343206066464	0.891596397886717	0.850895544187836	0.910552007634251	0.778828388381215	0.759884644323178	0.919752594161869	0.795903480761953	0.767122117021596	0.815935112078296	0.79192761083759	0.88739272035519	0.803915137447341	0.897498551691409	0.867128149262563	0.911802193153931	0.83973231842056	0.782585210925175	0.711811505198511	0.850362396207274	0.8203106850422	0.835111387227811	0.879851371229669	0.780351463922392	0.80678925911511	0.838871763175205	0.790601000985418	0.780650859190474	0.830393028931028	0.87951858682261	0.828922176436789	0.727756511252912	0.882452640478579	0.88146421940515	0.875148935925554	0.876344086510959	0.862068586327229	0.934988060879102	0.813012931350083	0.874281847041017	0.851380447418164	0.860346982099607	0.927043631433313	0.677114710405999	0.748395827116777	0.870533051194592	0.858736250617161	0.861934048826847	0.805654371596187	0.892301305814595	0.836585936764875
"SRR5865069"	0.12402882474324	0.17553065674594	0.324461291667424	0.206165897394137	0.209203854775656	0.0743969158876435	0.197035597360809	0.0998818930960475	0.14104998384661	0.188404242709085	0.244676885971618	0.0905225506009391	0.17624551248143	0.121797111003528	0.0850671881458573	0.179713111034187	0.0938993452943029	0.105932910045831	0.201533336249532	0.118539944171413	0.10702543395391	0.315028614395486	0.410013703891749	0.145355243617095	0.152210642970857	0.154528119152436	0.180770342650218	0.107394785960708	0.131831266251232	0.0952209167898765	0.196751621846294	0.177150914779212	0.177402389446935	0.162562541424893	0.283185145586592	0.0853035289883152	0.156114011109044	0.142729120241005	0.176506665363645	0.393532261627745	0.194768360255869	0.254668061891364	0.114976651716203	0.232282854230112	0.176483716626452	0.357340985509813	0.18738951977877	0.367529931202851	0.108164720702576	0.302746683957371	0.172467165394748	0.122638602170364	0.166432075718446	0.255880745047282	0.120070619106936	0.211515759534753	0.356882026604446	0.212458983160377	0.165673428888555	0.063018902189386	0.196731826671598	0.143978682640413	0.0455668468370464	0.140599220239017	0.177187211912672	0.145769143511735	0.0857934671011418	0.11314928083103	0.263097804747357	0.169930860229625	0.0903719071164959	0.0981328096345882	0.177531688934089	0.229564732050091	0.208943938403925	0.111788829084664	0.126987952312042	0.23471107808693	0.120525203368941	0.158779118621199
"SRR5865070"	0.289592052646358	0.358123524491457	0.25528358111349	0.310446162160824	0.295920866618962	0.39907116713189	0.363438575647484	0.406796399202914	0.314840973355935	0.407856082281672	0.307398695386811	0.332805039301282	0.34230819814857	0.37335813143016	0.41678060394156	0.491330820003338	0.27508539400299	0.363919561510216	0.379618044905849	0.364027800330605	0.433393619422647	0.187831152350552	0.330505701455256	0.375039100416713	0.313612714394446	0.321456927472172	0.444680028140408	0.475955864285994	0.32676474516708	0.409117949180759	0.342227541844065	0.338874947466473	0.404116644144825	0.358251006353101	0.36676402697129	0.244892073339459	0.300667675533696	0.195151095844824	0.35315278713196	0.367480985826754	0.375336673171124	0.399682493670347	0.417957528744963	0.372122885452565	0.452503042931836	0.287395834607259	0.306715777720874	0.271995511992971	0.345681670558193	0.341950607506487	0.434050225727129	0.369963823437331	0.385543871306423	0.299100436811808	0.290951267830967	0.293947594708107	0.250435074559758	0.284985072466285	0.408766986685451	0.275084291799051	0.247725075777656	0.338424848273097	0.330600175576331	0.339179737176441	0.349341201832194	0.286275979332274	0.449251646744079	0.332901522548739	0.289862517468746	0.263495374477131	0.345959359455524	0.410147048764258	0.265816232499825	0.285208448309378	0.341562920756114	0.388283125264799	0.354547073808261	0.31624300397824	0.337252944828827	0.255348367194408
"SRR5865071"	0.728309096782079	0.79064593803802	0.818974703412672	0.786999951620527	0.802597255293434	0.71726313692334	0.710288520874922	0.714224254601496	0.759297043330276	0.730292330349418	0.809408630305372	0.654162961778364	0.764394727561746	0.681376307886241	0.759973492113375	0.703750347010437	0.752267944471616	0.759467351552837	0.810475131058038	0.675301976758066	0.792125408560426	0.841917139078551	0.854794267158821	0.6787427035285	0.704205178765645	0.762667377442717	0.686053923939492	0.729577786636824	0.72034611748991	0.664585277232931	0.806953033944603	0.751450655393118	0.73537269578786	0.742030334755455	0.822068707930135	0.8394239580546	0.716901088659626	0.771100070042648	0.770423034456097	0.827023651365957	0.730142598145678	0.871026565237772	0.698023219756114	0.780809885234952	0.694541292343132	0.822197367365923	0.835455689916885	0.803011182487066	0.670924741477796	0.763049987608046	0.737949345769884	0.697617781087202	0.684678624072619	0.849895375601382	0.74385002235637	0.789492121381868	0.811542095360304	0.867555683229712	0.749029396190707	0.822870358859824	0.845781892205259	0.76162309046136	0.679036355158383	0.766170787411302	0.714238747391502	0.734638487413461	0.739119883598058	0.637506180856947	0.826328059263883	0.800900550965009	0.649961097690901	0.71021723169698	0.753952083182999	0.84772291772902	0.746921673706162	0.617323542977556	0.739130600041979	0.745445340077515	0.734149433803295	0.810565782931384
"SRR5865072"	0.21680412663335	0.291228880984905	0.360228901758532	0.262767569855032	0.327308227290963	0.225023986427217	0.30796015836416	0.238991816118227	0.214875542151036	0.324545950220869	0.333660406735726	0.194141887111905	0.310042739509044	0.317104975803752	0.24692050969757	0.331724218410476	0.215976317046381	0.223004040143109	0.417986284870177	0.225593141946184	0.309665522031111	0.301638668762809	0.4304346535863	0.26196259910396	0.302847529920539	0.274879255683239	0.3109292234824	0.304652238753044	0.228538676267706	0.223261132867049	0.322767531826845	0.300466305277733	0.315184981092271	0.265215086687687	0.391317159926713	0.175140337117193	0.238913878250096	0.274891170187796	0.305092445331176	0.472707915084462	0.301006289805487	0.443820577062776	0.352196057203777	0.341289024052127	0.318362309291375	0.369992385556569	0.299451162774639	0.366657395449989	0.229722051204248	0.378813670872882	0.323673703657336	0.279367382222029	0.290844312475338	0.379270310584489	0.200479745899383	0.366979831507948	0.353937990008031	0.428839223025628	0.311105573122876	0.187359557339842	0.318958882069147	0.260506057175292	0.134871661648024	0.260846771854006	0.282976122753655	0.243993634411062	0.246268702498388	0.209123477959729	0.333719634412014	0.237101346528987	0.187278042235336	0.268624345458258	0.267997363412184	0.346850812582748	0.31610349552151	0.217500956423205	0.259832824464044	0.317246639037538	0.265137334476649	0.357272005926078
"SRR5865073"	0.432699427684949	0.592576015274984	0.42303651505863	0.256322903435478	0.503002590840668	0.477521067064844	0.482751329075191	0.427779901878309	0.298502759169345	0.501493361410874	0.484508695404231	0.366910368973277	0.42163318008685	0.545171301141166	0.538460740079377	0.633559220924617	0.281147660373066	0.666959864445607	0.476543557108057	0.466116218284378	0.488083969432707	0.345367885989436	0.509053806965265	0.486696491628681	0.367176469405484	0.374680911103167	0.557320486657168	0.619936777561714	0.445121694652826	0.55193313139049	0.547610764136583	0.454221746441771	0.537199161348098	0.533822925457198	0.57372862322367	0.55397650433851	0.397554177208762	0.333863772463331	0.470395395871118	0.407855235591534	0.577306017301954	0.525025643997622	0.618524281598133	0.534461377941184	0.625866780674847	0.554509818723407	0.496908946182374	0.426077478027513	0.423903878995035	0.533637454743099	0.523776046603679	0.418345936861927	0.429028262967181	0.404410383937594	0.391525929272168	0.392860254683481	0.416014770920236	0.452866324885408	0.619736279896072	0.377191568432255	0.35219228473705	0.530998352927627	0.397475394394785	0.486687931629862	0.280857989483093	0.385757246920038	0.669864300879442	0.390092586250745	0.520471558823165	0.468378262820422	0.376894678333699	0.484362950214807	0.384027301911802	0.422249510293716	0.452989906004619	0.413968329055933	0.47835224834322	0.43846394179925	0.435253050059582	0.394151304282435
"SRR5865074"	0.733056217892249	0.842955066087579	0.69034297061697	0.774033080598239	0.786515015422253	0.853351001796963	0.752932183126513	0.803612038092096	0.760812975129445	0.809668825608048	0.736679982156291	0.710292321033311	0.783685282597734	0.786606874690097	0.836210464365189	0.81805318538505	0.760022515587546	0.868157022560864	0.877397614475992	0.683765446634401	0.890837791243611	0.685133344315384	0.774038408338774	0.79454144786699	0.713719108923153	0.773356972898266	0.827191233830428	0.859498671362115	0.650307000558435	0.823408020621867	0.837978280836478	0.73904640803551	0.856383403665235	0.681458761184485	0.782092269560942	0.777423316023435	0.668669436949228	0.767986853274805	0.795436388132003	0.79430226872849	0.796781407930928	0.828754945257671	0.827699906412016	0.82237116143447	0.830575055033363	0.755988154065955	0.763048063143471	0.683082898830069	0.77244209323692	0.771441002579903	0.802726150766247	0.824089144445683	0.756772204042417	0.809831662546286	0.72087425522242	0.78319790873086	0.725683723685201	0.850520028052913	0.797115308377872	0.745843620832614	0.726850313520099	0.806750862627389	0.760797307392683	0.821370390503171	0.803166938752981	0.784813979179327	0.881013976664946	0.680822755756891	0.791236447027684	0.734495162871239	0.739087302287967	0.870886354695464	0.648609497276037	0.702936655585447	0.778886627944513	0.745276253481921	0.802967736527542	0.744549523633892	0.802004904291902	0.831599392272131
