"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR11292125"	0.825842328510737	0.892162685719996	0.831881013485777	0.677502911191786	0.861186805106543	0.878616546472436	0.823756554212488	0.824144318213228	0.717948619544353	0.809535600417226	0.831884675778871	0.790288963077106	0.835085770214933	0.888017834772844	0.905825182398976	0.821386625053257	0.82783265655208	0.920266321655827	0.841032840024472	0.836915068175725	0.893114805637296	0.731478047004073	0.598830847689462	0.822357039612274	0.80772035526975	0.798636980769602	0.779711039338723	0.88924967714933	0.849569425426341	0.862582209381006	0.849289621548691	0.837601732203666	0.856607212016708	0.848184786667706	0.847206844889516	0.940587795909636	0.830060148243763	0.816573392963703	0.859606625796349	0.738172706800799	0.863578733897232	0.838950477177286	0.89706833706608	0.837638157571292	0.854263809866111	0.771006102992035	0.885778338446849	0.672920024736129	0.812998355680165	0.804658954898591	0.8030857618415	0.82327021382142	0.790085302564374	0.83169864016053	0.796827414288662	0.834617546878363	0.708603951845295	0.901582360357629	0.878127957209003	0.867797015097613	0.828653521301571	0.893384189175655	0.888336170012507	0.840312463956995	0.734507292054552	0.834348628453619	0.887543416929221	0.823003010381772	0.829849708830777	0.833968981070767	0.814179366310105	0.876867213924357	0.785274141698828	0.812684086561421	0.824172822576391	0.788346830577263	0.869539117742108	0.815085517940302	0.862131053797356	0.888239718534658
"SRR11292126"	0.654139162749839	0.636349469170771	0.617993088684544	0.609993692288909	0.682422508573756	0.628003987513134	0.577170246932802	0.586551122188222	0.634526846813766	0.603268444039801	0.674791173131204	0.622363990550103	0.59711915138687	0.682652670421252	0.657535844595876	0.625101740504175	0.598698049933847	0.659258339527604	0.709941684923258	0.607828426867246	0.637106915993953	0.663576838881426	0.744675617104611	0.584302269197561	0.663833466734977	0.637242182803969	0.585528046005948	0.662332490861858	0.638852914056968	0.641385500112291	0.654767626381096	0.603021271343827	0.589870489112914	0.665977212450009	0.66133051884308	0.73273767800835	0.604184634554636	0.668307825118812	0.611152134685341	0.616510690314474	0.593510124595214	0.71656164164717	0.77347769932461	0.640050613836449	0.582005806966988	0.690269070109207	0.676840204835805	0.662240148182505	0.623535154686375	0.642795087851421	0.626545240980636	0.616661886023017	0.554637846404486	0.669318271536148	0.657540864536267	0.681474989790874	0.64089634977459	0.788267345864835	0.68949526397882	0.696011210187786	0.647423291216137	0.599153769990942	0.606423382710887	0.621575621773285	0.508150795236708	0.587720558388392	0.74675753637721	0.549367451577346	0.66045921140642	0.680729540749465	0.577113091770671	0.59940928784462	0.691057427755403	0.654939485327047	0.587978644571886	0.558322762947107	0.612618775444975	0.571418042360436	0.617278229923616	0.712633543443505
"SRR11292127"	0.462016014962749	0.588722433451808	0.609184680656036	0.389553992190736	0.535460512086129	0.499903615666047	0.57363221461746	0.457564740296029	0.347181137604509	0.514348401699762	0.51020355418338	0.442085134391978	0.56224496392304	0.562446861465314	0.543212137138576	0.458918565681994	0.513061073736353	0.56419939021274	0.568689185253595	0.501895792695344	0.593634039192763	0.431841463683262	0.21521428653272	0.539388151136345	0.513295763344826	0.474405151476062	0.461950156920576	0.48975703337586	0.516325437447091	0.513185153879798	0.483810285869412	0.53704245217555	0.587912786687931	0.47987583544166	0.512459795814985	0.558095959081879	0.562100990782431	0.491699586019601	0.577408084502579	0.503025209159189	0.593004623971588	0.475357077465403	0.504103304130157	0.555548760229627	0.558509641222439	0.438623869078709	0.537523699893385	0.390623937023568	0.480539213306817	0.553872841792018	0.443916234967302	0.521307578729057	0.52464297700786	0.536163949292723	0.416545147468083	0.554217826951724	0.444166668791969	0.57797694214636	0.522552232626103	0.424910014706804	0.559891907094689	0.599742099171857	0.498724202397698	0.473256241251266	0.514726665762249	0.574069103790623	0.409451684512792	0.558409249884016	0.500758908367989	0.447470782343577	0.509653043519778	0.572935636707892	0.436546001084014	0.512592508668584	0.57981814501715	0.514962126637175	0.55395773153607	0.588677874020425	0.55339129346364	0.589948726188508
"SRR11292131"	0.888312200154627	0.903974609786307	0.759992958696907	0.813746153156869	0.840354714382283	0.876018033855963	0.850915912638673	0.863360562928108	0.864803389281439	0.866675684397001	0.787818374327037	0.828196977828769	0.87576172943247	0.856767134999187	0.899244195611067	0.82686346731637	0.88052390857504	0.932510848164184	0.891000362772133	0.759924311837809	0.917211356964253	0.884275508273377	0.888996231269058	0.869658430078279	0.816926249579866	0.831308668842295	0.882445720056037	0.860061200036887	0.742771552107762	0.887693692024195	0.899336560635313	0.834192268806952	0.905518629776993	0.749921681499198	0.762635838499883	0.897258000974482	0.800033627725437	0.891658458007767	0.812156154006022	0.811528825296157	0.861703347561264	0.860426748005707	0.854316703245211	0.881834749666137	0.87884720356765	0.895152202563472	0.782726929107429	0.840837169642081	0.860076611470434	0.812434276084285	0.842628288380067	0.899475168923627	0.790004688208936	0.857145350677432	0.887935955505792	0.843801501612879	0.870573423306715	0.875977867642019	0.812757395804376	0.9036492432326	0.859132610232541	0.853115148830444	0.862635433837201	0.888735841026811	0.859455651124329	0.879830836647476	0.921418336106492	0.792533188141719	0.900459998873093	0.876300634068157	0.872886686044746	0.911837332346245	0.722387125515834	0.852716539211739	0.875820662924692	0.866157819877173	0.852970417539736	0.819523826292988	0.891246714172718	0.882910172200649
"SRR11292132"	0.0241886321815413	0.0240910621965782	0.0602036842387579	0.0257249694943568	0.034893539532265	0.0195273715969829	0.0432349201955049	0.026120819907172	0.0165870099067453	0.0420725577202799	0.0573282073894268	0.037315782834024	0.027604754935281	0.0288599913374498	0.0175591340122745	0.0641217363183056	0.0156236635890388	0.0140025203896875	0.0290692452698413	0.0562461704778408	0.0132730459817501	0.0283618077256802	0.0575414374091748	0.0375820919890452	0.0434056874350395	0.0381262461408776	0.0438617613134895	0.0261329596078852	0.0583178361275676	0.0314720891972366	0.0224349053551459	0.0345619220846234	0.0269750053404777	0.0664114260882736	0.0651101791503578	0.0124643268912042	0.0491709936281812	0.0199907943323428	0.0421757740247013	0.0485764511822772	0.0403275201625202	0.0466973786729421	0.0336901053916452	0.0415026555405488	0.0393302445582255	0.0421060544429004	0.038815376805556	0.0631179774851824	0.0329813889458655	0.0677584488493728	0.0456018007392294	0.0239199041207768	0.0565874741054034	0.0316683888848595	0.0260189786906409	0.0350108578869049	0.041569728631511	0.0235387552504207	0.0439541075500375	0.0164802424886399	0.0373620393974956	0.0266852807522915	0.0165215018908236	0.0215796148443876	0.0185827464008761	0.0251109586133731	0.0206060172246712	0.0458202250263424	0.0263031821971908	0.0246818064551751	0.0297089890870881	0.0173262758679363	0.0672124214050113	0.047540584228625	0.0350272789669028	0.0412831387451903	0.028458114263471	0.0490758903672022	0.0201922200472438	0.0172581126169392
"SRR11292136"	0.158108562189556	0.179482805349702	0.213423795978222	0.0967055794108888	0.172094221745018	0.135924669412839	0.207042869421925	0.148516636619857	0.090712988307502	0.188261559831384	0.203687957924839	0.175130563230134	0.157790418815961	0.210148456162096	0.161648124009334	0.248344919120188	0.109744957341813	0.157659676166733	0.144516635008476	0.243419941133961	0.119823196563112	0.120885722157555	0.146888934527287	0.186521438741082	0.194067469345434	0.153449593019859	0.193257181826559	0.187364865241746	0.247719198342568	0.18500218713869	0.139140588916135	0.182208854837661	0.171435780154339	0.262447714188011	0.228651985041862	0.153179723298755	0.219776128808824	0.123833661768229	0.194231644035154	0.149788464846412	0.22096950091752	0.172324870790038	0.223289551647951	0.192068605107733	0.220908098152127	0.175132482398868	0.194815612275715	0.175011285647605	0.163804050633886	0.216587050061477	0.192865837842929	0.151611022821391	0.209169883360567	0.136129508468403	0.149849942430497	0.164944839968656	0.148714092091763	0.145418498026989	0.240971904298904	0.127438013920074	0.161501014417237	0.185513985827371	0.153170924108385	0.138735188117787	0.0985481539203169	0.14315314804797	0.157663857722383	0.217788723946305	0.150714553709523	0.152593672311567	0.175141526762373	0.136966232120929	0.187175477157391	0.18267462005515	0.178852166292217	0.201252994227021	0.178276637453661	0.201904791989613	0.15139044198542	0.13323356437733
"SRR11292137"	0.773730239076274	0.777371184245785	0.674136647571426	0.693655120505905	0.731617655833372	0.762208056581312	0.713708211766309	0.757178846005079	0.7415534303479	0.739149063369082	0.713157165524106	0.736441845547674	0.741754240624657	0.748847932855341	0.792548646317582	0.732859523592411	0.753765900177534	0.802543687415398	0.761178728119322	0.708236753750342	0.792258791835702	0.745295511336638	0.795112336037642	0.730531520849869	0.731756860763648	0.734610197866623	0.762737392317555	0.751734411834774	0.713395920769021	0.762844207680015	0.763908202803078	0.717929664112312	0.764687991552958	0.718581384223993	0.704176953914469	0.814873310398175	0.715417111433063	0.772753046022284	0.719152951250815	0.668476187013955	0.729408661139794	0.745130218738271	0.76307363784324	0.755427435609204	0.737091792815283	0.757494159770392	0.735838443365967	0.717893415610285	0.738534905979641	0.668154597325704	0.746186506322965	0.769301798831404	0.691013222362286	0.741423859397962	0.784754883049291	0.740587438711435	0.710133651654346	0.794533512296513	0.70754948356801	0.783574841697692	0.701731493134156	0.738099197238519	0.781029647546574	0.762185462169469	0.663769588240312	0.734680122062083	0.820035697843304	0.697752537085205	0.762206342459515	0.760257267941549	0.759104571926621	0.771060580001249	0.67605454890587	0.693175240274269	0.73259529275623	0.742307503219294	0.747527278485926	0.694135731526966	0.765765675133834	0.776924607794516
"SRR11292138"	0.0313235541237932	0.0316745032415149	0.0743295776871076	0.0313321147285083	0.0437773076250729	0.0294019266673192	0.0609770667947282	0.0390308736586724	0.0233221563106763	0.0559720592576745	0.0712754312635463	0.0454933775456284	0.0436691023976895	0.0373428446440446	0.0313410510590485	0.0766517354718974	0.026792884015727	0.0195658963227118	0.0333995087718277	0.0722829515872024	0.024296293507656	0.0351100448676916	0.0627550953546841	0.0478427904314482	0.0510838074080106	0.0484091634258464	0.05263633217735	0.0376907396851085	0.0758304681769785	0.0419325066405442	0.0320135883029266	0.053930583014892	0.0346869990756297	0.0839721826342002	0.0783809006839496	0.0187100998637956	0.0636863724480994	0.0270419927596886	0.0538164978828604	0.0703344682633559	0.0511400071304267	0.0701766118672315	0.038694136540451	0.051603813053022	0.0528618903820023	0.0499485540557921	0.0506908255854717	0.072699063378308	0.0423521721239834	0.0815726989308156	0.0614458258873114	0.0304268642013425	0.0691739798675092	0.0462342446553537	0.0342174030504735	0.0412691418742966	0.0491951135251372	0.0278594213684842	0.0544574567549024	0.0236685569026473	0.0457066288201247	0.0355230596734415	0.0237994799547225	0.0291457804737383	0.0284605680440365	0.0331917771390577	0.0269408258977689	0.059623097773232	0.0357174676829901	0.0324240787448276	0.0393869262614521	0.0265439802583862	0.0849633114735107	0.0657363289780489	0.0493920840567578	0.0526184167307825	0.0368163907188446	0.0607660748360721	0.0299292658770111	0.0205754951965177
"SRR11292140"	0.320457439839448	0.311290542087518	0.353383272787942	0.216309898137917	0.31699608300456	0.34785021897838	0.374579459762917	0.33446837114952	0.239240611639759	0.316866467333402	0.345953403313899	0.37208809490291	0.339665825886901	0.435297725930122	0.416096893942394	0.345300584596635	0.326258406271521	0.31452574217668	0.237608212966314	0.462816050318558	0.313527863260144	0.187943312809298	0.132044144381984	0.337825760990581	0.389445138129788	0.30678572539056	0.269496852491443	0.35246936997683	0.487629189705259	0.383392488525705	0.24528126549132	0.376077135030848	0.297174381233024	0.454482219227	0.328969628853102	0.405513661070917	0.434682282946715	0.289356981403292	0.361428816349403	0.257714905476386	0.356924198778346	0.298831891899409	0.422116919382683	0.304002836434161	0.347434554930729	0.215365339927791	0.371440350324941	0.217764595332872	0.345791898055254	0.307759438888653	0.318996054547812	0.303045196718984	0.355051893345383	0.27639536882672	0.306374449692409	0.317113247400454	0.184136793988076	0.319179839012584	0.361860270034994	0.315974052148835	0.289161250951352	0.35893798078644	0.425405511900287	0.259972981414402	0.255874497038204	0.306960938038189	0.307133862831291	0.444992363715682	0.239053465691294	0.27253987639532	0.382004828094976	0.330171866869501	0.387137138984344	0.307396369764126	0.331268119829521	0.382702821036082	0.354671070060376	0.335916764300645	0.348928421077024	0.304862731229397
"SRR11292141"	0.550724528704342	0.672349957844884	0.566059225850632	0.258841649097592	0.573127998322827	0.467418127372855	0.599413592916321	0.429421663531012	0.348347443435049	0.528110775127958	0.547544268304102	0.423998259810604	0.542318910319824	0.602986149868852	0.619242862378902	0.567734255402187	0.40740633727127	0.747448849615275	0.39623071290341	0.522711153431819	0.515425645355103	0.522504204311791	0.456790311300628	0.545341652949772	0.424148937565962	0.396033613792192	0.534261754425826	0.577996612420506	0.536619912520994	0.586727671414921	0.601811244962395	0.572459475307273	0.60125843801569	0.587056172615843	0.565673666538822	0.724879618491171	0.534804185071381	0.433019451537071	0.505641475233867	0.451048211168097	0.65751357858724	0.471600936592368	0.592324614778481	0.588193338013423	0.659273228749411	0.662728785189655	0.548489457951628	0.513767361340118	0.468862120909958	0.608954366748382	0.499354381576794	0.450366602004649	0.438059084729359	0.477966909562138	0.495369784093622	0.444987144838793	0.543368715723722	0.477804215164201	0.647531544933803	0.375623530328957	0.373825319450628	0.610409029060731	0.468850706553443	0.524949987398899	0.35067892803596	0.504407161029194	0.617316927663905	0.495987389792249	0.643942525832921	0.59933106649086	0.467531539069423	0.52200775536748	0.453144488446345	0.451632137384812	0.575784224479426	0.483748630285758	0.52166407407684	0.539787361611663	0.53252462651079	0.44730090702812
