"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SAMPLE-1"	0.212639913667358	0.332589256205273	0.354912706489332	0.67525659040394	0.325358302978394	0.364554740820574	0.86020237182294	0.217385714887298	0.570402922813519	0.606211196815156	0.389767314587656	0.497966254008871	0.430181457472768	0.490401673760295	0.447119636790618	0.366474748443065	0.432107208295493	0.749398629184812	0.758751540875315	0.450190900214578	0.871526607140481	0.43969929650112	0.524787991776392	0.275885413150388	0.439744661747072	0.729761011734454	0.483022950132218	0.31974541707702	0.344279065501015	0.656230338920821	0.626703279463398	0.486666631783939	0.263097799298741	0.456907815063689	0.465374766910203	0.660449604813136	0.119729537218024	0.591101779943558	0.422112657096035	0.0839748768319349	0.0657292965803189	0.594738971577593	0.534949478246138	0.275361080632361	0.442788943719474	0.485053032377456	0.444436183963027	0.407686711159229	0.369209627955354	0.856809997368941	0.420761444147502	0.46034473931576	0.420761444147502	0.481736553295228	0.495911171548554	0.404932615599895	0.404932615599895	0.501024607177303	0.313179534199456	0.442688186261736	0.424501100235102	0.222949669700215	0.441719954218278	0.509491813546195	0.368784775668052	0.37175223780837	0.490452353770341	0.64562821680109	0.453475684166822	0.35627976689241	0.767188128161241	0.441719954218278	0.611345054080947	0.358261712038541	0.398573751757356	0.430669970639332	0.439288272608248	0.48264798764802	0.58848048833652	0.190318768115332
"SAMPLE-2"	0.206780709447337	0.215983028692519	0.252443126636938	0.459552507987184	0.28618305314935	0.24348795596595	0.660358869938681	0.184921546858887	0.306030509326409	0.513886822826124	0.337827402541498	0.222682899980371	0.170899325968544	0.292487480300541	0.278242657611848	0.242121648608879	0.318185825138034	0.219387622364709	0.21679134613256	0.302908886294616	0.320406745482584	0.222449670007724	0.310550779557274	0.194002245647067	0.23413417998568	0.408446384600939	0.230250770102814	0.324286009455865	0.284979203213968	0.424808442434986	0.335941179258768	0.277044031693253	0.146966358122615	0.217804289876667	0.244006103882309	0.340296054247263	0.151969969224123	0.276107063877408	0.224545318587944	0.0768808678916044	0.0810036820348338	0.440747133875344	0.320438450166673	0.190652083021621	0.25967216539602	0.281210052007251	0.24980098279714	0.280835737110045	0.272658409635924	0.319505527210604	0.263768073135461	0.247609032702203	0.263768073135461	0.24106326277735	0.324565794049405	0.280982928209307	0.280982928209307	0.253989173805608	0.301111629287774	0.288430827503651	0.323442922954933	0.196881977143266	0.2992239405209	0.354559575082903	0.291559543756212	0.141080917350869	0.26622715567415	0.305045196340807	0.317117905310171	0.252309687669549	0.431958276433006	0.2992239405209	0.322003243088171	0.237860503365951	0.145958567505152	0.300379806010176	0.22270546317485	0.249037582990314	0.255840248576651	0.220576659323251
"SAMPLE-3"	0.38324430262141	0.328491886610458	0.263971200124756	0.484911176669143	0.184977645746172	0.272032057131141	0.768796476763698	0.221601659268901	0.42074732121187	0.598500303371013	0.350696227315243	0.417597793631932	0.383135515054182	0.337239400117955	0.309940045541556	0.25678967852176	0.267310976362599	0.288651404626303	0.656246304898765	0.41420965556067	0.803283889565023	0.276129162094083	0.34306198468743	0.226066098703354	0.343168214605384	0.498226220581285	0.378505298994342	0.328397196069122	0.297758001699841	0.223760716114161	0.530687965246957	0.355779768299071	0.305830618426526	0.112607828842849	0.222418517215759	0.559344786332857	0.339998071103292	0.513439832068127	0.335724892866338	0.0714439690712877	0.0548660598934566	0.537358855161634	0.548361518588476	0.413736240083787	0.325411972411341	0.49194991359254	0.287528605232793	0.268933000984894	0.312031591235836	0.49482423438863	0.340002634423695	0.312704576740782	0.340002634423695	0.41396444778834	0.480439916696752	0.34434174586866	0.34434174586866	0.208487666624184	0.498416858169475	0.349722814680435	0.286011100061872	0.438335920133426	0.345740705521306	0.471128231272142	0.221781087912345	0.16313764561088	0.334503509012079	0.506744894187888	0.348161260350203	0.272509298441787	0.51916018194481	0.345740705521306	0.469494705915625	0.277614410085713	0.373170760235475	0.343258477677935	0.391689073983465	0.384062395974585	0.378625181115345	0.330111476210586
"SAMPLE-4"	0.200761271286585	0.239553936179378	0.0324102735619421	0.0500049802568934	0.240974045267961	0.0503514182433718	0.326978434635951	0.147212264209015	0.113090764356333	0.579378616493765	0.282553557235961	0.193843988053568	0.215538374713191	0.174602102680046	0.0942058893564134	0.102082476886812	0.234943968130834	0.173275263454726	0.271304251596235	0.214686645980585	0.531223470176403	0.0628872690700508	0.104740577950953	0.144366138633015	0.19732710100911	0.068889496467329	0.206320954492027	0.0900763290042067	0.219594417307791	0.192100489049175	0.173405448523027	0.22337904279193	0.256131149359056	0.0989389212301878	0.185787331987006	0.209731647816148	0.136147402933551	0.253801436686997	0.195882418978695	0.0824450978492414	0.0714661831122722	0.421772500042821	0.185492763714965	0.180429878680836	0.145119205293188	0.358161796220743	0.0785479014259653	0.232495678870017	0.215687932825135	0.203276723175531	0.200548096081441	0.0332476732198991	0.200548096081441	0.177166197762313	0.214492058079708	0.240052793422241	0.240052793422241	0.159529693671993	0.136359272338236	0.193274536062991	0.258118935003344	0.191832612794911	0.251155805195432	0.393431017320666	0.0822653498857769	0.187812615641388	0.111207546711865	0.22697728863123	0.25672637867495	0.1380275573316	0.0699437111360387	0.251155805195432	0.222849139741738	0.152716266337018	0.174546203931114	0.273978592577858	0.193037151375004	0.176355161775472	0.0969668004775161	0.109351306948206
"SAMPLE-5"	0.150074810095119	0.254660584480261	0.158446999427207	0.0865688746035913	0.394045585395787	0.22471648243621	0.161300560706033	0.121907982944281	0.134953602873973	0.563342546372398	0.282861947919886	0.0890625831262821	0.155187305296056	0.295660820578513	0.0932955913624866	0.111124616669795	0.289442891068259	0.200355593832677	0.1043861416973	0.106261517889806	0.540967170655329	0.0576099840152914	0.14582758438707	0.230469662168932	0.315685795854306	0.0689320344003944	0.181349089455384	0.168977720722865	0.312019103035848	0.0905415743087067	0.0915244949224621	0.385960996748979	0.28423368305284	0.0923492417384907	0.100575206534639	0.102596174444601	0.0904246609122521	0.22088839684837	0.176564318629129	0.108560104914604	0.135606410440103	0.400639211574998	0.13487356281462	0.137352635075095	0.165005922450618	0.327959639072875	0.08188929472933	0.411506825769677	0.452753531963977	0.199427741335329	0.286431311239381	0.0544567997483173	0.286431311239381	0.161911214249852	0.189678553119813	0.461710271529452	0.461710271529452	0.0715603764341164	0.135433871063858	0.310728283922031	0.374347730085722	0.178240872464196	0.301145065528238	0.369962613887995	0.179608941433158	0.150425102808263	0.106878842632287	0.185776476281925	0.327769636805393	0.176938452339885	0.0691605605121513	0.301145065528238	0.237180821538512	0.144956179325129	0.106579102147694	0.3415064392018	0.214895833212944	0.172457067978906	0.0863694732205706	0.112261195774691
"SAMPLE-6"	0.216315545458329	0.302653688356307	0.0474161888534985	0.0574051592691684	0.485675217452841	0.119894246177721	0.415066180084159	0.138815970058518	0.140760514060774	0.598546905746982	0.295295968467974	0.351410554227845	0.221686031831947	0.591918978946817	0.179606892837176	0.187280575486252	0.378179046598377	0.339056466976004	0.504881446087914	0.236931447734566	0.369863331783415	0.121022281676499	0.294340781840976	0.311657360071117	0.486379103086041	0.26306714498205	0.285467955555779	0.389278947493691	0.393972542414138	0.123697209736834	0.271054310665033	0.612026707123143	0.42914080241291	0.151369278247871	0.1533951986597	0.327909858194964	0.142356744842641	0.372288720883589	0.258982384412502	0.342447079836557	0.337521700741148	0.479820153864641	0.281591568851899	0.322536742760067	0.264189217547625	0.432469565501806	0.169321304714945	0.566268906798059	0.615134008979149	0.40028593049427	0.435658556929751	0.0402314195166571	0.435658556929751	0.289721204425576	0.327271363030476	0.62529817400127	0.62529817400127	0.124732570308205	0.3237180321182	0.480903125817876	0.471203017524011	0.319461419924209	0.395884543477186	0.439838499252221	0.589116887519894	0.201527276324163	0.218639494328885	0.320032139205124	0.42818873009732	0.278627846901178	0.264569894847658	0.395884543477186	0.398192995212462	0.200823748969908	0.149428688549326	0.433831952636667	0.354444591946392	0.307110111608389	0.206514521579073	0.234902336423588
"SAMPLE-7"	0.284075453998138	0.281537898864669	0.212623663185396	0.137094794730937	0.278144945828138	0.234457306387035	0.677993794282062	0.177329589805425	0.161406296093882	0.565746434206175	0.327246403354208	0.540455465057328	0.275881784293367	0.399839069673629	0.224605086613589	0.202187823429273	0.258232957214648	0.348655724277145	0.688777901221041	0.402587680019332	0.784487660320315	0.187303001602767	0.251716071260273	0.0997290738198538	0.281997891860129	0.275894863889714	0.280314454415262	0.217367205307054	0.273069538984123	0.371926835176787	0.449167304059853	0.373639474545872	0.335727952900703	0.230115794423197	0.225577604105282	0.518621489763974	0.228577929434768	0.377755220521761	0.259616286681565	0.284070067439897	0.242806319808629	0.476436929577582	0.436110237873818	0.388277911621117	0.23750617559419	0.402504863623714	0.200913764505916	0.292953658064241	0.274404839686828	0.448245109213958	0.273035397957355	0.0700947934643853	0.273035397957355	0.29892699673888	0.354431566821332	0.295747496754033	0.295747496754033	0.272798753291639	0.34027835566117	0.282332463702533	0.264754005038553	0.316185815257126	0.283067691272244	0.412036370479925	0.413040224109022	0.252245092154343	0.233198166405037	0.36813492873595	0.285381638835903	0.231479780994525	0.297972156972267	0.283067691272244	0.352772641070426	0.221484130292244	0.258851122257366	0.284054068876786	0.292936081704006	0.299091039691548	0.241571177865116	0.226734256641411
"SAMPLE-8"	0.271838222807193	0.242850716447468	0.336733491681523	0.329556443842809	0.325358302978394	0.403942497295284	0.85007353532093	0.161730084017718	0.279661857242657	0.541233868406824	0.409844094319412	0.682094986782349	0.249460015872534	0.66078753901891	0.451901394458916	0.374608778131474	0.410788842425254	0.411188348432856	0.795839802965003	0.47061791694371	0.787302124449161	0.400039021376125	0.524787991776392	0.259718974990166	0.389869800171956	0.699472223089084	0.369310614499665	0.499421904824682	0.344279065501015	0.699633831134952	0.632632463408738	0.554359145375307	0.399124818632669	0.383617061416852	0.382195766698672	0.660557265216173	0.201785782054475	0.510651828726849	0.337935893215424	0.434901801781528	0.448749107091581	0.532158680978349	0.669905276300371	0.500411123586793	0.43523546560183	0.422973670965247	0.424730349250032	0.368235852784132	0.348604555317484	0.63449574150084	0.361127060630135	0.123666306236304	0.361127060630135	0.446395628856211	0.542341919715605	0.363432006818293	0.363432006818293	0.434943378941378	0.605434136608476	0.39874798367258	0.400405291318643	0.431734795872393	0.392460005156498	0.422772568528159	0.771580206531192	0.183437345913482	0.433389357262048	0.514730397520741	0.412001084962452	0.354658219094348	0.73636331504185	0.392460005156499	0.522526627900636	0.342517444190921	0.199666263657125	0.377243404898001	0.407997343687259	0.480865116479393	0.506606509108281	0.407095549251919
"SAMPLE-9"	0.22374671304521	0.214717691744332	0.0395143548017265	0.0921849294592194	0.275564021646731	0.0588854435793982	0.61914772583323	0.171561413754188	0.130511823515669	0.564450360802481	0.336745440011682	0.454051517583358	0.204980462187034	0.290715891143661	0.248456340407373	0.22311022121229	0.263253443899507	0.223092833703969	0.671301388555092	0.369798944628366	0.496698987141354	0.175173320180738	0.25869240906455	0.187466057129282	0.273705847242149	0.357783985464009	0.271784303468917	0.279604897536859	0.269268523683929	0.390695861586732	0.406616387766199	0.345347634816577	0.296172766849906	0.173915327552197	0.26336191177296	0.470894952046455	0.153172669641724	0.357848070264023	0.252691523048165	0.114125543583563	0.0914680165838077	0.470622718214239	0.380970482880388	0.361990249442273	0.2305738739287	0.387499294310153	0.207293358315118	0.287503259235859	0.269160331556074	0.33756830336271	0.281947137953752	0.0417711754908207	0.281947137953752	0.300959983751048	0.341121861229516	0.290591862807356	0.290591862807356	0.279281145570374	0.382684759390258	0.292378904192756	0.271369505760622	0.315391061842477	0.28393270991339	0.407938193153726	0.286989044957346	0.137718155895999	0.264402812136486	0.330038176817837	0.287907990172662	0.235998072598068	0.377975652605579	0.28393270991339	0.340319145098742	0.222840541089165	0.154591436728322	0.287201295032903	0.279977883594376	0.289672560157297	0.252247408858197	0.259899497476929
"SAMPLE-10"	0.199283423741534	0.229924015512247	0.375743811840959	0.343236644692123	0.325358302978394	0.418472430174313	0.748040894205194	0.189945946113664	0.263748579832029	0.424426327244014	0.330709493167483	0.402622794683806	0.139285172474713	0.635225669230936	0.389105602578466	0.297502767391397	0.648876814034356	0.321386040815297	0.375312666023814	0.317594194977782	0.783852657062246	0.35118534341312	0.524787991776392	0.116418801941533	0.313169765499747	0.41007568428346	0.204187154646992	0.538652755502903	0.344279065501015	0.526046951115074	0.362834807787384	0.465991565132435	0.256036007918576	0.346491193634653	0.223496901528527	0.308618095845475	0.175682442714948	0.282874472733408	0.213250463953384	0.415986828531531	0.442422713503587	0.420400696035249	0.576453765524542	0.185510671906162	0.505192865583096	0.229009079520396	0.366827337311159	0.302926292180554	0.307656324652789	0.508487834016355	0.266307394669383	0.200301074026485	0.266307394669383	0.282338150152071	0.381780219446727	0.295147575210774	0.295147575210773	0.305753526682631	0.460986238159562	0.325344580203188	0.648118449394427	0.239195866947209	0.467296503646114	0.283249642731862	0.767268121109813	0.186201466710078	0.337616011982104	0.337555521682715	0.54585930958952	0.292962266017483	0.535232134880904	0.467296503646115	0.365738237644781	0.290495036227391	0.14943681810213	0.475102339401454	0.257579495369414	0.432507669408346	0.363876111954907	0.313752342414724
