Acidaminococcaceae	Actinomycetaceae	Akkermansiaceae	Atopobiaceae	Bacillaceae	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Burkholderiaceae	Campylobacteraceae	Carnobacteriaceae	Christensenellaceae	Clostridiaceae_1	Clostridiales_vadinBB60_group	Coriobacteriaceae	Coriobacteriales_Incertae_Sedis	Corynebacteriaceae	Desulfovibrionaceae	Dysgonomonadaceae	Eggerthellaceae	Elusimicrobiaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Family_XI	Family_XIII	Fusobacteriaceae	Lachnospiraceae	Lactobacillaceae	Leptotrichiaceae	Leuconostocaceae	Marinifilaceae	Methanobacteriaceae	Micrococcaceae	Mitochondria	Muribaculaceae	Neisseriaceae	Pasteurellaceae	Peptococcaceae	Peptostreptococcaceae	Porphyromonadaceae	Prevotellaceae	Pseudonocardiaceae	Puniceicoccaceae	Rhizobiaceae	Rikenellaceae	Ruminococcaceae	Saccharimonadaceae	Staphylococcaceae	Streptococcaceae	Synergistaceae	Tannerellaceae	Veillonellaceae	Victivallaceae	others	BioProject	sample_alias	env_material	Group	ID	prepost
SRR31418698	3.30684820366852	0	0	0	0	3.91119073050116	1.31590678291425	1.74167676310891	3.21894112928079	0	1.21685682292092	1.26919950634304	1.89029519895213	0	1.40859969135296	0.772632838545234	0.94141679163695	1.87833277316723	0	0	0	2.16199641589299	0	1.6629621579027	1.71306488550555	1.17809206214042	0.581363943335507	3.90179400460377	2.32207157037956	0	0	2.276058766595	0	1.34446884974845	0	0	1.06265524558999	1.80828993060818	0	1.64947817786366	0.904966009572254	4.21729945107295	0	0	0.94141679163695	2.10352978709141	3.39123766601233	0	0	2.14043051366724	0	2.45192262247224	2.12237195083838	0.86517323843024	4.6406784962632	PRJNA1188648	001-BL	fecal	Baseline	1	0
SRR31418709	3.48970346758622	0	0	0	0	3.62714681293476	1.07232340306726	0	2.9425294504082	0	0	0	1.71747740258029	0	1.60899640515529	0	0	1.39421341707872	0	0	0	2.99497487781337	0	1.36819012075177	0	0	0.950793060952512	3.86736707273927	0	0	2.3086599735538	1.92743602889743	0	0	0	0.98450927663119	1.1223338236571	0	0	1.80420484049787	0	4.36915505799328	0	0	0	1.63150866780438	3.42276322193367	0.589189730414382	0	1.36819012075177	0	2.06568422328137	1.85075399180226	0	4.61161517727311	PRJNA1188648	001-6M	fecal	6M	1	1
SRR31418710	3.59249881167273	0	1.12156474031764	0	0	4.09417719199662	0	0	3.40327390654008	0	0	1.43468803877738	1.69827976704133	0	0	0	0	2.43704880026591	0	0	0	1.55561774586731	0	2.28598027706921	0	1.43468803877738	0	4.01842241239763	1.68280759169948	0	0	2.91588205197611	0	0	0	1.59591060579893	0	0	0	0	0	4.5739952503413	0	0	0	2.63778654222781	4.13451585422187	0	0	1.46171796914576	0	2.85888521549982	1.34175038565281	0	3.04822339765884	PRJNA1188648	001-12M	fecal	12M	1	1
SRR31418685	2.46057528549313	0	0	0	0	3.85327277139266	2.91400891035041	3.43314614118318	2.78222002677905	0	0	2.13336649753322	0	0	2.35441301621012	0	0	2.42190325146128	0	1.70076285346146	0	2.10380140425473	0	2.64211082425648	0	1.67416832055329	0	4.07993655205508	2.46281195446185	0	0.887055678874325	2.73421974015877	1.96709682891308	0	0	0	0	0.60012661089789	0	0	0	3.27048079593827	0	0	0	3.16013574652112	3.88541743770944	0	0	2.13574175749352	0	3.38374187895543	3.09554664448221	1.7437115226585	4.63981803959422	PRJNA1188648	002-BL	fecal	Baseline	2	0
SRR31418686	1.96874308017006	0	0	0	0	3.61416966308686	1.66049587494753	1.44755387908518	3.0771302271371	0	0	0	0	0	1.64416219797197	0	0	1.86205126437905	0	0	0	1.56194781320668	0	1.61844871150594	0	1.55177271992335	1.55177271992335	3.8144769020471	0	0	0	1.13571191402523	0	1.07842501453945	0	0	0	0	0	2.52670816411342	0	4.42212955175168	0	0	0	1.65240581998233	4.00184938935714	0	0	1.93600746505964	0	2.61342500854845	3.44397645936574	0.641294764411804	4.5032326303827	PRJNA1188648	002-6M	fecal	6M	2	1
SRR31418687	2.53354698310533	0	0	1.75955608878937	0	3.89453122945112	3.09470673765311	3.18697956332265	3.28556976475472	0	0	2.39354168154935	0	0	3.27306654366238	0	0	3.22446255598851	0	1.54695526831536	0	2.08212841687418	0	2.75532241829375	0	1.97048791251843	0	4.15032637602494	2.07593156076367	0	1.39730409313866	2.78436325815925	0	1.45311592295417	0	0	0	0	1.6580447577898	1.91088376300599	0	4.27841435516331	0	0	0	3.22268554250051	4.18778796691081	0	0	3.00617085898338	0	3.59051368802058	4.01793709183956	2.42258594334965	1.11333191228878	PRJNA1188648	002-12M	fecal	12M	2	1
SRR31418682	3.37805156595225	1.11363644195069	0	0	0	4.27540932410066	2.89792886813982	2.15266340145124	2.82827832557783	0	1.30898634268205	1.69797551114724	0	0	1.45744457610513	0	0	1.96958851733377	0	0	0	2.61723313767081	0	1.75083402546805	1.54564981358057	1.47119611248135	1.34663695647483	3.89885225607252	2.2789500165643	1.36430501282881	0.923190318481706	3.19512028963107	0	1.26775913622239	0	0	1.55690621413465	1.45744457610513	0	0	1.22220381181547	3.13753289245686	0	0	0	3.49868814982291	3.72374799140426	1.00960830348558	0	2.08245562324884	0	2.76430396163868	2.32867558061548	0.923190318481706	4.60336554262962	PRJNA1188648	004-BL	fecal	Baseline	4	0
SRR31418683	3.58529461923878	0	1.10708107017046	0	0	4.09810577051957	2.63106744155036	2.29145171533789	3.26231134122918	0	1.29396592711645	0	0	0	1.57254193916582	0	0	2.10656200128028	0	0	0	2.7094130608212	0	1.5490718076975	0	0.947636328971165	1.7002782079371	3.90142203486808	0	0	0	2.14490211652902	0	0	0	0	0	0	0	1.40782277082368	0	3.98529190327094	0	0	0	3.01950961606406	3.67389420513306	0	0	2.18850837682578	0	2.95918002568846	2.45796948271505	0	4.59908221285498	PRJNA1188648	004-6M	fecal	6M	4	1
SRR31418684	3.45661865894452	1.03329485329203	2.96270077834185	0	0	4.41472103782656	3.01797579923495	2.33831508771966	2.99706966819697	0	1.50228953028171	1.9954945721239	1.85959847100408	0	2.15336892942704	2.17420949085661	0	2.91589072494338	0	2.5183723127942	0	2.65210459981011	0	2.61978599354478	1.92206591933605	2.30045413737328	0	4.22922745964438	0	0	1.31373205981233	3.04837755735321	1.0862294188598	0	1.17595867337867	0	0	0	1.72249455581944	1.92927853961914	0	3.3745696974635	0	0	0	3.84501804031476	4.2503267470501	1.67380295117997	0	2.52928871659595	1.9954945721239	3.50481791969676	1.9954945721239	0	2.43090041431953	PRJNA1188648	004-12M	fecal	12M	4	1
SRR31418707	3.37381386165227	0	0	0	0	3.90401772730032	2.22851020630172	1.50773556387244	3.3319359023817	0	0	1.20744446600762	0	0	1.3744628035557	0	0	2.3988573978025	0	0	0	0	0	1.85666136087387	0	0	0	3.96318534589876	2.19838375385777	0	0	2.51340858389356	0	0	0	0	0	0	0	0	0	4.30452888621195	0	0	0	2.2957832701322	3.53864833731329	0	0	1.88431234547645	0	2.91556356089468	2.24047117595608	0	4.56380005400778	PRJNA1188648	005-BL	fecal	Baseline	5	0
