Acidaminococcus	Actinomyces	Adlercreutzia	Aggregatibacter	Akkermansia	Alistipes	Allisonella	Alloprevotella	Anaerofilum	Anaeroglobus	Anaerostipes	Anaerotruncus	Anaerovorax	Angelakisella	ASF356	Atopobium	Bacillus	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Blautia	Butyricicoccus	Butyricimonas	Campylobacter	Candidatus_Soleaferrea	Candidatus_Stoquefichus	Caproiciproducens	Catabacter	Catenibacterium	Cedecea	Christensenellaceae_R-7_group	Cloacibacillus	Clostridium_sensu_stricto_1	Clostridium_sensu_stricto_2	Collinsella	Coprobacillus	Coprobacter	Coprococcus_1	Coprococcus_2	Coprococcus_3	Corynebacterium	Desulfovibrio	Dialister	Dielma	Dorea	DTU089	Dysgonomonas	Eggerthella	Elusimicrobium	Enterobacter	Enterococcus	Erysipelatoclostridium	Erysipelotrichaceae_UCG-003	Escherichia/Shigella	Ezakiella	Faecalibacterium	Faecalitalea	Family_XIII_AD3011_group	Family_XIII_UCG-001	Flavonifractor	Fusicatenibacter	Fusobacterium	Gardnerella	GCA-900066575	GCA-900066755	Gemella	Gibbsiella	Granulicatella	Haemophilus	Holdemanella	Holdemania	Howardella	Hungatella	Incertae_Sedis	Intestinimonas	Kandleria	Klebsiella	Lachnoclostridium	Lachnospira	Lachnospiraceae_UCG-003	Lachnospiraceae_UCG-004	Lachnospiraceae_UCG-010	Lactobacillus	Lactococcus	Leptotrichia	Leuconostoc	Macellibacteroides	Mailhella	Marvinbryantia	Megamonas	Megasphaera	Merdibacter	Methanobrevibacter	Mitsuokella	Negativibacillus	Neisseria	Odoribacter	Oscillibacter	Oscillospira	Oxalobacter	Parabacteroides	Paraclostridium	Paraprevotella	Parasutterella	Parvimonas	Phascolarctobacterium	Phocea	Pluralibacter	Porphyromonas	possible_genus_Sk018	Prevotella	Prevotella_2	Prevotella_6	Prevotella_7	Prevotella_9	Prevotellaceae_NK3B31_group	Prevotellaceae_UCG-001	Pseudobutyrivibrio	Pygmaiobacter	Pyramidobacter	Robinsoniella	Roseburia	Rothia	Ruminiclostridium_5	Ruminiclostridium_9	Ruminococcaceae_NK4A214_group	Ruminococcaceae_UCG-002	Ruminococcaceae_UCG-003	Ruminococcaceae_UCG-004	Ruminococcaceae_UCG-005	Ruminococcaceae_UCG-009	Ruminococcaceae_UCG-010	Ruminococcaceae_UCG-013	Ruminococcaceae_UCG-014	Ruminococcus_1	Ruminococcus_2	Sarcina	Sellimonas	Senegalimassilia	Shuttleworthia	Slackia	Snodgrassella	Staphylococcus	Streptococcus	Subdoligranulum	Sutterella	Trabulsiella	Turicibacter	Tyzzerella	Tyzzerella_3	Tyzzerella_4	UBA1819	Veillonella	Victivallis	Weissella	others	BioProject	sample_alias	env_material	Group	ID	prepost
SRR31418698	1.13552503325628	0	0	0	0	2.10352978709141	0	1.58301221981921	0	0	0	1.39650882464738	0	0	0	0	0	3.91119073050116	1.31590678291425	1.74167676310891	1.82688781952303	0	1.79379947218065	1.83589638879247	0	0	0	0	0	1.06265524558999	0	1.26919950634304	0	1.89029519895213	0	1.40859969135296	0	0	0	0	0	0.94141679163695	0.97504370364054	1.79379947218065	0	1.51396093425038	0	0	0	0	0	0	0	1.48494661165505	1.87833277316723	0	3.12195828883482	0	0	1.17809206214042	1.80828993060818	0	0.581363943335507	0	0	0	1.71306488550555	0	1.21685682292092	1.80828993060818	0.772632838545234	0	0	0	0	0	0	0	0	2.53246485004582	0	2.80023789402826	2.56108590837611	2.32207157037956	0	0	0	0	0	0	1.31590678291425	0	0	0	1.11256730112082	1.84906827571552	1.06265524558999	2.0838329211813	0	1.89809092946211	0	2.45192262247224	0	1.48494661165505	0	0	3.30412669286263	0	0	0.904966009572254	0	0	3.37634072012845	0	1.26919950634304	4.13509734136853	0	0.904966009572254	0	0	0	0	3.2864827360216	1.34446884974845	0	2.05250408228516	0	0	1.85763270025713	1.47482781944124	1.38407168177639	1.21685682292092	0	0	1.7888598501982	1.34446884974845	1.39650882464738	0	0	0	0	0	0	0	2.14043051366724	2.33356069413287	3.21894112928079	0	0	2.13598578074561	0	0	1.21685682292092	1.59868632900501	0.86517323843024	0	4.69035217481728	PRJNA1188648	001-BL	fecal	Baseline	1	0
SRR31418709	0.914237313972502	0	0	0	0	1.63150866780438	0	1.2449793064117	0	0	0	0	0	0	1.41876513797795	0	0	3.62714681293476	1.07232340306726	0	1.39421341707872	0	2.01432557040778	0.914237313972502	0	0	0	0.87431940092432	0	1.2449793064117	2.24589345723292	0	0	0	1.71747740258029	1.60899640515529	0	0	0	0	0	0	0	0	0	2.07103316183481	0	0	0	0	0	0	0	0.8303576350065	1.83272852114952	0	3.29164652954069	0	0	0	1.53347713943034	0	0.950793060952512	0	1.81870081175382	0	0	0	0	0	0	0	1.20781738027661	0	0	0	0	1.89678183093328	1.90853216091745	2.99592388791715	0	2.60785028093291	2.33981220447081	0	0	0	1.91997292953922	0	0	0	1.53347713943034	0	0	0	0	0	1.1223338236571	1.88876785485229	0	1.69909502542485	0	2.06568422328137	0	1.29536471202953	1.72343593049058	0	3.48868861512193	0	0	0	0	0	3.39252442871022	0.8303576350065	1.59331261816246	4.31374606852033	1.76300243827361	0	2.22774890377503	0	0	0	3.04769435335667	0	0	1.59331261816246	0	0	1.74083616927244	1.55143044127836	0.781439377091497	1.2449793064117	0	1.2449793064117	1.90853216091745	0	0	0	0	0	1.76837163415975	0	0	0	1.36819012075177	2.37021540114467	2.91600812158012	1.80420484049787	0	0	0	0	0	1.29536471202953	0	2.0841241953505	4.66198408289321	PRJNA1188648	001-6M	fecal	6M	1	1
SRR31418710	0	0	0	0	1.12156474031764	2.63778654222781	0	0	0	0	2.59175181703024	0	0	0	0	0	0	4.09417719199662	0	0	2.43704880026591	0	1.76831553399024	2.45070077143002	0	0	0	0	0	0	0	1.43468803877738	0	0	0	0	0	0	0	0	0	0	0	0	1.43468803877738	2.15387671974103	0	0	0	0	0	0	0	2.08477042443689	0	0	4.06158620257277	0	0	1.43468803877738	1.53397682135799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.87146139928059	2.36478668807214	0	2.68099052383059	2.7274477762412	1.68280759169948	0	0	0	0	0	2.48430918676032	0	0	0	0	0	0	0	2.73449651019787	2.01002640727651	2.32716854685487	0	2.85888521549982	0	0	0	0	3.59249881167273	0.988372572600485	0	0	0	0	3.59036045257289	0	0	4.51564923979201	0	0	0	0	0	0	3.12575230506868	0	0	2.43704880026591	0	0	2.29376546915433	1.86113835178948	0	1.68280759169948	0	1.71321964010103	1.9196883742441	2.07848278503112	0	0	0	0	2.29760634881529	0	0	0	1.46171796914576	2.7602844901974	3.40327390654008	0	0	1.86113835178948	0	0	0	1.34175038565281	0	0	3.9573815909551	PRJNA1188648	001-12M	fecal	12M	1	1
SRR31418685	1.32490092100121	0	0	0	0	3.16013574652112	1.2017019092793	1.6809711819936	1.39546373577389	0	0	0	0	0	0	0	0	3.85327277139266	2.83690203386175	3.40169893105015	1.86521734912463	0	1.81864517850282	2.51725605275452	0	0	0	0	0	1.43288169000899	0	1.99088274010523	0	0	0	2.35441301621012	0	2.12857664614096	0	0	0	0	1.7378299732471	3.08315878596762	0	2.80765676531865	0	0	0	0	0	0	0	2.20962371997381	1.80364064280156	0	3.36640514886358	0	0	1.67416832055329	1.88253233737589	1.84255524382567	0	2.2796025315298	0	0	0	0	0	0.60012661089789	2.37126232748979	0	0	0	1.6384574367321	0	0	1.80869997332849	1.94193231585197	2.76974631939288	0	0	2.72638725126847	2.46281195446185	0	0	0	0	1.91913770365041	0	0	0	1.24060611898814	1.96709682891308	1.32490092100121	1.84255524382567	0	2.33087952301502	0	2.15880608827344	1.45614807947225	3.38374187895543	0	1.65309600268991	1.86961124405781	0	2.4291955187725	1.24060611898814	0	0	0	0	2.07752684366985	0	0	2.7563366421258	0	2.88461877391198	0	0	0	0	2.28467530750166	0	1.51928970229246	2.19746583278364	2.33389189937374	3.05413684221076	1.82836773081711	0	2.76919577195996	1.18085972045501	1.38223867021645	1.86521734912463	0	3.05299195874919	0	0	0	1.47823114763863	0	1.32490092100121	0	0	2.13574175749352	2.8420564173528	2.70328904765482	0	0	0	0	2.58373288425203	1.51928970229246	0	1.7437115226585	0.887055678874325	4.73515148904287	PRJNA1188648	002-BL	fecal	Baseline	2	0
SRR31418686	1.25263359742216	0	0	0	0	1.65240581998233	1.77286280909043	1.8769115534787	0	0	0	0	0	0	0	0	0	3.61416966308686	1.60041964539398	1.44755387908518	1.54135350318779	0	2.04450537345838	1.13571191402523	0	0	0	0	0	0	0	0	0	0	0	1.64416219797197	0	0.839593382046425	1.80275009348109	3.10421389972246	0	0	0	3.43003143314738	0	1.90972741734672	0	0	0	0	0	0	0	1.54135350318779	1.49698115859332	0	3.93386768694094	0	0	1.55177271992335	0	0	1.55177271992335	0	0	0	0	0	0	0	0.889659258168088	0	0	0	0	0	0	0.782994568526584	2.67804510367283	2.5342766453502	1.72030339954811	2.18234066928058	1.95268363679746	0	0	0	0	0	1.59111644772254	0	0	0.782994568526584	0	0	0	0	0	0	0	0	0	2.61342500854845	0	0	1.44755387908518	0	1.88175409690432	0	0	0	0	0	2.26144796741015	0	1.3609386949887	4.30700168881062	1.53067816029297	1.8466644295271	1.95268363679746	0	0	0	2.70635354703833	1.07842501453945	0.548222758073777	1.31015359736135	1.60041964539398	2.3693925479585	1.91866529843621	0	1.43426519055802	0	0	2.05432523351541	1.44755387908518	2.39964980721045	0.975223987971028	0	0	0	1.67623744908074	0	0	0	1.93600746505964	2.44406309219794	3.06719016957065	0	0	0	0	0	0	1.40640202171619	0.641294764411804	0	4.61905859921409	PRJNA1188648	002-6M	fecal	6M	2	1
SRR31418687	0	0	0	0	0	3.22268554250051	1.8727500895018	0	0	0	0	0	0	0	0	0	0	3.89453122945112	3.06630265155136	3.18697956332265	2.75270289801843	0	2.18565230878788	2.5809151531602	0	0	0	0	0	0	0	2.33921774950898	0	0	0	3.27306654366238	0	1.90165963710657	0	2.54216489425834	0	0	2.88719675558002	4.01485904970183	0	3.20820144490361	0	0	0	0	0	0	0	2.53136551745829	2.08212841687418	0	3.97509102690486	0	0	1.97048791251843	2.32538380794443	0	0	0	0	0	0	0	0	0	2.36241492782588	0	0	0	0	2.37513456744203	0	0	3.21550387305581	2.96788793582717	0	2.04354721804348	2.79877763757474	2.07593156076367	0	0	0	0	0	2.32888382445956	0	0	0	0	0	1.70448095262336	0	2.35917594502304	0	2.72838782905686	0	3.59051368802058	0	0	2.61828332733767	0	2.53354698310533	1.50256520000715	0	0	0	0	2.83284991697258	0	0	4.15850504460131	0	3.05857689836378	0	1.39730409313866	0	0	2.7256001656266	1.45311592295417	2.40246070924338	2.19524144269016	2.28489831167289	3.05400591422561	2.37513456744203	1.6580447577898	2.44980897736282	0	0	1.47854397568861	1.80842635900877	2.60556697775587	0	0	0	1.54695526831536	2.50196182855678	0	0	0	3.00617085898338	2.94907672984452	3.18065064500942	0	0	0	0	2.29254560086282	1.92876429267963	0	2.42258594334965	1.39730409313866	4.07569194483462	PRJNA1188648	002-12M	fecal	12M	2	1
SRR31418682	1.49745803193931	1.11363644195069	0	0	0	3.49868814982291	1.75083402546805	1.84619966533773	0	0	0	1.41336688352976	0	0	0	0	0	4.27540932410066	2.89640606671729	2.15266340145124	1.85746835738243	0	1.38128230403412	2.50283042639943	0	0	0	0	0	1.22220381181547	1.97809734693341	1.51001651842438	0	0	0	1.45744457610513	0	0.576008469749491	0	0	0	0	1.34663695647483	1.86845203891351	0	0	0	0	0	0	0	0	0	1.60918799774757	2.50534019562278	0	3.60529580847102	0	0	1.47119611248135	2.09550983407436	0	1.34663695647483	0	0	0	1.45744457610513	0	1.30898634268205	1.45744457610513	0	0	0	1.99055595210332	1.8287286755816	1.96958851733377	0	0	2.09550983407436	2.35950443882905	0	2.0066302426393	2.8542542609631	2.2789500165643	0	1.36430501282881	0.576008469749491	1.45744457610513	0	0	0	0.671124867845266	0	0	1.26775913622239	0	1.55690621413465	3.09687166741422	0	1.55690621413465	0	2.74311756308814	0	1.61892940951125	0.815193946218707	0.872540462043308	3.37248054727266	0	0	1.22220381181547	0	1.32821953094597	1.81667825210774	1.28886176383772	1.86299492056844	3.00554102577361	1.81052528906958	1.08165134527578	0	0	0	0	3.22690158404309	1.26775913622239	1.32821953094597	0	1.45744457610513	2.55046105594939	2.252895496847	1.28886176383772	1.7915254035726	0	0	0	0	0	0	0	0	0	0	0	0	0	2.08245562324884	2.11129443745282	2.82469444655634	0	0	0	0	0	1.86845203891351	1.80428389824741	0.923190318481706	0.749106242053021	4.65473868295589	PRJNA1188648	004-BL	fecal	Baseline	4	0
SRR31418683	2.04570577422511	0	0	0	1.10708107017046	3.01950961606406	2.37280344001243	2.03795150573082	0	0	0	0	0	0	0	0	0	4.09810577051957	2.63106744155036	2.29145171533789	2.07180470406119	0	1.42420250574271	1.29396592711645	0	0	0	0	0	0	0	0	0	0	0	1.57254193916582	0	0	0	0	0	0	0	1.71697835157077	0	2.31481595884575	0	0	0	0	0	0	0	1.5490718076975	2.7094130608212	0	3.58838961630858	0	0	0.947636328971165	1.90646628080503	0	1.7002782079371	0	0	0	0	0	1.29396592711645	0	0	0	0	0	0	0	0	0	2.88688656924998	2.54525016914365	0	2.12615501135968	2.41583512309197	0	0	0	0	0	1.03463519014047	0	0	0	0	0	0	0	0	2.08252704464113	0	1.93216642339622	0	2.95918002568846	0	0	2.56661221198112	0	3.52773060958998	0	0	0	0	0	1.56096540067387	0	1.10708107017046	3.96020330877408	2.43506779170982	0	0	0	0	0	2.62906616061612	0	1.24825008269944	1.51130218463275	1.5490718076975	2.42555791319751	1.63618410528951	1.6554818491606	0	0	0	1.03463519014047	0	0	0	0	0	0	0	0	0	0	2.18850837682578	2.28706524784041	3.16487695065512	0	0	0	0	0	0	0	0	0	4.66349311209629	PRJNA1188648	004-6M	fecal	6M	4	1
SRR31418684	2.46761447753887	1.03329485329203	2.5183723127942	0	2.96270077834185	3.84501804031476	1.81543786317761	0	1.60408752978847	0	0	0	1.58869332982525	0	0	0	0	4.41472103782656	3.01797579923495	2.33831508771966	2.72429793374142	0	2.41483183680379	2.57040126418799	0	0	0	0	0	0	0	1.81543786317761	1.9954945721239	1.85959847100408	0	2.15336892942704	1.74493528935427	0	0	0	0	0	2.37570497666064	0	0	3.22830971704506	1.46226083958003	0	0	0	0	0	0	2.51467167159999	2.65210459981011	1.60408752978847	3.82990743875357	0	2.10366278206995	1.55616438980857	2.03648814361897	0	0	0	0	1.55616438980857	1.64724411249082	0	1.50228953028171	0	0	1.36907987156809	0	2.07904037242169	0	1.8840885668387	0	0	3.16164515900625	2.62558218825976	0	2.11313372944519	2.63554303365425	0	1.69883078831252	0	1.31373205981233	0	0	2.45072313786714	0	0	1.13340729773563	1.0862294188598	0	2.0582852087893	0	2.87329499574149	0	2.65074833765285	2.03086354664307	3.50481791969676	0	0	2.47582000642982	0	3.40979112098412	1.67380295117997	0	0	0	1.7866116860906	0	0	0	3.13262987633397	2.97895099209475	0	0	0	0	0	0	0	2.21681601186987	2.19019055718853	2.01939098522327	3.32860446688972	2.70314960183527	2.01939098522327	2.67066052983216	0	0	2.52568031788863	0	1.63332970214169	3.34894117474734	0	0	0	2.43090041431953	0	0	0	2.46135696010097	3.39584799755719	2.76997347837936	0	0	0	0	3.70442027093447	2.41948384389842	1.53893814752526	0	0	3.93982624923404	PRJNA1188648	004-12M	fecal	12M	4	1
SRR31418707	1.3383380256013	0	0	0	0	2.2957832701322	1.82712943728675	3.70298112809036	0	0	0	0	0	0	0	0	0	3.90401772730032	1.5559623915509	1.50773556387244	2.06562632363599	1.72415404825918	1.27780400292357	1.98008716619142	0	0	0	0	0	1.29893350270183	0	1.20744446600762	0	0	0	1.3744628035557	0	2.12798216973082	0	0	0	0	0	1.94427017966982	0	2.39721581067372	1.43878213062384	0	0	0	0	0	0	1.72415404825918	0	0	3.33327186647386	0	0	0	1.58891422453204	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5993650521453	0	0	0	2.53429463149469	1.87346228428892	0	2.49278893656437	2.49146711568614	2.19838375385777	0	0	0	0	2.13102862295511	0	0	0	0	0	1.3190825186516	0	0	2.36478536519953	0	2.05127505333987	0	2.91556356089468	0	2.40697352832255	2.17979386136302	0	3.36997832642007	0	0	0	0	0	1.79544187586255	0	3.08545190729638	4.11762607726157	0	1.82097419218237	0	0	0	0	2.96276165790855	0	0	1.89489793154449	1.39145748189599	2.19315305439647	1.91532514933315	1.70837642145847	1.3744628035557	0	0	0.75784538195632	0	0	0	0	0	0	0	0	0	0	1.88431234547645	2.78779999343704	3.22079664778336	0	0	0	0	0	0	0	0	0	4.64686577384177	PRJNA1188648	005-BL	fecal	Baseline	5	0
