Actinomycetales	Bacillales	Bacteroidales	Betaproteobacteriales	Bifidobacteriales	Campylobacterales	Chloroplast	Clostridiales	Coriobacteriales	Corynebacteriales	Desulfovibrionales	DTU014	Elusimicrobiales	Enterobacteriales	Erysipelotrichales	Fusobacteriales	Lactobacillales	Methanobacteriales	Micrococcales	Mollicutes_RF39	Opitutales	Pasteurellales	Pseudonocardiales	Rhizobiales	Rickettsiales	Saccharimonadales	Selenomonadales	Synergistales	Verrucomicrobiales	Victivallales	others	BioProject	sample_alias	env_material	Group	ID	prepost
SRR31418698	0	1.71306488550555	4.41295255968778	3.22170040740009	1.74167676310891	0	0	4.02634550303786	1.48494661165505	0.94141679163695	1.87833277316723	0	0	2.16199641589299	1.6629621579027	0.581363943335507	2.55940396836226	0	1.34446884974845	0	0	1.80828993060818	0	0.94141679163695	0	0	3.33415642806328	0	0	0.86517323843024	4.63416609601133	PRJNA1188648	001-BL	fecal	Baseline	1	0
SRR31418709	0	0	4.45001801300073	2.94856197040705	0	0	0	4.00553394540977	1.60899640515529	0	1.39421341707872	0	0	2.99497487781337	1.36819012075177	0.950793060952512	2.35389619806692	0	0	0.950793060952512	0	0	0	0	0	0.589189730414382	3.49942638925335	0	0	0	4.60842639117713	PRJNA1188648	001-6M	fecal	6M	1	1
SRR31418710	0	0	4.72468657963231	3.40327390654008	0	0	0	4.38317386654943	0	0	2.43704880026591	0	0	1.55561774586731	2.28598027706921	0	1.88154475739894	0	0	0	0	0	0	0	0	0	3.59481962140788	0	1.12156474031764	0	0	PRJNA1188648	001-12M	fecal	12M	1	1
SRR31418685	0	0	4.15443118250475	2.78222002677905	3.43314614118318	0	1.08576749857796	4.29846122428321	2.43990935190967	0	2.42190325146128	0	0	2.10380140425473	2.64211082425648	0	2.63616496648346	1.96709682891308	0	0	0	0.60012661089789	0	0	0	0	3.18578784497037	0	0	1.7437115226585	4.63920911143498	PRJNA1188648	002-BL	fecal	Baseline	2	0
SRR31418686	0	0	4.49213190245281	3.0771302271371	1.44755387908518	0	1.25263359742216	4.2287859701711	1.64416219797197	0	1.86205126437905	0	0	1.56194781320668	1.61844871150594	1.55177271992335	1.93600746505964	0	1.07842501453945	0	0	0	0	0	0	0	3.45812671544548	0	0	0.641294764411804	4.50300231596993	PRJNA1188648	002-6M	fecal	6M	2	1
SRR31418687	0	0	4.5345937205391	3.28556976475472	3.18697956332265	0	0	4.47724193624786	3.29358362059386	0	3.22446255598851	0	0	2.08212841687418	2.75532241829375	0	3.06310027318545	0	1.45311592295417	0	0	0	0	0	0	0	4.03190458938866	0	0	2.42258594334965	0.980383587079702	PRJNA1188648	002-12M	fecal	12M	2	1
SRR31418682	1.11363644195069	1.45744457610513	4.42066488064717	2.85031420831513	2.15266340145124	0	0	4.12381295404201	1.45744457610513	0	1.96958851733377	0	0	2.61723313767081	1.75083402546805	1.64690745888525	2.52729839187104	0	1.26775913622239	0	0	1.45744457610513	0	0	0	1.00960830348558	3.41501343954687	0	0	0.923190318481706	4.60321575004322	PRJNA1188648	004-BL	fecal	Baseline	4	0
SRR31418683	0	0	4.39304741650022	3.26231134122918	2.29145171533789	0	0	4.10449579251108	1.57254193916582	0	2.10656200128028	0	0	2.7094130608212	1.5490718076975	1.7002782079371	2.23811623354358	0	0	0	0	0	0	0	0	0	3.61643198859826	0	1.10708107017046	0	4.59908221285498	PRJNA1188648	004-6M	fecal	6M	4	1
SRR31418684	1.03329485329203	1.64724411249082	4.60965078339063	2.99706966819697	2.33831508771966	0	1.80604013636021	4.54801879300181	2.79210974350829	0	2.91589072494338	2.24881235877022	0	2.65210459981011	2.61978599354478	0	2.58958456405686	1.0862294188598	0	0	0	0	0	0	1.17595867337867	1.67380295117997	3.47123772516217	1.9954945721239	2.96270077834185	0	0	PRJNA1188648	004-12M	fecal	12M	4	1
SRR31418707	0	0	4.47574003430055	3.3319359023817	1.50773556387244	0	0	4.1023638111256	1.3744628035557	0	2.3988573978025	0	0	0	1.85666136087387	0	2.36831540187585	0	0	0	0	0	0	0	0	0	3.40447016023787	0	0	0	4.56124851772855	PRJNA1188648	005-BL	fecal	Baseline	5	0
SRR31418708	0	0	4.45825013344307	3.38147130691576	0	0	0	4.0228669264164	1.63361492930666	0	1.9295671223677	0	0.89539552705636	1.88340374083474	1.29805917010022	1.70527731716648	1.29805917010022	0	0	0	0	0	0	0	0	0	3.56990828699315	0	0	0	4.58641728934738	PRJNA1188648	005-6M	fecal	6M	5	1
SRR31418681	0	0	4.74526334187676	3.43543304401625	1.45302892769314	0	0	4.25150042996096	0	0	2.92776605682803	0	0	2.55995296278128	1.34823467022404	0	1.40378498694973	0	0	0	0	0	0	0	0	0.850320520055549	3.83108986817993	0	0	0	0.934794061418143	PRJNA1188648	005-12M	fecal	12M	5	1
SRR31418704	0	0	4.39997440955413	3.17885821442973	1.76443866245013	0	0	4.05930535703933	1.95423746928582	0	2.34605798441951	0	0	0	1.64198295767117	1.83962042556651	2.60899610745631	0.50481124239942	1.11681613907475	0	0	1.36125647930608	0	0	0	0	3.45918628392831	0	1.5961167841531	0	4.62675424137727	PRJNA1188648	006-BL	fecal	Baseline	6	0
SRR31418705	0	1.25074232996482	4.37733065061404	3.32375846552435	0.699243230843523	0	0	4.01838420874882	0	0	1.42521030919015	0	0	2.39793257373886	1.55904064654805	3.74798626457701	2.05033132066221	0	1.11425859840895	0	0	0	0	0	0	0	3.2785917687059	0	0	0	4.60136881287422	PRJNA1188648	006-6M	fecal	6M	6	1
SRR31418706	0	0	4.6256599606737	3.4137144376032	0.829597632200417	0	0	4.49311695988394	2.50696163413009	0	2.27199112787156	0	0	2.77777119180516	2.08581108283383	2.72618789520042	2.44282346932387	0	0	0	0	1.61576053887698	0	0	0	0	3.76626788407588	0	2.53942004729222	0	1.72256087232983	PRJNA1188648	006-12M	fecal	12M	6	1
SRR31418701	0	0.94007984943481	4.32303683900906	2.73795207958287	2.04336059232981	0.611138364567435	0	4.16285677302681	1.96737818011378	0	2.03417186614932	0	0	1.83796001216286	3.00943722591169	0	2.55298338242615	0	1.67456193834027	0	0	0	0	0	0	0.899826719320261	3.73974414185327	0	0	0	4.61088583441602	PRJNA1188648	007-BL	fecal	Baseline	7	0
SRR31418702	0	0	4.31811173826922	3.32751206644046	2.27745663115053	0	0	3.93562670867903	1.903390664613	0	2.11711907404184	0	1.41343166991956	2.83869592032858	3.53620515512442	1.76638600545755	0	0	0	0	0	0	0	0	0	0	3.41894839830688	0	0	0	4.65789857134608	PRJNA1188648	007-6M	fecal	6M	7	1
SRR31418703	0	1.84432316844271	4.67852521859984	2.93436817614966	2.68274156192392	0	0	4.43261261893691	3.13755747805697	0	2.82367325853815	0	0	2.98792541764759	3.0864445029309	0	2.73496707963501	0	0	0	0	0	0	0	0	0	3.50931115489257	0	1.46004303113765	1.15194784959492	1.57560061682612	PRJNA1188648	007-12M	fecal	12M	7	1
