Absconditabacteriales_(SR1)	Actinomycetales	Aeromonadales	Aphagea	Bacillales	Bacteroidales	Betaproteobacteriales	Bifidobacteriales	Blastocatellales	Campylobacterales	Caulobacterales	Chloroplast	Clostridiales	Coriobacteriales	Corynebacteriales	Desulfovibrionales	Enterobacteriales	Erysipelotrichales	Flavobacteriales	Frankiales	Fusobacteriales	Gastranaerophilales	Holosporales	Lactobacillales	Methanobacteriales	Micrococcales	Mollicutes_RF39	Mycoplasmatales	Oceanospirillales	Pasteurellales	Pseudomonadales	Rhizobiales	Rhodospirillales	Rickettsiales	Salinisphaerales	Selenomonadales	Sphingobacteriales	Sphingomonadales	Synergistales	Verrucomicrobiales	Victivallales	Xanthomonadales	others	BioProject	sample_alias	env_material	Timepoint	prepost	PatientID
SRR13357893	0	2.08701774671379	0	0	1.85279797367671	1.85279797367671	1.06212385356178	2.32763393853412	0	0	0	0	1.94417182154475	1.06212385356178	0	0	1.20217711235214	0	0	0	0	0	0	4.58137084974656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PRJNA514452	P01.Fc.0	fecal	0	0	P01
SRR13358121	0	0	0	0	0	1.86795993981712	1.16187560229822	0	0	0	0	0	1.86179628731915	0	0	0	1.31713431145971	0	0	0	0	0	0	4.29721708811315	0	0	0	0	0	0	0	0	0	0.614823196332924	0	4.27247249669532	0	0	0	0	0	0	0.614823196332924	PRJNA514452	P01.Fc.1	fecal	1	1	P01
SRR13358010	0	0	0	0	0.921290790224856	3.44704457524388	2.30818820723987	3.92427333824922	0	0	0	0	4.41323265790616	0	0	0	2.59843324377649	2.38027597208471	0	0	1.6841059091512	0	0	2.82287317500916	0	0	0	0	0	0.537499898840292	0	0	0	0	0	1.71248932614372	0	0	0	1.53717273564685	0	0	0	PRJNA514452	P01.Fc.3	fecal	3	1	P01
SRR13357899	0	0.914600537571264	0	0	0	4.51864718986193	1.17244950793381	2.04051529476568	0	0	0	0	3.57684509887923	0	0	0	3.14340498246448	1.04099041618676	0	0	2.420797367272	0	0	1.88353997933613	0	0	0	0	0	0	0	0	0	0	0	1.92269160474637	0	0	0	0	0	0	0.324278244367759	PRJNA514452	P01.Fc.6	fecal	6	1	P01
SRR13357647	0	3.48282775116523	0	0	3.15475298319905	2.62711221986904	2.5486141626835	2.94524184035751	0	1.10305911991245	0	1.29413963433321	2.29489481128492	0	0	0	1.58399612426157	1.17649332499638	1.23928801906829	0	1.79047426231772	0	0	4.49305613518247	0	2.96984622108059	0	0	1.63388921320565	0	0	1.10305911991245	0	0	0	1.77372226164577	0	1.23928801906829	0	0	0	0	1.89251985339021	PRJNA514452	P02.Fc.0	fecal	0	0	P02
SRR13358145	0	3.28411785077045	0	0	2.85142095744283	2.89445480871428	3.22350954509252	2.2445336689455	0.69424062358937	1.19857252751497	0	0	3.31151954904651	2.29513997920826	1.39225853997673	0.597627710528234	1.77950771746211	2.17021117571687	0	0	2.63754640534909	0	0	4.29406691769903	0	2.39377765006571	0	0	0	1.52573436883283	0.69424062358937	0.773223690031463	0	0	0	4.02114480500614	0	0	0	1.89178271500196	0	0	0	PRJNA514452	P02.Fc.1	fecal	1	1	P02
SRR13357892	0	0.791236047242295	0	0	1.39522519451834	2.09831337999709	1.21881300398119	0	0	0	0	0	4.43872008801744	0	0.711538909039165	0	3.99387967015175	1.58344105449728	0	0	0.858550956433685	0	0	2.5719148918785	0	0	0	0.487620440665827	0	2.87296624509529	0	0	0	0	0	1.90194609215821	0	0	0	0	0	0	0	PRJNA514452	P02.Fc.3	fecal	3	1	P02
SRR13357761	0	2.6061897639534	0	0	2.26330109273915	1.99952609225615	1.71438302532506	2.00345275325254	0	0	0	0	4.2953110900735	2.00345275325254	0	0	4.13757186160802	1.63989515886363	0	0	1.8447969066715	0	0	3.41759004049552	0	1.50306463692839	0	0	0	1.97099803427149	0	0	0	0	0	3.17154043441031	0	0	0	0.66548955030006	0	0	0	PRJNA514452	P02.Fc.6	fecal	6	1	P02
SRR13357693	0	0.725451671393609	0	0	0	4.01057752689987	2.42892949250817	0	0	0	0	0	4.40205319769141	0	0	0	3.27612532581671	2.94076665624403	0	0	0	0	0	2.19699330724287	0	0	0	0	0	0	0	0	0	0	0	1.81766800580909	0	0	0	0	0	0	0	PRJNA514452	P03.Fc.0	fecal	0	0	P03
SRR13357682	0	1.33949463310035	0	0	0.842469678716387	2.17592936425595	0	1.11111214896793	0	0	0	0	4.10603813105208	0	0	0	3.52764477293171	0	0	0	0	0	0	4.27431216503515	0	0	0	0	0	1.39499517239422	0	0	0	0	0	3.55444008257817	0	0	0	0	0	0	0	PRJNA514452	P03.Fc.1	fecal	1	1	P03
