0319-7L14	4-29	4-29-1	ABY1	Acidimicrobiia	Acidobacteriia	Actinobacteria	AD3	AKAU4049	Alphaproteobacteria	Aminicenantia	Anaerolineae	Armatimonadia	AT-s3-28	Babeliae	Bacilli	Bacteroidia	Bathyarchaeia	BD2-11_terrestrial_group	BD7-11	Blastocatellia_(Subgroup_4)	c5LKS83	Caldatribacteriia	Caldisericia	Calditrichia	Campylobacteria	Chitinivibrionia	Chlamydiae	Chloroflexia	Chthonomonadetes	Cloacimonadia	Clostridia	Coriobacteriia	CPR2	Dadabacteriia	Deferribacteres	Dehalococcoidia	Deinococci	Deltaproteobacteria	DG-56	Elusimicrobia	Entotheonellia	Erysipelotrichia	Euglenida	Fibrobacteria	Fimbriimonadia	Fusobacteriia	Gammaproteobacteria	Gemmatimonadetes	Gitt-GS-136	Gracilibacteria	Halanaerobiia	Holophagae	Hydrogenedentia	Ignavibacteria	Incertae_Sedis_cl	JG30-KF-CM66	JS1	KD4-96	Kiritimatiellae	Ktedonobacteria	Latescibacteria	Lentisphaeria	Leptospirae	Limnochordia	Lineage_IIa	Lineage_IIb	Lokiarchaeia	Longimicrobia	MB-A2-108	MD2902-B12	Melainabacteria	Methanobacteria	Methanomicrobia	Microgenomatia	Moduliflexia	Mollicutes	N9D0	Nanohaloarchaeia	NC10	Negativicutes	Nitriliruptoria	Nitrososphaeria	Nitrospira	ODP1230B23.02	OLB14	Oligosphaeria	OM190	Omnitrophia	Oxyphotobacteria	P2-11E	P9X2b3D02	Parcubacteria	PAUC43f_marine_benthic_group	Phycisphaerae	Pla3_lineage	Pla4_lineage	Planctomycetacia	RBG-16-55-12	Rhodothermia	Rs-M47	Rubrobacteria	S0134_terrestrial_group	Saccharimonadia	Sericytochromatia	SHA-26	SL56_marine_group	Spirochaetia	Subgroup_11	Subgroup_17	Subgroup_18	Subgroup_19	Subgroup_21	Subgroup_22	Subgroup_25	Subgroup_26	Subgroup_5	Subgroup_6	Subgroup_9	Synergistia	Thermoanaerobaculia	Thermodesulfovibrionia	Thermoleophilia	Thermoplasmata	Thermoprotei	Thermotogae	TK10	TK17	Trichomonadea	vadinHA49	Verrucomicrobiae	WCHB1-81	Woesearchaeia	others	BioProject	sample_alias	env_material	time	ID	prepost
SRR39238554	0	0	0	0	0	1.66457097969148	3.14415090422282	0	0	3.14340905346133	0	0	0	0	0	3.18243823884718	4.52717367464044	0	0	0	0	0	0	0	0	1.95518545441497	0	0	0	0	0	4.00678290071505	3.55454666244292	0	0	0	0	0	2.52219338037026	0	0	0	2.3909185820522	0	0	0.528730337804855	3.76252941601757	3.41130966689855	0	0	0	0	0.528730337804855	0	1.80639416659369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.841758209506185	0	0	0	0	1.30164623920001	0	0	0.528730337804855	3.5911350419382	0	0	0	0	0	0	0	0	2.20187095255963	0	0	0	0	0	0	0	0	0	2.10806556756341	0	0	0	2.51119166287713	0	0	0	2.02875611621507	0	0	0	0	0	0	0	0	0	0	0	1.06831481522338	0	0	0.528730337804855	0	0	0	0	0	0	0	2.18533584759486	0	0	2.43291386071231	PRJNA1480144	ILPr01	fecal	Pre	1	0
SRR39238457	0	0	0	0	2.29715517773326	0	2.2191429225195	0	0	3.07132636340589	1.53690819626175	2.72971470645983	0	0	0.426736603135871	3.10962286019076	4.55409072250763	0	0	0	2.34724921999277	0	0.544945500305791	0.426736603135871	0	0	0	0.835681066696357	1.93148319431149	0	0	4.05997642391599	2.17779331741737	0	0	0	0	0	2.66019009615021	0	0	0	2.36168977919199	0	0	1.63128791726944	3.8768291619983	3.48185719325718	1.71581342379595	0	0	0	1.1314708713045	0.885674554185022	1.34029182197934	0	0.835681066696357	2.01615644475618	2.05301250446396	0	0	0.930502584506896	0	0	0	0	0	0	0	0	0	0	0.544945500305791	0	0	0	0.71420099050465	0	0	0	2.93832630373142	0	0	1.9228997326542	0	1.64793066908194	0	0.637766976780975	0	0	0	0	0	0	0.779174776794882	0	0	1.97202643869535	0.426736603135871	0	0	0	0	0	0	0	0	0	0	1.074231405289	0.544945500305791	0	0	0	0	0	0	1.55749638063944	0	2.85714900904355	1.73627172339575	0	2.59340156384935	0	0	0.544945500305791	0.637766976780975	0	0	0	1.15748958556978	0	0	2.91951897526598	PRJNA1480144	ILPo01	fecal	Post	1	1
SRR39238553	0.372630581529403	0	0	0	0.570185836406243	0.482545858278574	1.96387076935866	0	0	3.0050528617352	0	0	0	0	0	2.30837702300502	4.59374139992803	0	0	0	0.643075274221839	0	0	0	0	3.29057856664918	0	0	0.372630581529403	0	0	4.2911032729308	2.00073073363991	0	0	0	0	0	2.03470555052101	0	0	0	2.17340004984275	0	0	0.482545858278574	2.72437790970053	3.08377355040457	0.76001886048586	0	0	0	0.482545858278574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.372630581529403	0	0	0	0	0	0	0	0.372630581529403	0	0	0.570185836406243	3.16253004777632	0	0	0	0	0	0	0	0	1.74832825455005	0	0	0	0	0	0	0	0	0	0	0	0.372630581529403	0	0.372630581529403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.927965017513078	0	0	0	0	0	0	0	0	0	0	2.39487484616547	PRJNA1480144	ILPr02	fecal	Pre	2	0
SRR39238456	0	0	0	0	0.800629512916645	0.401337797323821	3.32915555578082	0	0	2.77796052924156	0	0	0	0	0	1.51735895990852	4.54956415618023	0	0	0	0	0	0	0	0	0.934406521693404	0	0	0	0	0	3.90277963412239	2.28778777513658	0	0	0	0	0	1.78007094258327	0	0	0	1.66828412229813	0	0	0	4.27430786196425	2.32524790267866	0.401337797323821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.401337797323821	0	0	0	0	0	0	0	0	0	0	0	2.55217502266582	0	0	0	0	0	0	0	0	1.40336378331659	0	0	0	0	0	0	0	0	0	0	0	0.606303089694382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.800629512916645	0	0	0	0	0	0	0	0	0	0	0.934406521693404	PRJNA1480144	ILPo02	fecal	Post	2	1
SRR39238532	0	0	0	0	0.941620399807298	0	2.80017698470125	0	0	1.291840715381	0	0.406274181167449	0	0	0	2.82249887844164	4.6226412120283	0	0	0	0	0	0	0	0	3.24129575979161	0	0	0	0	0	4.09461743126543	2.73723273032607	0	0	0	0	0	2.35169850880718	0	0	0	2.59326474658031	0	0	0	3.68497268688223	2.92481043503903	0.856955616034779	0.406274181167449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.687626742052112	0	0	0	3.07618491039872	0	0	0.751688250464108	0	0	0	0	0	0.6124529548615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.941620399807298	0	0.406274181167449	0	0	0	0	0	0	0	0.807503587030731	0	0	0	0	0.406274181167449	0	0	0	0	0	0	0	1.07331760575145	0	0	2.61826501808663	PRJNA1480144	ILPr03	fecal	Pre	3	0
SRR39238521	0	0	0	0	1.14067138015752	0.722227915507021	2.95295648686258	0	0	1.70038576538474	0	0.585465709053927	0	0	0	3.50652528626259	3.95458688873775	0	0	0	0.826080525457091	0	0	0	0	1.74155212154623	0	0	0.384715695777984	0	0	4.2021935345568	3.20946811721802	0	0	0	0	0	1.76343460432635	0	0	0	2.95979912548061	0	0	0	2.65720603045362	4.51073047781257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.722227915507021	0.384715695777984	0	0	0	0	0	0	1.58841833245018	0	0	0	2.47334766830843	0	0.384715695777984	0.496588317260086	0	0	0	0	0	1.42570368769475	0	0	0	0	0	0	0	0	0	0	0	0.496588317260086	0.722227915507021	0	0	0	0	0.496588317260086	0	0	0	0	0	0.384715695777984	0	0	0	1.09342786942782	0	0	0	0	0.585465709053927	0	0	0	0	0	0	0	1.22207216592959	0	0	2.95330119144445	PRJNA1480144	ILPr04	fecal	Pre	4	0
SRR39238498	1.00387101124989	0	0	0	2.69977205328812	1.46278803216484	2.95246254311903	0	0	3.01172249471981	0	1.42738341920848	0.605288225376977	0	0	3.21568392514451	4.14557596811448	0	1.58110262360081	0	2.46178750958481	0	0	0	0	2.18754079313695	0	0	1.86756325771718	0.400524512767996	0	4.38071151865216	2.21445734069197	0	0.514864119490364	1.31584413949811	1.26532740731164	0.743883212938426	2.69779744612975	0	0	1.6944077708027	3.00298986909269	0	0	0	3.04022485277683	4.19924298933048	2.34521909203499	1.54513069095897	0	0	1.87639785036675	0	1.18728824343964	0	1.16537188317771	0	2.29984444117416	0	1.34652719356699	0.400524512767996	0.605288225376977	0	0	0.893048379489507	0.514864119490364	0	1.14229047585659	2.20017140592722	0	0	0.605288225376977	0	0	0	2.11569645492085	0	0	1.95607423757291	2.89443495242639	1.33145658123172	1.5634889882295	0.848785497690501	0	0.605288225376977	0.400524512767996	1.38883430469468	0	2.40611321749704	0.743883212938426	0	0.605288225376977	0	0.933214365476005	0	0.743883212938426	1.63002445338779	0	1.673989103421	0	2.24357382402206	1.09208574202541	0.400524512767996	0	0	0	0	0	1.59802966048974	0.605288225376977	0	0	1.00387101124989	1.00387101124989	0	1.06462470033973	2.47959259621266	0	0.848785497690501	1.50590797652336	0.743883212938426	2.91969363884381	1.09208574202541	0	0	1.99769180041362	0	0	0	2.33772642495914	0	0	2.77107619818073	PRJNA1480144	ILPr06	fecal	Pre	6	0
SRR39238471	0.560364274234649	0	0	0	2.18123345744454	0.87993085280094	2.45049707225342	0	0	2.49660724158325	0.47354104079766	0.916086609921744	0	0.364909841056562	0	2.83702752812603	4.03815159609442	0	0.916086609921744	0	1.77526561114114	0	0	0	0	4.03898891569472	0	0	0.748900742773847	0	0	4.20272866115818	1.54703286694006	0	0	0.916086609921744	0	0	2.05536347419591	0	0	1.08613784596065	2.13558453434829	0	0	0	4.25531815577403	3.55742819122047	1.75058839409845	0.949462301950871	0	0	1.22538587994437	0	0.560364274234649	0	0	0	1.62142890917529	0.364909841056562	0.840489463312981	0	0	0	0	0	0	0	0	1.48615488391312	0	0	0	0	0	0	1.08613784596065	0	0	1.13067718577991	3.38420025944057	1.13067718577991	0.87993085280094	1.08613784596065	0	0	0	0.560364274234649	0.47354104079766	2.02133889950524	0.980455097405778	0	0.364909841056562	0	1.06202922865985	0	0	0	0	0.87993085280094	0	1.48615488391312	0.748900742773847	0.748900742773847	0	0	0	0	0.47354104079766	0.87993085280094	0	0	0	0.840489463312981	0.560364274234649	0	0	1.83354611093815	0	0	0.632688452459779	0	2.33110323677492	0.840489463312981	0	0	0.980455097405778	0	0	0.47354104079766	2.09846490615445	0	0	3.15966863265836	PRJNA1480144	ILPr07	fecal	Pre	7	0
SRR39238492	0	0	0	0	1.72269919384615	0	1.58356362324293	0	0	1.88755058293942	0	0	0	0	0	2.5075213559532	4.3547653624926	0	0	0	0.850955539949928	0	0	0	0	1.85182739059878	0	0	0.402048538928798	0	0	3.92534053583138	1.52841402507133	0	0	0	0	0	2.04716892875541	0	0	0	2.49816596063295	0	0	0	2.28725515420768	4.51761547309616	1.18965161665917	0	0	0	0	0	0	0	0	0	0.745955646342183	0.402048538928798	0.402048538928798	0	0	0	0	0	0	0	0.402048538928798	0	0	0	0	0	0	0	1.50835647720739	0	0	0	2.74241256453973	0.682091536822319	0.402048538928798	0	0	0	0	0	0	1.64764933898689	0	0	0	0	0	0	0	0	0	0.895253033848903	0	0	0	0	0	0	0	0	0	0	0	0	0	0.402048538928798	0	0	0	0.850955539949928	0	0	0	0	1.26771771551225	0	0	0	0	0	0	0	1.30205015540762	0	0	1.41734024923094	PRJNA1480144	ILPr08	fecal	Pre	8	0
SRR39238481	0	0	0	0	1.09213684695721	0.628049228293091	2.65071353479703	0	0	1.46847174535381	0	1.09213684695721	0	0	0	3.46859508489592	4.48127687561247	0	0	0	0.996877590688419	0	0	0	0	0.418854331570412	0	0	0	0	0	4.10320556597376	2.23000725725841	0	0	0.824885979302699	0	0.418854331570412	1.9784253721999	0	0	0	2.27154483156774	0	0	0	4.25182609200019	2.77224482604867	1.09213684695721	0	0	0	0.874676247984195	0	0.418854331570412	0	0	0	0.996877590688419	0	0	0	0	0	0	0	0	0	0.418854331570412	0	0	0	0	0	0	0	1.64363494344757	0	0	0	2.54207121199525	0	0	0.768639246125774	0	0	0	0	0	0.535927719624985	0	0	0.418854331570412	0	0	0	0	0	0	0	0	0.959837304548352	0	0	0	0	0	0	0	0.535927719624985	0	0	0	0	0	0	0	0.824885979302699	0	0	0	0	1.38984638543189	0	0	0	0	0	0	0	1.7620544055562	0	0	1.89718843906026	PRJNA1480144	ILPr09	fecal	Pre	9	0
