1-20	11-24	211ds20	661239	Absconditabacteriales_(SR1)	Acanthopleuribacterales	Acetobacterales	Acholeplasmatales	Acidiferrobacterales	Acidithiobacillales	Acidobacteriales	Actinomarinales	Actinomycetales	ADurb.Bin180	Aenigmarchaeales	Aeromonadales	Alteromonadales	Aminicenantales	Anaerolineales	Anaeroplasmatales	Ardenticatenales	Arenicellales	Armatimonadales	Azospirillales	B12-WMSP1	B2M28	Babeliales	Bacillales	Bacteroidales	Bacteroidetes_VC2.1_Bac22	Balneolales	Bdellovibrionales	Betaproteobacteriales	Bifidobacteriales	Blastocatellales	Bradymonadales	Brevinematales	C0119	C10-SB1A	C86	Caedibacterales	Caldatribacteriales	Caldilineales	Caldisericales	Calditrichales	Campylobacterales	Candidatus_Azambacteria	Candidatus_Curtissbacteria	Candidatus_Doudnabacteria	Candidatus_Kaiserbacteria	Candidatus_Magasanikbacteria	Candidatus_Moranbacteria	Candidatus_Nomurabacteria	Candidatus_Pacebacteria	Candidatus_Uhrbacteria	Candidatus_Woesebacteria	Candidatus_Wolfebacteria	Catenulisporales	Caulobacterales	CCD24	CCM11a	CCM19a	Cellvibrionales	Chitinophagales	Chlamydiales	Chloroflexales	Chloroplast	Chromatiales	Chthoniobacterales	Chthonomonadales	Cloacimonadales	Clostridiales	Competibacterales	Coriobacteriales	Corynebacteriales	Coxiellales	Cytophagales	D8A-2	Dadabacteriales	Deferribacterales	Dehalococcoidales	Deinococcales	Deltaproteobacteria_Incertae_Sedis	Desulfarculales	Desulfobacterales	Desulfovibrionales	Desulfuromonadales	Diplorickettsiales	Dongiales	DS-100	DTB120	DTU014	Ectothiorhodospirales	Elsterales	Elusimicrobiales	Enterobacteriales	Entotheonellales	EPR3968-O8a-Bc78	Erysipelotrichales	Euzebyales	F9P41300-M23	Fibrobacterales	Fimbriimonadales	Flavobacteriales	Frankiales	FS117-23B-02	FS118-23B-02	Fusobacteriales	Ga0077536	Gaiellales	Gammaproteobacteria_Incertae_Sedis	Gastranaerophilales	Gemmatales	Gemmatimonadales	GIF3	GIF9	Glycomycetales	Halanaerobiales	HgCo23	Holophagales	Holosporales	Hydrogenedentiales	Ignavibacteriales	IMCC26256	Incertae_Sedis_or	Isosphaerales	Izimaplasmatales	JG36-TzT-191	Kallotenuales	KF-JG30-C25	KI89A_clade	Kineosporiales	Kryptoniales	Ktedonobacterales	Lactobacillales	Latescibacterales	LD1-PB3	Legionellales	Leptospirales	Limnochordales	Longimicrobiales	M55-D21	Marine_Benthic_Group_D_and_DHVEG-1	Marine_Group_II	MBA03	MBNT15	Methanobacteriales	Methanomassiliicoccales	Methanomicrobiales	Methanosarcinales	Methylococcales	Methylomirabilales	Micavibrionales	Micrococcales	Micromonosporales	Micropepsales	Microtrichales	Milano-WF1B-44	mle1-8	Moduliflexales	Mollicutes_RF39	MSB-5B2	MSBL5	MSBL9	MVP-88	Mycoplasmatales	Myxococcales	Nanohaloarchaeales	NB1-j	NED5E9	Nitriliruptorales	Nitrosococcales	Nitrosopumilales	Nitrososphaerales	Nitrosotaleales	Nitrospirales	NKB15	Nostocales	Obscuribacterales	Oceanospirillales	Oligoflexales	Oligosphaerales	OM182_clade	Omnitrophales	OPB41	OPB56	Opitutales	Orbales	Paracaedibacterales	Parvibaculales	Pasteurellales	PB19	Pedosphaerales	PeM15	Petrotogales	Phormidesmiales	Phycisphaerales	Pirellulales	pItb-vmat-80	Pla1_lineage	Planctomycetales	PLTA13	Propionibacteriales	Pseudomonadales	Pseudonocardiales	Puniceispirillales	Pyrinomonadales	R7C24	RBG-13-46-9	RBG-13-54-9	RCP2-54	Reyranellales	Rhizobiales	Rhodobacterales	Rhodospirillales	Rhodothermales	Rhodovibrionales	Rickettsiales	Rokubacteriales	Rubrobacterales	Run-SP154	S-BQ2-57_soil_group	S085	Saccharimonadales	Salinisphaerales	SAR11_clade	SAR202_clade	SAR324_clade(Marine_group_B)	SAR86_clade	SBR1031	Selenomonadales	SJA-15	SJA-28	SM1A07	Sneathiellales	Solibacterales	Solirubrobacterales	SPG12-343-353-B75	Sphingobacteriales	Sphingomonadales	Spirochaetales	Steroidobacterales	Streptomycetales	Streptosporangiales	Subgroup_13	Subgroup_2	Subgroup_7	Sva0485	Synechococcales	Synergistales	Syntrophobacterales	Tepidisphaerales	Thalassobaculales	Thermales	Thermoanaerobacterales	Thermoanaerobaculales	Thermoflexales	Thermomicrobiales	Thermoproteales	Thiomicrospirales	Thiotrichales	Tistrellales	Trichomonadea_or	UA11	UBA10353_marine_group	Unknown_Order	vadinBA26	Verrucomicrobiales	Vibrionales	Victivallales	WCHB1-41	Xanthomonadales	others	BioProject	sample_alias	env_material	time	ID	prepost
SRR39238554	0	0	0	0	0	0	2.12774861445237	0	0	0	0	0	1.6173709939813	0	0	0	1.18387599191244	0	0	0	0	0	0	0	0	0	0	1.82223427986995	4.52318170593813	0	1.78149506110476	1.77286769829259	2.88203245823327	2.48494636739404	0	0.528730337804855	0	0	0	0	0	0	0	0	0	1.95518545441497	0	0	0	0	0	0	0	0	0	0	0	0	1.96087442304499	0	0	0	1.11034554476628	2.15024801523378	0	0	1.55009343856453	0	0	0	0	4.00668119050953	0.841758209506185	3.55425846242197	2.77843675944764	0	1.59169664018658	0	0	0	0	0	0	0	0	2.3992370266978	0	0.969645331331664	0	0	0	0	1.62966055354573	1.90032422551104	0	2.39301317810984	0	0	2.3909185820522	0	0	0	0.528730337804855	1.86655771092748	0	0	0	3.76252941601757	0	0	0.528730337804855	0.841758209506185	0	0	0	0	0	0	0	0.528730337804855	0	0	1.78995437227689	0	0	0	0	0	0	0	0	0	0	0	3.16265220920282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.55361907632705	0	0	0	0	0	0	1.11034554476628	0	0	0	0	0.910392240870115	0	0	0	0	0	0	0	0	0	0	0	0	0	1.78149506110476	0.528730337804855	0	0	0	0	0.528730337804855	1.56440858875046	2.64094222715119	0.659709442975516	0	1.30164623920001	0.969645331331664	1.27506071060025	0	0	1.50407851144808	0	0	0	0	0	0	1.83751692637007	2.71758931754138	0	0	0	0	0	0	0	1.57826690319475	2.72737464614471	2.4883150862145	2.09993558411821	1.83751692637007	0	0	0.528730337804855	0	0	0	0	2.51119166287713	0	1.14866509418625	0	0	0	0	3.5911350419382	0	0	0	0	1.66457097969148	0.528730337804855	0	1.47044869678762	1.72695609294865	2.02875611621507	0	0	0	0	0	0	0	1.97203356081546	1.06831481522338	0	0	1.11034554476628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.99873793612092	1.51996473777728	0	0	2.41739066298722	2.70248508182507	PRJNA1480144	ILPr01	fecal	Pre	1	0
SRR39238457	1.1314708713045	1.32338884248811	0	0	0	0	0.426736603135871	0	0	1.04250913992264	0	0	0.885674554185022	0	0	1.45602977557476	0	1.53690819626175	2.58214969981663	0	1.356561499743	0.885674554185022	0	0	0	0	0.426736603135871	1.00828589977946	4.55121355923228	0	0	0	3.36534045311926	1.70877407468126	2.21694614532739	0	0	0	1.38737915290583	0	0	0.544945500305791	1.49255007947637	0.426736603135871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.544945500305791	0	0.426736603135871	0	1.68694439776993	2.2707342941978	0.835681066696357	0	0	0	0	0	0	4.05969182097277	1.10379346774191	2.17779331741737	1.82075329877932	0	0.71420099050465	0	0	0	0	0	1.61398189071969	1.40200491321819	1.20527128042697	2.3150892104085	1.074231405289	0	0	1.58665682132378	0	0	0	0	0	2.47616817009294	0	0	2.36168977919199	0	0	0	1.63128791726944	1.00828589977946	1.00828589977946	0	0	3.8768291619983	0	2.19665849697709	1.10379346774191	0	1.56743567385191	1.71581342379595	0	0	0	0	0	0	0	0.885674554185022	0.544945500305791	1.45602977557476	0	0.637766976780975	0	0	0	0	0	0	0	0	3.10651002361043	0.930502584506896	0	0.544945500305791	0	0	0	0	0	0	0	0.779174776794882	0.544945500305791	0	0	0	1.55749638063944	0	0	1.22732521578415	0	0	2.2191429225195	0	0	0	0.71420099050465	0	0	0	0	0	1.38737915290583	0	1.6396890098924	0	0	0.779174776794882	0	0	0	1.9228997326542	0	0	0	0	0.930502584506896	0	0	0	0	0	0	0	0	0	0	0	0.426736603135871	1.00828589977946	0.544945500305791	0	0	1.42985686859055	0	0	1.45602977557476	1.61398189071969	0.971133319842304	1.22732521578415	0	0	0	0	0	1.32338884248811	0	1.20527128042697	2.91158399249329	2.35533095596064	1.10379346774191	0	0.779174776794882	0	0	0	1.50407153807318	0	0	0	0	0	0	0	0	1.61398189071969	2.93832630373142	0.885674554185022	1.28747125219596	0	0	0	2.37259849167733	0	1.42985686859055	1.74288245803123	0	1.8473413119961	0	0	0	0	1.1314708713045	0	0	2.85714900904355	1.91854353523656	0	0	0	0	1.73627172339575	0	1.90520647253147	0	0	0	1.356561499743	0	0	0	0	0	1.10379346774191	0	0	0	1.85246902038464	3.09353813234192	PRJNA1480144	ILPo01	fecal	Post	1	1
SRR39238553	0	0	0	0	0	0	0	0	0	0	0.482545858278574	0	1.14318587912588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02157373015027	4.59371132958481	0	0	0	2.81855582670439	1.49921408343006	0	0	0	0	0	0	0	0	0	0	0	3.29057856664918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.372630581529403	0	0.372630581529403	1.74832825455005	0	0	0	0	4.2911032729308	0	2.00073073363991	1.63460429440416	0	0	0	0	0	0	0	0	0	0	2.02087090057815	0	0	0	0	0	0	0	0	0	2.70966371416961	0	0	2.17340004984275	0	0	0	0.482545858278574	0	0	0	0	2.72437790970053	0	0	0	0	0	0.76001886048586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2875843349837	0	0	0	0	0	0.372630581529403	0	0	0	0	0.372630581529403	0	0	0	0	0	0	0	0.482545858278574	0	0	0.570185836406243	0	0	0	0.372630581529403	0	0	0	0	0	0	0	0	0	0	0.570185836406243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.643075274221839	0.705471444950476	0	0	0.643075274221839	0	0	0	0.482545858278574	0	2.98840973530293	0	0	0	0	1.57609617555444	0.570185836406243	0.372630581529403	0	0	0	0.372630581529403	0	0	0	0	0	0	3.16253004777632	0	0	0	0	0	0.808473286686907	0	0	0.372630581529403	0	0	0	0	0	0	0.482545858278574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.52638205005135	2.40890546932442	PRJNA1480144	ILPr02	fecal	Pre	2	0
SRR39238456	0	0	0	0	0	0	0	0	0	0	0.401337797323821	0	2.78397112153627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.606303089694382	4.54956415618023	0	0	0	1.59096324770417	0.934406521693404	0	0	0	0	0	0	0	0	0	0	0	0.934406521693404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40336378331659	0	0	0	0	3.90277963412239	0	2.28778777513658	3.18115636909541	0	0	0	0	0	0	0	0	0	0	1.78007094258327	0	0	0	0	0	0	0	0	0	2.20973320982026	0	0	1.66828412229813	0	0	0	0	0	0	0	0	4.27430786196425	0	0.515801534906197	0	0	0	0.401337797323821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.47528004804638	0	0	0	0	0	0.401337797323821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.800629512916645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.74362536900371	0	0	0	0	1.66828412229813	0	0.606303089694382	0	0	0	0	0	0	0	0	0	0	2.55217502266582	0	0	0	0	0	0.606303089694382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0933260483672	1.00508676596799	PRJNA1480144	ILPo02	fecal	Post	2	1
SRR39238532	0	0	0	0	0	0	0	0	0	0	0	0.406274181167449	1.95813100258564	0	0	0.941620399807298	1.04394557610083	0	0.406274181167449	0	0	0	0	0	0	0	0	2.43329375670748	4.62251292249376	0	0	0	1.75391834728269	2.69996399133988	0	0	0	0	0	0	0	0	0	0	0	3.24129575979161	0	0	0	0	0	0	0	0	0	0	0	0	0.6124529548615	0	0	0	0	0.687626742052112	0	0	0.6124529548615	0	0	0	0	4.09461743126543	0	2.73723273032607	1.42405205328572	0	0	0	0	0	0	0	0	0	0	2.34869602842987	0	0	0.521485636387431	0	0	0	0	0	0	2.67723859773561	0	0	2.59326474658031	0	0	0	0	0	0	0	0	3.68497268688223	0	0	0.521485636387431	0	0	0.856955616034779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.59583053769346	0	0	0	0	0	0	0	0	0	0	0.406274181167449	0	0	0	0	0	0	0	1.19618080360058	0	0	0.856955616034779	0	0	0	0.406274181167449	0	0	0	0	0.521485636387431	0	0	0	0	0	0	0	0	0	0.751688250464108	0	0	0	1.27432054867199	0	0	0	0	0	0	0	0.521485636387431	0	0	2.31747111809019	0	0	0	0	0	0	0	0	0	0	0	0	1.59035966140758	0	0	0	0	0	0	0	0	0.687626742052112	0.856955616034779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.07618491039872	0	0	0	0	0	0.406274181167449	0	0	0	0.941620399807298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07331760575145	1.19618080360058	0	0	0.978473259446604	2.6403676079709	PRJNA1480144	ILPr03	fecal	Pre	3	0
SRR39238521	0	0	0	0	0	0	0	0	0	0	0.722227915507021	0	2.02423570109166	0	0	1.22207216592959	0.980009393958681	0	0	0	0	0	0	0.777251129706664	0	0	0	2.56155528038301	3.95403686176786	0	0	0	2.91702619764643	1.45921044404604	0	0	0	0	0	0	0	0	0.585465709053927	0	0	1.74155212154623	0	0	0	0	0	0	0	0	0	0	0	0	0.496588317260086	0	0	0	0	0	0	0	1.42570368769475	0	0	0	0	4.2021935345568	0	3.20946811721802	2.85209768458331	0	0.585465709053927	0	0	0	0	0	0	0	0	1.70651101675415	0	0	0.384715695777984	0	0	0	0	0	0	4.49181369409645	0	0	2.95979912548061	0	0	0	0	0.826080525457091	0.722227915507021	0	0	2.65720603045362	0	0.585465709053927	0.869970525633102	0	0	0	0	0	0	0	0	0	0	0	0	0.585465709053927	0	0	0	0	0.384715695777984	0	0	0	0	0	3.45391722782447	0	0	0	0	0	0.722227915507021	0	0	0	0	0	0	0	0	0	0	0	0	1.56378417643909	0.909829268490789	0	0.826080525457091	0	0	0	0.384715695777984	0	0	0	0	1.57215178219391	0.777251129706664	0	0	0	0	0	0.384715695777984	0	0	0.496588317260086	0	0	0	1.7185082869907	0	0	0	0	0	0	0	0	0	0	2.48362965651835	0	0	0	0	0	0	0	0	0	0	0.722227915507021	0.869970525633102	1.95797291022286	0	0	0.826080525457091	0	0	0	0	0	1.24024348287152	0.980009393958681	0	0	0	0.946335392392209	0	0.496588317260086	0	0	0	0	0	0	0	0	0	0	2.47334766830843	0	0	0	0	0	0	0	0.585465709053927	0.946335392392209	0.496588317260086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22207216592959	1.44832625207714	0	0	1.46982851469557	2.97644840901801	PRJNA1480144	ILPr04	fecal	Pre	4	0
SRR39238498	0	1.41491007514151	0	0	0	0.514864119490364	1.18728824343964	0.680091087825764	0	0	0.79949403186337	2.34373086432883	1.03530934897473	0	0	0.893048379489507	1.20815153966879	0	1.26532740731164	0	0.79949403186337	0	0.605288225376977	0	0	0	0	2.30149061914632	4.13783759529464	0	1.5634889882295	1.16537188317771	3.28098826812122	1.92201530544337	1.03530934897473	0.605288225376977	0	1.34652719356699	0	0	0	0	0	0	0	2.18754079313695	0.400524512767996	0	0.400524512767996	0	0	0	0	0	0	0	0	0	0.680091087825764	0.680091087825764	0	0	2.1542571716365	2.11820944642075	0	1.00387101124989	1.74458390592445	0.933214365476005	2.13056080747726	0.400524512767996	0	4.38071151865216	0	2.21445734069197	2.01392047951633	0.514864119490364	1.14229047585659	0	0.514864119490364	1.31584413949811	0	0.743883212938426	0	0.933214365476005	1.37518479179297	2.34818033483026	0.514864119490364	0.400524512767996	1.03530934897473	0	0	0	0	0.893048379489507	0	3.04469963260271	1.6944077708027	0	3.00298986909269	0	0	0	0	1.88932164531106	1.6877076511544	0	0	3.04022485277683	0	2.53576533658119	1.74458390592445	0	1.37518479179297	2.34521909203499	0	0	0	0	0	0	0	0	0	1.26532740731164	0	0	0.680091087825764	0	0.933214365476005	0	0	1.33145658123172	0	0	3.15681365523385	0.400524512767996	0	0	0	0	1.14229047585659	0	0	1.09208574202541	0	0	0.605288225376977	0	0	0	0.605288225376977	0	0	2.31603199473488	1.93366759727818	0	2.39829539770715	0.605288225376977	0	0	2.08163110783773	0	0	0	0	0	2.21646036094428	0	0.79949403186337	0	1.33145658123172	1.36109232684261	0.933214365476005	1.46278803216484	0	0.848785497690501	0	1.03530934897473	0	1.81041212977693	1.38883430469468	0.400524512767996	0.969978023586774	0	0	1.06462470033973	1.06462470033973	0	0	0	4.08627569343131	0.605288225376977	1.54513069095897	1.57238509408933	0	0	0.79949403186337	1.18728824343964	0	0.514864119490364	0.743883212938426	0	1.81041212977693	1.46278803216484	1.83992711892295	1.73257281736172	2.40611321749704	0	0	0.605288225376977	0	0.933214365476005	2.37256756566706	2.65556746671409	1.63002445338779	1.06462470033973	0.79949403186337	0.400524512767996	1.95607423757291	2.24357382402206	0	0	1.26532740731164	0.400524512767996	0.680091087825764	1.46278803216484	0	1.26532740731164	1.7841850461806	0	2.89443495242639	0	0	0	0	1.37518479179297	2.66420584083765	0	1.33145658123172	2.02956450831075	0	1.66696382767031	1.24709253596411	0.893048379489507	0	0	1.86307764063915	0	2.24731260492947	0.848785497690501	0.605288225376977	0	0.605288225376977	0	0	1.50590797652336	0	1.75627172951918	0	1.16537188317771	0	1.37518479179297	0	0	0	0	0	1.58964860522853	1.31584413949811	0.605288225376977	0	1.31584413949811	3.28510268900016	PRJNA1480144	ILPr06	fecal	Pre	6	0
SRR39238471	0	0.87993085280094	0	0	0	0	0.560364274234649	0.47354104079766	0	0	0.748900742773847	1.92068202041161	1.50443646936289	0	0	1.84595315868727	0.916086609921744	0.47354104079766	0.916086609921744	0	0	0	0	0	0	0	0	1.93751480668603	4.03327893972684	0	0.87993085280094	0.980455097405778	2.79097022252202	1.30309335673533	0	0	0	0.840489463312981	0	0	0	0	0	0	0	4.03898891569472	0	0	0	0	0	0	0.364909841056562	0	0	0	0	0	0.87993085280094	0	0	0	1.69079257548769	1.62821291597052	0	0	1.4041989405579	0	1.64147106039358	0	0	4.20267486749834	0	1.52197947882901	1.03650322275219	0	1.06202922865985	0	0	0.916086609921744	0	0	0	0	0.364909841056562	1.76556233046336	0	0	0.560364274234649	0	0	0	0	0	0	3.11901814524227	1.08613784596065	0	2.13558453434829	0	0	0	0	1.66683160397407	1.34381448990776	0	0	4.25531815577403	0	1.90672967989433	0	0	0	1.75058839409845	0	0	0	0	0	0	0	0	0	0	0	0	0	0.79710504465801	0	0	0	0	0	0	2.77924473410271	0	0	0	0	0	0	0	0	0.840489463312981	0	0	0	0	0	0	0	0	0	1.96003570588262	0.980455097405778	0	1.8164319961734	0	0	0	1.00938269870975	0	0	0	0	0	1.4041989405579	0	0	0	1.13067718577991	0	0.632688452459779	0.632688452459779	0	1.08613784596065	0	0	0	1.50443646936289	0.694670192229764	0	0.949462301950871	0.47354104079766	0	0.560364274234649	0	0	0	0.364909841056562	3.15086851916845	0	0.840489463312981	1.25815524422766	0	0	0.560364274234649	0	0	0	0	0	1.03650322275219	0.694670192229764	1.5132965477115	1.34381448990776	1.72442405895199	0	0	0	1.15134337247218	0	1.71899657611762	2.12926031983202	1.13067718577991	0	0	0	1.13067718577991	1.48615488391312	0	0.47354104079766	0	0.748900742773847	0.916086609921744	0.980455097405778	0	0	1.33066049991641	0	3.38420025944057	0	0	0	0	0.47354104079766	2.09617936542339	0	0.748900742773847	1.68492512478791	0	1.22538587994437	0	0	0	0	1.22538587994437	0	1.88863427886207	0	0	0.949462301950871	0	0	0	0.632688452459779	0	0.748900742773847	0	0.980455097405778	0	0.560364274234649	0	0	0	0	0	1.8735947095743	0	0	0.364909841056562	1.08613784596065	3.25077783143214	PRJNA1480144	ILPr07	fecal	Pre	7	0
SRR39238492	0	0.516620537192087	0	0	0	0	0	0	0	0	0	1.54758598084302	0	0	0	0	0.402048538928798	0	0	0	0	0	0	0	0	0	0	1.69018304205391	4.35420949941753	0	0.895253033848903	0	3.32940394857089	1.14463596996113	0	0	0	0	0	0	0	0	0	0	0	1.85182739059878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.48732754364045	0.745955646342183	0	0.402048538928798	1.12024817377287	0	0.516620537192087	0	0	3.92534053583138	0	1.52841402507133	0	0	0	0	0	0	0	0	0	0	0.516620537192087	2.00675838215114	0	0	0	0	0	0	0.607189609669989	0	0	4.48625722756409	0	0	2.49816596063295	0	0	0	0	1.4044951290905	0	0	0	2.28725515420768	0	1.03760409855102	0.607189609669989	0	0	1.18965161665917	0	0	0	0	0	0	0	0	0	0.516620537192087	0	0	0	0	0	0	0.607189609669989	0	0	0.402048538928798	2.437359752927	0	0	0	0	0	0.402048538928798	0	0	0	0	0	0	0	0	0	0	0	0	1.33386621468616	0	0	1.21052259432011	0	0	0	1.50835647720739	0	0	0	0	0	0.516620537192087	0	0.682091536822319	0	0.682091536822319	0	0.402048538928798	0	0	0	0	0	0	1.30205015540762	0.402048538928798	0	0	0	0	0	0.402048538928798	0	0	0	1.83763543618509	0	0.516620537192087	0.682091536822319	0	0	0	0	0	0	0	0	0	0.516620537192087	0	0.402048538928798	0.682091536822319	0	0	0	0	0	0.516620537192087	1.69688395357964	1.14463596996113	0	0	0.402048538928798	0	0	0	0	0	0	0	0.850955539949928	0	0	1.12024817377287	0	2.74241256453973	0	0	0	0	0	0.935447514761052	0	0	0	0	0	0	0	0	0	0	0	1.50835647720739	0	0	0	0	0	0	0	0	0	0	0.682091536822319	0	0	0	0	0	0	0	1.14463596996113	0	0	0.402048538928798	0.607189609669989	1.72269919384615	PRJNA1480144	ILPr08	fecal	Pre	8	0
SRR39238481	0	0	0	0	0	0	0	0	0	0	0	0	2.09755366261304	0	0	0	0	0	0.628049228293091	0	0	0	0	0	0	0	0	2.44874633154074	4.48100911404827	0	0	0	2.57798119591832	2.39825685583754	0	0	0	0	0.959837304548352	0	0	0	0	0	0	0.418854331570412	0	0	0	0	0	0.418854331570412	0	0	0	0	0	0	0.535927719624985	0	0	0	0	1.23637058826472	0	0	0.535927719624985	0	0	0	0	4.10320556597376	2.13009379647532	2.23000725725841	1.71713073137359	0	0.535927719624985	0	0	0.824885979302699	0	0.418854331570412	0	0.418854331570412	0	1.95168689194248	0	0	0	0	0	0	0	0	0	1.53502103738945	0	0	2.27154483156774	0	0	0	0	0	0.704008552183331	0	0	4.25182609200019	0	1.06264590896902	0	0	0	1.09213684695721	0	0	0	0	0	0	0	0	0.418854331570412	0	0	0	0	0	0	0	0	0	0	0	3.42515123797015	0	0	0	0	0	0.418854331570412	0	0	0	0	0	0	0	0	0	0	0	0	0	0.919340850592518	0	0.874676247984195	0	0	0	1.25635818988777	0	0	0	0	1.43093594818452	0.704008552183331	0	0	0	0	0	0	0	0	0.768639246125774	0	0	0	0.535927719624985	0	0	0	0	0	0	0	0	0	0	1.23637058826472	0	0	0	0	0	0	0	0	0	0	0.628049228293091	0.535927719624985	0.628049228293091	0	0	0.996877590688419	0	0	0	0	0	1.38984638543189	0.535927719624985	0	0	0	0	0	0.959837304548352	0	0	0	0	0	0	0	0	0	0	2.54207121199525	0	0	0	0	0.628049228293091	1.14571550610476	0	0	0	0	0.628049228293091	0	0	0	0	0.874676247984195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7620544055562	0	0	0	1.11975189910921	2.05931228902999	PRJNA1480144	ILPr09	fecal	Pre	9	0
