Acidobacteria	Actinobacteria	Armatimonadetes	Asgardaeota	Atribacteria	Bacteroidetes	BHI80-139	BRC1	Caldiserica	Calditrichaeota	Chlamydiae	Chloroflexi	Cloacimonetes	Crenarchaeota	Cyanobacteria	Dadabacteria	Deferribacteres	Deinococcus-Thermus	Dependentiae	Elusimicrobia	Entotheonellaeota	Epsilonbacteraeota	Euglenozoa	Euryarchaeota	FBP	FCPU426	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	GN01	Halanaerobiaeota	Hydrogenedentes	Incertae_Sedis	Kiritimatiellaeota	Latescibacteria	LCP-89	Lentisphaerae	Margulisbacteria	Marinimicrobia_(SAR406_clade)	Modulibacteria	Nanoarchaeaeota	Nitrospinae	Nitrospirae	Omnitrophicaeota	Parabasalia	Patescibacteria	PAUC34f	Planctomycetes	Proteobacteria	Rokubacteria	Spirochaetes	Synergistetes	TA06	Tenericutes	Thaumarchaeota	Thermotogae	Verrucomicrobia	Vertebrata	WOR-1	WPS-2	WS1	WS2	WS4	Zixibacteria	others	BioProject	sample_alias	env_material	time	ID	prepost
SRR39238554	1.68637702728355	3.6972724402138	0.528730337804855	0	0	4.5299570505555	0	0	0	0	0	0	0	0	2.21779953045806	0	0	0	0	0	0	1.95518545441497	0	0	0	0	0	4.20075835973728	3.76252941601757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.51119166287713	0	0	3.63564817406039	0.528730337804855	2.02875611621507	1.06831481522338	0	1.30164623920001	0	0	2.18533584759486	0	0	0	0	0	0	0	2.23013469265971	PRJNA1480144	ILPr01	fecal	Pre	1	0
SRR39238457	2.56864312814891	2.95915297821988	1.91854353523656	0	2.02652223965588	4.55434397496119	0	0	0.426736603135871	0	0.835681066696357	2.89986017401143	0	0	0	0	0	0	0.426736603135871	0	0	0	0	0.544945500305791	0	0	0	4.14205526768788	3.8768291619983	1.71581342379595	0	0	0.885674554185022	0	0	0.930502584506896	0	0	0	0	0	0	0	1.9228997326542	0	0	0	0	2.02309439158511	3.67079248105348	0	0	2.85714900904355	0	0.71420099050465	0	0.544945500305791	1.15748958556978	0	0	0.426736603135871	0	0	0.426736603135871	0	2.87202022323783	PRJNA1480144	ILPo01	fecal	Post	1	1
SRR39238553	0.927965017513078	2.30982480657157	0.482545858278574	0	0	4.59374139992803	0	0	0	0	0	0.372630581529403	0	0	1.74832825455005	0	0	0	0	0	0	3.29057856664918	0	0	0	0	0	4.32942662066164	2.72437790970053	0.85206016612134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.372630581529403	0	0	3.367500937611	0.570185836406243	0	0	0	0.372630581529403	0	0	0	0	0	0	0	0	0	0	2.39487484616547	PRJNA1480144	ILPr02	fecal	Pre	2	0
SRR39238456	0.401337797323821	3.36930485174845	0	0	0	4.54956415618023	0	0	0	0	0	0	0	0	1.40336378331659	0	0	0	0	0	0	0.934406521693404	0	0	0	0	0	3.92569264823544	4.27430786196425	0.606303089694382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.93925557537192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.934406521693404	PRJNA1480144	ILPo02	fecal	Post	2	1
SRR39238532	0.901347901512394	3.07392191119848	0	0	0	4.6226412120283	0	0	0	0	0	0.6124529548615	0	0	0.6124529548615	0	0	0	0	0	0	3.24129575979161	0	0	0	0	0	4.16670901713981	3.68497268688223	0.856955616034779	0	0	0	0	0	0.406274181167449	0	0	0	0	0	0	0	0.751688250464108	0	0	0	0	0	3.03477223870871	0	0.941620399807298	0	0	0.687626742052112	0	0	1.07331760575145	0	0	0	0	0	0	0	2.61664236991535	PRJNA1480144	ILPr03	fecal	Pre	3	0
SRR39238521	1.37658340116326	3.4042908131309	0	0	0	3.95458688873775	0	0	0	0	0	0.722227915507021	0	0	1.42570368769475	0	0	0	0	0	0	1.74155212154623	0	0	0	0	0	4.30846468743062	2.65720603045362	0.980009393958681	0	0	0	0	0	0.585465709053927	0	0	0	0	0	0	0	0.496588317260086	0	0	0	0	0	4.51217913120847	0	0.496588317260086	0	0	1.58841833245018	0.384715695777984	0	1.22207216592959	0	0	0	0	0	0	0	2.95018895622525	PRJNA1480144	ILPr04	fecal	Pre	4	0
SRR39238498	2.90109527386908	3.46236851979709	0.969978023586774	0	0	4.14745407024592	0	0	0	0	0	2.69248750898186	0	0	2.40611321749704	0.514864119490364	1.31584413949811	0.743883212938426	0	1.00387101124989	1.6944077708027	2.18754079313695	0	1.18728824343964	0.743883212938426	0	0	4.43879189971284	3.04022485277683	2.45836623575627	0	0	0	0	0	1.11791316797268	0	0.743883212938426	0	0.743883212938426	0	0	0	1.06462470033973	0	0	0.743883212938426	0	1.90187194009163	4.24007331442992	1.95607423757291	0	0.848785497690501	0	2.11569645492085	1.5634889882295	0	2.33772642495914	0	0	0	0	0	0	0	2.56179435336736	PRJNA1480144	ILPr06	fecal	Pre	6	0
SRR39238471	2.24098367476588	2.8975343147297	0.47354104079766	0	0	4.03851812207643	0	0	0	0	0	1.95052652593848	0	0	2.02133889950524	0	0.916086609921744	0	0	0	1.08613784596065	4.03898891569472	0	0.840489463312981	0.364909841056562	0	0	4.28333742884911	4.25531815577403	1.84595315868727	0	0	0	0	0.364909841056562	0.632688452459779	0	0	0	0.364909841056562	0	0	0	1.08613784596065	0.47354104079766	0	0.840489463312981	0.364909841056562	1.24207956226901	3.60616617235506	1.13067718577991	0	0	0	1.08613784596065	0.87993085280094	0	2.09846490615445	0	0	0	0	0	0	0	3.13919663931314	PRJNA1480144	ILPr07	fecal	Pre	7	0
SRR39238492	1.16772677963674	2.15906676127233	0	0	0	4.35489691013259	0	0	0	0	0	0.935447514761052	0	0	1.64764933898689	0	0	0	0	0	0	1.85182739059878	0	0	0	0	0	3.98257878780019	2.28725515420768	1.23043639470416	0	0	0	0	0.402048538928798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5201101117493	0	0	0	0	1.50835647720739	0.402048538928798	0	1.30205015540762	0	0	0	0	0	0	0	1.36350971056565	PRJNA1480144	ILPr08	fecal	Pre	8	0
SRR39238481	1.44381173142133	2.81905920192634	0.418854331570412	0	0	4.4813001514268	0	0	0	0	0	1.32821097357643	0	0	0.535927719624985	0	0.824885979302699	0.418854331570412	0	0	0	0.418854331570412	0	0	0	0	0	4.20838996920045	4.25182609200019	1.14571550610476	0	0	0	0	0	0	0	0	0	0	0	0	0	0.768639246125774	0	0	0.418854331570412	0	0	2.85397625795317	0	0	0	0	1.64363494344757	0	0	1.7620544055562	0	0	0	0	0	0	0	1.87894422634884	PRJNA1480144	ILPr09	fecal	Pre	9	0
