4-29	4-29-1	Acetothermiia	Acidimicrobiia	Acidobacteriia	Actinobacteria	AD3	AKAU4049	Alphaproteobacteria	Aminicenantia	Anaerolineae	Armatimonadia	AT-s3-28	Babeliae	Bacilli	Bacteroidia	Bathyarchaeia	BD2-11_terrestrial_group	Blastocatellia_(Subgroup_4)	Brachyspirae	Caldatribacteriia	Caldisericia	Calditrichia	Campylobacteria	Chitinivibrionia	Chlamydiae	Chloroflexia	Chlorophyceae	Chthonomonadetes	Cloacimonadia	Clostridia	Coriobacteriia	Dadabacteriia	Deferribacteres	Dehalococcoidia	Deinococci	Deltaproteobacteria	DG-56	Elusimicrobia	Entotheonellia	Erysipelotrichia	Euglenida	FFCH16263	Fibrobacteria	Fimbriimonadia	Fusobacteriia	Gammaproteobacteria	Gemmatimonadetes	Gitt-GS-136	Gracilibacteria	Halanaerobiia	Holophagae	Hydrogenedentia	Ignavibacteria	JG30-KF-CM66	JS1	KD4-96	Kiritimatiellae	Ktedonobacteria	Latescibacteria	Lentisphaeria	Leptospirae	Limnochordia	Lineage_IIa	Lineage_IIb	Longimicrobia	Mammalia	MB-A2-108	MD2902-B12	Melainabacteria	Methanobacteria	Methanomicrobia	Microgenomatia	Moduliflexia	Mollicutes	MVP-15	Nanohaloarchaeia	NC10	Negativicutes	Nitrososphaeria	Nitrospira	OC31	ODP1230B23.02	OLB14	OM190	Oxyphotobacteria	P9X2b3D02	Parcubacteria	PAUC43f_marine_benthic_group	Phycisphaerae	Planctomycetacia	RBG-16-55-12	Rhodothermia	Rubrobacteria	S0134_terrestrial_group	Saccharimonadia	Sericytochromatia	SHA-26	Spirochaetia	Subgroup_11	Subgroup_17	Subgroup_18	Subgroup_21	Subgroup_22	Subgroup_5	Subgroup_6	Synergistia	Thermoanaerobaculia	Thermodesulfovibrionia	Thermoleophilia	Thermoplasmata	Thermoprotei	Thermotogae	TK10	V2072-189E03	vadinHA49	Verrucomicrobiae	WCHB1-81	Woesearchaeia	WS6_(Dojkabacteria)	others	BioProject	sample_alias	env_material	time	ID	prepost
SRR39238494	0	0	0	0	0	3.02612686481779	0	0	1.84594042672641	0	0	0	0	0	3.49791671711262	4.37550539504711	0	0	0	0	0	0	0	0.968310551521016	0	0	0	0	0	0	4.1605167464496	2.77761243543495	0	0	0	0.67091797425235	2.70110649795264	0	0	0	2.86011182016969	0	0	0	0	3.94287246528288	3.78563714972145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.67293427602342	0	0	0	0	0.67091797425235	0	0	0	3.37678107772574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08141015546013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.02187027118283	PRJNA1480144	SDPr01	fecal	Pre	1	0
SRR39238509	0	0	0	1.54435895311058	1.20740637346258	3.14877622198623	0	0	2.82122988580869	0	0.992151069957055	0	0	0.546574213843778	3.35732315122647	4.43596866289916	0	0	0	0	0	0	0	0	0	0	1.09135565829068	0	0	0	4.04597150591621	2.7203356254593	0	0	0	0	2.78954009926641	0	0	0	3.12522591013089	0	0	0	0	1.2400913062938	4.08807165627835	1.2400913062938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.55971013345374	0	0	0	0.546574213843778	0	0	0	0	1.57453716411986	0	0	0	3.57866264144405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.602753914636	0	0	0	0	0	0	0	0	0	0.781073712336104	2.09072491654151	0	0	1.49475368430899	0	0	0	0	0	0	1.27048761359309	0	0	0	1.95040843006259	PRJNA1480144	SDPo01	fecal	Post	1	1
SRR39238493	0	0	0	0.764834499422692	0	3.10158533561582	0	0	1.93718654986738	0	0.974646384698339	0	0	0	3.28712035079267	4.4279921380334	0	0.664088013945872	0	0.532678869266772	0	0	0	2.66952169098588	0.764834499422692	0	0.664088013945872	0	0	0	4.3143542826715	2.65702576369059	0	0	0	0	1.77837178338189	0	0	0	2.32349635707164	0	0	0	0	3.46663480327337	3.52536689050999	0	0	1.02684482552418	0	0	0	0.532678869266772	0	0	0	0.664088013945872	0	0	0	0	0	0	0	0	0	0	0	1.3782046614223	0	0	0	0	2.44417260303616	0	0	0	3.42582826780415	0	0	0	0	0	0	1.55553461535603	0	0	0	0	0	0	0	0	0.664088013945872	1.59715213867717	0	0	2.11762914875658	0	0	0	0	0	0	0	0	0	0.846554694077221	0	0	0	0	0	0	0	0	0	0	0	2.54897645443097	PRJNA1480144	SDPr02	fecal	Pre	2	0
SRR39238551	0	0	0	1.99973157627932	0.877450214707631	1.83282197981772	0	0	2.83697324647891	1.78311710758345	2.62625650514863	0	0	0	3.56329631295244	4.41530920297665	0	0	1.99256619701124	0	0.999755985292449	1.1486871245792	0	0	0	0.922156433605452	1.59583278263609	0	0	0	4.12777255810515	2.44688786406811	0	0	0	0.922156433605452	2.38272885618788	0	0	0	2.74009204670434	0	0	0	1.12270946865424	3.92250623841088	3.71468322064138	1.51705299088792	0	0	0	1.03390821040198	0.630497509376307	1.09507852236857	0.706577478132213	2.14103804116965	1.80591307586672	0	0	0	0	0.877450214707631	0	0	0	0	0	0	0	0	0	0.630497509376307	0	0	1.1486871245792	0	0	0	3.03813248836328	0	1.90919097870244	0	0	1.31437517876522	0.420837041408731	0.538198279663269	0	0	0	0.771295432007541	1.5774366811892	0	0	0	0	0.420837041408731	0	0	0	0	0	0	0	0	0	1.37830327109167	2.16109873679972	1.61348121418572	0	2.46307974839011	0	0	0.420837041408731	0	0	0	1.48338989161952	0.420837041408731	0	0	2.6539060073356	PRJNA1480144	SDPo02	fecal	Post	2	1
SRR39238476	0	0	0	1.21093246221213	1.47789154286558	3.16376372866251	0	0	2.08222755200481	0	0.389637851501893	0.389637851501893	0	0	4.19780219269269	3.84215461673279	0	0	0.591657257593449	0	0	0	0	2.7500871551264	0	0	0.389637851501893	0	0	0	4.22914964958808	2.3530240580059	0.591657257593449	0.784212043519758	0.502289744118073	0.502289744118073	2.02063218955353	0	0	0	2.28171231901541	0	0	0.502289744118073	0	2.48786186959679	4.18418834473366	1.22991955820162	0	0.389637851501893	0	0	0	0	0	0	0.833188649596601	0	0	0	0	0	0.389637851501893	0	0	0	0	0	0	0	0.665736399779827	0	0	0	1.07536339900445	0	0	0	3.29288073293559	0	0.987486480323953	0	0	0	0	1.35774323185409	0	0	0	0	0	0	0	0.987486480323953	0.389637851501893	0.502289744118073	0	0	0.987486480323953	0.389637851501893	0.389637851501893	0	0	0	0	0.833188649596601	0.591657257593449	0	0.389637851501893	1.37136851261148	0	0	0	0.389637851501893	0	0	1.38457929370426	0	0	0	3.21665852715381	PRJNA1480144	SDPr03	fecal	Pre	3	0
SRR39238475	0	0	0	0	0.401434337406217	1.75194972588929	0	0	3.01418992944522	0	0	0	0	0	2.13448774359665	4.47493401384841	0	0	0	0	0	0	0	2.09918351161173	0	0	0.401434337406217	0	0	0	4.34361664677265	2.40242037686282	0	0	0	0	2.85690563063638	0	0	0	2.30463244072536	0	0	0	0	3.59329333246256	3.05414787533157	1.00523100609488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.606423526830381	0	0	0	3.33408329369164	0	0	0	0	0	0	1.60772408381787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.606423526830381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.66844074422135	PRJNA1480144	SDPr04	fecal	Pre	4	0
SRR39238550	0	0	0	0.419074639554538	0	1.63589984036624	0	0	2.82154815148766	0	0	0	0	0	2.51850813885623	4.44744375104155	0	0	0	0	0	0	0	1.06297107081723	0	0	0	0	0	0	4.03277714362272	1.61070704914944	0	0	0	0	1.45666026727123	0	0	0	2.70158775969017	0	0	0	0	3.61775045544014	4.12556371513555	0	0	0	0	0.536180086341224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.72811340091043	0	0.536180086341224	0	0	0	0	1.59306149844424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.536180086341224	0	0	0	0.9601542386345	0	0	0	0	0	0	0.419074639554538	0	0	0	3.51007956846328	PRJNA1480144	SDPo04	fecal	Post	4	1
SRR39238474	0	0	0	1.19155070618784	0.712254366572617	2.12700678219688	0	0	1.61455922661076	0	0.377506897546446	0	0	0	3.52046463552085	3.66317166998828	0	0	0.8156047549692	0	0	0	0	2.52209437647707	0	0	0.488219583687813	0	0	0	4.06734642193226	2.23916218191391	0	0	0.712254366572617	0	1.5256910925764	0	0	0	2.1015810952183	0	0	0	0	3.8815459183956	4.45555378776784	0.968978137989334	0	0	0.488219583687813	0	0	0.377506897546446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.06690704339836	0.576364775164173	0.899027129452032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.488219583687813	0	0	0.968978137989334	0.488219583687813	0	0	0	0	0	0	0	0	0	0.766996659831912	0	0	0	0	0	0	1.8063300934689	0	0	0	3.69045080594158	PRJNA1480144	SDPr05	fecal	Pre	5	0
SRR39238473	0	0	0	1.13518083517536	1.06837615484829	3.18548731914817	0	0	1.89683184627252	0	0	0	0	0.469289767318672	3.56223362352085	4.34812998415465	0	0	0.593239563180548	0	0	0	0	2.70422551384505	0	0	0	0	0	0	4.38674723934222	2.55407949036157	0	0	0	0	2.38792054449804	0	0	0	2.18417500656094	0	0	0	0	2.63658605822379	3.84643715921935	0.469289767318672	0	0	0	0	0	0.593239563180548	0	0	0.593239563180548	0	0	0	1.54483383461564	0	0	0	0	0	0	0	0	0	0	0	0	0	0.835002798655961	0	0	0	2.74103673182532	0	0	0	0	0	0	0.469289767318672	0	0	0	0	0	0	0	0	0	0	0.469289767318672	0	0	0.469289767318672	0	0	0	0	0	0	0	0	0	0.835002798655961	0	0	0	0	0	0	1.66968955301956	0	0	0	2.6375608456845	PRJNA1480144	SDPr06	fecal	Pre	6	0
SRR39238472	0	0	0	0.655204907052442	0	3.53558097636774	0	0	1.84513253869571	0	0	0	0	0	2.73663467249111	4.41915046142987	0	0	0.493097517138655	0	0	0	0	3.59229674343257	0	0	0	0	0	0	4.00515770067052	2.52837432015038	0	0.718072185184936	0	0	2.19090935733707	0	0	0	2.01028267783059	0	0	0	0	2.84435359836494	3.53629316525449	0	0	0	0	0	0	0	0	0	0.581671354655673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.09364962611903	0	0	0	0	0	0	0.581671354655673	0	0	0	0	0	0	0	0	0.381706392927767	0	0	0	0	0	0	0.493097517138655	0	0	0	0.493097517138655	0	0	0	0.581671354655673	0	0	0	0	0	0	1.13591116180792	0	0	0	2.39100599107377	PRJNA1480144	SDPr08	fecal	Pre	8	0
