Acetothermia	Acidobacteria	Actinobacteria	Aerophobetes	AncK6	Armatimonadetes	Atribacteria	Bacteroidetes	BRC1	Caldiserica	Calditrichaeota	Chlamydiae	Chloroflexi	Chlorophyta_ph	Cloacimonetes	Crenarchaeota	Cyanobacteria	Dadabacteria	Deferribacteres	Deinococcus-Thermus	Dependentiae	Elusimicrobia	Entotheonellaeota	Epsilonbacteraeota	Euglenozoa	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	GAL15	Gemmatimonadetes	Halanaerobiaeota	Hydrogenedentes	Kiritimatiellaeota	Latescibacteria	LCP-89	Lentisphaerae	Margulisbacteria	Marinimicrobia_(SAR406_clade)	Modulibacteria	Nanoarchaeaeota	Nitrospinae	Nitrospirae	Patescibacteria	Planctomycetes	Proteobacteria	Rokubacteria	Spirochaetes	Synergistetes	Tenericutes	Thaumarchaeota	Thermotogae	Verrucomicrobia	Vertebrata	WOR-1	WPS-2	WS1	WS2	WS4	Zixibacteria	others	BioProject	sample_alias	env_material	time	ID	prepost
SRR39238494	0	0	3.2201765763963	0	0	0	0	4.37550539504711	0	0	0	0	0	0	0	0	1.67293427602342	0	0	0.67091797425235	0	0	0	0.968310551521016	0	0	0	4.31642103659026	3.94287246528288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08141015546013	0	3.82582331717971	0	0	0	0.67091797425235	0	0	0	0	0	0	0	0	0	0	1.9240884138587	PRJNA1480144	SDPr01	fecal	Pre	1	0
SRR39238509	0	1.3255576504908	3.30038731537272	0	0	0.546574213843778	0	4.43596866289916	0	0	0	0	1.3255576504908	0	0	0	0.546574213843778	0	0	0	0.546574213843778	0	0	0	0	0	0	4.26751899175501	1.2400913062938	0	1.7215240876558	0	0	0	0	0	0	0	0	0	0	0	0	1.602753914636	0	4.13112739124989	0	0	2.09072491654151	1.57453716411986	0	0	1.27048761359309	0	0	0	0	0	0	0	1.93796246397157	PRJNA1480144	SDPo01	fecal	Post	1	1
SRR39238493	0	0	3.23586078589626	0	0	0	0	4.42803119359099	0	0	0	0	1.11551185457603	0	0	0	1.76956763472219	0	0	0	0	0	0	2.66952169098588	0	0	0.764834499422692	4.40540608326578	3.46663480327337	0	0.915305973630895	0	0	0.664088013945872	0	0	0	0	0	0	0	0	0.846554694077221	1.69186042926736	0	3.54370181617412	0	2.1255378470791	0	2.44417260303616	0	0	0	0	0	0	0	0	0	0	2.54897645443097	PRJNA1480144	SDPr02	fecal	Pre	2	0
SRR39238551	0	2.3812552863616	2.86837366948698	0	0	1.74009648483145	2.16838886814545	4.41550022626514	0	1.1486871245792	0	0.922156433605452	2.73879800638513	0	0	0	0.538198279663269	0	0	0.922156433605452	0	0	0	0	0	0.630497509376307	0	4.27234253437815	3.92250623841088	0	1.51705299088792	0	0.630497509376307	0	0.630497509376307	0	0	0	0	0	0	0	1.90919097870244	0.420837041408731	1.646762114462	3.78608662926136	0	0.877450214707631	2.16109873679972	1.1486871245792	0	0.420837041408731	1.48338989161952	0	0	0	0.771295432007541	0	0	0	2.59311632879804	PRJNA1480144	SDPo02	fecal	Post	2	1
SRR39238476	0	1.63475148851722	3.23778053755868	0	0	0.729001779190022	0	3.84215461673279	0	0	0	0	1.12540429458397	0	0	0	1.35774323185409	0.591657257593449	0.784212043519758	0.502289744118073	0	0	0	2.7500871551264	0	0.665736399779827	0.502289744118073	4.54266890935177	2.48786186959679	0	1.2655713802802	0	0	0	0	0	0	0	0	0	0	0	1.04800028832159	0.665736399779827	0	4.19066240636093	0	0.987486480323953	0.591657257593449	1.07536339900445	0	0	1.38457929370426	0	0	0	0	0	0	0	3.20951306749677	PRJNA1480144	SDPr03	fecal	Pre	3	0
SRR39238475	0	0.745120744622811	2.48866296265135	0	0	0	0	4.47493401384841	0	0	0	0	0.401434337406217	0	0	0	1.60772408381787	0	0	0	0	0	0	2.09918351161173	0	0	0	4.39011672279695	3.59329333246256	0	1.00523100609488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.46011751990197	0	0	0	0.606423526830381	0	0	0	0	0	0	0	0	0	0	1.65403869436706	PRJNA1480144	SDPr04	fecal	Pre	4	0
SRR39238550	0	0.768934590739365	1.97877759804786	0	0	0	0	4.44744375104155	0	0	0	0	0	0	0	0	1.59306149844424	0	0	0	0	0	0	1.06297107081723	0	0	0	4.08452818222379	3.61775045544014	0	0	0	0	0	0	0	0	0	0	0	0	0	0.536180086341224	0	0	4.14743536885486	0	0	0	0	0	0	0.419074639554538	0	0	0	0	0	0	0	3.50975243527228	PRJNA1480144	SDPo04	fecal	Post	4	1
SRR39238474	0	1.10630529666024	2.51295953513493	0	0	0	0	3.66330229579377	0	0	0	0	0.935409473910675	0	0	0	0	0	0	0	0	0	0	2.52209437647707	0	0	0	4.18282387857898	3.8815459183956	0	0.968978137989334	0.488219583687813	0	0	0.377506897546446	0	0	0	0	0	0	0	0.899027129452032	0.488219583687813	0	4.45667969571521	0	0.968978137989334	0	0	0.576364775164173	0	1.8063300934689	0	0	0	0	0	0	0	3.69002117257419	PRJNA1480144	SDPr05	fecal	Pre	5	0
SRR39238473	0	1.21935120149951	3.28068285966417	0	0	0	0	4.34818686241544	0	0	0	0	0.593239563180548	0	0	0	0.689555129002809	0	0	0	0.469289767318672	0	0	2.70422551384505	0	0	0	4.45809519019035	2.63658605822379	0	0.469289767318672	0	0	0	0.469289767318672	0	1.54483383461564	0	0	0	0	0	0	0	0	3.86585999538388	0	0	0	0.835002798655961	0	0	1.66968955301956	0	0	0.469289767318672	0	0	0	0	2.63364849903969	PRJNA1480144	SDPr06	fecal	Pre	6	0
SRR39238472	0	0.865533043169067	3.57693785797774	0	0	0	0	4.41915046142987	0	0	0	0	0.581671354655673	0	0	0	0.581671354655673	0	0.718072185184936	0	0	0	0	3.59229674343257	0	0	0	4.36493865251029	2.84435359836494	0	0.381706392927767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.56361292873262	0	0	0	0	0	0	1.13591116180792	0	0	0	0	0	0	0	2.39100599107377	PRJNA1480144	SDPr08	fecal	Pre	8	0
