bugName	pval	p6M	s6M	Adjustedpval	Adjustedp6M
Actinomycetales	0.00154699990543872	0.00154699990543876	0.59389666687449	0.016063086325333	0.016063086325333
Micrococcales	0.0016063086325333	0.0016063086325333	0.55737308974372	0.016063086325333	0.016063086325333
Lactobacillales	0.00547395994059641	0.00547395994059646	0.609602970512755	0.0364930662706427	0.0364930662706431
Enterobacteriales	0.0103233226009825	0.0103233226009825	0.681718711588938	0.0516166130049123	0.0516166130049124
Bacillales	0.0184410591772813	0.0184410591772813	0.382379635794806	0.0737642367091254	0.0737642367091252
Verrucomicrobiales	0.0412653030743799	0.04126530307438	0.454842454098087	0.137551010247933	0.137551010247933
Fusobacteriales	0.168069600487591	0.168069600487591	0.314475649785437	0.480198858535976	0.480198858535975
Selenomonadales	0.297152674307348	0.297152674307348	0.204951456980015	0.683273083057379	0.683273083057379
Pasteurellales	0.353698716499923	0.353698716499923	-0.138770235806644	0.683273083057379	0.683273083057379
Betaproteobacteriales	0.403095204299719	0.403095204299719	0.115880120860143	0.683273083057379	0.683273083057379
Erysipelotrichales	0.436075481226981	0.436075481226981	-0.130963998755981	0.683273083057379	0.683273083057379
Mollicutes_RF39	0.471076388500203	0.471076388500203	-0.167400634467533	0.683273083057379	0.683273083057379
Coriobacteriales	0.479007080069485	0.479007080069485	0.0949960416712908	0.683273083057379	0.683273083057379
Bifidobacteriales	0.492469268524056	0.492469268524056	-0.149699765806116	0.683273083057379	0.683273083057379
Rhodospirillales	0.512454812293035	0.512454812293035	0.134609035368242	0.683273083057379	0.683273083057379
Bacteroidales	0.6482360533473	0.6482360533473	0.0619775374458557	0.785108473545695	0.785108473545695
Chloroplast	0.667342202513841	0.667342202513841	0.0409811849217639	0.785108473545695	0.785108473545695
Desulfovibrionales	0.711412662011934	0.711412662011934	0.0764487231179908	0.790458513346593	0.790458513346593
Clostridiales	0.789596842028758	0.789596842028758	-0.0365793637262439	0.831154570556588	0.831154570556588
others	0.859439927431391	0.859439927431391	0.0337283693136122	0.859439927431391	0.859439927431391
