bugName	pval	p3M	p1Y	p2Y	s3M	s1Y	s2Y	Adjustedpval	Adjustedp3M	Adjustedp1Y	Adjustedp2Y
Pasteurellales	0.000151180495805758	0.00021310466439264	0.00967367708621335	0.000136375939708899	0.751411119106349	0.570488327040302	1.10121598571607	0.00394796598290731	0.00207777047782824	0.115394709773652	0.00531866164864707
Saccharimonadales	0.000202459793995247	4.01017511041931e-05	0.8772889031313	0.230111519340202	0.658143938161342	0.02513317864163	0.244558933281737	0.00394796598290731	0.00128641188596301	0.900375453213703	0.472334171277256
Enterobacteriales	0.000536830811237121	6.91723789408712e-05	0.0443184433122028	0.00765859959969098	0.729610672397657	0.37964620639236	0.626808972010429	0.00697880054608258	0.00128641188596301	0.157129026288719	0.0805618742244712
Fusobacteriales	0.0010850703488352	0.000399298118816078	0.00567511327979552	0.00462926727612304	0.956128959447059	0.815378716691566	1.03319299707878	0.0103284108766179	0.00311452532676541	0.110664708956013	0.0805618742244712
Bacillales	0.00132415524059204	9.89547604586932e-05	0.102692852299367	0.0782439047286382	0.620669962789633	0.27141667165756	0.36395870454399	0.0103284108766179	0.00128641188596301	0.239987386558066	0.339056920490766
Elusimicrobiales	0.0026753780531521	0.930156984855924	0.000525528951820453	0.272143890071609	0.0182659800698287	0.880378772312695	0.319520668295476	0.0173899573454886	0.947933881626848	0.0204956291209977	0.530680585639638
Lactobacillales	0.00479112615816657	0.000785007594680008	0.0402846110725494	0.0209562866338699	0.565326612115177	0.371215226859956	0.519484079159244	0.026693417166928	0.00510254936542005	0.157129026288719	0.163459035744185
Verrucomicrobiales	0.0119709513308164	0.0025309756018972	0.0177135792059034	0.0614207303641304	0.86626594152778	0.751505327657239	0.722705163484154	0.0583583877377299	0.0141011497819987	0.138165917806047	0.339056920490766
Actinomycetales	0.0297207242801427	0.00397812011986971	0.434205291709813	0.149831419678957	0.608031186725443	0.174628274432457	0.395077337622178	0.128789805213952	0.0193933355843648	0.662760589593273	0.400077698065118
Victivallales	0.0359510801381151	0.00813390915280847	0.0322179322878109	0.109486563899215	0.758357824316241	0.686012733568795	0.627193333761359	0.140209212538649	0.03524693966217	0.157129026288719	0.375852329161928
Aeromonadales	0.0447770765678157	0.120119385806471	0.628703976671509	0.008262756330715	-0.465908736438405	-0.1630709993171	-1.15632375862847	0.158755089649528	0.312310403096824	0.720889558661595	0.0805618742244712
Rickettsiales	0.0724700211382873	0.678323782077651	0.0919034837483609	0.0697995819503812	-0.0456549893288865	0.210062398085559	0.275804012319334	0.235437727882954	0.79902085372291	0.239987386558066	0.339056920490766
Izimaplasmatales	0.0816723253433046	0.175391830870134	0.0118353548485797	0.190365225502202	0.21057069267428	0.459962944798259	0.288306004853228	0.235437727882954	0.40236949434913	0.115394709773652	0.413259743359734
Micrococcales	0.084516107445163	0.0138770393080929	0.422276357385036	0.164134440231843	0.457971031036694	0.160397396284318	0.341258339096653	0.235437727882954	0.0541204533015623	0.662760589593273	0.400077698065118
Synergistales	0.121711201791259	0.357452274715097	0.0419747261363431	0.0670614444364662	0.206099438562345	0.521528359080647	0.573314528388614	0.316449124657273	0.591300693833004	0.157129026288719	0.339056920490766
Bifidobacteriales	0.130122482890202	0.0659817929963918	0.0556985787182477	0.115646870511362	-0.648211797836622	-0.752010414650923	-0.746619169909435	0.317173552044867	0.214440827238273	0.181020380834305	0.375852329161928
Mollicutes_RF39	0.178888074072784	0.762341081306581	0.104002485284295	0.190735266166031	-0.0921876186848355	0.574361378726917	0.570399805260734	0.41039028757874	0.849465776313048	0.239987386558066	0.413259743359734
Methanobacteriales	0.190820905057858	0.542820138112146	0.0332959212003827	0.452417485295901	0.175309907686671	0.718918124498565	0.307091157368684	0.413445294292025	0.746410372244528	0.157129026288719	0.65349192320519
Anaeroplasmatales	0.214771286608796	0.408785911095103	0.0397029471395301	0.328657230098675	-0.0810824168059214	-0.230689125286282	-0.131040617305503	0.43244921415737	0.637706021308361	0.157129026288719	0.553312679792856
Corynebacteriales	0.22176882777301	0.039264712037932	0.431254398782833	0.613979562225595	0.173968573448142	0.0731517969961442	0.057728592592317	0.43244921415737	0.13921125177085	0.662760589593273	0.772425900864459
Clostridiales	0.237106751289137	0.10504606387954	0.104609886448388	0.16002935918522	-0.090361412948594	-0.102780147143087	-0.109844435500351	0.437535189132572	0.312310403096824	0.239987386558066	0.400077698065118
Chloroplast	0.246814722074784	0.612439279790382	0.339032444580178	0.136745801651297	-0.0682732234406666	0.145941055200435	0.282746341839772	0.437535189132572	0.746410372244528	0.661113266931346	0.400077698065118
Propionibacteriales	0.305388773189204	0.148248356392843	0.496207789883685	0.105192936992263	-0.0921930695082738	-0.0480351788144536	-0.142102620363636	0.510841972260758	0.361355368707554	0.716744585387545	0.375852329161928
Desulfovibrionales	0.314364290622005	0.207783353724559	0.0779423676268971	0.592357901134714	0.29001318836018	0.461811205937118	0.169842917074914	0.510841972260758	0.426502673434621	0.233827102880691	0.770065271475128
