bugName	pval	p1M	p6M	s1M	s6M	Adjustedpval	Adjustedp1M	Adjustedp6M
Bacilli	3.04739966594525e-09	2.00361258218139e-09	2.36031495659393e-06	0.984159978588437	0.898091462462342	4.8758394655124e-08	3.20578013149022e-08	3.7765039305503e-05
Fusobacteriia	2.69264854835249e-06	5.13017513993147e-07	0.0702399033464158	1.0782733511263	0.418473115569515	2.154118838682e-05	4.10414011194518e-06	0.154586210203578
Clostridia	1.02236090995245e-05	1.81349526864037e-05	9.98304880089406e-05	-0.160842338020016	-0.187455148423759	5.45259151974638e-05	7.25398107456149e-05	0.000798643904071525
Gammaproteobacteria	2.09435330975616e-05	8.58779465129726e-06	0.00218218851761288	1.03858209070853	0.84323605622681	8.37741323902463e-05	4.58015714735854e-05	0.011638338760602
Alphaproteobacteria	0.0141851532023486	0.643608712948416	0.00992629180323115	-0.0487249556820865	0.385296286311126	0.0396851613889068	0.735552814798189	0.0317641337703397
Erysipelotrichia	0.0148819355208401	0.00537132259693406	0.0869547432395128	-0.416858664841824	-0.319615648075201	0.0396851613889068	0.017188232310189	0.154586210203578
Verrucomicrobiae	0.0228566093864973	0.240370961731998	0.00654061138963896	0.332743840939486	1.08582059683587	0.052243678597708	0.349630489791997	0.0261624455585559
Saccharimonadia	0.109320892388634	0.0745232550447348	0.613218929665152	0.184636111842107	-0.0654507063634882	0.206793975614472	0.198728680119293	0.70082163390303
Methanobacteria	0.119720915668428	0.189277106963234	0.289500076554629	-0.219371925586705	0.237103748631319	0.206793975614472	0.309984541802945	0.421091020443096
Deltaproteobacteria	0.129246234759045	0.121275550733281	0.0794766675715421	0.353506374975983	0.536117207667488	0.206793975614472	0.277201258818929	0.154586210203578
Coriobacteriia	0.157151150767377	0.175197085661852	0.0817155748762694	-0.173656492247721	-0.299421275001288	0.228583492025275	0.309984541802945	0.154586210203578
Oxyphotobacteria	0.311179581354433	0.796820770020132	0.183348885914883	-0.0214084074263637	0.148858422710244	0.414906108472578	0.796820770020132	0.293358217463812
Bacteroidia	0.405913793396216	0.19374033862684	0.474735451622405	0.291169326155084	0.209446991684997	0.499586207256881	0.309984541802945	0.632980602163207
others	0.666575000354256	0.495097203719578	0.750727797896678	-0.113731594108964	0.0702739573016704	0.761800000404863	0.660129604959438	0.800776317756456
Negativicutes	0.810856882027409	0.693611982341693	0.543103224143394	0.0906199863195763	0.183040936515514	0.840556244876994	0.739852781164472	0.668434737407254
Actinobacteria	0.840556244876994	0.566811790442533	0.936660558344084	-0.11142613993055	-0.0203260948778011	0.840556244876994	0.697614511313887	0.936660558344084
