bugName	pval	p1M	p6M	s1M	s6M	Adjustedpval	Adjustedp1M	Adjustedp6M
Streptococcaceae	3.33413407993532e-09	2.26509111187212e-09	2.2784596288439e-06	0.997664494363248	0.918518462669518	1.43367765437219e-07	9.73989178105013e-08	9.79737640402876e-05
Micrococcaceae	2.66673956250685e-08	2.45343735978412e-08	5.56509973725931e-06	1.00982731902642	0.980020352965307	5.73349005938972e-07	5.27489032353587e-07	0.000119649644351075
Carnobacteriaceae	2.20412025075944e-07	4.13503189052013e-08	0.0660610774737567	1.08725990096174	0.369116412709039	3.15923902608854e-06	5.92687904307885e-07	0.258238757397413
Fusobacteriaceae	1.82829472827883e-06	3.40499226862434e-07	0.0352497751645841	1.14035737335397	0.502630414371595	1.96541683289975e-05	3.66036668877117e-06	0.168415592453013
Enterobacteriaceae	3.61814979177311e-06	2.32954773492811e-06	0.000287959781765359	1.483190697001	1.36499961651114	3.11160882092487e-05	1.66950921003182e-05	0.00247645412318209
Actinomycetaceae	7.41325376130142e-06	2.20158132588603e-06	0.0024948500296835	0.734070524918231	0.553294860775694	5.31283186226602e-05	1.66950921003182e-05	0.0178797585460651
Enterococcaceae	2.43692927991424e-05	0.00354769631007537	8.5032087922316e-06	0.460824872044523	1.02400941331258	0.000149697084337589	0.013868267393931	0.000121879326021986
Lachnospiraceae	5.32535966668579e-05	0.00722353847486065	1.656473645513e-05	-0.131267275591762	-0.307753296171515	0.000286238082084361	0.023893242647616	0.000178070916892647
Family_XI	0.000149227936199314	3.88360501401352e-05	0.427818612193957	0.717739490830692	0.158174146234579	0.000712977917396724	0.000238564308003688	0.613206677478005
Atopobiaceae	0.000336748464796255	8.75189746324869e-05	0.418428655383838	0.638851709169977	0.153857958184107	0.0014480183986239	0.000470414488649617	0.613206677478005
Ruminococcaceae	0.000737506107221009	0.000168141458004196	0.10090253341121	-0.411508696798391	-0.216246306722535	0.00288297841913667	0.000803342521575601	0.309914924048716
Clostridiaceae_1	0.0099507776671095	0.0165797374752454	0.0085177765497313	0.688865645351196	1.01380273838828	0.0355389464241724	0.0475285807623702	0.0457830489548057
Corynebacteriaceae	0.0107443326398661	0.00319107525701418	0.121296263633145	0.33115342420312	0.218237702312657	0.0355389464241724	0.013721623605161	0.336330357568783
Erysipelotrichaceae	0.0148819355208401	0.00537132259693406	0.0869547432395128	-0.416858664841824	-0.319615648075201	0.0457088019568659	0.0192472393056804	0.287619535330696
Akkermansiaceae	0.023558228490864	0.250930714943606	0.00673210840731076	0.325908296879199	1.08380407208837	0.0675335883404767	0.37206968077845	0.0413543802163375
