bugName	pval	p1M	p6M	s1M	s6M	Adjustedpval	Adjustedp1M	Adjustedp6M
Lactobacillales	3.45762918296799e-09	2.35858471178287e-09	2.34411458536428e-06	0.976998733745549	0.899088699391946	7.60678420252958e-08	5.18888636592231e-08	5.15705208780142e-05
Micrococcales	2.66673956250685e-08	2.45343735978412e-08	5.56509973725931e-06	1.00982731902642	0.980020352965307	2.93341351875753e-07	2.69878109576254e-07	6.12160971098524e-05
Fusobacteriales	2.69264854835249e-06	5.13017513993147e-07	0.0702399033464158	1.0782733511263	0.418473115569515	1.9746089354585e-05	3.76212843594974e-06	0.173909486479026
Enterobacteriales	3.61814979177311e-06	2.32954773492811e-06	0.000287959781765359	1.483190697001	1.36499961651114	1.98998238547521e-05	1.02500100336837e-05	0.00158377879970947
Actinomycetales	7.41325376130142e-06	2.20158132588603e-06	0.0024948500296835	0.734070524918231	0.553294860775694	3.26183165497262e-05	1.02500100336837e-05	0.0109773401306074
Clostridiales	1.00376596003926e-05	1.82264176257859e-05	9.57965062174167e-05	-0.160792471247807	-0.188067621660953	3.68047518681062e-05	5.72830268238985e-05	0.000702507712261056
Bacillales	4.63358875157915e-05	9.45007808622893e-06	0.0605020461912859	0.833772417017212	0.40172913969973	0.000145627075049631	3.46502863161727e-05	0.173909486479026
Corynebacteriales	0.0107443326398661	0.00319107525701418	0.121296263633145	0.33115342420312	0.218237702312657	0.0295469147596317	0.00877545695678899	0.222376483327433
Erysipelotrichales	0.0148819355208401	0.00537132259693406	0.0869547432395128	-0.416858664841824	-0.319615648075201	0.0363780646064979	0.0131298996813944	0.173909486479026
Verrucomicrobiales	0.023558228490864	0.250930714943606	0.00673210840731076	0.325908296879199	1.08380407208837	0.0518281026799007	0.315631930602604	0.0246843974934728
Pasteurellales	0.0342534527508744	0.0102355685847852	0.27067835604027	0.405335440135437	0.218416664357874	0.0685069055017489	0.0225182508865275	0.371489375656441
others	0.0978294029592877	0.258244306856676	0.163713160727774	-0.199633928402666	0.328721813759433	0.179353905425361	0.315631930602604	0.257263538286501
Saccharimonadales	0.109320892388634	0.0745232550447348	0.613218929665152	0.184636111842107	-0.0654507063634882	0.185004587119227	0.136625967582014	0.642419831077778
Methanobacteriales	0.119720915668428	0.189277106963234	0.289500076554629	-0.219371925586705	0.237103748631319	0.188132867478958	0.266392393479437	0.371489375656441
Desulfovibrionales	0.129246234759045	0.121275550733281	0.0794766675715421	0.353506374975983	0.536117207667488	0.189561144313266	0.205235547394784	0.173909486479026
Coriobacteriales	0.157151150767377	0.175197085661852	0.0817155748762694	-0.173656492247721	-0.299421275001288	0.216082832305143	0.266392393479437	0.173909486479026
Bifidobacteriales	0.18373010664468	0.0691849518233655	0.643560340656104	-0.478128421470718	-0.158014578100629	0.23776837330488	0.136625967582014	0.643560340656104
Rhodospirillales	0.205985667106284	0.677103833732601	0.138880429107964	-0.0409476719715702	0.198816881946111	0.25176025979657	0.762973180575862	0.235028418490401
Chloroplast	0.311179581354433	0.796820770020132	0.183348885914883	-0.0214084074263637	0.148858422710244	0.360313199463028	0.796820770020132	0.268911699341828
Bacteroidales	0.40594552563974	0.1937399225305	0.474897232041315	0.291171849992633	0.209370817635654	0.446540078203714	0.266392393479437	0.549881005521522
Betaproteobacteriales	0.582851628047532	0.771756655903977	0.303945852809815	-0.0578535657260741	-0.276492571335723	0.610606467478367	0.796820770020132	0.371489375656441
Selenomonadales	0.810856882027409	0.693611982341693	0.543103224143394	0.0906199863195763	0.183040936515514	0.810856882027409	0.762973180575862	0.597413546557733
