bugName	pval	p6M	p12M	s6M	s12M	Adjustedpval	Adjustedp6M	Adjustedp12M
others	2.88657986402541e-15	0.998998140548688	6.6545543670049e-15	0.000225004450477985	-4.12260182206575	5.19584375524573e-14	0.998998140548688	1.19781978606088e-13
Clostridia	1.15336962203116e-08	0.0410442361940462	1.84740468260173e-07	-0.0882222022732507	0.327094344779164	1.03803265982805e-07	0.159766683753147	1.10844280956104e-06
Bacteroidia	2.95226852964348e-08	0.111173755548139	1.62380357825136e-08	0.0477094544525183	0.273881032974073	1.77136111778609e-07	0.252287172157335	1.46142322042622e-07
Elusimicrobia	0.000382029736229139	0.000391394042716442	1	0.751040738565343	-4.96506830649455e-17	0.00171913381303113	0.00704509276889595	1
Negativicutes	0.00191371463163637	0.0405326453050248	0.0558529712411202	-0.324037590480072	0.300114660540605	0.0059235051293669	0.159766683753147	0.15482285640522
Bacilli	0.00197450170978897	0.00210963873978644	0.873670441338677	-0.936175054175297	0.0420982125135622	0.0059235051293669	0.0189867486580779	0.983388040936928
Verrucomicrobiae	0.0026941118918401	0.898002811184836	0.00269600139400662	-0.0489035713982639	1.3075763806788	0.00692771629330312	0.950826505960414	0.0121320062730298
Fusobacteriia	0.0190927096033179	0.0443796343758742	0.376008015449483	0.605921349691665	-0.254467172549908	0.0429585966074652	0.159766683753147	0.676814427809069
Erysipelotrichia	0.0594802387953836	0.178040638912084	0.257391184863833	-0.252654357111856	0.21084458132884	0.118960477590767	0.356081277824168	0.514782369727666
Gammaproteobacteria	0.0771370565145397	0.0673322105436283	0.0379703479159814	0.244440917808359	0.281216116217569	0.138846701726172	0.201996631630885	0.136693252497533
Actinobacteria	0.128162305583834	0.112127632069927	0.0602088886020299	-0.640728605414042	-0.769153183048479	0.209720136409911	0.252287172157335	0.15482285640522
Synergistia	0.214523248333065	0.786814363226751	0.105157386725148	0.091119723607429	0.566351165839491	0.321784872499598	0.9055439786723	0.236604120131584
Alphaproteobacteria	0.35598354906031	0.226133854954769	0.95732039642324	-0.238790107505147	0.0103394306503881	0.492900298698891	0.407040938918585	1
Deltaproteobacteria	0.454637754882046	0.634501236656546	0.441001592526509	-0.136148877266439	0.221822876641233	0.549580681272719	0.815787304272702	0.721638969588833
Oxyphotobacteria	0.457983901060599	0.418301358038334	0.673834919066512	-0.221995779056969	0.11465808165118	0.549580681272719	0.604579335508809	0.983388040936928
Saccharimonadia	0.504950488210954	0.436640631200807	0.715397642441025	-0.132024529239146	0.0614688448429676	0.568069299237324	0.604579335508809	0.983388040936928
Coriobacteriia	0.575767125926199	0.322043314357295	0.818531494231988	-0.393146906362456	-0.0898886984703443	0.609635780392446	0.526979968948301	0.983388040936928
Lentisphaeria	0.968324711734462	0.804927981042044	0.874122703055047	-0.0840307743678696	-0.0538747932725968	0.968324711734462	0.9055439786723	0.983388040936928
