bugName	pval	p6M	p12M	s6M	s12M	Adjustedpval	Adjustedp6M	Adjustedp12M
others	5.77315972805081e-15	0.999073377494664	1.35592894731612e-14	0.000211019146212982	-4.0130216900932	1.21236354289067e-13	0.999073377494664	2.84745078936386e-13
Clostridiales	1.15785829812864e-08	0.0409418289921088	1.85799186192104e-07	-0.0882222022732509	0.32677806635415	1.21575121303508e-07	0.149050478293534	1.30059430334473e-06
Bacteroidales	2.9501004528143e-08	0.111147485939307	1.62257617096747e-08	0.0477094544525183	0.273873028451367	2.06507031697001e-07	0.259344133858383	1.70370497951585e-07
Elusimicrobiales	0.000382029736229139	0.000391394042716442	1	0.751040738565343	-4.96506830649455e-17	0.00200565611520298	0.00821927489704528	1
Lactobacillales	0.00183788981403488	0.00193219335076448	0.88861217256201	-0.935264353780957	0.0366415518800523	0.00669800121072728	0.0202880301830271	0.933042781190111
Selenomonadales	0.00191371463163637	0.0405326453050248	0.0558529712411202	-0.324037590480072	0.300114660540605	0.00669800121072728	0.149050478293534	0.16755891372336
Verrucomicrobiales	0.0128604518890166	0.891714735144515	0.0111818969614021	-0.0489035713982638	1.00111002908545	0.0385813556670499	0.93630047190174	0.0587049590473611
Fusobacteriales	0.0190927096033179	0.0443796343758742	0.376008015449483	0.605921349691665	-0.254467172549908	0.0501183627087094	0.149050478293534	0.658014027036595
Pasteurellales	0.0386442548548568	0.0180800679943067	0.0412380269043506	-0.619843472659434	-0.524004491072086	0.0901699279946658	0.126560475960147	0.144333094165227
Erysipelotrichales	0.0594802387953836	0.178040638912084	0.257391184863833	-0.252654357111856	0.21084458132884	0.124908501470305	0.373885341715376	0.491383171103682
Micrococcales	0.0675986282657286	0.0496834927645113	0.03861323124645	-0.576378611567793	-0.611217115526784	0.129051926689118	0.149050478293534	0.144333094165227
Enterobacteriales	0.132279500200921	0.0639031818292057	0.110368957573852	0.850630947056725	0.723552744753696	0.231489125351612	0.167745852301665	0.257527567672321
Synergistales	0.214523248333065	0.786814363226751	0.105157386725148	0.091119723607429	0.566351165839491	0.346537554999567	0.889657242204365	0.257527567672321
Bacillales	0.270868036853224	0.21369744669532	0.779629158247178	-0.372661488225682	0.0821116041456273	0.406302055279836	0.373970531716809	0.933042781190111
Bifidobacteriales	0.304022334211933	0.207664253860308	0.165319281680306	-0.538918981545739	-0.596301392778805	0.425631267896706	0.373970531716809	0.347170491528642
Desulfovibrionales	0.454637754882046	0.634501236656546	0.441001592526509	-0.136148877266439	0.221822876641233	0.56574481895721	0.832782873111716	0.712387187927438
Chloroplast	0.457983901060599	0.418301358038334	0.673834919066512	-0.221995779056969	0.11465808165118	0.56574481895721	0.611296883681129	0.933042781190111
Saccharimonadales	0.504950488210954	0.436640631200807	0.715397642441025	-0.132024529239146	0.0614688448429676	0.58910890291278	0.611296883681129	0.933042781190111
Coriobacteriales	0.575767125926199	0.322043314357295	0.818531494231988	-0.393146906362456	-0.0898886984703443	0.636374191813167	0.520223815500246	0.933042781190111
Betaproteobacteriales	0.646312773796075	0.743973184173804	0.55520156597593	0.0642083764174924	-0.116389436831399	0.678628412485879	0.889657242204365	0.832802348963895
Victivallales	0.968324711734462	0.804927981042044	0.874122703055047	-0.0840307743678696	-0.0538747932725968	0.968324711734462	0.889657242204365	0.933042781190111
