bugName	pval	p6M	p12M	s6M	s12M	Adjustedpval	Adjustedp6M	Adjustedp12M
Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Faecalibacterium_1	2.42916797787984e-13	0.999999999999999	5.4599660352547e-13	2.26343868779142e-16	3.16088766365894	1.33604238783391e-10	1	3.00298131939009e-10
Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Faecalibacterium_3	2.25979035484158e-09	0.999999999999999	4.32669780554145e-09	2.1813861587876e-16	2.9289337008887	3.40141594519968e-07	1	6.42229523787128e-07
Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Faecalibacterium_5	2.31507679693266e-09	0.999999999999998	4.4296122940969e-09	5.90408254412238e-16	2.83516673063779	3.40141594519968e-07	1	6.42229523787128e-07
Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Faecalibacterium_8	2.67403255094223e-09	1	5.09605250385067e-09	-1.43324350107564e-16	2.79186942019047	3.40141594519968e-07	1	6.42229523787128e-07
Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Faecalibacterium_11	3.31912897166831e-09	1	6.28700607571086e-09	-2.39059732762009e-17	2.70693091660567	3.40141594519968e-07	1	6.42229523787128e-07
Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Faecalibacterium_93	3.71063557658147e-09	0.999999999999999	7.00614025949594e-09	-2.02481730132745e-16	2.45803340532183	3.40141594519968e-07	1	6.42229523787128e-07
Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_161	7.92733976684445e-07	0.999999999999999	1.21872249952135e-06	2.40761670894957e-16	2.10124602664541	4.25130886003369e-05	1	6.45896709344576e-05
Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_74	8.62466944528961e-07	0.999999999999998	1.32040316308436e-06	7.24779398620269e-16	2.2608322284681	4.25130886003369e-05	1	6.45896709344576e-05
Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_160	8.92957775056047e-07	0.999999999999999	1.36471999211434e-06	-2.50789057251845e-16	2.0817215965504	4.25130886003369e-05	1	6.45896709344576e-05
Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_237	9.25275357444022e-07	0.999999999999999	1.41160136844173e-06	2.7658154781616e-16	1.99898898256543	4.25130886003369e-05	1	6.45896709344576e-05
Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_90	9.4056779942342e-07	1	1.4337537016976e-06	1.13785663073771e-16	2.23007423168719	4.25130886003369e-05	1	6.45896709344576e-05
Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_89	9.42234601453151e-07	1	1.43616699289093e-06	5.56870481194576e-17	2.17391955440174	4.25130886003369e-05	1	6.45896709344576e-05
Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_150	1.00485482146251e-06	0.999999999999999	1.52666494935991e-06	2.79671796262922e-16	2.11983757367036	4.25130886003369e-05	1	6.45896709344576e-05
Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_141	1.16420253193361e-06	1	1.75558287220332e-06	-1.31651972273084e-16	2.07998630047237	4.5736528040249e-05	1	6.89693271222732e-05
Bacteria_Firmicutes_Negativicutes_Selenomonadales_Acidaminococcaceae_Phascolarctobacterium_72	1.36294229746703e-06	1	2.03864837755073e-06	6.14150780554881e-17	2.19617405442279	4.99745509071244e-05	1	7.47504405101933e-05
Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_620	2.09546116635151e-05	2.66757713686528e-05	2.66757713686527e-05	-1.4209993538636	-1.4209993538636	0.000507772499165508	0.0015140638650227	0.00064056548135576
Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_547	2.14314586742814e-05	2.72420115515507e-05	2.72420115515507e-05	-1.44193322186457	-1.44193322186457	0.000507772499165508	0.0015140638650227	0.00064056548135576
Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Roseburia_157	2.26645100224188e-05	2.8702027022099e-05	2.87020270220991e-05	-1.70780773724313	-1.70780773724313	0.000507772499165508	0.0015140638650227	0.00064056548135576
Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Faecalibacterium_61	2.3568701163601e-05	2.97689540555772e-05	2.97689540555773e-05	-1.85264564134294	-1.85264564134294	0.000507772499165508	0.0015140638650227	0.00064056548135576
Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Faecalibacterium_88	2.35697970529802e-05	2.97702453432262e-05	2.97702453432264e-05	-1.80262253265994	-1.80262253265994	0.000507772499165508	0.0015140638650227	0.00064056548135576
Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Faecalibacterium_155	2.35785492266327e-05	2.97805578827319e-05	2.97805578827319e-05	-1.69854216654495	-1.69854216654495	0.000507772499165508	0.0015140638650227	0.00064056548135576
Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_733	2.36314009682825e-05	2.98428262504095e-05	2.98428262504095e-05	-1.38370389279675	-1.38370389279675	0.000507772499165508	0.0015140638650227	0.00064056548135576
Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Faecalibacterium_119	2.37044753637061e-05	2.99289035614499e-05	2.992890356145e-05	-1.74870910184478	-1.74870910184478	0.000507772499165508	0.0015140638650227	0.00064056548135576
Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Faecalibacterium_117	2.39385252543967e-05	3.02044699539146e-05	3.02044699539146e-05	-1.75174622310655	-1.75174622310655	0.000507772499165508	0.0015140638650227	0.00064056548135576
Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Faecalibacterium_104	2.39561249053555e-05	3.02251834803976e-05	3.02251834803977e-05	-1.77151279511246	-1.77151279511246	0.000507772499165508	0.0015140638650227	0.00064056548135576
Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Faecalibacterium_91	2.40037908696422e-05	3.0281277300454e-05	3.02812773004541e-05	-1.79396963593929	-1.79396963593929	0.000507772499165508	0.0015140638650227	0.00064056548135576
Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_203	2.53041297060275e-05	1	3.18084326024137e-05	1.13605575132809e-16	1.83182979405704	0.000515454494011671	1	0.000647949553012132
Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_87	2.79445768402997e-05	1	3.48919907192146e-05	8.3328698792825e-17	1.94250439059559	0.000535329156931324	1	0.000660713778656114
Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_296	2.96560895090003e-05	1	3.68790724921743e-05	-7.37393457789966e-17	1.7823770181924	0.000535329156931324	1	0.000660713778656114
Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_760	3.02047476259393e-05	1	3.75142388836458e-05	1.25888064897385e-16	1.55900686841269	0.000535329156931324	1	0.000660713778656114
Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacteriales_Enterobacteriaceae_Escherichia/Shigella_298	3.0448417448814e-05	0.999999999999999	3.77960516364536e-05	-2.42796422155054e-16	1.75300525536676	0.000535329156931324	1	0.000660713778656114
