bugName	pval	pPost	sPost	Adjustedpval	AdjustedpPost
Synergistia	0.000286233467093111	0.000286233467093136	0.830993088488819	0.0166015410914004	0.0166015410914019
Clostridia	0.00359485421810635	0.00359485421810641	-0.304383368629909	0.104250772325084	0.104250772325086
Erysipelotrichia	0.00608182923200884	0.00608182923200892	-0.554503415365829	0.117582031818838	0.117582031818839
Methanobacteria	0.0185161898906692	0.0185161898906692	0.233723764983278	0.261003061013525	0.261003061013525
Gammaproteobacteria	0.0225002638804763	0.0225002638804763	-0.516823281248136	0.261003061013525	0.261003061013525
Babeliae	0.081088607635764	0.0810886076357639	0.110994630359924	0.78106636518659	0.78106636518659
Melainabacteria	0.0942666302811401	0.0942666302811402	0.221531423902571	0.78106636518659	0.78106636518659
JG30-KF-CM66	0.114727101469655	0.114727101469655	0.157654190378796	0.804696900525453	0.804696900525453
OLB14	0.137002906577454	0.137002906577454	0.172979851141408	0.804696900525453	0.804696900525453
Rubrobacteria	0.153151007618659	0.153151007618659	-0.0836944282438099	0.804696900525453	0.804696900525453
Negativicutes	0.17741837216214	0.17741837216214	-0.210202947682197	0.804696900525453	0.804696900525453
Verrucomicrobiae	0.177900658455742	0.177900658455742	-0.357143167218579	0.804696900525453	0.804696900525453
Fimbriimonadia	0.219394965734991	0.219394965734991	0.164511645565593	0.804696900525453	0.804696900525453
Anaerolineae	0.229538302456815	0.229538302456815	0.247155185019914	0.804696900525453	0.804696900525453
Nitrososphaeria	0.24153051495474	0.24153051495474	-0.130008476466955	0.804696900525453	0.804696900525453
Gemmatimonadetes	0.254973863141853	0.254973863141853	0.270123140408236	0.804696900525453	0.804696900525453
Bacteroidia	0.257495428234202	0.257495428234202	0.106188436646718	0.804696900525453	0.804696900525453
Ktedonobacteria	0.266577688311215	0.266577688311215	0.0949492138968619	0.804696900525453	0.804696900525453
Coriobacteriia	0.275228263069753	0.275228263069753	-0.232133082742514	0.804696900525453	0.804696900525453
Rhodothermia	0.288577251565993	0.288577251565993	-0.126167729353396	0.804696900525453	0.804696900525453
Dehalococcoidia	0.291355774328181	0.291355774328181	0.201927698601431	0.804696900525453	0.804696900525453
Ignavibacteria	0.306714081979786	0.306714081979786	0.173083491595668	0.808609852492163	0.808609852492163
Phycisphaerae	0.34848510924837	0.34848510924837	0.0821126165598263	0.836936495899698	0.836936495899698
Actinobacteria	0.367334902382493	0.367334902382493	0.139706581754731	0.836936495899698	0.836936495899698
Deferribacteres	0.374221849277353	0.374221849277353	0.112120788097584	0.836936495899698	0.836936495899698
Saccharimonadia	0.388892089868925	0.388892089868925	0.191020909932392	0.836936495899698	0.836936495899698
Acidobacteriia	0.395068367067999	0.395068367067999	0.185959536439458	0.836936495899698	0.836936495899698
Oxyphotobacteria	0.414354343637208	0.414354343637208	-0.191288708929906	0.836936495899698	0.836936495899698
MB-A2-108	0.432467895260305	0.432467895260305	-0.0841409662208198	0.836936495899698	0.836936495899698
