bugName	pval	pPost	sPost	Adjustedpval	AdjustedpPost
Synergistetes	0.000286233467093111	0.000286233467093136	0.830993088488819	0.00830077054570022	0.00830077054570093
Euryarchaeota	0.00158717544591647	0.00158717544591652	0.443598713014308	0.0230140439657888	0.0230140439657896
Firmicutes	0.0289599906994624	0.0289599906994625	-0.167596301874741	0.266523066672494	0.266523066672493
Proteobacteria	0.0367618022996543	0.0367618022996542	-0.460379820570236	0.266523066672494	0.266523066672493
Dependentiae	0.081088607635764	0.0810886076357639	0.110994630359924	0.470313924287431	0.470313924287431
Elusimicrobia	0.100508052394731	0.100508052394731	0.14482889417186	0.485788919907867	0.485788919907867
Armatimonadetes	0.142091218120623	0.142091218120623	0.214659680347011	0.573502435233026	0.573502435233026
Verrucomicrobia	0.177900658455742	0.177900658455742	-0.357143167218579	0.573502435233026	0.573502435233026
Fibrobacteres	0.21912033006179	0.21912033006179	0.131945369471759	0.573502435233026	0.573502435233026
Gemmatimonadetes	0.232083929134055	0.232083929134055	0.302245714483525	0.573502435233026	0.573502435233026
Atribacteria	0.238187550823927	0.238187550823927	0.148147356870408	0.573502435233026	0.573502435233026
Thaumarchaeota	0.24153051495474	0.24153051495474	-0.130008476466955	0.573502435233026	0.573502435233026
Bacteroidetes	0.257087298552736	0.257087298552736	0.106284148318893	0.573502435233026	0.573502435233026
Nitrospirae	0.32797664818214	0.32797664818214	0.17882753657549	0.633230459114231	0.633230459114231
Acidobacteria	0.340635656478434	0.340635656478434	0.269945468290904	0.633230459114231	0.633230459114231
Planctomycetes	0.349368529166472	0.349368529166472	0.137542428431583	0.633230459114231	0.633230459114231
Deferribacteres	0.374221849277353	0.374221849277353	0.112120788097584	0.63837844876725	0.63837844876725
Chloroflexi	0.424368376603562	0.424368376603562	0.214645948021209	0.683704606750183	0.683704606750183
Patescibacteria	0.457954168386958	0.457954168386958	0.167871729250424	0.698982678064305	0.698982678064305
Actinobacteria	0.48528358462356	0.48528358462356	0.098696130553296	0.703661197704162	0.703661197704162
Spirochaetes	0.666748574167021	0.666748574167021	0.0675857099357334	0.888379279020993	0.888379279020993
Fusobacteria	0.733872427620674	0.733872427620674	0.113349200950402	0.888379279020993	0.888379279020993
others	0.745471257401087	0.745471257401087	0.0632337078956896	0.888379279020993	0.888379279020993
Tenericutes	0.75391828951208	0.75391828951208	-0.0749970733703507	0.888379279020993	0.888379279020993
Cyanobacteria	0.81502811568276	0.81502811568276	-0.0571958033196283	0.888379279020993	0.888379279020993
Deinococcus-Thermus	0.869765706828227	0.869765706828227	-0.00852350967064347	0.888379279020993	0.888379279020993
Epsilonbacteraeota	0.877670478443723	0.877670478443723	0.0451869107199785	0.888379279020993	0.888379279020993
Latescibacteria	0.878494157477299	0.878494157477299	0.0172203025719012	0.888379279020993	0.888379279020993
Rokubacteria	0.888379279020993	0.888379279020993	-0.0177334995377083	0.888379279020993	0.888379279020993
