bugName	pval	pPost	sPost	Adjustedpval	AdjustedpPost
Synergistia	0.00159148733936887	0.00159148733936886	1.01125805971228	0.0923062656833944	0.0923062656833941
Thermoleophilia	0.00602507344044056	0.00602507344044057	0.752472323459369	0.138045424163744	0.138045424163743
Chloroflexia	0.00714028056019367	0.00714028056019363	0.545924552260849	0.138045424163744	0.138045424163743
Nitrospira	0.0123019032143266	0.0123019032143266	0.471363631955247	0.140490108670284	0.140490108670284
Campylobacteria	0.0144417369283647	0.0144417369283647	-1.00634548901306	0.140490108670284	0.140490108670284
Acidobacteriia	0.0169834722701427	0.0169834722701427	0.621156662163785	0.140490108670284	0.140490108670284
Acidimicrobiia	0.0178908817020085	0.0178908817020085	0.605037468896125	0.140490108670284	0.140490108670284
Limnochordia	0.0196166739497738	0.0196166739497739	0.335607528595444	0.140490108670284	0.140490108670284
Fibrobacteria	0.0236089875650976	0.0236089875650975	0.373402820253182	0.140490108670284	0.140490108670284
TK10	0.0248872786923703	0.0248872786923703	0.32216610636188	0.140490108670284	0.140490108670284
others	0.0303646111480934	0.0303646111480934	0.750232482625594	0.140490108670284	0.140490108670284
Gemmatimonadetes	0.0327219315249418	0.0327219315249419	0.589168848844069	0.140490108670284	0.140490108670284
Gracilibacteria	0.0338470822768498	0.0338470822768498	0.330582783105714	0.140490108670284	0.140490108670284
Gitt-GS-136	0.0339114055411031	0.0339114055411031	0.231304098913728	0.140490108670284	0.140490108670284
Fusobacteriia	0.0568876708015266	0.0568876708015265	-0.675211172534578	0.219965660432569	0.219965660432569
Deltaproteobacteria	0.0707353606638941	0.0707353606638941	0.411027637701151	0.242993088560235	0.242993088560235
Ktedonobacteria	0.0712221121642069	0.0712221121642069	0.368236155878424	0.242993088560235	0.242993088560235
Longimicrobia	0.0816755147780862	0.0816755147780862	0.296775684054225	0.263176658729389	0.263176658729389
Subgroup_6	0.0992353339086531	0.0992353339086531	0.354421720579866	0.291815696412508	0.291815696412508
Deinococci	0.10062610221121	0.10062610221121	0.168875514704525	0.291815696412508	0.291815696412508
Alphaproteobacteria	0.119986110483357	0.119986110483358	0.641541313276668	0.331390209906416	0.331390209906416
Clostridia	0.125912471066695	0.125912471066695	-0.111439061649405	0.331951060084922	0.331951060084922
Thermoanaerobaculia	0.155712728133079	0.155712728133079	0.289150522133094	0.361636152266533	0.361636152266534
Fimbriimonadia	0.174117844102587	0.174117844102587	0.210174054781706	0.361636152266533	0.361636152266534
KD4-96	0.176039480373963	0.176039480373963	0.245741548304759	0.361636152266533	0.361636152266534
Babeliae	0.176794435374756	0.176794435374756	0.153861636846459	0.361636152266533	0.361636152266534
Sericytochromatia	0.178422345788167	0.178422345788167	0.184274633864147	0.361636152266533	0.361636152266534
Holophagae	0.184677296757682	0.184677296757682	0.230186034454657	0.361636152266533	0.361636152266534
Ignavibacteria	0.186713361694821	0.186713361694821	0.218282312176022	0.361636152266533	0.361636152266534
Kiritimatiellae	0.187053182206828	0.187053182206828	0.13954404226383	0.361636152266533	0.361636152266534
Subgroup_18	0.210546070074119	0.210546070074119	-0.1625328781401	0.389265737970493	0.389265737970493
Saccharimonadia	0.214767303707858	0.214767303707858	0.366061614647482	0.389265737970493	0.389265737970493
Spirochaetia	0.238643626941459	0.238643626941459	-0.344078810215779	0.419434253412261	0.419434253412261
Bacilli	0.257312251466572	0.257312251466572	-0.270111164066578	0.436995346293153	0.436995346293153
S0134_terrestrial_group	0.263704088280351	0.263704088280351	0.172446664042679	0.436995346293153	0.436995346293153
Blastocatellia_(Subgroup_4)	0.277320953001254	0.277320953001254	0.2246074037622	0.438013451841932	0.438013451841932
Coriobacteriia	0.279586269240056	0.279586269240056	-0.173230537325999	0.438013451841932	0.438013451841932
Planctomycetacia	0.286974330517128	0.286974330517128	0.156243921171031	0.438013451841932	0.438013451841932
Oxyphotobacteria	0.335430053322288	0.335430053322288	0.264416797906493	0.498069714482894	0.498069714482894
Dehalococcoidia	0.343496354815789	0.343496354815789	0.186216807191078	0.498069714482894	0.498069714482894
Mollicutes	0.425396076433456	0.425396076433456	0.222120618467467	0.601779815442449	0.601779815442449
OM190	0.437465259819485	0.437465259819485	0.0596881748821312	0.604118692131669	0.604118692131669
Subgroup_22	0.482979623052043	0.482979623052043	-0.0485961442702177	0.651460886907407	0.651460886907407
Gammaproteobacteria	0.503362341181232	0.503362341181232	0.17857653092258	0.655882570579179	0.655882570579179
Thermodesulfovibrionia	0.516248974012468	0.516248974012468	-0.0865006968174671	0.655882570579179	0.655882570579179
Anaerolineae	0.52552955182607	0.52552955182607	0.177640648709749	0.655882570579179	0.655882570579179
Bacteroidia	0.531491048572783	0.531491048572783	0.0458773120576117	0.655882570579179	0.655882570579179
Leptospirae	0.561394855614844	0.561394855614844	0.0492096436742179	0.67835211720127	0.67835211720127
Actinobacteria	0.595799687395489	0.595799687395489	-0.117714406730279	0.703140094327916	0.703140094327916
Erysipelotrichia	0.606155253730962	0.606155253730962	0.0841554943296446	0.703140094327916	0.703140094327916
Negativicutes	0.632365199323844	0.632365199323844	-0.0583876389058933	0.718906848547064	0.718906848547064
Verrucomicrobiae	0.644537174559437	0.644537174559437	0.180944983849148	0.718906848547064	0.718906848547064
Methanobacteria	0.693363235916188	0.693363235916188	-0.0415926306645015	0.748559314837629	0.748559314837629
Deferribacteres	0.696934534504	0.696934534504	-0.0715878010340526	0.748559314837629	0.748559314837629
Melainabacteria	0.759197212491042	0.759197212491042	0.0654436401193543	0.800607969536008	0.800607969536008
Subgroup_11	0.888590591541356	0.888590591541356	0.00886618791885057	0.92032596981069	0.92032596981069
Phycisphaerae	0.924324717438557	0.924324717438557	0.010863075116988	0.926191354967447	0.926191354967447
Subgroup_17	0.926191354967447	0.926191354967447	-0.0094446895877605	0.926191354967447	0.926191354967447
