bugName	pval	p6M	p12M	s6M	s12M	Adjustedpval	Adjustedp6M	Adjustedp12M
others	2.78665979180914e-13	0.701819740594498	5.21707923528805e-13	-0.0158949957829171	-0.740676037019229	2.73092659597296e-11	0.875047362489209	5.11273765058229e-11
Bacteroides	9.03416828479386e-06	0.0460016615536947	0.000224230950408671	-0.104673450307214	0.224455366932396	0.000442674245954899	0.269156436822873	0.00936367841479293
Lactobacillus	0.000192178388839337	4.54813959306969e-05	0.0312781004294957	-1.77627946397294	-0.778056391229362	0.00627782736875167	0.00445717680120829	0.170291880116144
Marvinbryantia	0.000272091375372874	0.999999999999999	0.000286643216779375	2.50758879017555e-16	1.51180486860386	0.00666623869663541	0.999999999999999	0.00936367841479293
Elusimicrobium	0.000382029736229139	0.000391394042716442	1	0.751040738565343	-4.96506830649455e-17	0.00732693407792421	0.0148129681216092	1
Mitsuokella	0.000448587800689237	0.000453458207804365	0.000453458207804365	-1.02915499804226	-1.02915499804226	0.00732693407792421	0.0148129681216092	0.0111097260912069
Prevotellaceae_NK3B31_group	0.00065634383753288	0.000608366272600183	0.961198893180213	1.14543043939861	0.0136325141184238	0.00918881372546032	0.0149049736787045	1
Prevotella_2	0.00157279423360834	0.339933223374084	0.000593791464008314	-0.284000960512097	-1.20396946589818	0.0184686878987064	0.640643382512698	0.0116383126945629
Ruminiclostridium_5	0.00169610399069753	0.850204006125906	0.00190501609399092	-0.0419641000531307	0.795574953483025	0.0184686878987064	0.925777695559319	0.0266702253158728
Desulfovibrio	0.00326590137039906	0.213185823915958	0.0168592613370429	-0.466370345475787	0.951736771848586	0.0320058334299108	0.53126128211696	0.1180148293593
Blautia	0.00363363787111037	0.368005759254558	0.0103143328098769	-0.365664782945493	1.1341549906194	0.0323724101244379	0.643564060237048	0.0918139740188789
Christensenellaceae_R-7_group	0.00413097723284195	0.035436539060504	0.128071546770372	-0.597754323088027	0.419312904803227	0.0337363140682092	0.269156436822873	0.380333684348378
Mailhella	0.00611445905832175	0.12093918995185	0.00165927010385782	-0.401911006397707	-0.912147150476976	0.0460936144396563	0.359152745917615	0.0266702253158728
Coprococcus_1	0.0103387177523904	0.00786556146124592	0.999999999999999	0.755490190990271	-1.73777390727309e-16	0.0685527304092672	0.109043302918142	1
Fusobacterium	0.0116986983340113	0.0222203758778485	0.473065852752398	0.6654553882781	-0.194933133963473	0.0685527304092672	0.217759683602916	0.691947068204999
Paraclostridium	0.0118511499420213	0.00890149411576669	1	0.522178484229939	-6.20633538311818e-17	0.0685527304092672	0.109043302918142	1
Coprococcus_2	0.0118918001730361	0.00422366541316539	0.384189094916004	0.932906744145487	0.254216489425834	0.0685527304092672	0.0827838420980418	0.638144598335057
Akkermansia	0.0128604518890166	0.891714735144515	0.0111818969614021	-0.0489035713982638	1.00111002908545	0.0700180158402017	0.929660043023005	0.0918139740188789
Butyricimonas	0.0152879641592132	0.0565529443604057	0.250489624842767	-0.620566568480559	0.361624013128592	0.0756807348816725	0.269156436822873	0.519351683916681
Prevotella_9	0.0154450479350352	0.238525473603533	0.060088881688978	0.465953931654825	-0.766802246866494	0.0756807348816725	0.53126128211696	0.235548416220794
Ruminococcaceae_UCG-013	0.017556904866681	0.0546998451467798	0.00559022012626418	0.571753358540405	0.875277984788707	0.0819322227111782	0.269156436822873	0.0684801965467362
Haemophilus	0.0216368982080071	0.00811499094157078	0.0398122364462943	-0.703454714723496	-0.524004491072086	0.0963825465629406	0.109043302918142	0.180617801509923
Paraprevotella	0.0289524845208853	0.160686689681226	0.00863617202564148	-0.409797354100782	-0.825223172405988	0.123362760132468	0.449922731107432	0.0918139740188789
Coprobacter	0.0333161688468513	0.0100911213569718	0.188328719638079	-0.564112851200306	-0.268376432780977	0.123771971825726	0.109881099220359	0.461405363113293
Family_XIII_UCG-001	0.0335139379864439	0.0516867884030961	0.511405524965999	-0.29723373614262	0.0955516242149528	0.123771971825726	0.269156436822873	0.712369311285781
Catenibacterium	0.0340873504502365	0.330402131570751	0.0112425274308831	-0.251275035215544	-0.709358141438225	0.123771971825726	0.634890370469286	0.0918139740188789
Neisseria	0.0341004412172917	0.0489711185401668	0.0137204572266889	-0.382631555925584	-0.494864938291294	0.123771971825726	0.269156436822873	0.103431139093501
Streptococcus	0.0355976924849267	0.0604894879179333	0.466264765247557	-0.620104011716521	0.230463127734514	0.124591923697244	0.269453173452612	0.691947068204999
Negativibacillus	0.0384768253234511	0.0932526486964532	0.333798989296249	-0.547800330291428	0.306956254689876	0.130025133851662	0.29479869587911	0.584148231268436
Cloacibacillus	0.05086422656963	0.706807060575698	0.0514517814725849	-0.103745948261735	0.566351165839491	0.166156473460791	0.875047362489209	0.219229329752753
Allisonella	0.0566762946602739	0.139488251936496	0.0187282079874676	0.273021832949808	0.456264907728806	0.179170221829253	0.402054373228723	0.122357625518122
Prevotella_7	0.0665515411473765	0.366298341553782	0.022874899527875	-0.270737668791632	-0.726784098897078	0.1976970662219	0.643564060237048	0.140108759608235
Rothia	0.0675986282657286	0.0496834927645113	0.03861323124645	-0.576378611567793	-0.611217115526784	0.1976970662219	0.269156436822873	0.180617801509923
Gemella	0.0685887780769858	0.0576763793191872	0.804941282371581	-0.497735721222164	0.0615256912230474	0.1976970662219	0.269156436822873	0.939098162766844
Shuttleworthia	0.0718485005236975	0.475830854073994	0.0268024497818877	0.327217091589043	1.08341045937579	0.201175801466353	0.777190394987524	0.154508239919117
Phocea	0.075451725239415	0.210650822145426	0.266313578910512	-0.293351847889771	0.259259971272306	0.205396363151741	0.53126128211696	0.521974614664603
Tyzzerella_4	0.0820284903948741	0.310569119810299	0.193400271865116	-0.48386039729886	0.626548145894283	0.217264650235072	0.621138239620599	0.462273820555642
Roseburia	0.0878387242683714	0.049342550272629	0.899593003869508	-1.21150796634129	-0.0735571797682815	0.220828968198077	0.269156436822873	0.968792465705624
Family_XIII_AD3011_group	0.0878809159155614	0.714324377542211	0.0405468534001869	0.0874928326133545	0.519222020034223	0.220828968198077	0.875047362489209	0.180617801509923
Prevotella_6	0.0904336489775228	0.0931733750961435	0.0396148312630737	-0.330308562208415	-0.413344325709065	0.221562439994931	0.29479869587911	0.180617801509923
Bifidobacterium	0.0970295047618828	0.0354867866370729	0.15599960605865	-0.846286681955152	-0.55117801076806	0.230080896112291	0.269156436822873	0.413188145776965
Pseudobutyrivibrio	0.0986060983338388	0.273450529374895	0.257665924203447	0.403241315447127	-0.417272793308056	0.230080896112291	0.582568519103037	0.519351683916681
Ruminococcaceae_UCG-005	0.106953912146587	0.092700216033576	0.758036409684022	-0.647841094297168	0.114120130616733	0.243755427682919	0.29479869587911	0.907580762426952
Veillonella	0.116776081454695	0.251338799643104	0.32355092455021	-0.445796618552566	0.381772421257977	0.26009218142182	0.547360052556092	0.584148231268436
Lachnospiraceae_UCG-004	0.120101693010882	0.0509531406660031	0.127556128806453	-0.951060395955928	-0.726511931071085	0.261554798112588	0.269156436822873	0.380333684348378
Dorea	0.127959868983424	0.533345444300963	0.161330861272087	-0.273717036069233	0.629527456858417	0.272610155660337	0.829648468912609	0.41606380012275
Faecalitalea	0.137233951875422	0.0655057333618479	0.75940431141847	-0.359206407468178	-0.056952208723623	0.286147389016837	0.279111385628743	0.907580762426952
Ruminococcaceae_NK4A214_group	0.141548458251165	0.602922120894689	0.0590267228969108	0.159336594993407	0.606507326321579	0.288994768929463	0.844637016234461	0.235548416220794
Phascolarctobacterium	0.152953283154809	0.0901895338816199	0.966464825847695	-0.605071439190844	-0.0144056810025276	0.305906566309618	0.29479869587911	1
Escherichia/Shigella	0.160650691120704	0.0925798606505585	0.104527190612125	0.775501984328428	0.74634756671956	0.313136121024505	0.29479869587911	0.365845167142436
Incertae_Sedis	0.164415276031849	0.0838385879462593	0.124204873673182	-0.515932526353215	-0.454631247508961	0.313136121024505	0.29479869587911	0.380333684348378
Alistipes	0.166153860135452	0.0856187500334631	0.841103220197581	-0.499145116926294	-0.0558204478806368	0.313136121024505	0.29479869587911	0.968792465705624
Tyzzerella	0.176985938829594	0.223402371907312	0.516104296951944	-0.285370904624447	0.149903559417425	0.32266790425106	0.53126128211696	0.712369311285781
Erysipelotrichaceae_UCG-003	0.177796600301605	0.0701388974232063	0.500645139038919	-0.620935041626715	-0.221666434987501	0.32266790425106	0.286400497811426	0.711061211968321
Ruminococcus_1	0.182627348282305	0.0974540961821857	0.877381257569903	-0.461761162751638	-0.0413356378906462	0.325408729666653	0.298453169557944	0.968792465705624
Faecalibacterium	0.193306080662604	0.629168389644037	0.0832050717683663	0.103128980390363	0.385044584820694	0.338285641159558	0.844637016234461	0.313619116665381
Lachnoclostridium	0.201504821255823	0.651820720047359	0.0883619652269006	0.184309405535664	0.723683648405403	0.345293098542337	0.863222034657314	0.320721207119861
Granulicatella	0.204357139953628	0.885407674777913	0.14195416158857	-0.0376759299164604	0.395870509116594	0.345293098542337	0.929660043023005	0.395604483043586
Parabacteroides	0.210281762932889	0.908340915736602	0.14181263600471	-0.0218955914217147	0.28812360071802	0.349281572329205	0.937025365707232	0.395604483043586
Ruminococcaceae_UCG-002	0.226621865041499	0.609464666178362	0.234753754226591	-0.206113497273345	0.487385273404195	0.366023361293387	0.844637016234461	0.519058490414164
Prevotella	0.230596836115929	0.234189107850132	0.620211196579153	-0.220529888283293	0.0903371290654017	0.366023361293387	0.53126128211696	0.79974601664154
Butyricicoccus	0.234638723440271	0.823462796475845	0.17549332673215	-0.0434489955524873	0.270690938470921	0.366023361293387	0.917038114257191	0.440983231275658
Odoribacter	0.235300732260035	0.212097561321188	0.692774513544716	-0.44864975961963	0.139232046998115	0.366023361293387	0.53126128211696	0.859391168701041
