bugName	pval	pPost	sPost	Adjustedpval	AdjustedpPost
Faecalibacterium	3.47854129700842e-06	3.47854129693988e-06	-1.49788080293583	0.000724021421995014	0.000724021421995967
Lachnospiraceae_UCG-010	8.48263046004938e-06	8.48263046010838e-06	-1.32266650117666	0.000724021421995014	0.000724021421995967
Negativicoccus	1.19846585038275e-05	1.19846585038411e-05	-0.973037369254442	0.000724021421995014	0.000724021421995967
Butyricicoccus	1.25916769042611e-05	1.25916769042777e-05	-1.01984494573737	0.000724021421995014	0.000724021421995967
Erysipelotrichaceae_UCG-003	3.50855390344185e-05	3.50855390344024e-05	-1.06804253202598	0.00161393479558325	0.00161393479558251
Subdoligranulum	7.19605931424061e-05	7.19605931424078e-05	-1.12357019359754	0.002358199434985	0.00235819943498688
Anaeroglobus	7.72496024152858e-05	7.72496024152782e-05	1.2043972574776	0.002358199434985	0.00235819943498688
Ruminococcaceae_UCG-002	8.20243281733912e-05	8.20243281734568e-05	-1.16240159636885	0.002358199434985	0.00235819943498688
Ruminococcaceae_UCG-003	0.000119688404273344	0.000119688404273369	-0.945656368969066	0.00269241499904058	0.00269241499904049
Lachnospiraceae_UCG-004	0.00012513899751232	0.000125138997512254	-1.03563374891621	0.00269241499904058	0.00269241499904049
Collinsella	0.000128767673867158	0.000128767673867154	-1.02546406663988	0.00269241499904058	0.00269241499904049
Coprococcus_1	0.000229293142465559	0.000229293142465566	-1.0672681372366	0.00439478523058987	0.00439478523059001
Megamonas	0.000250926900099424	0.000250926900099429	-1.20756580290156	0.00443947592483596	0.00443947592483605
Phascolarctobacterium	0.000472397508060052	0.000472397508059995	-0.848991044557153	0.00776081620384371	0.00776081620384278
Lachnospira	0.000508709832676146	0.000508709832676124	-1.08408193486831	0.00780021743436758	0.00780021743436724
Allisonella	0.000670840313274024	0.000670840313273947	-0.878975861887856	0.00964332950331409	0.00964332950331298
Veillonella	0.000855553082061644	0.000855553082061665	-1.04327487242212	0.0114545992129457	0.0114545992129447
Mobiluncus	0.000896446894926184	0.000896446894926107	0.758218571528221	0.0114545992129457	0.0114545992129447
Ruminiclostridium_5	0.00109840024688901	0.00109840024688897	-0.710989064850133	0.013296424041288	0.0132964240412875
Parasutterella	0.0012526682621693	0.0012526682621693	-0.873511984857305	0.0144056850149469	0.0144056850149469
Actinotignum	0.00158005068044631	0.00158005068044631	0.544214131715062	0.0173053169763167	0.0173053169763167
Holdemanella	0.00194241085220681	0.00194241085220678	-0.853025001202673	0.0203070225457985	0.0203070225457982
Prevotella_9	0.00234205874239701	0.00234205874239699	-1.24020158004766	0.0234205874239701	0.0234205874239699
Ruminococcus_2	0.00249040972475068	0.00249040972475069	-0.863283990475349	0.0238664265288606	0.0238664265288608
Coprobacter	0.00320381263205705	0.00320381263205709	-0.487372807485064	0.0294750762149248	0.0294750762149253
Lactobacillus	0.00498598850739529	0.00498598850739531	-0.544883864518166	0.0441068214115737	0.0441068214115739
Roseburia	0.0059957493031777	0.0059957493031777	-0.789737028782425	0.050345202667462	0.0503452026674622
Bifidobacterium	0.00612898119429972	0.00612898119429974	-0.702461615160057	0.050345202667462	0.0503452026674622
Atopobium	0.00649574728797142	0.00649574728797136	0.78250677376552	0.0515179957321871	0.0515179957321867
Alloprevotella	0.0069720829250457	0.00697208292504575	-0.581955396046044	0.0534526357586837	0.0534526357586841
Bacteroides	0.00910929450149078	0.00910929450149085	-0.569258387880464	0.0666542359991721	0.066654235999172
Gemella	0.00927363283466742	0.00927363283466741	-0.683590951177479	0.0666542359991721	0.066654235999172
Blautia	0.0098526034456885	0.00985260344568846	-0.591364073562628	0.0686696603790411	0.0686696603790408
Parabacteroides	0.0120809544181303	0.0120809544181303	-0.589340093641261	0.0817241034167637	0.0817241034167638
Acidaminococcus	0.0141860726968314	0.0141860726968314	-0.570049048160583	0.0932227634363204	0.0932227634363205
Ruminococcaceae_UCG-005	0.0148760845643412	0.0148760845643413	-0.500213680762599	0.0941243855574355	0.0941243855574356
Paraprevotella	0.0151417489809788	0.0151417489809788	-0.529988085898916	0.0941243855574355	0.0941243855574356
Methanobrevibacter	0.0185161898906692	0.0185161898906692	0.233723764983278	0.11207167565405	0.112071675654051
Rikenellaceae_RC9_gut_group	0.0207250570837316	0.0207250570837317	0.474287374786453	0.122224695622007	0.122224695622007
