bugName	pval	pPost	sPost	Adjustedpval	AdjustedpPost
Cloacibacillus	0.000938136398460965	0.000938136398460974	0.867624507050593	0.172767595634352	0.172767595634353
Acidibacter	0.00138214076507481	0.00138214076507483	0.707703030334561	0.172767595634352	0.172767595634353
Ellin6067	0.00234579558132153	0.00234579558132155	0.58695963532858	0.181326054450276	0.181326054450277
Peptostreptococcus	0.00353494968075896	0.00353494968075894	-1.15472611712746	0.181326054450276	0.181326054450277
Gemella	0.00362652108900552	0.00362652108900554	-1.13254876630748	0.181326054450276	0.181326054450277
Lysobacter	0.00570826048573125	0.00570826048573126	0.436075323193121	0.209331047916143	0.209331047916145
Ohtaekwangia	0.00628264762282793	0.00628264762282799	0.532236295469934	0.209331047916143	0.209331047916145
Sellimonas	0.00669859353331659	0.00669859353331664	0.975427584430571	0.209331047916143	0.209331047916145
Ruminiclostridium_9	0.00857943800073047	0.0085794380007304	1.06827082336598	0.2182164116174	0.218216411617398
Haliangium	0.00908604752997877	0.00908604752997878	0.531223209174044	0.2182164116174	0.218216411617398
Prevotella	0.00960152211116561	0.00960152211116552	-1.2767531552626	0.2182164116174	0.218216411617398
Parvimonas	0.0108208629735177	0.0108208629735177	-1.20062430827918	0.225434645281619	0.225434645281618
Nitrospira	0.0123019032143266	0.0123019032143266	0.471363631955247	0.232208420837628	0.232208420837628
Flavonifractor	0.0130036715669072	0.0130036715669072	0.969283889693734	0.232208420837628	0.232208420837628
Collinsella	0.0155731166288939	0.015573116628894	-0.588775001097342	0.255585556150573	0.255585556150573
Nocardioides	0.0169691482001537	0.0169691482001538	0.436713195439314	0.255585556150573	0.255585556150573
Solobacterium	0.0184134820057921	0.018413482005792	-0.745419462850006	0.255585556150573	0.255585556150573
Campylobacter	0.0195435323629186	0.0195435323629186	-0.95863726847482	0.255585556150573	0.255585556150573
Achromobacter	0.0202252605018649	0.0202252605018648	0.437197067765876	0.255585556150573	0.255585556150573
Anaerofilum	0.0204468444920458	0.0204468444920458	0.45128280146339	0.255585556150573	0.255585556150573
Anaeroglobus	0.0229080092479637	0.0229080092479636	0.47730200671967	0.269050444755951	0.269050444755951
Macellibacteroides	0.0236764391385237	0.0236764391385237	0.35026844086306	0.269050444755951	0.269050444755951
Ruminococcaceae_UCG-004	0.0264839819131256	0.0264839819131256	-0.567084678324222	0.287869368620931	0.287869368620931
Steroidobacter	0.028563295199359	0.028563295199359	0.368926000290668	0.293913769624807	0.293913769624808
Faecalibacterium	0.0310417235981612	0.0310417235981611	-0.825390080335874	0.293913769624807	0.293913769624808
Coprococcus_1	0.033334192519662	0.033334192519662	-0.789182992735599	0.293913769624807	0.293913769624808
Granulicatella	0.0336088799084475	0.0336088799084474	-0.777399194042105	0.293913769624807	0.293913769624808
S5-A14a	0.0340780037863408	0.0340780037863408	-0.704763029011579	0.293913769624807	0.293913769624808
Faecalitalea	0.0340939972764777	0.0340939972764777	0.356710513879593	0.293913769624807	0.293913769624808
Lachnospiraceae_UCG-010	0.0381249616941916	0.0381249616941916	-0.634440536888693	0.315645592291356	0.315645592291357
Murdochiella	0.0391400534441282	0.0391400534441282	-0.58698262681612	0.315645592291356	0.315645592291357
Gemmatimonas	0.0432514337972369	0.0432514337972369	0.420100346531702	0.337901826540914	0.337901826540913
Reyranella	0.0466258240092394	0.0466258240092395	0.34213443292294	0.353225939463935	0.353225939463935
Bryobacter	0.0504053774684374	0.0504053774684374	0.436069949889224	0.356538701673184	0.356538701673184
Pyramidobacter	0.0505683841369474	0.0505683841369474	0.348714931946672	0.356538701673184	0.356538701673184
Pseudoxanthomonas	0.0513415730409384	0.0513415730409385	0.389475225805073	0.356538701673184	0.356538701673184
Actinomyces	0.0535946460716454	0.0535946460716455	-0.618359133206996	0.361563925829933	0.361563925829933
Lachnospiraceae_UCG-004	0.0563961449529913	0.0563961449529912	-0.689690216755871	0.361563925829933	0.361563925829933
Streptococcus	0.0564039724294696	0.0564039724294695	-0.506430872826249	0.361563925829933	0.361563925829933
Chthoniobacter	0.0617162697339008	0.0617162697339008	0.22182045100951	0.376874748623047	0.376874748623047
Prevotella_9	0.0618074587741797	0.0618074587741797	-1.16802189033008	0.376874748623047	0.376874748623047
Bacillus	0.0692535011253892	0.0692535011253892	0.510033411692386	0.410932701263597	0.410932701263597
OM27_clade	0.0706804246173387	0.0706804246173388	0.268989678779427	0.410932701263597	0.410932701263597
BIyi10	0.0726750266288148	0.0726750266288147	0.330625654734014	0.41292628766372	0.41292628766372
Bacteroides	0.0799826727834441	0.0799826727834441	0.29365116165051	0.444348182130245	0.444348182130245
Lachnospiraceae_UCG-003	0.0830163753274316	0.0830163753274316	-0.65211458228517	0.44678984469632	0.44678984469632
Anaerotruncus	0.0853220711647097	0.0853220711647097	0.527564767430421	0.44678984469632	0.44678984469632
Mobiluncus	0.0861059797931378	0.0861059797931379	0.321509650699261	0.44678984469632	0.44678984469632
Chitinophaga	0.0876305431210496	0.0876305431210496	0.333482324892575	0.44678984469632	0.44678984469632
Holdemania	0.0893579689392641	0.0893579689392641	0.331621913567379	0.44678984469632	0.44678984469632
Morganella	0.0921864081046362	0.0921864081046362	-0.511087788258365	0.451894157375668	0.451894157375668
Ruminococcaceae_UCG-002	0.0945553170968931	0.0945553170968932	-0.585865686582784	0.452159349772262	0.452159349772261
Fusobacterium	0.0973781054344341	0.0973781054344341	-0.549796057345925	0.452159349772262	0.452159349772261
Ruminococcaceae_UCG-009	0.100065553811598	0.100065553811598	-0.342344291912173	0.452159349772262	0.452159349772261
Eikenella	0.100224628585499	0.100224628585499	-0.327585731812009	0.452159349772262	0.452159349772261
Barnesiella	0.101382210267697	0.101382210267697	-0.515036772894897	0.452159349772262	0.452159349772261
Tyzzerella_3	0.103092331748076	0.103092331748076	-0.364345244530645	0.452159349772262	0.452159349772261
Mucilaginibacter	0.105341610227982	0.105341610227982	0.207484733547925	0.454058664775785	0.454058664775785
Intestinimonas	0.110944003000122	0.110944003000122	-0.457640651505129	0.468627625081082	0.468627625081082
Porphyromonas	0.11247063001946	0.11247063001946	-0.651848810929347	0.468627625081082	0.468627625081082
Marmoricola	0.114387282824608	0.114387282824608	0.282176700927516	0.468800339445115	0.468800339445115
Syntrophomonas	0.117340776323494	0.117340776323495	0.206644438724082	0.473148291626994	0.473148291626994
Candidatus_Soleaferrea	0.122882550405868	0.122882550405868	0.197206104744081	0.479747379626203	0.479747379626203
Acetatifactor	0.124406313646124	0.124406313646124	-0.357058364490439	0.479747379626203	0.479747379626203
Acinetobacter	0.128901909303172	0.128901909303172	-0.435751334543763	0.479747379626203	0.479747379626203
Helicobacter	0.13161019245143	0.13161019245143	-0.366224427912123	0.479747379626203	0.479747379626203
Peptococcus	0.132657443257929	0.132657443257929	-0.329457416502254	0.479747379626203	0.479747379626203
Eubacterium	0.133592709760905	0.133592709760905	0.268919947937321	0.479747379626203	0.479747379626203
Dialister	0.133751104452267	0.133751104452267	-0.497019031402632	0.479747379626203	0.479747379626203
