bugName	pval	p6M	s6M	Adjustedpval	Adjustedp6M
Micrococcaceae	0.000325163662397987	0.000325163662398046	0.531784717818933	0.0257605981184978	0.0257605981184983
Streptococcaceae	0.000490610783503209	0.000490610783503136	0.72241548679543	0.0257605981184978	0.0257605981184983
Alteromonadaceae	0.000649426843323475	0.000649426843323486	0.338933083420008	0.0257605981184978	0.0257605981184983
Rickettsiaceae	0.00205605733768777	0.00205605733768777	0.486686707580772	0.0611677057962111	0.0611677057962111
Enterococcaceae	0.00845031488847137	0.00845031488847141	0.830230046273496	0.201117494345619	0.20111749434562
Pseudoalteromonadaceae	0.0189333051332439	0.0189333051332439	0.177212223518785	0.337034688707588	0.337034688707589
Carnobacteriaceae	0.0198255699239758	0.0198255699239758	0.366960710660886	0.337034688707588	0.337034688707589
Sphingobacteriaceae	0.0321911830886061	0.0321911830886062	0.136682460238778	0.436650078916482	0.436650078916482
Oxalobacteraceae	0.0330239555483054	0.0330239555483053	0.238573639735978	0.436650078916482	0.436650078916482
Enterobacteriaceae	0.0374403112307004	0.0374403112307004	0.500815005733029	0.445539703645334	0.445539703645334
Vibrionaceae	0.0414510002374265	0.0414510002374266	0.0868575936804645	0.448424457113978	0.448424457113978
Legionellaceae	0.0522620763797451	0.0522620763797451	-0.0535393008666447	0.515205239004414	0.515205239004414
Francisellaceae	0.0595516970034431	0.0595516970034431	-0.0501701351722861	0.515205239004414	0.515205239004414
Akkermansiaceae	0.0617448385020756	0.0617448385020756	0.417303159926846	0.515205239004414	0.515205239004414
Actinomycetaceae	0.0804373945646877	0.0804373945646876	0.316181801132527	0.515205239004414	0.515205239004414
Deferribacteraceae	0.0811133839271383	0.0811133839271382	0.117357789404079	0.515205239004414	0.515205239004414
Fusobacteriaceae	0.0837298979575992	0.0837298979575992	0.396334243082525	0.515205239004414	0.515205239004414
Sanguibacteraceae	0.0857173259181204	0.0857173259181204	-0.0490751035421478	0.515205239004414	0.515205239004414
Hafniaceae	0.0868265732520676	0.0868265732520675	0.0881673807501086	0.515205239004414	0.515205239004414
Synechococcaceae	0.0882342147517615	0.0882342147517615	0.0806690439085191	0.515205239004414	0.515205239004414
Alicyclobacillaceae	0.0916843806058623	0.0916843806058623	-0.23000750027534	0.515205239004414	0.515205239004414
