bugName	pval	p3M	p1Y	p2Y	s3M	s1Y	s2Y	Adjustedpval	Adjustedp3M	Adjustedp1Y	Adjustedp2Y
Carnobacteriaceae	2.71293314161314e-05	2.77358405295366e-06	0.123662405906325	0.00548397178082991	0.714501782318471	0.22963343342648	0.525403230449719	0.00754195413368453	0.000771056366721117	0.501423891022649	0.167689625041142
Streptococcaceae	8.3909619360778e-05	9.79530357637411e-06	0.00492866830469889	0.00537082737547138	0.801565649689321	0.529803297994864	0.645906563281466	0.0105643497229459	0.001361547197116	0.242533156199869	0.167689625041142
Cardiobacteriaceae	0.000114003773988625	2.97172047890677e-05	0.339575850307809	0.0031614217217912	0.479651243937279	0.110014471078901	0.439462207139206	0.0105643497229459	0.00275379431045361	0.726169895273623	0.163778319279973
Leptotrichiaceae	0.000234829231251066	0.000251074883953464	0.00553741490408033	0.000328270996675361	0.56881763755398	0.468426134820021	0.77645538403794	0.0163206315719491	0.00626846699611044	0.242533156199869	0.0536166608852449
Piscirickettsiaceae	0.000383125427572795	7.25978930882856e-05	0.0689758988453268	0.00315205826120288	0.788814268058099	0.373753739135735	0.774275493561815	0.0207809267706992	0.00403644285570868	0.501423891022649	0.163778319279973
Shewanellaceae	0.000513234523688455	8.93821622286674e-05	0.0753218688739973	0.00433946234775641	0.858017100762884	0.402228169966308	0.81851075757198	0.0207809267706992	0.00414137351659492	0.501423891022649	0.167689625041142
Aeromonadaceae	0.000627743709724515	5.81468225552229e-05	0.05689577832107	0.0193541294812551	0.851786282967604	0.415330066444597	0.633574405888041	0.0207809267706992	0.00403644285570868	0.494282074164295	0.308033382628939
Pasteurellaceae	0.00066301089665044	0.000922748460061298	0.0259432278262166	0.000385731373275143	0.61515089984922	0.448124980935813	0.928368315856791	0.0207809267706992	0.0130978452638064	0.379590386088854	0.0536166608852449
Clostridiales Family XIII. Incertae Sedis	0.00070211084861993	0.00856425401129587	6.60489672199349e-05	0.0428358937981698	0.240334861066195	0.444257003985362	0.258674434166447	0.0207809267706992	0.0610477593625706	0.0183616128871419	0.410633740547972
Phyllobacteriaceae	0.000747515351464001	0.000209275414058317	0.948990076220622	0.085826218486038	0.315100726169451	-0.00552011267533842	0.183868452414348	0.0207809267706992	0.00581785651082122	0.987060219840659	0.518688885633012
Candidatus Nanosynbacteraceae	0.00104327444574859	0.000172222695363261	0.682580567601514	0.674626848843343	0.531560393871092	0.0598063673307995	0.0760720259595724	0.0263663905380098	0.00581785651082122	0.906048687669115	0.90030420145814
Yersiniaceae	0.00129058080567457	0.000152479105009367	0.0975784015579523	0.0163456034823143	0.626432232317342	0.2830148974292	0.511333310494431	0.0298984553314608	0.00581785651082122	0.501423891022649	0.301342096388029
