bugName	pval	p3M	p1Y	p2Y	s3M	s1Y	s2Y	Adjustedpval	Adjustedp3M	Adjustedp1Y	Adjustedp2Y
Candidatus Saccharibacteria	0.000253034063362745	6.46859860747397e-05	0.964548300216893	0.641013817886317	0.44194936836507	0.0050333831407424	0.0656372204478014	0.00835012409097058	0.00213463754046641	0.964548300216893	0.729429516905119
Fusobacteria	0.00132266720730168	0.000417544735730022	0.00794650505231177	0.00548437082786162	0.861118241597671	0.705342092028762	0.915895595143193	0.0218240089204776	0.00688948813954536	0.0655586666815721	0.180984237319433
Verrucomicrobia	0.0036785564424453	0.00124001137332743	0.00497588984268993	0.0251508161654731	0.846120223298576	0.816395327688961	0.788541432744057	0.0404641208668983	0.0136401251066018	0.0547347882695893	0.276658977820204
Gemmatimonadetes	0.00700616475326654	0.15473424190273	0.000736105299869897	0.0658315304133409	-0.175278721446279	-0.502814177362675	-0.32201588337757	0.057800859214449	0.319139373924381	0.0242914748957066	0.362073417273375
Cyanobacteria	0.00881753155119203	0.00459072602361424	0.670527949198252	0.0148122747825641	0.424176268359056	0.0682580459297791	0.5016285744498	0.0581957082378674	0.0252489931298783	0.766706870398158	0.244402533912308
Elusimicrobia	0.0120277802372661	0.989319150639214	0.0025746367134282	0.351617781216782	0.00280515093089026	0.759758389581399	0.275247301316635	0.0661527913049638	0.989319150639214	0.0424815057715653	0.602199913857627
Armatimonadetes	0.0204597133133551	0.0021110952599871	0.167112085723953	0.164742973699291	0.461490207099853	0.222814245729767	0.276902314887927	0.096452934191531	0.0174165358948936	0.459558235740872	0.596656386936283
Synergistetes	0.0237720085889936	0.00426948676924628	0.0826968900677554	0.0506273656441213	0.5092510753741	0.332989399532829	0.459711816428162	0.0980595354295988	0.0252489931298783	0.278940220835761	0.3341406132512
Thermodesulfobacteria	0.0755466667991228	0.0185869174284613	0.718255028987336	0.120542657704231	0.204396827924993	0.0336471076807918	0.178820266465234	0.277004444930117	0.0783013344944175	0.766706870398158	0.497238463029955
Acidobacteria	0.085720655934393	0.0494241559764564	0.0650607805073911	0.0443945942769061	0.176036479487428	0.186508965583149	0.252544638725966	0.282878164583497	0.131057805445589	0.268375719592988	0.3341406132512
Spirochaetes	0.110169758230746	0.0316256118070014	0.0529047138963044	0.241379881424856	-0.206091953356276	-0.20922900273683	-0.154418980233559	0.28620945088641	0.104364518963105	0.249407936939721	0.602199913857627
Euryarchaeota	0.110454253627482	0.537199911529302	0.0174591883403153	0.334712916975702	0.152200349232947	0.69274360032352	0.338528033673806	0.28620945088641	0.686961052386802	0.115230643046081	0.602199913857627
Kiritimatiellaeota	0.112749177621919	0.0516288324482625	0.0340113123699995	0.268729300315368	0.138478433985868	0.169881827582069	0.106496949685473	0.28620945088641	0.131057805445589	0.187062218034997	0.602199913857627
Fibrobacteres	0.129958622583935	0.0189821416956164	0.329687647317449	0.383218127000308	-0.232633704082514	-0.106157422766392	-0.11734552640671	0.306331038947847	0.0783013344944175	0.591201862118802	0.602199913857627
Chloroflexi	0.161212243602478	0.026743772956761	0.446924186658328	0.316137371726806	0.21031643642298	0.078734629740942	0.127840289707922	0.354666935925452	0.0980605008414569	0.644930281561673	0.602199913857627
Actinobacteria	0.216868722484686	0.354156712685801	0.0929800736119204	0.0855048125394438	-0.142604918351447	-0.293903483052688	-0.370081344024108	0.421937086606459	0.51392298091969	0.278940220835761	0.403094116257378
Coprothermobacterota	0.217361529463933	0.0437340072782149	0.30168274424402	0.791536050830727	0.289729181966041	0.164626914559301	0.0517835577605386	0.421937086606459	0.131057805445589	0.58561944470898	0.816271552419187
Deinococcus-Thermus	0.29527704086923	0.511935422425275	0.209654752725731	0.431621234915073	-0.104068302993077	0.228983760997513	0.177185864713825	0.541341241593589	0.686961052386802	0.497758793293361	0.619282641399887
Aquificae	0.317835726623711	0.187102608995627	0.0851168637622472	0.61446270529717	-0.0910184783065782	-0.133242428319933	-0.0466039719754305	0.552030472556972	0.363199182167982	0.278940220835761	0.729429516905119
Nitrospirae	0.380031045439286	0.309549011540945	0.703471235057478	0.37689004536621	0.0640684034988084	-0.0265499742175376	-0.0753118689853488	0.604569031693193	0.486434160992914	0.766706870398158	0.602199913857627
Planctomycetes	0.384725747441123	0.0894905791226856	0.340388950916886	0.479259757202879	0.165641176179194	0.102862973605823	0.0934102165727912	0.604569031693193	0.210942079360616	0.591201862118802	0.658982166153959
Firmicutes	0.419335076194168	0.21020378381087	0.247600222401598	0.180804965738267	-0.0584879971828155	-0.0607915704338407	-0.0871278733503823	0.605473940624088	0.385373603653262	0.510675458703296	0.596656386936283
Bacteroidetes	0.434274569998512	0.699344683077728	0.378478322312254	0.252484629596464	-0.0316350278643278	0.081260630309493	0.130171022242637	0.605473940624088	0.824227662198751	0.624489231815219	0.602199913857627
Chlorobi	0.440344684090246	0.143897892632771	0.211170397154759	0.503474830878507	-0.102543492872352	-0.0985828626979116	-0.0646400034906383	0.605473940624088	0.316575363792095	0.497758793293361	0.661738067492289
Proteobacteria	0.485698238276488	0.35818874427736	0.580005843141589	0.405931851471189	0.0945233184460448	-0.0631229909277122	0.11564704738371	0.641121674524964	0.51392298091969	0.759257225427461	0.608897777206783
Deferribacteres	0.600285257175991	0.308492434515559	0.621407538333341	0.240099804982711	-0.115930217836561	-0.0622331889691495	-0.181473672519072	0.754576211234378	0.486434160992914	0.759498102407417	0.602199913857627
Thermotogae	0.637747282577235	0.251660028467606	0.449496862906621	0.369928424900706	-0.141131935459909	-0.103689036815348	-0.150865930110954	0.754576211234378	0.437093733654264	0.644930281561673	0.602199913857627
Ignavibacteriae	0.640246482259472	0.88067208196914	0.759264971629038	0.275642741760488	-0.0206796237992751	0.0475913776539655	-0.210318327059636	0.754576211234378	0.928924124621476	0.782992001992445	0.602199913857627
Chlamydiae	0.676536069120875	0.774956787275388	0.234302414042772	0.640593885545243	0.0266796154989798	0.124571311418458	0.0590430082251037	0.769345808277576	0.881847378623717	0.510675458703296	0.729429516905119
Balneolaeota	0.699405280252341	0.562059042861929	0.484866909874662	0.861653723100796	-0.0491395211141178	0.0668649309274579	0.020537304493288	0.769345808277576	0.686961052386802	0.66669200107766	0.861653723100796
Candidatus Cloacimonetes	0.817529265782678	0.900774908723855	0.430610797292231	0.722456898357922	0.00546501986749031	-0.0385901823870608	-0.0210942090857248	0.8371504894556	0.928924124621476	0.644930281561673	0.769067020832627
Tenericutes	0.819255707104348	0.556479780373888	0.598202662457999	0.709240169696483	0.113572091461072	0.114740239390621	-0.100123733299465	0.8371504894556	0.686961052386802	0.759257225427461	0.769067020832627
Calditrichaeota	0.8371504894556	0.870994594278715	0.720239787343725	0.521369386509076	-0.00568884977262494	0.0143986893597806	-0.032086327150706	0.8371504894556	0.928924124621476	0.766706870398158	0.661738067492289
