bugName	pval	p6M	p12M	s6M	s12M	Adjustedpval	Adjustedp6M	Adjustedp12M
Gammaproteobacteria	4.02185901959839e-06	0.909582209465911	5.06157659699706e-06	-0.0177357041676125	-0.984900463802767	0.000197071091960321	0.952571096793913	0.000248017253252856
Fibrobacteria	2.00143316536616e-05	0.535259572921973	5.28218275503032e-05	0.0870035709432048	-0.72428406730371	0.00049035112551471	0.741176730713663	0.00129413477498243
Elusimicrobia	0.00011139981677033	0.000150773943386456	0.873640075922117	0.774330254370625	-0.0261487028466228	0.00181953034058206	0.00738792322593636	0.910816249365612
Aquificae	0.000332684787188398	0.164041070004608	0.00260045805719817	0.175954946039299	-0.423559487761176	0.00407538864305787	0.463422078232394	0.0239327198050212
Chitinophagia	0.000474798673847032	0.160302083225599	0.00374240522103403	-0.158544261242793	0.360283191197472	0.00465302700370092	0.463422078232394	0.0261968365472382
Sphingobacteriia	0.000635115307441092	0.581769545369941	0.001240753419146	0.106294375519428	-0.724811228281707	0.00518677501076892	0.75017651902966	0.0151992293845385
Spirochaetia	0.00095710749438771	0.84182373608585	0.000729801581672548	-0.0156618161174604	-0.314300763825848	0.00669975246071397	0.937485524277424	0.0119200925006516
Verrucomicrobiae	0.0032276707588601	0.952571096793913	0.00293053711898219	-0.0217304706246813	1.23887735151777	0.0197694833980181	0.952571096793913	0.0239327198050212
Clostridia	0.00638500071887049	0.0235993300749782	0.274705710862606	-0.0861417570501422	0.0392447486476245	0.0347627816916282	0.231273434734786	0.395899406831402
Alphaproteobacteria	0.00757083649044865	0.669349366573746	0.00998951916248331	0.0781699139291395	-0.518376402072643	0.0370970988031984	0.784008147403811	0.0543873821068536
Rubrobacteria	0.0158218496651505	0.251491227689775	0.00486373184123551	0.11244813744696	0.304567399810167	0.0693245773445357	0.523076665514184	0.0297903575275675
Deferribacteres	0.0193224694401103	0.137058953781652	0.128972701184574	0.0944838344930876	-0.0966068167095882	0.0693245773445357	0.44772591568673	0.263319264918505
Anaerolineae	0.0195254409901995	0.950953480493026	0.0149774556900002	-0.00627437353046574	0.270564233176521	0.0693245773445357	0.952571096793913	0.0667177571645463
Fusobacteriia	0.0198070220984388	0.256200815762049	0.0692806585676591	0.343424063243849	-0.565726867779859	0.0693245773445357	0.523076665514184	0.188597348323072
Chlorobia	0.0234719689478786	0.350620069740127	0.057445756595419	0.0798715222563968	-0.169166895235058	0.0766750985630702	0.585875408723777	0.175927629573471
Acidithiobacillia	0.0283065635228037	0.550716500461631	0.011567899956858	0.0664120691829407	0.306964108597346	0.0866888507885863	0.741176730713663	0.0566827097886041
Planctomycetia	0.0373412541410005	0.0115229184735131	0.139161920705051	-0.584732763244387	-0.321714119698479	0.104624280620059	0.231273434734786	0.2727573645819
Cytophagia	0.0384334092073686	0.120910314478225	0.260583713065317	0.264428308570775	-0.188672393454545	0.104624280620059	0.44772591568673	0.386927331521228
Bacteroidia	0.0425085755008032	0.0213151895578876	0.760273971325313	0.0612907922483589	0.00752918068464157	0.109627378923124	0.231273434734786	0.846668740794099
Acidobacteriia	0.0502169867426789	0.179694275232969	0.221311121281138	-0.188109889165492	0.170723832486916	0.123031617519563	0.463422078232394	0.350864250962419
Methanobacteria	0.0606127064048356	0.0215147997119682	0.109557850022633	-0.505825645236539	-0.338251461692065	0.137736209921205	0.231273434734786	0.255088265768752
Chthonomonadetes	0.0618407473115614	0.0771552896996053	0.0252859281847914	-0.0858730726842294	-0.111743951285544	0.137736209921205	0.369104654312529	0.103250873421231
Bacilli	0.0794294997199669	0.0299751900699575	0.116236620616461	-0.343439081979215	-0.240497469161709	0.169219368968625	0.244797385571319	0.255088265768752
Nitrospira	0.0908273364085059	0.6621559480206	0.039821785117072	0.0253016095229262	0.126205238028769	0.185439145167366	0.784008147403811	0.139376247909752
Vicinamibacteria	0.0980232351127563	0.27562708231611	0.033501417569372	0.0990313206829173	0.202741668544118	0.192125540821002	0.53982991081335	0.126274573915325
Negativicutes	0.116557965574835	0.0579754013026192	0.798010286869558	-0.325726500657393	-0.0417830034242921	0.219666935121804	0.369104654312529	0.864654761684795
Betaproteobacteria	0.142927573049002	0.250476558565799	0.38547389031567	0.134000437210855	-0.100374661611014	0.259387077014856	0.523076665514184	0.497058437512311
Thermomicrobia	0.151765229379835	0.293452778589169	0.055540375376561	0.0892798359979462	0.168877895938335	0.265589151414711	0.53982991081335	0.175927629573471
Dehalococcoidia	0.171931921229553	0.0806473688966091	0.147175542359415	0.366057939139604	0.299575620997197	0.284279602238432	0.369104654312529	0.277369291369666
Caldilineae	0.17934715017024	0.0704623368136549	0.491356412874609	-0.235071296247074	-0.085879447379108	0.284279602238432	0.369104654312529	0.614681827233554
Mollicutes	0.179850360599825	0.333072258577318	0.067685874774634	-0.153815302629075	-0.300625327962559	0.284279602238432	0.582876452510307	0.188597348323072
Actinobacteria	0.192261900242813	0.0828602285191393	0.194289876666128	-0.39668997429427	-0.291238169315419	0.294401034746808	0.369104654312529	0.340007284165725
Flavobacteriia	0.214370073644619	0.107441048873088	0.811716715051032	-0.248008048109934	-0.0353850307253866	0.318307079048071	0.438717616231774	0.864654761684795
Gemmatimonadetes	0.224568082927991	0.247603529829604	0.094307761676904	0.088042904207977	0.130132881946795	0.320779614305884	0.523076665514184	0.243214753798331
Opitutae	0.235410820100729	0.175452762784027	0.119735308422067	-0.348047544368915	-0.403083285070229	0.320779614305884	0.463422078232394	0.255088265768752
