bugName	pval	p6M	p12M	s6M	s12M	Adjustedpval	Adjustedp6M	Adjustedp12M
Proteus	1.59205981731247e-13	0.0194357826233202	1.398563746658e-12	0.295017299256077	-1.96711169642815	5.65181235145928e-11	0.328557277679937	4.96490130063591e-10
Salinibacter	5.63860069746625e-12	0.199799243248762	2.73003347910088e-11	0.0889861084605215	-0.958717905562153	1.00085162380026e-09	0.622181853976409	4.84580942540407e-09
Alloprevotella	3.3122127263141e-10	0.182963185556091	2.86871433561122e-10	-0.164995809651062	-1.48036896379108	3.91945172613835e-08	0.601406767337152	3.39464529713995e-08
Lacrimispora	1.55003077040305e-09	0.104352115357903	1.02599024979395e-09	-0.258858597736803	-1.73734709694683	1.37565230873271e-07	0.552848706064461	9.10566346692133e-08
Gilliamella	5.86501547328311e-09	0.999999999999998	1.09250937130837e-08	1.7199501139797e-16	0.673192971543425	4.16416098603101e-07	1	6.46401378024119e-07
Niveispirillum	1.48468994876083e-08	0.0296636132345428	6.04756737695791e-09	-0.307181848532668	-1.33392903019829	8.78441553016825e-07	0.33969621607299	4.29377283764012e-07
Herbinix	2.53935221738999e-08	0.0181265660466322	7.30875480174342e-07	-0.25532433755355	0.726852143036929	1.28781433881921e-06	0.321746547327721	2.88289772735435e-05
Mediterraneibacter	1.44866879048244e-07	0.661290759307309	3.64849766552524e-07	0.101222892957728	-1.76743355346586	6.42846775776584e-06	0.910796778494223	1.61902083907683e-05
Acinetobacter	1.85248278938843e-07	0.26292445263635	1.23056405135245e-07	-0.318337474355654	-2.31178797380365	7.30701544703215e-06	0.694408299982736	6.24071768900173e-06
Moritella	4.49714352868114e-06	0.471685587036349	1.42256122404577e-05	0.188817305113883	-1.51183173199411	0.00015964859526818	0.84999179389799	0.00038846864195096
Lachnoanaerobaculum	7.2828168709016e-06	0.00468845688056409	1.57271289790486e-06	-0.483576888328086	-1.04839511249287	0.000235036362651824	0.231245991631207	5.58313078756225e-05
Frischella	9.31077045307482e-06	1	1.24861594174472e-05	0	0.412790373766731	0.000275443625903463	1	0.000369751202628227
Fibrobacter	1.9404834702863e-05	0.561506473491651	4.87629288294072e-05	0.08108508318581	-0.72643075944421	0.000507405922284302	0.890690364506133	0.00123648855245997
Bombilactobacillus	2.03399546085947e-05	0.141925929397748	0.000190784397066985	-0.159796763730945	0.485784849914589	0.000507405922284302	0.589570161098882	0.0039071754161459
Massilistercora	2.14396868570832e-05	0.408019522880728	1.24986322015175e-05	-0.20009445877386	-1.40522217316214	0.000507405922284302	0.801738454913569	0.000369751202628227
Duncaniella	2.74449079102901e-05	0.108714532101558	0.000328884398894702	0.386151193549412	-1.01180724580264	0.000608933894259561	0.552848706064461	0.00507625920033127
Elusimicrobium	0.000108839388626936	0.000147839488256608	0.872346856792052	0.778844274421032	-0.026522870220594	0.00227282252720954	0.0524830183310958	0.9349435979763
