bugName	pval	p6M	p12M	s6M	s12M	Adjustedpval	Adjustedp6M	Adjustedp12M
Bacteroidetes Order II. Incertae sedis	7.39794892012924e-11	0.262988499016386	3.39485403871661e-10	0.0860207367009519	-0.915538013877404	7.54590789853182e-09	0.658679526836096	3.46275111949094e-08
Orbales	9.00317598251377e-10	1	1.76575699283694e-09	0	0.809996317186877	4.59161975108202e-08	1	9.0053606634684e-08
Pseudomonadales	4.3655621495553e-07	0.295807561362237	2.87955165224342e-07	-0.304069001137496	-2.23364427012373	1.4842911308488e-05	0.658679526836096	9.79047561762762e-06
Rhodospirillales	1.03529238649758e-05	0.0432141288333894	2.8835679306095e-06	-0.298366370536963	-0.916479930238628	0.000263999558556882	0.339064703154286	7.35309822305424e-05
Fibrobacterales	2.00737517781491e-05	0.534590809564337	5.30411578564579e-05	0.0871736051686993	-0.72423219382882	0.000409504536274241	0.83813293756943	0.00108203962027174
Alteromonadales	0.000101442170344912	0.461492540699349	0.000289685054099114	0.212416943192131	-1.26457762007273	0.00162437742138494	0.808788478465084	0.00492464591968495
Elusimicrobiales	0.000111476881859751	0.000150857488647711	0.873699201041714	0.774525530853503	-0.0261443341491834	0.00162437742138494	0.0153874638420665	0.909360392920967
Aquificales	0.000318929783183597	0.15334979133758	0.0026711992561476	0.179824840265624	-0.419821717098426	0.00406635473559086	0.539368231601142	0.0201543422949415
Chitinophagales	0.000475798830653407	0.160377748048739	0.00374814679791633	-0.158537489301527	0.360261604948192	0.00537468552261537	0.545284343365713	0.0238944358367166
Pelagibacterales	0.000526929953197586	0.54129242696778	0.00113511516601641	0.057488939176332	-0.356805092574601	0.00537468552261537	0.83813293756943	0.0140508165727959
Sphingobacteriales	0.00063370570316823	0.581141791723068	0.00123977793289375	0.106459568572746	-0.724789014490764	0.00587618015665086	0.871712687584602	0.0140508165727959
Streptosporangiales	0.00149992730286796	0.110831690870036	0.000402866120113525	-0.389827050937548	-1.00668813645749	0.0127038882340856	0.517666603286052	0.0058703348930828
Leptospirales	0.0016191230102266	0.82248656040588	0.00190736672286496	0.0171765732555985	-0.274028972702653	0.0127038882340856	0.958096363581866	0.0176864914302023
Myxococcales	0.00260893389067685	0.0758080331873119	0.0396955926855057	0.177212141835898	-0.208573448248484	0.0180406889625467	0.462823664879475	0.121479457543711
Enterobacterales	0.00281930395093322	0.285831257046539	0.0107893330195255	0.200097872852384	-0.517196407227633	0.0180406889625467	0.658679526836096	0.0524053318091237
Rickettsiales	0.00282991199412497	0.40071115692026	0.00747631566837854	0.180694114098141	-0.632461320328057	0.0180406889625467	0.771179962374839	0.0385150890189025
Verrucomicrobiales	0.00322902379379353	0.952950497291681	0.00293004072173042	-0.0215553462255738	1.23884311232133	0.0191006406230601	0.986282549672109	0.0201543422949415
Selenomonadales	0.00337070128642236	0.957274239387635	0.00268375446989106	-0.0195510511128081	-1.25174331608743	0.0191006406230601	0.986282549672109	0.0201543422949415
Actinomycetales	0.00405604286754935	0.00385536742108212	0.00296387386690316	-0.587970541547256	-0.609051208790005	0.0217745459205281	0.131082492316792	0.0201543422949415
Micrococcales	0.00454460952628677	0.00160036885431431	0.0139130301068728	-0.57666034353034	-0.423383260157196	0.0231775085840625	0.0816188115700298	0.0617012639522184
Clostridiales	0.00486184598275297	0.0197089972140307	0.258523277947401	-0.0862906680504789	0.0393386036913434	0.0236146804876573	0.228883635125847	0.376956912817947
Corynebacteriales	0.00605438620850363	0.114429692851508	0.00163444465369413	-0.232479871292915	-0.518639132613936	0.0280703360576077	0.517666603286052	0.0166713354676802
Frankiales	0.0138166734678289	0.0224395720711615	0.00575907742272505	-0.481532007845703	-0.60397970563162	0.0612739432051542	0.228883635125847	0.0326347720621086
