bugName	pval	p1	p3	p6	s1	s3	s6	Adjustedpval	Adjustedp1	Adjustedp3	Adjustedp6
Oscillibacter sp. NSJ-62	3.32479080988879e-06	0.000520065199188112	9.52667024118928e-06	2.74384315871561e-06	-0.35741926694084	-0.462764610310602	-0.470323366998339	0.0013234270693766	0.0766229393470484	0.00421078824660566	0.0012127786761523
Veillonella parvula	5.98835777998463e-06	7.4682167815256e-07	0.000175595778813873	0.00636260284065476	0.931784217902535	0.692229925284765	0.476382825199384	0.0013234270693766	0.000330095181743432	0.0258711114119107	0.0685919623309611
Megasphaera stantonii	0.000127194661780572	0.0805651821587447	0.101811949967864	7.43018572843628e-06	0.242580271621628	0.226968549498115	0.61471520409051	0.0187400135023376	0.359695055698638	0.384622922100821	0.00164207104598442
Turicibacter sp. H121	0.000408038776723574	0.00566859713925636	0.00263148418126898	5.75840107695695e-05	-0.16691250975809	-0.181966429611883	-0.237395564699689	0.0391198675951405	0.181600449995431	0.064617556006716	0.00848404425338323
Actinomyces pacaensis	0.000442532438859056	0.0028421190311289	0.000122495181309742	0.00129099307297161	-0.319982759345093	-0.416516228267189	-0.331768482344527	0.0391198675951405	0.181600449995431	0.0258711114119107	0.0335658198972618
Lactiplantibacillus plantarum	0.000666663723292382	0.0251664484243481	0.000486487371143355	0.000296998093797261	-0.226312088949486	-0.357470187394265	-0.356385553147722	0.043924163690739	0.237807736636733	0.0319601227035594	0.0201336807407512
Paenibacillus mucilaginosus	0.000759904431535841	0.022673978418041	0.0033875522435557	9.02745251053002e-05	-0.120825871648531	-0.156371378660498	-0.202651750387172	0.043924163690739	0.237807736636733	0.0788051627185063	0.00997533502413567
Desulfotomaculum nigrificans	0.000795007487615185	0.0107898599488767	0.000578463759340441	0.000390306548401051	-0.0855325029643757	-0.116653699908458	-0.116072114226543	0.043924163690739	0.207352960756674	0.0319601227035594	0.0201336807407512
Stackebrandtia nassauensis	0.00108443864533525	0.00490047891846627	0.00141363303090881	0.00040996182503792	-0.177491111662329	-0.202240521790918	-0.21610710813055	0.0532579868042423	0.181600449995431	0.0480635230508996	0.0201336807407512
Candidatus Izimaplasma sp. HR1	0.00129353421036416	0.00292363725211307	0.000538943300174717	0.00236184409390393	-0.265588418072693	-0.310734319565111	-0.261520545326136	0.0571742120980957	0.181600449995431	0.0319601227035594	0.0453884821524146
Phascolarctobacterium faecium	0.0014994960245861	0.727623942061581	0.0156704610950226	0.000707745904908595	-0.0543559648296937	-0.381269275729472	-0.515775504852112	0.0602524766242778	0.88597736195928	0.133580013783071	0.0237904929845931
Faecalibacterium prausnitzii	0.00178543558532329	0.0594516809607672	0.000312452957065467	0.00321205164220163	-0.307179781353186	-0.598226558790805	-0.463434002343299	0.0657635440594079	0.332628392210874	0.0276208414045873	0.0532498706047895
Peribacillus muralis	0.00232860004676105	0.0241569003062475	0.0053317581995798	0.000344249132347597	-0.148719720464654	-0.184734328093286	-0.230310299311193	0.0780999011195709	0.237807736636733	0.107119869282467	0.0201336807407512
Anaerocolumna cellulosilytica	0.00250099304872831	0.0557233303816262	0.485410194240784	0.0490230157192933	-0.326972054521876	-0.118508608139513	0.322124965800873	0.0780999011195709	0.330039079788574	0.788791565641274	0.246229238044632
Bacillus thuringiensis	0.00273843134216167	0.0643234674268714	0.00238915960529975	0.000732483306927739	-0.225722392411444	-0.374709118009143	-0.400234278849189	0.0780999011195709	0.340404920113256	0.064617556006716	0.0237904929845931
Fusobacterium nucleatum	0.00282714574188492	0.0131371813143287	0.110801455121858	0.000300937713103163	0.398254557448433	0.254309682890181	0.56420521656634	0.0780999011195709	0.223332082343588	0.4014282226546	0.0201336807407512
